session_id,session_pair,dataset,problem,n_Dyadic,n_SemiSolo,n_SoloA,n_SoloARewardAB,n_SoloB,n_SoloBRewardAB
20230330T133602,A_Curius.B_AE,Curius_BLOCKED_CONF,-,320,-,469,-,-,-
20230331T131059,A_Curius.B_AE,Curius_BLOCKED_CONF,A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20230404T150951,A_Curius.B_AE,Curius_BLOCKED_CONF,A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20230405T145014,A_Curius.B_AE,Curius_BLOCKED_CONF,A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20230412T143018,A_Curius.B_AE,Curius_BLOCKED_CONF,-,346,-,151,-,-,-
20230413T142422,A_Curius.B_AE,Curius_BLOCKED_CONF,A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20230504T131733,A_Curius.B_AE,Curius_BLOCKED_CONF,-,520,-,167,-,-,-
20230505T123505,A_Curius.B_AE,Curius_BLOCKED_CONF,-,600,-,174,-,-,-
20230509T130346,A_Curius.B_SM,Curius_BLOCKED_CONF,-,386,-,275,-,-,-
20230510T144106,A_Curius.B_SM,Curius_BLOCKED_CONF,A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20230511T142916,A_Curius.B_SM,Curius_BLOCKED_CONF,-,406,-,88,-,-,-
20230512T125943,A_Curius.B_SM,Curius_BLOCKED_CONF,A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20230516T133503,A_Curius.B_RB,Curius_BLOCKED_CONF,A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20230517T130621,A_Curius.B_RB,Curius_BLOCKED_CONF,-,370,-,221,-,-,-
20230518T135808,A_Curius.B_SM,Curius_BLOCKED_CONF,-,563,-,130,-,-,-
20230523T145755,A_Curius.B_SM,Curius_BLOCKED_CONF,-,402,-,136,-,-,-
20230525T103049,A_Curius.B_SM,Curius_BLOCKED_CONF,-,243,-,149,-,-,-
20230620T101238,A_Curius.B_VC,Curius_BLOCKED_CONF,-,413,-,101,-,-,-
20230621T100721,A_Curius.B_MK,Curius_BLOCKED_CONF,-,533,-,118,-,-,-
20230622T111856,A_Curius.B_SM,Curius_BLOCKED_CONF,-,461,-,152,-,-,-
20230628T101631,A_Curius.B_VC,Curius_BLOCKED_CONF,-,455,-,35,-,-,-
20230703T122644,A_Curius.B_MK,Curius_BLOCKED_CONF,-,542,-,195,-,-,-
20230607T115959,A_Curius.B_VC,Curius_SHUFFLED_CONF,-,405,-,255,-,-,-
20230608T102315,A_Curius.B_VC,Curius_SHUFFLED_CONF,A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20230609T101610,A_Curius.B_VC,Curius_SHUFFLED_CONF,-,313,-,206,-,-,-
20230613T104336,A_Curius.B_VC,Curius_SHUFFLED_CONF,A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20230614T114327,A_Curius.B_VC,Curius_SHUFFLED_CONF,-,531,-,342,-,-,-
20230615T122340,A_Curius.B_VC,Curius_SHUFFLED_CONF,A_Reward_list absent from trialinfo.4python.mat; B_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20230616T094811,A_Curius.B_VC,Curius_SHUFFLED_CONF,-,300,-,-,-,-,260
20230619T102732,A_Curius.B_VC,Curius_SHUFFLED_CONF,-,326,-,119,-,-,-
20230620T101238,A_Curius.B_VC,Curius_SHUFFLED_CONF,-,413,-,101,-,-,-
20230621T100721,A_Curius.B_MK,Curius_SHUFFLED_CONF,-,533,-,118,-,-,-
20230622T111856,A_Curius.B_SM,Curius_SHUFFLED_CONF,-,461,-,152,-,-,-
20230627T094057,A_Curius.B_MK,Curius_SHUFFLED_CONF,-,325,-,134,-,-,-
20230628T101631,A_Curius.B_VC,Curius_SHUFFLED_CONF,-,455,-,35,-,-,-
20230629T100435,A_Curius.B_VC,Curius_SHUFFLED_CONF,-,399,-,294,-,-,-
20230703T122644,A_Curius.B_MK,Curius_SHUFFLED_CONF,-,542,-,195,-,-,-
20201204T125624,A_Elmo.B_FS,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20201208T125551,A_Elmo.B_FS,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20201209T131446,A_Elmo.B_FS,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20201211T104906,A_Elmo.B_FS,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20201215T110936,A_Elmo.B_FS,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20201216T114911,A_Elmo.B_FS,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
