session_id,actor_side,dyadic_base,dyadic_L_correct,dyadic_R_correct,dyadic_L_legacy,dyadic_R_legacy,solo_base,solo_L_correct,solo_R_correct,solo_L_legacy,solo_R_legacy,legacy_mismatch
20210401T124246,A,107,49,58,50,57,0,0,0,0,0,1
20210416T105525,A,97,57,40,54,43,0,0,0,0,0,1
20210423T105645,A,113,73,40,64,49,0,0,0,0,0,1
20210520T120659,A,116,73,43,63,53,0,0,0,0,0,1
20210604T143542,A,116,68,48,62,54,0,0,0,0,0,1
20210708T131736,A,208,81,127,80,128,0,0,0,0,0,1
20210709T103307,A,217,106,111,101,116,0,0,0,0,0,1
20210715T105108,A,184,94,90,86,98,0,0,0,0,0,1
20210716T103652,A,215,113,102,105,110,0,0,0,0,0,1
20210828T135335,A,126,80,46,72,54,0,0,0,0,0,1
