channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
1,A1,10,0.2417073728196011,0.22150851189517573,0.7,7,0.023821593190490497,0.2954656902199481,0.15262182180634493,0.25339784374019714,True,10,False,
3,A1,10,0.1376529457147125,0.03551243144023271,0.6,6,0.06645078331810705,0.2462464492466724,0.19468139480460867,0.2535094088699441,True,10,False,
4,A1,10,0.08135783728377771,0.13491175190468938,1.0,10,0.2482127836566989,0.16590678102408538,0.24223096138074873,0.14817992895325185,True,10,False,
5,A1,6,-0.021139435166526672,-0.011681607211554418,1.0,6,0.466492001941957,0.36394261926341614,0.2651564690795435,0.6505879143031654,False,4,False,
6,A1,10,0.033851221898027854,0.014590076217229454,0.8,8,0.20706374342607017,0.42036095803719226,0.19594495855400118,0.45772992728391687,False,9,False,
7,A1,7,0.48038117325166985,0.2644794351445293,0.8571428571428571,6,0.17597305379765457,0.5156557874424064,0.36596154561102295,0.33224460066536565,True,7,False,
8,A1,9,0.05018462771010017,0.003525640240313058,0.5555555555555556,5,-0.07209971069111938,0.5735511696158053,0.2600720058705799,0.6602933495357417,False,8,False,
9,A1,10,0.42139579741905453,0.2700181621288541,1.0,10,0.4522116039692096,0.26336923068681933,0.37616093319782057,0.2888115030558754,True,10,False,
10,A1,10,0.11464038651228663,0.11071947540844167,1.0,10,0.3211671618967256,0.18342462181378755,0.30550086982895397,0.19022972623280376,True,10,False,
11,A1,10,0.5567706831315282,0.43090001438773146,0.9,9,0.12621747501427363,0.31388387842832427,0.24781747499816348,0.3027433906633657,True,10,True,
12,A1,10,0.2629936151879989,0.24259066886502836,0.8,8,0.27626972212820555,0.30592882436315105,0.20019775531101391,0.27485996151624204,True,10,False,
13,A1,10,0.3451031210258076,0.27659115611112095,1.0,10,0.40624459423558595,0.28165842885851067,0.3012453207342474,0.1588272715912122,True,10,False,
14,A1,10,0.413335806860959,0.38269830918605585,1.0,10,0.7610873106470726,0.316161420372704,1.0,0.32006015844047353,True,10,False,
15,A1,10,0.29490307505043944,0.07724378520691878,0.8,8,0.34973296592643405,0.5713553482383227,0.5351575434489253,0.5869297663723905,True,10,False,
16,A1,8,0.5197732979535257,0.43071201958682764,1.0,8,0.522350035895063,0.3113705383929648,0.4185310332038965,0.3392759968822745,True,8,True,
17,A1,10,0.2035386235104266,0.12282832091386323,0.5,5,-0.07405142104597719,0.5277507248083059,0.45156368862979857,0.589210698749746,True,10,False,
18,A1,10,0.09156571191731029,0.009667176549543854,0.6,6,0.1594501978936924,0.48995789502800796,0.4492885963075336,0.5969923554387002,True,10,False,
19,A1,10,0.14078834854801084,0.09102802727411413,0.7,7,0.0504635676762706,0.25762061489706783,0.22915906827696103,0.26372054571765546,True,10,False,
20,A1,9,0.007617775157114169,0.05988383100995298,0.6666666666666666,6,-0.1035908011808065,0.1810532483436737,0.16260051629668842,0.2012773247283258,True,9,False,
