session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20230330T133602,20230413T142422,14.0336,1,A1,0.238677,0.019247,1
20230330T133602,20230413T142422,14.0336,3,A1,-0.184238,0.061934,0
20230330T133602,20230413T142422,14.0336,4,A1,-0.044423,0.103888,1
20230330T133602,20230413T142422,14.0336,6,A1,-0.227041,0.158842,1
20230330T133602,20230413T142422,14.0336,7,A1,0.850742,0.319797,1
20230330T133602,20230413T142422,14.0336,8,A1,0.172798,0.061962,1
20230330T133602,20230413T142422,14.0336,9,A1,0.186178,0.288812,1
20230330T133602,20230413T142422,14.0336,10,A1,0.490037,0.063076,1
20230330T133602,20230413T142422,14.0336,11,A1,0.542726,0.095683,1
20230330T133602,20230413T142422,14.0336,12,A1,0.286834,0.844676,0
20230330T133602,20230413T142422,14.0336,13,A1,0.358788,0.598975,1
20230330T133602,20230413T142422,14.0336,14,A1,0.226845,0.023920,1
20230330T133602,20230413T142422,14.0336,15,A1,0.718815,0.278873,1
20230330T133602,20230413T142422,14.0336,16,A1,0.440761,0.143071,1
20230330T133602,20230413T142422,14.0336,17,A1,0.239175,0.030166,1
20230330T133602,20230413T142422,14.0336,18,A1,0.150910,0.694467,1
20230330T133602,20230413T142422,14.0336,19,A1,0.130596,0.156337,1
20230330T133602,20230413T142422,14.0336,20,A1,-0.386715,0.355639,0
20230330T133602,20230413T142422,14.0336,21,A1,0.130007,0.019409,1
20230330T133602,20230413T142422,14.0336,22,A1,-0.425891,0.916226,1
20230330T133602,20230413T142422,14.0336,24,A1,-0.143866,1.298433,0
20230330T133602,20230413T142422,14.0336,25,A1,0.213947,0.454843,0
20230330T133602,20230413T142422,14.0336,26,A1,0.098131,0.470337,1
20230330T133602,20230413T142422,14.0336,27,A1,0.488671,0.741145,1
20230330T133602,20230413T142422,14.0336,28,A1,0.006780,0.892797,0
20230330T133602,20230413T142422,14.0336,29,A1,0.066825,0.087935,1
20230330T133602,20230413T142422,14.0336,30,A1,0.629311,0.596165,1
20230330T133602,20230413T142422,14.0336,31,A1,0.374612,0.426545,1
20230330T133602,20230413T142422,14.0336,33,A2,-0.059513,0.103576,0
20230330T133602,20230413T142422,14.0336,35,A2,0.015070,0.948983,0
20230330T133602,20230413T142422,14.0336,36,A2,0.454945,1.242465,0
20230330T133602,20230413T142422,14.0336,37,A2,0.316955,0.042388,1
20230330T133602,20230413T142422,14.0336,38,A2,0.755784,0.187359,1
20230330T133602,20230413T142422,14.0336,39,A2,0.258778,1.323699,0
20230330T133602,20230413T142422,14.0336,40,A2,0.109012,0.680944,1
20230330T133602,20230413T142422,14.0336,41,A2,0.649812,0.129089,1
20230330T133602,20230413T142422,14.0336,42,A2,-0.052531,0.028708,1
20230330T133602,20230413T142422,14.0336,43,A2,0.394533,0.222896,1
20230330T133602,20230413T142422,14.0336,44,A2,0.145704,0.365975,1
20230330T133602,20230413T142422,14.0336,46,A2,-0.137577,1.064215,0
20230330T133602,20230413T142422,14.0336,47,A2,-0.009020,0.592030,1
20230330T133602,20230413T142422,14.0336,48,A2,0.272778,0.565626,1
20230330T133602,20230413T142422,14.0336,49,A2,0.086091,0.639546,0
20230330T133602,20230413T142422,14.0336,50,A2,0.288457,0.385780,0
20230330T133602,20230413T142422,14.0336,51,A2,0.168639,0.557520,1
20230330T133602,20230413T142422,14.0336,52,A2,0.401063,0.013797,1
20230330T133602,20230413T142422,14.0336,53,A2,0.091874,0.236369,1
20230330T133602,20230413T142422,14.0336,54,A2,0.475987,0.827646,1
20230330T133602,20230413T142422,14.0336,55,A2,0.349177,0.601554,1
20230330T133602,20230413T142422,14.0336,56,A2,0.400352,0.514343,0
20230330T133602,20230413T142422,14.0336,57,A2,0.596627,0.001450,1
20230330T133602,20230413T142422,14.0336,58,A2,-0.050454,0.299679,1
20230330T133602,20230413T142422,14.0336,59,A2,0.037020,0.069695,0
20230330T133602,20230413T142422,14.0336,60,A2,0.265233,0.837221,1
20230330T133602,20230413T142422,14.0336,62,A2,-0.293440,0.808065,0
20230330T133602,20230413T142422,14.0336,63,A2,-0.023948,0.132501,1
20230330T133602,20230413T142422,14.0336,64,A2,0.095511,2.000000,0
20230330T133602,20230413T142422,14.0336,65,A3,-0.300650,0.620247,0
20230330T133602,20230413T142422,14.0336,66,A3,0.281998,0.000000,1
20230330T133602,20230413T142422,14.0336,68,A3,0.849225,0.255278,1
20230330T133602,20230413T142422,14.0336,69,A3,0.401397,0.700205,1
20230330T133602,20230413T142422,14.0336,70,A3,-0.157559,0.315768,1
20230330T133602,20230413T142422,14.0336,71,A3,0.513781,0.000000,1
20230330T133602,20230413T142422,14.0336,73,A3,0.035082,0.448102,1
20230330T133602,20230413T142422,14.0336,74,A3,-0.079941,0.291247,1
20230330T133602,20230413T142422,14.0336,75,A3,0.273727,1.031119,0
20230330T133602,20230413T142422,14.0336,76,A3,0.717215,0.000000,1
20230330T133602,20230413T142422,14.0336,77,A3,-0.118713,0.167109,1
20230330T133602,20230413T142422,14.0336,78,A3,0.578613,0.623692,1
20230330T133602,20230413T142422,14.0336,79,A3,0.781788,0.364308,1
20230330T133602,20230413T142422,14.0336,80,A3,0.243607,0.040253,1
20230330T133602,20230413T142422,14.0336,81,A3,0.451445,0.368818,1
