channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,9,0.2230457380368378,0.23465617553397944,0.3772284663255673,0.2230457380368378,-0.028744858580829653,0.1703926450712061,0.13398009416804604,0.29611485532032045,0.25361002279356015,7,2,0,4,0.4444444444444444,0.09765625,0.48800223214285715
3,A1,0,9,-0.023146475513035926,0.10767283256830523,0.328669898069179,0.023146475513035926,0.06911667445684154,0.16859158454209183,0.18723205461064185,0.17407599599331658,0.11465219126147681,4,5,0,1,0.1111111111111111,0.734375,0.929195374015748
4,A1,0,9,-0.2199803403495703,-0.12330654043727568,0.3527057436680535,0.2199803403495703,0.28403316108496846,0.006753479896308274,0.28403316108496846,0.052532802232430106,0.11615650551922947,1,8,0,4,0.4444444444444444,0.12890625,0.48800223214285715
5,A1,0,5,0.04909551136783041,-0.27835669337573227,0.9375249376886567,0.04909551136783041,0.22999636383008282,0.3326608382503428,0.22999636383008282,1.0,-0.09020861800677704,3,2,0,2,0.4,1.0,1.0
6,A1,0,9,-0.11530159097445303,-0.20704607405670386,0.4188011158825421,0.11530159097445303,0.1425699525862416,0.04433234059986654,0.19751978935000156,0.04433234059986654,0.050294035781732714,3,6,0,3,0.3333333333333333,0.1640625,0.5550199468085106
7,A1,0,7,0.23701038818143183,0.29999445826453564,0.8464583316660748,0.23701038818143183,0.2276772014900913,0.43212633449702426,0.36596154561102295,0.43212633449702426,0.34027430387373014,4,3,0,3,0.42857142857142855,0.578125,0.8590829439252337
8,A1,0,8,0.5728697922818191,0.43492547736365605,0.829328155229823,0.5728697922818191,0.1490497999008919,0.5039938423312974,0.2471966669976093,0.5155789361068865,0.06836154247334972,5,3,0,4,0.5,0.1953125,0.62109375
9,A1,0,9,-0.07678072545678605,0.07617850411474106,0.31125609344493144,0.07678072545678605,0.3524445422885431,0.4688989472043189,0.3524445422885431,0.4688989472043189,0.3938067622958384,4,5,0,1,0.1111111111111111,0.65234375,0.8941608297413793
10,A1,0,9,0.3037869968565125,0.052132100218831884,0.507700046018085,0.3037869968565125,0.2994676962296079,0.5665812510223167,0.2994676962296079,0.6719003728683153,0.15797184113660587,5,4,0,2,0.2222222222222222,0.42578125,0.7995689655172413
11,A1,0,9,0.6656016954786896,0.5946957966203521,0.3853570708874261,0.6656016954786896,0.1612366454750166,0.7211526614630772,0.33439830452131036,0.7211526614630772,0.29446047456748214,8,1,0,1,0.1111111111111111,0.0078125,0.1552734375
12,A1,0,9,0.2962448639619112,0.290803739016068,0.5407355659090598,0.2962448639619112,0.20627409668579036,0.5344004575652714,0.20627409668579036,0.5344004575652714,-0.0646097858169103,6,3,0,2,0.2222222222222222,0.12890625,0.48800223214285715
13,A1,0,9,-0.031877864408465684,-0.11737147672214936,0.3115183017874107,0.031877864408465684,0.2555989969044722,0.22715398897331368,0.2555989969044722,0.22715398897331368,0.17300739735811876,4,5,0,2,0.2222222222222222,0.65234375,0.8941608297413793
14,A1,0,9,-0.5800105763409401,-0.6338182776129321,0.3922893530082673,0.5800105763409401,1.0,-0.012566101860854913,1.0,0.07461230010201543,0.24859136095410025,0,8,1,5,0.5555555555555556,0.0078125,0.1552734375
15,A1,0,9,-0.49548016594889455,-0.48813959093873016,0.6665480105282261,0.49548016594889455,0.4130702336276095,-0.5649948297685611,0.5045198340511055,1.0,0.44546498952195207,2,6,1,4,0.4444444444444444,0.078125,0.44363839285714285
16,A1,0,7,0.3710456298608783,0.12742129192087234,0.5098739917700296,0.3710456298608783,0.3917612928877617,0.6199586292685492,0.3917612928877617,0.6199586292685492,0.43558764992025417,4,3,0,1,0.14285714285714285,0.578125,0.8590829439252337
17,A1,0,9,0.023230842518862482,-0.1300077979766098,0.5894682444410105,0.023230842518862482,0.05539300737486561,-0.08997051531842355,0.4498145172343004,0.2111028832071137,0.31178343831387006,5,4,0,5,0.5555555555555556,0.8203125,0.99375
18,A1,0,9,-0.00886529887931009,0.15220905331007306,0.5302476190093709,0.00886529887931009,0.1849157350038203,0.2966681896091035,0.41475554807829174,0.5398604867245974,0.2606407885517834,4,5,0,2,0.2222222222222222,0.91015625,0.99375
19,A1,0,9,0.2848338959965583,0.31710680930147106,0.36202098775119546,0.2848338959965583,0.1663349856740243,0.3676112950796313,0.25088413484562,0.3676112950796313,0.2919045715479026,7,2,0,3,0.3333333333333333,0.0390625,0.310546875
20,A1,0,8,-0.110654109913249,0.06970620722872911,0.5109595629464262,0.110654109913249,-0.05968019477592025,-0.11389450200196634,0.14142271404747928,0.41002669434161365,0.2926534346059708,3,5,0,1,0.125,0.84375,0.99375
21,A1,0,9,0.45755610404955116,0.07217631589080144,0.6545461258082277,0.45755610404955116,0.3460072847737472,0.41256168371351265,0.3460072847737472,0.8048253306169724,0.5280318626903109,5,4,0,3,0.3333333333333333,0.8203125,0.99375
22,A1,0,9,-0.534099110367974,-0.14729625433508275,0.7941730674979264,0.534099110367974,-0.3523025230112831,-0.47503951129715394,0.46590088963202597,0.7525211803752856,0.7218943860322663,2,7,0,3,0.3333333333333333,0.5703125,0.8590829439252337
23,A1,0,8,0.13537181370636375,0.1579455993407495,0.5336505293010402,0.13537181370636375,0.2988070766902102,0.5163861764872798,0.2988070766902102,0.5285378502796731,0.41909159073590396,4,4,0,3,0.375,0.3828125,0.7904829545454546
24,A1,0,9,0.05301197530355073,-0.041131278489484516,0.7970921336947384,0.05301197530355073,0.17220634858945483,0.30795577728308465,0.2642021170434961,0.30795577728308465,-0.04460379845779688,5,4,0,4,0.4444444444444444,1.0,1.0
25,A1,0,8,0.0,0.06432842175305437,0.16308135870207244,0.0,1.0,1.0,1.0,1.0,0.27179462953872763,2,1,5,1,0.125,0.5,0.8548387096774194
26,A1,0,9,-0.032626035187028,-0.04282872493110652,0.4668054465014426,0.032626035187028,0.039553010115374224,-0.017541418527221592,0.34964256161025736,0.1922787601482354,0.30883998775032834,4,5,0,2,0.2222222222222222,0.734375,0.929195374015748
27,A1,0,9,0.45761623223306963,0.23583311427955905,0.3885832678189569,0.45761623223306963,0.34088017242682134,0.719200142822669,0.4792169952044825,0.719200142822669,0.5297451234935694,7,2,0,1,0.1111111111111111,0.1640625,0.5550199468085106
28,A1,0,9,-0.0031049490496838916,0.15874992209789232,0.5053486023296743,0.0031049490496838916,0.16422084894515887,0.1243139333592614,0.28914801666236856,0.1243139333592614,0.27459628246232265,3,5,1,3,0.3333333333333333,0.84375,0.99375
29,A1,0,9,0.04562340089830624,-0.11189105313698097,0.5229576754045036,0.04562340089830624,0.4573322506161479,0.3381107483119744,0.4573322506161479,0.3381107483119744,0.22970946374211437,5,4,0,0,0.0,0.734375,0.929195374015748
30,A1,0,9,0.0,0.02024019377852373,0.3253899192299102,0.0,1.0,1.0,1.0,1.0,0.6428234507356317,2,4,3,0,0.0,1.0,1.0
31,A1,0,9,-0.38018958935134417,-0.10386252156120064,0.607039739267832,0.38018958935134417,0.07321159092295024,-0.3026711829554772,0.16403956403181572,0.8808870840047505,0.5108776632415292,3,6,0,4,0.4444444444444444,0.5703125,0.8590829439252337
32,A1,0,8,0.10181452102757588,0.02919144467125441,0.2846411709021833,0.10181452102757588,0.6544723921194407,1.0,0.6544723921194407,1.0,0.4784542468333671,5,3,0,0,0.0,0.7421875,0.929195374015748
33,A2,1,9,-0.0911174974690011,-0.048466304398476136,0.4873767090767859,0.0911174974690011,0.05631058716215115,-0.010797281538329557,0.12951729008555746,0.3418935208833164,0.007398136550151491,4,5,0,4,0.4444444444444444,0.734375,0.929195374015748
