channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
1,A1,9,0.47690824007556637,0.3647828870147429,0.7777777777777778,7,0.2842959366296917,0.48337887641706684,0.29611485532032045,0.5941834952162732,False,7,False,
3,A1,9,0.3076063087049388,0.11335676898658034,0.7777777777777778,7,0.21917803217744364,0.35079780916739245,0.17407599599331658,0.34437397181382123,False,6,False,
4,A1,9,0.16120765401717405,0.1280207571533356,0.5555555555555556,5,0.14062768551592741,0.3162220993640283,0.052532802232430106,0.14449482108059714,False,8,False,
5,A1,5,0.08130848643280397,0.012801627609956616,0.6,3,0.2213703940888153,0.763757634487562,1.0,1.0,False,2,False,
6,A1,9,-0.058191663312791034,-0.024702250903612385,0.7777777777777778,7,0.0446214328342631,0.04640113058259287,0.04433234059986654,0.05241821761795515,False,3,False,
7,A1,7,0.17135344958406742,0.18479201646966312,0.7142857142857143,5,0.4759675120621902,0.48287372463307926,0.43212633449702426,0.5678736655029757,False,5,False,
8,A1,8,0.02586404289635219,-0.007721961519249856,0.625,5,0.4028179820101346,0.5593522126630655,0.5155789361068865,0.6976217077884302,False,2,False,
9,A1,9,0.46417667819816477,0.3680389004857723,0.8888888888888888,8,0.46752473074719614,0.3706470333539351,0.4688989472043189,0.4353403662742471,True,9,False,
10,A1,9,0.12454658296395364,0.13517363419406275,0.7777777777777778,7,0.32812340652698985,0.5799199108138222,0.6719003728683153,0.5923613411762896,True,9,False,
11,A1,9,0.5240340578885084,0.49488569730628096,1.0,9,0.7234994198678838,0.2749913119835933,0.7211526614630772,0.32486194590366696,True,9,True,5
12,A1,9,0.20578909618871494,0.12099746347278417,1.0,9,0.5895424548041908,0.31632890848040357,0.5344004575652714,0.329405341186149,False,8,False,
13,A1,9,0.3014726223935861,0.28196811019810886,0.7777777777777778,7,0.23421584680747948,0.21150437667014474,0.22715398897331368,0.2621655187980425,True,9,False,8
14,A1,9,0.21166987176249574,0.13579720995840744,0.5555555555555556,5,0.13628541848831233,0.4261283698177858,0.07461230010201543,0.32090665934923035,False,7,False,
15,A1,9,0.47364728872108397,0.39638292126654123,0.6666666666666666,6,-0.21065851768713684,0.8837635388696289,1.0,1.0,False,8,False,
16,A1,7,0.15443977328868974,0.18823192002875583,0.8571428571428571,6,0.5815356186580872,0.42581069471970684,0.6199586292685492,0.5030806810754497,False,6,False,
17,A1,9,0.3403473214312599,0.20390139567196192,0.5555555555555556,5,-0.10117604358325111,0.43021208295430424,0.2111028832071137,0.4384607019684093,True,9,False,
18,A1,9,0.4199544316852771,0.26709472408819984,0.7777777777777778,7,0.2660268070098384,0.6045089410742501,0.5398604867245974,0.7140541455151979,True,9,False,
19,A1,9,0.5085715435936984,0.38082692730997275,1.0,9,0.3659590274051524,0.2881082096503752,0.3676112950796313,0.31661735895414184,True,9,False,7
20,A1,8,0.07076214249965365,0.06271177030635933,0.5,4,-0.001561862340525605,0.6365881473440517,0.41002669434161365,0.7829320998620561,False,7,False,
21,A1,9,0.4170441073916943,0.24866409836781836,0.6666666666666666,6,0.36312695890180213,0.6352232697072191,0.8048253306169724,0.7914015652634041,True,9,False,
22,A1,9,0.5581286738631617,0.31336587086877377,0.5555555555555556,5,-0.29255423615857695,0.6782267954955398,0.7525211803752856,0.8086337241370081,True,9,False,
23,A1,8,0.17387213962749692,0.1417376749881975,0.625,5,0.4875597848777419,0.5060054557284801,0.5285378502796731,0.9351505451850696,False,6,False,
24,A1,9,0.02170603929971568,0.010572627046642878,0.5555555555555556,5,0.32775729705492207,0.5157035256002451,0.30795577728308465,0.6379656316013458,False,7,False,
25,A1,8,0.6026532578855576,0.4623812513929846,1.0,8,0.8658985252831854,0.20835434091793056,1.0,0.11025429371182938,True,8,True,2
