session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20230330T133602,20230413T142422,14.0336,1,A1,0.350099,0.081972,0
20230330T133602,20230413T142422,14.0336,3,A1,0.411349,0.371745,1
20230330T133602,20230413T142422,14.0336,4,A1,-0.040228,0.993247,1
20230330T133602,20230413T142422,14.0336,6,A1,0.457996,0.063059,1
20230330T133602,20230413T142422,14.0336,7,A1,0.674327,0.567874,1
20230330T133602,20230413T142422,14.0336,8,A1,-0.031498,0.930716,0
20230330T133602,20230413T142422,14.0336,9,A1,0.509972,0.688529,1
20230330T133602,20230413T142422,14.0336,10,A1,0.354884,0.658503,0
20230330T133602,20230413T142422,14.0336,11,A1,0.642560,0.752096,1
20230330T133602,20230413T142422,14.0336,12,A1,-0.200729,0.785396,1
20230330T133602,20230413T142422,14.0336,13,A1,0.114582,0.364569,0
20230330T133602,20230413T142422,14.0336,14,A1,0.223916,0.338246,1
20230330T133602,20230413T142422,14.0336,15,A1,0.526131,0.000000,1
20230330T133602,20230413T142422,14.0336,16,A1,-0.183234,0.632011,0
20230330T133602,20230413T142422,14.0336,17,A1,0.255073,0.315701,0
20230330T133602,20230413T142422,14.0336,18,A1,0.809750,0.571068,1
20230330T133602,20230413T142422,14.0336,19,A1,0.432635,0.097791,1
20230330T133602,20230413T142422,14.0336,20,A1,-0.227434,1.416961,0
20230330T133602,20230413T142422,14.0336,21,A1,-0.003415,1.804825,0
20230330T133602,20230413T142422,14.0336,22,A1,0.041171,0.657828,0
20230330T133602,20230413T142422,14.0336,24,A1,0.265645,0.553377,0
20230330T133602,20230413T142422,14.0336,25,A1,0.594015,0.177445,1
20230330T133602,20230413T142422,14.0336,26,A1,0.298323,0.250988,1
20230330T133602,20230413T142422,14.0336,27,A1,0.688311,0.382709,1
20230330T133602,20230413T142422,14.0336,28,A1,0.108165,0.142007,0
20230330T133602,20230413T142422,14.0336,29,A1,0.520877,0.275894,1
20230330T133602,20230413T142422,14.0336,30,A1,0.442773,0.000000,1
20230330T133602,20230413T142422,14.0336,31,A1,0.247132,0.360747,1
20230330T133602,20230413T142422,14.0336,33,A2,-0.051210,1.244368,0
20230330T133602,20230413T142422,14.0336,35,A2,0.211402,0.204378,1
20230330T133602,20230413T142422,14.0336,36,A2,-0.025964,0.119855,0
20230330T133602,20230413T142422,14.0336,37,A2,0.050339,0.141420,1
20230330T133602,20230413T142422,14.0336,38,A2,0.013900,0.605404,1
20230330T133602,20230413T142422,14.0336,39,A2,0.304419,0.703023,0
20230330T133602,20230413T142422,14.0336,40,A2,-0.069871,1.098805,0
20230330T133602,20230413T142422,14.0336,41,A2,0.438182,0.711481,1
20230330T133602,20230413T142422,14.0336,42,A2,0.056153,0.084378,0
20230330T133602,20230413T142422,14.0336,43,A2,0.496182,0.234546,1
20230330T133602,20230413T142422,14.0336,44,A2,-0.082430,0.627151,1
20230330T133602,20230413T142422,14.0336,46,A2,0.513313,0.316354,1
20230330T133602,20230413T142422,14.0336,47,A2,0.329455,0.088752,1
20230330T133602,20230413T142422,14.0336,48,A2,-0.079469,1.118741,0
20230330T133602,20230413T142422,14.0336,49,A2,-0.032692,0.050194,1
20230330T133602,20230413T142422,14.0336,50,A2,-0.140810,0.125698,1
20230330T133602,20230413T142422,14.0336,51,A2,-0.150320,0.322827,0
20230330T133602,20230413T142422,14.0336,52,A2,0.354682,0.652590,0
20230330T133602,20230413T142422,14.0336,53,A2,0.260960,0.979306,1
20230330T133602,20230413T142422,14.0336,54,A2,0.332333,1.009491,0
20230330T133602,20230413T142422,14.0336,55,A2,0.285279,0.967022,0
20230330T133602,20230413T142422,14.0336,56,A2,0.003761,0.925442,1
20230330T133602,20230413T142422,14.0336,57,A2,-0.034346,0.776779,0
20230330T133602,20230413T142422,14.0336,58,A2,-0.091737,0.132053,0
20230330T133602,20230413T142422,14.0336,59,A2,0.103770,0.186886,0
20230330T133602,20230413T142422,14.0336,60,A2,0.396672,0.099430,1
20230330T133602,20230413T142422,14.0336,62,A2,0.656289,0.292269,1
20230330T133602,20230413T142422,14.0336,63,A2,0.142615,0.972027,1
20230330T133602,20230413T142422,14.0336,64,A2,0.592121,0.119191,1
20230330T133602,20230413T142422,14.0336,65,A3,-0.263326,0.902751,1
20230330T133602,20230413T142422,14.0336,66,A3,0.711854,0.142352,1
20230330T133602,20230413T142422,14.0336,68,A3,0.838558,0.323186,1
20230330T133602,20230413T142422,14.0336,69,A3,0.130476,0.680081,1
20230330T133602,20230413T142422,14.0336,70,A3,0.467303,0.326659,0
20230330T133602,20230413T142422,14.0336,71,A3,0.341737,0.162179,1
20230330T133602,20230413T142422,14.0336,73,A3,-0.307862,0.534740,0
20230330T133602,20230413T142422,14.0336,74,A3,-0.068042,0.757209,0
20230330T133602,20230413T142422,14.0336,75,A3,0.468871,0.610365,1
20230330T133602,20230413T142422,14.0336,76,A3,0.873498,0.466428,1
20230330T133602,20230413T142422,14.0336,77,A3,0.228586,0.098664,0
20230330T133602,20230413T142422,14.0336,78,A3,0.259883,0.085931,1
20230330T133602,20230413T142422,14.0336,79,A3,0.810290,0.780889,1
20230330T133602,20230413T142422,14.0336,80,A3,-0.201699,1.088674,0
20230330T133602,20230413T142422,14.0336,81,A3,0.278796,0.011419,1
20230330T133602,20230413T142422,14.0336,82,A3,0.386685,0.274638,1
20230330T133602,20230413T142422,14.0336,85,A3,0.485878,0.084990,1
20230330T133602,20230413T142422,14.0336,87,A3,-0.053132,0.973580,1
20230330T133602,20230413T142422,14.0336,88,A3,0.006569,1.005441,0
20230330T133602,20230413T142422,14.0336,89,A3,-0.080084,0.430553,1
20230330T133602,20230413T142422,14.0336,90,A3,0.306409,0.167238,1
20230330T133602,20230413T142422,14.0336,91,A3,-0.150552,0.931106,1
20230330T133602,20230413T142422,14.0336,92,A3,-0.019029,0.013949,1
20230330T133602,20230413T142422,14.0336,93,A3,0.048315,0.150093,0
20230330T133602,20230413T142422,14.0336,94,A3,0.178563,0.995731,1
20230330T133602,20230413T142422,14.0336,95,A3,0.259871,1.113173,0
20230330T133602,20230413T142422,14.0336,96,A3,-0.501939,0.681778,1
20230330T133602,20230413T142422,14.0336,130,A5,0.275104,0.970778,1
20230330T133602,20230413T142422,14.0336,132,A5,0.707383,0.151221,1
20230330T133602,20230413T142422,14.0336,133,A5,0.379625,1.002557,0
20230330T133602,20230413T142422,14.0336,134,A5,0.367706,0.787554,1
20230330T133602,20230413T142422,14.0336,135,A5,-0.021796,0.775489,1
20230330T133602,20230413T142422,14.0336,136,A5,0.238614,0.555326,1
20230330T133602,20230413T142422,14.0336,137,A5,-0.021862,0.808131,0
20230330T133602,20230413T142422,14.0336,138,A5,0.094558,0.098996,0
20230330T133602,20230413T142422,14.0336,139,A5,0.004086,0.020226,1
20230330T133602,20230413T142422,14.0336,140,A5,0.137036,1.162661,0
20230330T133602,20230413T142422,14.0336,143,A5,-0.021069,0.206648,0
20230330T133602,20230413T142422,14.0336,144,A5,0.016273,0.207010,1
20230330T133602,20230413T142422,14.0336,145,A5,0.117207,0.876078,1
20230330T133602,20230413T142422,14.0336,146,A5,0.717128,0.500092,1
20230330T133602,20230413T142422,14.0336,147,A5,-0.401228,0.096449,1
20230330T133602,20230413T142422,14.0336,148,A5,0.191865,0.089787,1
20230330T133602,20230413T142422,14.0336,149,A5,0.189239,0.544060,1
20230330T133602,20230413T142422,14.0336,150,A5,-0.253986,0.054668,0
20230330T133602,20230413T142422,14.0336,151,A5,0.411837,0.429306,0
20230330T133602,20230413T142422,14.0336,152,A5,-0.123083,0.177398,0
20230330T133602,20230413T142422,14.0336,153,A5,0.193140,0.935762,1
20230330T133602,20230413T142422,14.0336,154,A5,-0.063065,0.825422,0
20230330T133602,20230413T142422,14.0336,156,A5,0.130730,0.011024,1
20230330T133602,20230413T142422,14.0336,157,A5,0.145826,0.982013,1
20230330T133602,20230413T142422,14.0336,158,A5,0.059732,0.326690,1
20230330T133602,20230413T142422,14.0336,160,A5,0.240115,0.011400,1
20230330T133602,20230509T130346,39.9776,1,A1,0.569234,0.601228,1
20230330T133602,20230509T130346,39.9776,3,A1,0.429263,0.405531,1
20230330T133602,20230509T130346,39.9776,4,A1,0.093011,1.052533,0
20230330T133602,20230509T130346,39.9776,5,A1,0.094115,0.667339,1
20230330T133602,20230509T130346,39.9776,6,A1,-0.243218,0.036880,1
20230330T133602,20230509T130346,39.9776,7,A1,0.688970,0.000000,1
20230330T133602,20230509T130346,39.9776,8,A1,0.341700,0.294391,1
20230330T133602,20230509T130346,39.9776,9,A1,0.373627,0.222988,1
20230330T133602,20230509T130346,39.9776,10,A1,-0.034736,0.297962,1
20230330T133602,20230509T130346,39.9776,11,A1,0.511075,0.381715,1
20230330T133602,20230509T130346,39.9776,12,A1,0.009945,0.481917,1
20230330T133602,20230509T130346,39.9776,13,A1,0.541014,0.035949,1
20230330T133602,20230509T130346,39.9776,14,A1,-0.235824,1.363956,0
20230330T133602,20230509T130346,39.9776,15,A1,-0.083717,2.000000,0
20230330T133602,20230509T130346,39.9776,16,A1,0.115712,0.123039,1
20230330T133602,20230509T130346,39.9776,17,A1,0.475377,0.014490,1
20230330T133602,20230509T130346,39.9776,18,A1,0.757085,0.132263,1
20230330T133602,20230509T130346,39.9776,19,A1,0.251995,0.472615,1
20230330T133602,20230509T130346,39.9776,20,A1,0.126675,0.084371,1
20230330T133602,20230509T130346,39.9776,21,A1,0.610042,0.118071,1
20230330T133602,20230509T130346,39.9776,22,A1,0.076620,0.935310,0
20230330T133602,20230509T130346,39.9776,24,A1,0.039382,0.692044,1
20230330T133602,20230509T130346,39.9776,25,A1,0.665356,0.392556,1
20230330T133602,20230509T130346,39.9776,26,A1,0.422005,0.565602,1
20230330T133602,20230509T130346,39.9776,27,A1,0.551700,0.280800,1
20230330T133602,20230509T130346,39.9776,28,A1,0.113702,0.208028,0
20230330T133602,20230509T130346,39.9776,29,A1,0.323959,0.351878,1
20230330T133602,20230509T130346,39.9776,30,A1,-0.011565,0.000000,1
20230330T133602,20230509T130346,39.9776,31,A1,0.015346,2.000000,0
20230330T133602,20230509T130346,39.9776,32,A1,0.184072,0.960660,1
20230330T133602,20230509T130346,39.9776,33,A2,0.291727,0.504341,1
20230330T133602,20230509T130346,39.9776,35,A2,-0.354304,0.149904,1
20230330T133602,20230509T130346,39.9776,36,A2,0.379609,0.407408,1
20230330T133602,20230509T130346,39.9776,37,A2,0.196746,0.224133,0
20230330T133602,20230509T130346,39.9776,38,A2,0.858520,0.467471,1
20230330T133602,20230509T130346,39.9776,39,A2,0.203551,0.648317,1
20230330T133602,20230509T130346,39.9776,40,A2,-0.000641,0.237346,1
20230330T133602,20230509T130346,39.9776,41,A2,0.194586,0.000000,1
20230330T133602,20230509T130346,39.9776,42,A2,0.282271,0.039164,1
20230330T133602,20230509T130346,39.9776,43,A2,0.677790,0.025567,1
20230330T133602,20230509T130346,39.9776,44,A2,0.153193,0.627151,1
20230330T133602,20230509T130346,39.9776,46,A2,-0.389206,1.624215,0
20230330T133602,20230509T130346,39.9776,47,A2,0.343397,0.201354,1
20230330T133602,20230509T130346,39.9776,48,A2,0.123387,0.987675,1
20230330T133602,20230509T130346,39.9776,49,A2,-0.096388,0.425932,0
20230330T133602,20230509T130346,39.9776,50,A2,-0.016192,0.233471,0
20230330T133602,20230509T130346,39.9776,51,A2,-0.250091,0.474053,0
20230330T133602,20230509T130346,39.9776,52,A2,0.197410,0.377954,1
20230330T133602,20230509T130346,39.9776,53,A2,0.362507,0.557433,1
20230330T133602,20230509T130346,39.9776,54,A2,0.121964,0.061857,0
20230330T133602,20230509T130346,39.9776,55,A2,0.437565,0.143038,1
20230330T133602,20230509T130346,39.9776,56,A2,-0.242983,0.000822,1
20230330T133602,20230509T130346,39.9776,57,A2,-0.110631,0.248728,1
20230330T133602,20230509T130346,39.9776,58,A2,-0.003920,0.132975,0
20230330T133602,20230509T130346,39.9776,59,A2,0.455634,0.439055,1
20230330T133602,20230509T130346,39.9776,60,A2,0.013007,0.427802,1
20230330T133602,20230509T130346,39.9776,61,A2,0.702605,0.000000,1
20230330T133602,20230509T130346,39.9776,62,A2,0.451983,1.707731,0
20230330T133602,20230509T130346,39.9776,63,A2,0.175816,0.000000,1
20230330T133602,20230509T130346,39.9776,64,A2,0.233814,0.623188,1
20230330T133602,20230509T130346,39.9776,65,A3,-0.396798,0.734626,1
20230330T133602,20230509T130346,39.9776,66,A3,0.669946,0.666362,1
20230330T133602,20230509T130346,39.9776,68,A3,0.809869,0.278640,1
20230330T133602,20230509T130346,39.9776,69,A3,0.664522,2.000000,0
20230330T133602,20230509T130346,39.9776,70,A3,0.621493,0.701692,1
20230330T133602,20230509T130346,39.9776,71,A3,0.034816,1.132148,0
20230330T133602,20230509T130346,39.9776,73,A3,-0.129582,0.029970,1
20230330T133602,20230509T130346,39.9776,74,A3,-0.230745,0.567616,1
20230330T133602,20230509T130346,39.9776,75,A3,0.619137,0.863182,1
20230330T133602,20230509T130346,39.9776,76,A3,0.814212,0.000000,1
20230330T133602,20230509T130346,39.9776,77,A3,0.144769,0.030946,1
20230330T133602,20230509T130346,39.9776,78,A3,0.361981,0.335977,0
20230330T133602,20230509T130346,39.9776,79,A3,0.435487,0.732300,1
20230330T133602,20230509T130346,39.9776,80,A3,0.292882,0.906049,1
20230330T133602,20230509T130346,39.9776,81,A3,0.280917,0.495859,1
20230330T133602,20230509T130346,39.9776,82,A3,0.638755,0.116377,1
20230330T133602,20230509T130346,39.9776,85,A3,0.911106,0.822077,1
20230330T133602,20230509T130346,39.9776,87,A3,-0.399012,0.342329,1
