channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
1,A1,10,0.013744690297095342,0.06265484424906932,0.7,7,-0.3211661787768137,0.6564392366376354,0.7355030079447574,0.8292940910823422,False,7,False,
3,A1,10,-0.025048724112382206,-0.02138453128865219,0.7,7,0.11841915430021063,0.3440909095272165,0.20138662746146047,0.30420286592394175,False,8,False,
4,A1,10,-0.0064037163002040945,0.012846630945127752,0.6,6,0.006626029160110203,0.18555233854576245,0.11270050407504947,0.19682029715157728,True,10,False,
5,A1,6,0.00976647282474269,-0.0007473299479821072,0.8333333333333334,5,0.28163690854230994,0.26768473069442,0.28854382303587284,0.3304708029390296,False,3,False,
6,A1,10,0.09920547444843483,0.03168473169387034,0.6,6,-0.09489336524624156,0.20967360278224978,0.19522592908946507,0.22966445296525703,False,7,False,
7,A1,7,0.19783465852652876,0.23822337991073192,0.7142857142857143,5,0.5710572696146631,0.45161246858310894,0.7481271349933398,0.6233687092717388,False,6,False,
8,A1,9,0.0011692287597709263,-4.2441137722908486e-05,0.5555555555555556,5,0.13395553197075838,0.7431189679055681,1.0,0.8834857912199039,False,6,False,
9,A1,10,0.30285517376553645,0.2133315672417276,0.6,6,0.10518067476155366,0.6108880851943367,0.41416800827082556,0.6955741631339849,True,10,False,
10,A1,10,0.20371503061816446,0.18259298182687075,0.6,6,0.007094091491174614,0.4962966490994091,0.1980762295866879,0.503792980197892,True,10,False,
11,A1,10,0.5132046711847096,0.4268795993909538,0.7,7,0.10388819336185713,0.19418276649624056,0.13987335424079816,0.21371036813813582,True,10,True,8
12,A1,10,0.23170706684894332,0.2625966211773356,0.6,6,0.08202461694696375,0.6176173102309206,0.4008900840431684,0.8017801680863368,True,10,False,
13,A1,10,0.3968801040394108,0.40348188192341267,0.6,6,0.14763286260936798,0.3129082668385499,0.0773650608275853,0.163846406684258,True,10,False,
14,A1,10,0.0839277600721355,0.06812152344488101,0.8,8,0.2618850978303878,0.30776184533921186,0.18699331846663914,0.2528329234860684,False,8,False,
15,A1,10,0.5105998784414361,0.32953699031939454,0.7,7,-0.19613038370894492,0.5828215713604604,0.5951044889739394,0.6965886321118784,True,10,False,
16,A1,8,0.4546674573707382,0.3062552756801756,0.875,7,0.477250641798615,0.38297871519626103,0.47818524159195563,0.45812403837524096,True,8,False,
17,A1,10,0.2700257588446862,0.21616781659478534,0.6,6,0.011804802311008791,0.22532841217298233,0.26241755811343526,0.2520795173194812,True,10,False,
18,A1,10,0.10822078420640095,0.13851344925150455,0.6,6,0.04006277253828204,0.7957614512649025,1.0,0.8838940133009542,True,10,False,
19,A1,10,0.3028688275936981,0.2506992650392502,1.0,10,0.3971438027095514,0.3365606898781963,0.22269486609188383,0.3492327182971515,True,10,False,
20,A1,9,0.4749785100612294,0.36131178787628176,0.8888888888888888,8,-0.5542347803052973,0.4036370829678094,0.47693297202765317,0.5230670279723468,True,9,False,
21,A1,10,0.44425082031637714,0.3554602943628017,0.5,5,0.14920943968364753,0.2831329232651319,0.3002305356820355,0.3190309325392251,True,10,False,
22,A1,10,0.5270120885514934,0.4056730117655416,0.8,8,-0.34845231913284425,0.4918079988887566,0.5039681128451124,0.5167526986273576,True,10,True,
23,A1,9,0.1995059738899882,0.10913835020192489,0.6666666666666666,6,-0.040713048905516525,0.48444092036400455,0.38452486392085367,0.4591136999287039,True,9,False,
24,A1,10,0.24579314420361809,0.13554749048715917,0.9,9,-0.1379144266386858,0.17415442261324343,0.18057805612641925,0.17906142024427332,True,10,False,7
25,A1,9,0.5547558201903385,0.4935314662404667,0.7777777777777778,7,0.5542479302704474,0.599855845214795,0.9282346660206461,0.6661031993866595,True,9,True,
26,A1,10,0.321686080627673,0.2784069327185907,0.7,7,0.048223875742389,0.16188696288539725,0.12792510698609558,0.19635308456570416,True,10,False,9
27,A1,10,0.33731399365274156,0.17843190892858118,0.5,5,0.14136546605752778,0.6137974602072901,0.5131384555209512,0.6839329610433922,True,10,False,
28,A1,10,0.11637606272704594,0.06874744049775568,0.5,5,0.12326306563725162,0.2347251324959316,0.10050335291740589,0.264051640193184,False,8,False,
29,A1,10,0.5472573494943527,0.4706289711454159,0.6,6,0.018875615975620406,0.45701554106296455,0.15076743003589638,0.48527226602365103,True,10,False,
30,A1,10,0.5514273457124835,0.306360043986512,1.0,10,0.8296225023954052,0.27325013127878117,1.0,0.30566411421708084,True,10,False,2
31,A1,10,0.5727047486415008,0.20332062286321254,0.8,8,-0.2685898196795645,0.3694953338221834,0.3225979926062398,0.402679580639086,True,10,False,
