session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20230330T133602,20230413T142422,14.0336,1,A1,0.131349,0.113734,1
20230330T133602,20230413T142422,14.0336,3,A1,0.053239,0.225435,0
20230330T133602,20230413T142422,14.0336,4,A1,0.102829,0.062177,0
20230330T133602,20230413T142422,14.0336,6,A1,0.051361,0.174696,1
20230330T133602,20230413T142422,14.0336,7,A1,0.915716,0.251873,1
20230330T133602,20230413T142422,14.0336,8,A1,-0.196565,0.404525,0
20230330T133602,20230413T142422,14.0336,9,A1,0.160226,0.128789,1
20230330T133602,20230413T142422,14.0336,10,A1,0.428559,0.139036,1
20230330T133602,20230413T142422,14.0336,11,A1,0.675323,0.213710,0
20230330T133602,20230413T142422,14.0336,12,A1,0.090780,0.534233,1
20230330T133602,20230413T142422,14.0336,13,A1,0.307056,0.953269,1
20230330T133602,20230413T142422,14.0336,14,A1,-0.151883,0.133441,0
20230330T133602,20230413T142422,14.0336,15,A1,0.818151,0.163147,1
20230330T133602,20230413T142422,14.0336,16,A1,0.040250,0.143823,0
20230330T133602,20230413T142422,14.0336,17,A1,-0.058589,0.173551,1
20230330T133602,20230413T142422,14.0336,18,A1,0.258365,0.883894,1
20230330T133602,20230413T142422,14.0336,19,A1,0.229250,0.192819,1
20230330T133602,20230413T142422,14.0336,20,A1,0.021018,0.308314,1
20230330T133602,20230413T142422,14.0336,21,A1,0.194596,0.559723,0
20230330T133602,20230413T142422,14.0336,22,A1,0.208840,0.516753,0
20230330T133602,20230413T142422,14.0336,24,A1,-0.128973,0.263571,0
20230330T133602,20230413T142422,14.0336,25,A1,0.660525,0.598983,1
20230330T133602,20230413T142422,14.0336,26,A1,0.331309,0.283139,0
20230330T133602,20230413T142422,14.0336,27,A1,-0.148140,0.337873,0
20230330T133602,20230413T142422,14.0336,28,A1,0.375313,0.023411,1
20230330T133602,20230413T142422,14.0336,29,A1,0.181776,0.083198,1
20230330T133602,20230413T142422,14.0336,30,A1,0.554744,0.305664,1
20230330T133602,20230413T142422,14.0336,31,A1,0.476626,0.250406,1
20230330T133602,20230413T142422,14.0336,33,A2,0.045141,0.072423,1
20230330T133602,20230413T142422,14.0336,35,A2,0.356161,0.554817,1
20230330T133602,20230413T142422,14.0336,36,A2,0.446601,0.949890,1
20230330T133602,20230413T142422,14.0336,37,A2,-0.258456,1.556839,0
20230330T133602,20230413T142422,14.0336,38,A2,0.972168,0.452462,1
20230330T133602,20230413T142422,14.0336,39,A2,0.125852,0.711053,0
20230330T133602,20230413T142422,14.0336,40,A2,0.087951,1.007597,0
20230330T133602,20230413T142422,14.0336,41,A2,0.142245,0.447955,0
20230330T133602,20230413T142422,14.0336,42,A2,0.166218,0.159966,0
20230330T133602,20230413T142422,14.0336,43,A2,0.227624,0.355354,0
20230330T133602,20230413T142422,14.0336,44,A2,0.086214,0.348926,0
20230330T133602,20230413T142422,14.0336,46,A2,-0.051006,0.341766,1
20230330T133602,20230413T142422,14.0336,47,A2,0.534049,0.079687,1
20230330T133602,20230413T142422,14.0336,48,A2,0.558194,0.166661,1
20230330T133602,20230413T142422,14.0336,49,A2,-0.291052,0.076963,0
20230330T133602,20230413T142422,14.0336,50,A2,0.014030,0.923909,1
20230330T133602,20230413T142422,14.0336,51,A2,0.013919,0.228607,0
20230330T133602,20230413T142422,14.0336,52,A2,0.560733,0.232035,1
20230330T133602,20230413T142422,14.0336,53,A2,0.305548,0.396376,1
20230330T133602,20230413T142422,14.0336,54,A2,0.411648,0.509371,0
20230330T133602,20230413T142422,14.0336,55,A2,0.073839,0.455904,0
20230330T133602,20230413T142422,14.0336,56,A2,0.060156,0.196634,1
20230330T133602,20230413T142422,14.0336,57,A2,0.061606,0.592210,1
20230330T133602,20230413T142422,14.0336,58,A2,-0.182977,0.814111,0
20230330T133602,20230413T142422,14.0336,59,A2,0.020731,0.472928,0
20230330T133602,20230413T142422,14.0336,60,A2,0.280298,0.071672,0
20230330T133602,20230413T142422,14.0336,62,A2,0.823197,0.311542,1
20230330T133602,20230413T142422,14.0336,63,A2,0.545496,0.181658,0
20230330T133602,20230413T142422,14.0336,64,A2,0.398586,0.241821,0
20230330T133602,20230413T142422,14.0336,65,A3,-0.321693,1.070496,0
20230330T133602,20230413T142422,14.0336,66,A3,0.706186,0.000000,1
20230330T133602,20230413T142422,14.0336,68,A3,0.917841,1.636180,0
20230330T133602,20230413T142422,14.0336,69,A3,0.890143,0.091131,1
20230330T133602,20230413T142422,14.0336,70,A3,0.499786,0.064227,1
20230330T133602,20230413T142422,14.0336,71,A3,0.658789,0.597272,1
20230330T133602,20230413T142422,14.0336,73,A3,0.207575,0.242616,0
20230330T133602,20230413T142422,14.0336,74,A3,0.058431,0.259226,0
20230330T133602,20230413T142422,14.0336,75,A3,0.576434,0.718374,1
20230330T133602,20230413T142422,14.0336,76,A3,0.940021,0.216522,1
20230330T133602,20230413T142422,14.0336,77,A3,0.409827,1.018125,0
20230330T133602,20230413T142422,14.0336,78,A3,0.721659,0.448584,0
20230330T133602,20230413T142422,14.0336,79,A3,0.895918,0.000000,1
20230330T133602,20230413T142422,14.0336,80,A3,0.419874,0.642765,1
20230330T133602,20230413T142422,14.0336,81,A3,0.523061,0.302823,1
20230330T133602,20230413T142422,14.0336,82,A3,0.694836,0.191305,1
20230330T133602,20230413T142422,14.0336,85,A3,0.894005,0.014810,1
20230330T133602,20230413T142422,14.0336,87,A3,-0.116212,1.303064,0
20230330T133602,20230413T142422,14.0336,88,A3,0.053544,0.554812,0
20230330T133602,20230413T142422,14.0336,89,A3,0.614786,0.955666,1
20230330T133602,20230413T142422,14.0336,90,A3,0.727894,0.263121,1
20230330T133602,20230413T142422,14.0336,91,A3,0.298105,2.000000,0
20230330T133602,20230413T142422,14.0336,92,A3,0.100542,0.093181,0
20230330T133602,20230413T142422,14.0336,93,A3,0.169849,0.150088,1
20230330T133602,20230413T142422,14.0336,94,A3,0.223850,0.717504,1
20230330T133602,20230413T142422,14.0336,95,A3,0.581545,0.986426,1
20230330T133602,20230413T142422,14.0336,96,A3,-0.831710,0.078087,1
20230330T133602,20230413T142422,14.0336,130,A5,0.754947,0.324063,1
20230330T133602,20230413T142422,14.0336,132,A5,0.951659,0.193842,1
20230330T133602,20230413T142422,14.0336,133,A5,0.056511,0.397244,1
20230330T133602,20230413T142422,14.0336,134,A5,0.317635,0.211816,0
20230330T133602,20230413T142422,14.0336,135,A5,0.209993,0.225387,1
20230330T133602,20230413T142422,14.0336,136,A5,-0.096629,0.119676,1
20230330T133602,20230413T142422,14.0336,137,A5,0.123728,0.276630,1
20230330T133602,20230413T142422,14.0336,138,A5,0.023530,0.496345,0
20230330T133602,20230413T142422,14.0336,139,A5,0.179802,0.387708,0
20230330T133602,20230413T142422,14.0336,140,A5,0.775226,0.000000,1
20230330T133602,20230413T142422,14.0336,143,A5,0.238894,1.168305,0
20230330T133602,20230413T142422,14.0336,144,A5,-0.061035,0.795641,1
20230330T133602,20230413T142422,14.0336,145,A5,0.286020,0.053632,1
20230330T133602,20230413T142422,14.0336,146,A5,0.800603,0.521456,1
20230330T133602,20230413T142422,14.0336,147,A5,0.076934,0.689197,1
20230330T133602,20230413T142422,14.0336,148,A5,0.472469,0.051833,1
20230330T133602,20230413T142422,14.0336,149,A5,0.302341,0.069673,1
20230330T133602,20230413T142422,14.0336,150,A5,0.177159,0.619343,0
20230330T133602,20230413T142422,14.0336,151,A5,-0.089689,0.455357,0
20230330T133602,20230413T142422,14.0336,152,A5,0.099426,1.124034,0
20230330T133602,20230413T142422,14.0336,153,A5,0.232257,0.622566,0
20230330T133602,20230413T142422,14.0336,154,A5,-0.070733,1.271340,0
20230330T133602,20230413T142422,14.0336,156,A5,-0.119538,0.031188,0
20230330T133602,20230413T142422,14.0336,157,A5,0.095282,0.069204,1
20230330T133602,20230413T142422,14.0336,158,A5,0.166702,0.891751,1
20230330T133602,20230413T142422,14.0336,160,A5,0.069665,0.337948,1
20230330T133602,20230505T123505,35.9577,1,A1,-0.073879,0.661063,0
20230330T133602,20230505T123505,35.9577,3,A1,0.003633,0.386891,1
20230330T133602,20230505T123505,35.9577,4,A1,0.255824,0.277044,1
20230330T133602,20230505T123505,35.9577,5,A1,-0.136137,0.353757,0
20230330T133602,20230505T123505,35.9577,6,A1,0.305336,0.212422,0
20230330T133602,20230505T123505,35.9577,8,A1,0.204752,1.283079,0
20230330T133602,20230505T123505,35.9577,9,A1,0.219656,0.655122,0
20230330T133602,20230505T123505,35.9577,10,A1,0.499921,0.932038,1
20230330T133602,20230505T123505,35.9577,11,A1,0.364736,0.436490,0
20230330T133602,20230505T123505,35.9577,12,A1,0.098989,0.801780,0
20230330T133602,20230505T123505,35.9577,13,A1,0.442851,1.077675,0
20230330T133602,20230505T123505,35.9577,14,A1,0.039494,0.060166,1
20230330T133602,20230505T123505,35.9577,15,A1,-0.177917,1.246204,0
20230330T133602,20230505T123505,35.9577,16,A1,0.277723,0.632783,1
20230330T133602,20230505T123505,35.9577,17,A1,-0.441491,0.587020,0
20230330T133602,20230505T123505,35.9577,18,A1,0.065397,0.538739,1
20230330T133602,20230505T123505,35.9577,19,A1,0.101416,0.142953,1
20230330T133602,20230505T123505,35.9577,20,A1,0.210860,0.975824,1
20230330T133602,20230505T123505,35.9577,21,A1,0.447479,0.864047,0
20230330T133602,20230505T123505,35.9577,22,A1,-0.105700,1.043336,0
20230330T133602,20230505T123505,35.9577,24,A1,0.313446,0.652114,0
20230330T133602,20230505T123505,35.9577,25,A1,0.079251,1.532817,0
20230330T133602,20230505T123505,35.9577,26,A1,0.231898,0.058294,0
20230330T133602,20230505T123505,35.9577,27,A1,-0.174000,0.196700,1
20230330T133602,20230505T123505,35.9577,28,A1,-0.092019,0.712198,0
20230330T133602,20230505T123505,35.9577,29,A1,0.240609,0.346503,0
20230330T133602,20230505T123505,35.9577,30,A1,0.053564,0.782143,1
