channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,9,0.3378660096322885,0.39983860312505093,0.7812502955054448,0.3378660096322885,-0.17070590891765777,0.002930644157523126,0.9799755755691771,0.186032368040579,0.17949008442199,6,3,0,6,0.6666666666666666,0.25,0.9375
3,A1,0,9,0.009506393990645012,-0.031633336636598175,0.6137355027036785,0.009506393990645012,0.05336241581974459,0.04632879379198363,0.1942115916347112,0.16713507358582552,0.15302107780781332,5,4,0,3,0.3333333333333333,1.0,1.0
4,A1,0,9,-0.07633199682813847,-0.06740890198160462,0.15183711760438584,0.07633199682813847,-0.01946226929399607,-0.03758656345812851,0.09605749086825191,0.04566056241671627,0.28313791388854603,4,5,0,5,0.5555555555555556,0.359375,0.9510498046875
5,A1,0,5,-0.03574683948249513,0.01780982535947102,0.4250457066568092,0.03574683948249513,0.3897252687217723,0.6050903736126261,0.3897252687217723,0.6050903736126261,0.09980451807732088,2,3,0,1,0.2,1.0,1.0
6,A1,0,9,0.11577666789784288,0.06258106267717405,0.23907152998081488,0.11577666789784288,-0.11241445417404197,-0.008575194157955256,0.19627180596384805,0.015483345674756685,-0.014920567204117302,6,3,0,3,0.3333333333333333,0.49609375,1.0
7,A1,0,7,-0.3049002563692486,-0.1914379889198848,0.9158727816878413,0.3049002563692486,0.7481271349933398,0.4432268786240912,0.7481271349933398,0.6617921702215623,0.11974319208919938,2,4,1,4,0.5714285714285714,0.84375,1.0
8,A1,0,8,-0.16032532763119667,0.033190944187001345,0.9085156715001173,0.16032532763119667,0.21931410264850887,0.3999457045204797,0.6415393212874886,0.6694527504080059,-8.603487506494288e-05,2,6,0,2,0.25,0.546875,1.0
9,A1,0,9,0.10656623687268403,0.16301941368264072,0.5309560274169737,0.10656623687268403,0.1443304546209911,0.15586161235924328,0.3044258368660151,0.15586161235924328,0.28194085008569925,5,3,1,3,0.3333333333333333,0.546875,1.0
10,A1,0,9,0.07439626587089716,0.025870181018806646,0.6073372296326855,0.07439626587089716,-0.013219639516301458,0.06768012265936527,0.18134124129304136,0.22401515856916068,0.0779549819123018,5,4,0,5,0.5555555555555556,0.8203125,1.0
11,A1,0,9,0.6400471597132921,0.5665759200406142,0.37605949186563675,0.6400471597132921,0.13551225269523864,0.7773246015460261,0.13551225269523864,0.7773246015460261,0.6016785707327456,8,1,0,2,0.2222222222222222,0.01171875,0.517578125
12,A1,0,9,0.3174772855596243,0.13496480790978838,0.9321764746801157,0.3174772855596243,0.13216469031903808,0.3238204210394,0.5405760427901913,0.4498875241468387,0.13435856178133382,5,4,0,4,0.4444444444444444,0.8203125,1.0
13,A1,0,9,0.10195888814282474,0.1288533860726394,0.5281275788380005,0.10195888814282474,0.06264388262362196,0.2090176022072465,0.07705522024981562,0.2090176022072465,0.5022607879459219,7,2,0,4,0.4444444444444444,0.30078125,0.9375
14,A1,0,9,-0.18873852929070722,-0.18989448082496063,0.3978566807408103,0.18873852929070722,0.2168199834384125,0.044495632126605844,0.2168199834384125,0.13766709524139145,0.1658318952882764,3,6,0,4,0.4444444444444444,0.203125,0.86953125
15,A1,0,9,0.0,0.11922833448146315,0.61021576468462,0.0,-0.4475723648309976,-0.5694492771068206,0.586075472904494,1.0,0.7651216165832156,4,4,1,2,0.2222222222222222,0.84375,1.0
16,A1,0,7,0.3767944991961363,0.07095279065138425,0.6086157349588501,0.3767944991961363,0.40336684989162075,0.489625729347568,0.40336684989162075,0.489625729347568,0.2506827366613574,4,3,0,1,0.14285714285714285,0.8125,1.0
17,A1,0,9,-0.1142449560160661,0.09072422684670395,0.5787136127427729,0.1142449560160661,0.07654421748389731,0.03794303845055227,0.2564137793505226,0.2824794145061277,0.36140448468378256,3,6,0,5,0.5555555555555556,1.0,1.0
18,A1,0,9,0.0,0.2524142026620788,0.8072507597521789,0.0,0.11610598669904584,0.052656615833505595,1.0,0.24313501327135706,0.4130985770361968,3,4,2,3,0.3333333333333333,0.6875,1.0
19,A1,0,9,-0.3924597837404815,-0.35809798426407374,0.6257749957299829,0.3924597837404815,0.24762784655966544,0.03713192614753765,0.24762784655966544,0.1448319371808161,0.3700054590982488,1,8,0,3,0.3333333333333333,0.0546875,0.54345703125
20,A1,0,8,-0.01327271074577272,0.16070021960239889,0.4591683362315789,0.01327271074577272,-0.4047118229669322,-0.5491490411722004,0.4047118229669322,0.5755443532161405,0.5144670297030114,2,5,1,1,0.125,0.9375,1.0
21,A1,0,9,0.06191236574042064,0.16744489006084276,0.5839187393103247,0.06191236574042064,0.29339305292095386,0.17595190040136593,0.29339305292095386,0.59693661017078,0.5761998278424014,6,3,0,3,0.3333333333333333,0.49609375,1.0
22,A1,0,9,0.3069271726864262,0.2255573717758426,0.6979495217709162,0.3069271726864262,-0.3432409670401119,-0.2133227333825053,0.4876863196212934,0.3047583212510823,0.4895479692464233,5,3,1,4,0.4444444444444444,0.4609375,1.0
23,A1,0,8,0.23520376394356327,0.23753522521532588,0.4930518189015732,0.23520376394356327,0.2121539935355423,0.09175290473839522,0.36926269044142956,0.15628609815518338,0.30491792447539323,4,4,0,2,0.25,0.3125,0.9375
24,A1,0,9,0.023850994364235045,0.10832113089218927,0.616781896541065,0.023850994364235045,-0.15498007020863092,-0.0288349370051703,0.16638641938234391,0.28711309033843585,0.020638868559594903,6,3,0,3,0.3333333333333333,0.65234375,1.0
25,A1,0,8,0.02383905069454284,0.05728198094288729,0.3375896181603994,0.02383905069454284,0.9402782823157803,1.0,0.9402782823157803,1.0,0.6141872107620321,4,2,2,2,0.25,0.84375,1.0
26,A1,0,9,-0.0025246827734811753,0.04287349765221697,0.4320564504603257,0.0025246827734811753,0.059535621568771825,0.05220978622391775,0.16300040708948904,0.17898653602516224,0.3070775406686054,4,5,0,3,0.3333333333333333,0.91015625,1.0
27,A1,0,9,0.08924459076642922,0.22576224786181143,0.45203725836605124,0.08924459076642922,0.3160670389566078,0.7081301503850954,0.6051142816793477,1.0,0.5137908087455121,5,2,2,2,0.2222222222222222,0.21875,0.86953125
28,A1,0,9,0.007645397029542977,0.14047114003619315,0.38331274143988575,0.007645397029542977,-3.586748342704177e-05,0.10177679500496042,0.09089309657365258,0.10177679500496042,0.3177606726046831,7,2,0,3,0.3333333333333333,0.30078125,0.9375
29,A1,0,9,0.04101882590637157,0.003293891678185723,0.6993670258177451,0.04101882590637157,0.10337526667192311,0.06079770031261681,0.1812097658636979,0.11945098224585146,0.3748704494971222,5,4,0,7,0.7777777777777778,1.0,1.0
30,A1,0,9,0.0,0.06225904316280225,0.2592852436867224,0.0,1.0,1.0,1.0,1.0,0.6715504928943083,2,2,5,0,0.0,1.0,1.0
31,A1,0,9,0.13542485404400614,0.0003648059571552984,0.6214083766703158,0.13542485404400614,-0.3173966260753445,-0.278533117518967,0.327799359137135,0.5546099985671549,0.5665264771232305,5,4,0,2,0.2222222222222222,0.734375,1.0
32,A1,0,8,0.03803635427893737,0.15781054665497776,0.24533506143472908,0.03803635427893737,0.9299086147633197,1.0,0.9299086147633197,1.0,0.7154915363980742,5,1,2,1,0.125,0.0625,0.5520833333333334
33,A2,1,9,0.062419608150623855,0.06830004331973745,0.7107739419944015,0.062419608150623855,0.08391631853801007,0.10634526479762664,0.32839615946722484,0.12651434024696626,0.09579301658720454,5,4,0,6,0.6666666666666666,0.734375,1.0
34,A2,1,4,-0.15473204169822533,-0.22065024961881102,0.3892917446447908,0.15473204169822533,0.18002836289927251,0.025296321201047207,0.2621675126203689,0.025296321201047207,0.037496637746242824,2,2,0,3,0.75,0.625,1.0
35,A2,1,6,0.30926603648921563,0.23525971052962555,0.41496324404092605,0.30926603648921563,-0.4499358164799527,-0.2123388491895588,0.4499358164799527,0.31113670607936117,0.11040343140113336,4,2,0,2,0.3333333333333333,0.21875,0.86953125
36,A2,1,8,-0.08455583528972394,-0.030405581406798873,0.586591503446594,0.08455583528972394,0.0468202875573291,0.15333047761866303,0.38219261092288015,0.43037648878848056,0.23039436148387826,4,4,0,1,0.125,1.0,1.0
37,A2,1,9,-0.03397074694786832,-0.09096983531871651,0.771306735149094,0.03397074694786832,0.061288294709387035,-0.025973557954496886,0.19894921422358453,0.03498470687304246,-0.024782108242305596,4,5,0,2,0.2222222222222222,0.91015625,1.0
38,A2,1,7,-0.02719998217987185,-0.07559639974532519,0.3256117893934255,0.02719998217987185,1.0,0.9728000178201281,1.0,0.9728000178201281,0.8069592291285885,1,4,2,0,0.0,0.4375,1.0
39,A2,1,9,0.0,0.06320346115267718,0.9194699761652235,0.0,-0.08902503723989996,0.03727765236818201,0.9429559419844687,0.4867166669673763,0.2151420641013199,4,4,1,5,0.5555555555555556,0.7421875,1.0
40,A2,1,9,0.0,-0.07318717845375766,0.749091563677202,0.0,0.027523794016834927,0.0864139658813562,0.7420155276740474,0.44311115130809836,0.14179678993607128,4,4,1,3,0.3333333333333333,0.9453125,1.0
41,A2,1,9,-0.9219655400026957,-0.5616981241253572,0.754943909676283,0.9219655400026957,0.8052898628492666,0.03921990284825781,0.8052898628492666,0.5365636002539731,-0.037434521185230406,2,6,1,4,0.4444444444444444,0.078125,0.62109375
42,A2,1,9,0.0,-0.1777203001437524,0.5100969792689619,0.0,-0.002475684275490902,-0.00886336405992146,0.31575021854486207,0.08234968142487203,0.11769548065370565,4,4,1,4,0.4444444444444444,0.640625,1.0
43,A2,1,9,-0.31259705890464423,-0.3265326097323042,0.47605543438836573,0.31259705890464423,0.3375204880432161,0.2620407595352892,0.3375204880432161,0.2620407595352892,0.1536572827563048,3,6,0,3,0.3333333333333333,0.09765625,0.7393973214285714
44,A2,1,9,0.0,0.048622668164264,0.6527972987934824,0.0,0.11617596851198334,0.2036118455111728,0.28202756263269413,0.2036118455111728,0.008313628376788196,3,4,2,3,0.3333333333333333,0.9375,1.0
45,A2,1,8,0.4813938473246438,0.6216678954677173,1.0171038933171839,0.4813938473246438,-0.7817050876867637,0.015465796885123501,0.9608483304194768,0.31273967625146587,0.05376066461633732,7,1,0,5,0.625,0.109375,0.7561141304347826
