channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
1,A1,9,0.14086915683879017,0.030207806838404714,0.5555555555555556,5,0.09754623118640662,0.3408557590445019,0.186032368040579,0.3204343023743687,False,5,False,
3,A1,9,0.11018222870243381,0.024851297325386795,0.6666666666666666,6,0.1464006378593282,0.5702741488822543,0.16713507358582552,0.7841195455928769,False,7,False,
4,A1,9,0.019751659687431044,0.017999730670543515,0.6666666666666666,6,-0.027101455736281612,0.0797796832417252,0.04566056241671627,0.06840377636003876,False,6,False,
5,A1,5,-0.018310928820211243,0.0318859701477198,0.8,4,0.39324659108023763,0.43377110257666246,0.6050903736126261,0.49757287861235,False,2,False,
6,A1,9,-0.06413950659342174,-0.01271536883333166,0.6666666666666666,6,-0.02141843638611913,0.08051456522970832,0.015483345674756685,0.03649277232415142,False,3,False,
7,A1,7,0.06563467895285363,0.04385901438272308,0.7142857142857143,5,0.37961928069477835,0.6016463617599026,0.6617921702215623,0.7291297344290814,False,4,False,
8,A1,8,0.027374526282480896,0.0018109681171976884,0.875,7,0.30889091765410454,0.6017703215121352,0.6694527504080059,0.6471727965371512,False,2,False,
9,A1,9,0.2458701911229758,0.23985962474922431,0.7777777777777778,7,0.3509512960543413,0.355095448164056,0.15586161235924328,0.39757269483029345,False,7,False,
10,A1,9,0.09380060928060294,0.052761879556680435,0.5555555555555556,5,0.13878110225525683,0.5643608198276338,0.22401515856916068,0.6798920658664538,False,7,False,
11,A1,9,0.40773683490722434,0.28720112392769453,1.0,9,0.7144800585191823,0.3012693981996714,0.7773246015460261,0.378937723370359,True,9,False,
12,A1,9,0.2871594433819292,0.14444316019751582,0.6666666666666666,6,0.2551259517726532,0.5473180733914698,0.4498875241468387,0.5829918571296759,False,8,False,
13,A1,9,0.2747803965426621,0.26062656546530555,0.8888888888888888,8,0.3015204446836432,0.33876008265492896,0.2090176022072465,0.25201354207922977,False,8,False,
14,A1,9,0.09601461815129647,0.0951057083616916,0.6666666666666666,6,0.10222376099031087,0.2013114202406264,0.13766709524139145,0.21296357008796318,False,7,False,
15,A1,9,0.4531514517934373,0.2995020678923054,0.5555555555555556,5,-0.16582025908885178,0.8608316092347098,1.0,1.3232581112069877,False,8,False,
16,A1,7,0.2299794111349883,0.21709315447690902,0.7142857142857143,5,0.5185151284232443,0.4810614851917532,0.489625729347568,0.5709193852407125,False,5,False,
17,A1,9,0.16501803127736964,0.10563436986919908,0.5555555555555556,5,0.13502659952978063,0.5120943004087889,0.2824794145061277,0.5290001809543601,False,8,False,
18,A1,9,0.17189216552981898,0.15098855534870176,0.6666666666666666,6,0.24567712083362217,0.5140642729278547,0.24313501327135706,0.6425289674080907,False,8,False,
19,A1,9,0.3115884357046043,0.2713012316123559,0.6666666666666666,6,0.06119936478830537,0.5041294477243419,0.1448319371808161,0.4814340369262312,True,9,False,
20,A1,8,-0.034190277921042914,0.0056669730653251885,0.75,6,-0.3378139082410606,0.6153016632256821,0.5755443532161405,0.5417370941706722,True,8,False,
21,A1,9,0.28856566479234125,0.20862785810958884,0.6666666666666666,6,0.3741890978328325,0.5936652902001195,0.59693661017078,0.8240480995986341,False,8,False,
22,A1,9,0.21449023643574044,0.20181568942570338,0.5555555555555556,5,-0.09987299213442524,0.5242529784450618,0.3047583212510823,0.5515718469179802,False,7,False,
23,A1,8,0.09144141431360797,0.1107893496284239,0.75,6,0.2705666981152139,0.41259644350943964,0.15628609815518338,0.3597760596802752,False,5,False,
24,A1,9,0.05421554019788131,0.03717985831277202,0.5555555555555556,5,0.00017295620471190519,0.590588934185536,0.28711309033843585,0.7161065476437989,False,7,False,
25,A1,8,0.4704135673463333,0.27322110792466825,0.875,7,0.7731636843207728,0.3545655586147503,1.0,0.336521044952097,True,8,False,
26,A1,9,0.26129617136490213,0.16399441530541414,0.5555555555555556,5,0.09462791694889884,0.39868362164784066,0.17898653602516224,0.3645251005689434,False,8,False,
27,A1,9,0.2698354897409084,0.19894690176155055,0.7777777777777778,7,0.4071134718612632,0.6875324848344553,1.0,0.6872909778309146,False,8,False,
28,A1,9,0.026958686773091736,0.02016372825509919,0.7777777777777778,7,0.2057949916575097,0.3152689089087492,0.10177679500496042,0.21923716233335394,False,5,False,
29,A1,9,0.009403026742304702,0.04130718641836834,0.5555555555555556,5,0.03338848956823989,0.4870755044866962,0.11945098224585146,0.2782320438155693,True,9,False,
30,A1,9,0.11318685579732803,0.13976774682992762,1.0,9,0.8729507124910303,0.21426830180226475,1.0,0.11249676269399167,True,9,False,1
31,A1,9,0.18051480377624296,0.1305222681912284,0.7777777777777778,7,-0.2684999355084568,0.5500473226797415,0.5546099985671549,0.6711006249430442,True,9,False,
32,A1,8,0.34925501100933753,0.3088000042239657,1.0,8,0.794197375528532,0.3580754379961999,1.0,0.0,False,7,False,
33,A2,9,-0.08010332715667642,-0.038873885452526305,0.7777777777777778,7,0.15990502109346164,0.5418311959367581,0.12651434024696626,0.6085163509628703,False,2,False,
