session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20230330T133602,20230413T142422,14.0336,1,A1,-0.304697,0.013865,1
20230330T133602,20230413T142422,14.0336,3,A1,-0.063041,1.167135,0
20230330T133602,20230413T142422,14.0336,4,A1,-0.121107,0.004191,1
20230330T133602,20230413T142422,14.0336,6,A1,-0.232401,0.071349,1
20230330T133602,20230413T142422,14.0336,7,A1,0.351533,0.556773,1
20230330T133602,20230413T142422,14.0336,8,A1,0.184983,1.219749,0
20230330T133602,20230413T142422,14.0336,9,A1,-0.159233,0.181776,0
20230330T133602,20230413T142422,14.0336,10,A1,0.224970,0.886098,0
20230330T133602,20230413T142422,14.0336,11,A1,0.723905,0.029351,1
20230330T133602,20230413T142422,14.0336,12,A1,0.262752,0.371364,0
20230330T133602,20230413T142422,14.0336,13,A1,0.276814,0.127871,1
20230330T133602,20230413T142422,14.0336,14,A1,0.404444,0.336125,1
20230330T133602,20230413T142422,14.0336,15,A1,0.583735,0.000000,1
20230330T133602,20230413T142422,14.0336,16,A1,0.189822,0.708378,0
20230330T133602,20230413T142422,14.0336,17,A1,0.139748,0.600331,0
20230330T133602,20230413T142422,14.0336,18,A1,0.398685,0.083279,0
20230330T133602,20230413T142422,14.0336,19,A1,0.201901,1.144832,0
20230330T133602,20230413T142422,14.0336,20,A1,-0.270547,0.546182,1
20230330T133602,20230413T142422,14.0336,21,A1,-0.406796,0.000000,1
20230330T133602,20230413T142422,14.0336,22,A1,-0.434542,0.486774,0
20230330T133602,20230413T142422,14.0336,24,A1,-0.011831,0.546906,0
20230330T133602,20230413T142422,14.0336,25,A1,0.308948,1.064379,0
20230330T133602,20230413T142422,14.0336,26,A1,0.156823,1.491186,0
20230330T133602,20230413T142422,14.0336,27,A1,0.284706,0.694939,0
20230330T133602,20230413T142422,14.0336,28,A1,-0.104299,0.091413,0
20230330T133602,20230413T142422,14.0336,29,A1,0.051911,0.311835,0
20230330T133602,20230413T142422,14.0336,30,A1,0.456764,0.600299,1
20230330T133602,20230413T142422,14.0336,31,A1,0.595626,0.395433,1
20230330T133602,20230413T142422,14.0336,33,A2,-0.242658,2.000000,0
20230330T133602,20230413T142422,14.0336,35,A2,0.153985,0.000121,1
