rank,list,channel,array_name,delta_si_median,delta_si_median_abs,qualifying_conditions,si_a_median_abs,si_b_median_abs,waveform_r_median,sign_flip_rate,n_matched_sessions
1,different10,47,A2,1.3557246853930345,1.3557246853930345,AgoB+BgoA,0.7901198618309346,0.830583009541857,0.19023621421439313,1.0,10
2,different10,77,A3,-0.7433120252449766,0.7433120252449766,BgoA,0.4103051736044585,0.6497111991008852,0.6427520783334637,0.6,10
3,different10,69,A3,-0.4980032842431267,0.4980032842431267,BgoA,0.30021614772789174,1.0,0.6075774824799836,0.4,10
4,different10,22,A1,-0.4310490745650097,0.4310490745650097,BgoA,0.44006514936181385,0.5039681128451124,0.7194329071977754,0.4,10
5,different10,78,A3,-0.31961218657898693,0.31961218657898693,AgoB,0.4953289009736883,0.22429179293322443,0.6305971625748197,0.3,10
6,different10,146,A5,-0.30454239537966765,0.30454239537966765,AgoB+BgoA,0.23756439650964262,0.48066476617721043,0.8591218188675454,0.3,10
7,different10,63,A2,-0.24633513301579568,0.24633513301579568,AgoB,0.4703667536853734,0.09082879021469076,0.39454184453341423,0.2,10
8,different10,70,A3,-0.24537144324362112,0.24537144324362112,AgoB+BgoA,0.6993882565485456,0.24558376573571042,0.6912977641709428,0.2,10
9,different10,41,A2,-0.21187337733032396,0.21187337733032396,AgoB,1.0,0.7810642281957694,0.15953518171830483,0.2,10
10,different10,11,A1,-0.09478759207286112,0.09478759207286112,AgoB+BgoA,0.24781747499816348,0.13987335424079816,0.40703630806979096,0.4,10
