channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,10,-0.14096544091842333,-0.3449877719673041,0.8511426874972248,0.14096544091842333,-0.02955659341565104,-0.33086817461899776,0.15262182180634493,0.7355030079447574,0.22230754178947917,5,5,0,6,0.6,0.4921875,0.691304347826087
3,A1,0,10,0.031873382308675285,0.051968370982103586,0.21393949542491864,0.031873382308675285,0.05671580106665758,0.05066150524792119,0.19468139480460867,0.20138662746146047,0.11952305465744431,6,4,0,3,0.3,0.4921875,0.691304347826087
4,A1,0,10,-0.243654607263552,-0.2415867544965887,0.16291619744444413,0.243654607263552,0.24223096138074873,-0.025439793899084295,0.24223096138074873,0.11270050407504947,0.021049386937748008,0,10,0,6,0.6,0.001953125,0.103515625
5,A1,0,6,-0.1693969688376373,-0.18485509339964704,0.3956508329707511,0.1693969688376373,0.2651564690795435,0.2865429241714526,0.2651564690795435,0.28854382303587284,0.18125865060117172,2,4,0,1,0.16666666666666666,0.3125,0.5693359375
6,A1,0,10,-0.011266897241260985,-0.30195710867231174,0.5078433496487538,0.011266897241260985,0.10881824094340112,-0.15267630753340944,0.19594495855400118,0.19522592908946507,0.11592514649732483,4,6,0,4,0.4,0.232421875,0.5279296875
7,A1,0,7,0.48508719761265373,0.3950842158170086,0.35197206524211133,0.48508719761265373,0.2276772014900913,0.7481271349933398,0.36596154561102295,0.7481271349933398,0.34341236168500106,6,1,0,1,0.14285714285714285,0.078125,0.28411735372340424
8,A1,0,9,-0.10452244314853926,0.2060552426618778,0.9794629909521372,0.10452244314853926,0.12574012974161386,0.15554956272204062,0.2600720058705799,1.0,-0.06196027751721882,4,5,0,4,0.4444444444444444,0.8203125,0.9120957167832168
9,A1,0,10,-0.12772584145594584,-0.347030929207656,0.670706674591632,0.12772584145594584,0.37616093319782057,0.0799361572274811,0.37616093319782057,0.41416800827082556,0.35507321621135157,3,7,0,4,0.4,0.322265625,0.5693359375
10,A1,0,10,-0.2771720097975867,-0.31407307040555105,0.6296916577580465,0.2771720097975867,0.30550086982895397,-0.04248971736720747,0.30550086982895397,0.1980762295866879,0.010737426539915006,2,8,0,6,0.6,0.193359375,0.4635027985074627
11,A1,0,10,-0.09478759207286112,-0.022329281652416523,0.4157240173961953,0.09478759207286112,0.13208939319498433,0.13258533541676792,0.24781747499816348,0.13987335424079816,0.40703630806979096,4,6,0,4,0.4,0.4921875,0.691304347826087
12,A1,0,10,-0.15144423005010554,-0.19424510518124183,0.6806009046184764,0.15144423005010554,0.20019775531101391,0.0692539128994069,0.20019775531101391,0.4008900840431684,0.07805272353209472,4,6,0,4,0.4,0.556640625,0.7413054435483871
13,A1,0,10,-0.19325721029165757,-0.258611731626218,0.291943936610567,0.19325721029165757,0.3012453207342474,0.054687597101359016,0.3012453207342474,0.0773650608275853,0.08223785640905244,1,8,1,4,0.4,0.02734375,0.18115234375
14,A1,0,10,-0.6871290631189324,-0.49920221281668464,0.36371248021684566,0.6871290631189324,1.0,0.18699331846663914,1.0,0.18699331846663914,0.16050437971988205,1,8,1,2,0.2,0.0078125,0.12421875
15,A1,0,10,-0.5448961424455223,-0.5458633496353789,0.43785420446156514,0.5448961424455223,0.4171972933236139,-0.37549186635955956,0.5351575434489253,0.5951044889739394,0.5098752586012409,1,9,0,5,0.5,0.009765625,0.12939453125
16,A1,0,8,-0.03679378675026039,-0.045099394096448135,0.3089567670294511,0.03679378675026039,0.4185310332038965,0.47818524159195563,0.4185310332038965,0.47818524159195563,0.4806222729262042,3,4,1,1,0.125,0.8125,0.9120957167832168
17,A1,0,10,0.11797292993047764,0.08585622335698592,0.6129379386491168,0.11797292993047764,-0.0875684163844245,0.05525363378881723,0.45156368862979857,0.26241755811343526,0.3147483172182055,5,5,0,7,0.7,0.625,0.7703488372093024
18,A1,0,10,-0.1491541177947367,-0.1193874253554104,0.932353732424081,0.1491541177947367,0.24522461174611696,0.12927599633867806,0.4492885963075336,1.0,0.30216384823544923,3,6,1,4,0.4,0.5703125,0.7413054435483871
19,A1,0,10,0.3924536522725884,0.3466802350332808,0.3491030850184593,0.3924536522725884,0.13956627688249618,0.22269486609188383,0.22915906827696103,0.22269486609188383,0.08257379661199564,7,3,0,3,0.3,0.02734375,0.18115234375
20,A1,0,9,-0.4414994650955492,-0.4506439791244909,0.29648269236898334,0.4414994650955492,-0.06026767998584542,-0.47693297202765317,0.16260051629668842,0.47693297202765317,0.30865288262868973,0,9,0,2,0.2222222222222222,0.00390625,0.12421875
21,A1,0,10,-0.05398564089014493,-0.14626246917116575,0.27726878767744895,0.05398564089014493,0.34534260377412157,0.14659942444687177,0.34534260377412157,0.3002305356820355,0.3135263407813834,3,7,0,3,0.3,0.130859375,0.3410924692622951
22,A1,0,10,-0.4310490745650097,-0.22492699384614875,0.5193861180873373,0.4310490745650097,-0.21795871419802768,-0.4317454365545217,0.44006514936181385,0.5039681128451124,0.7194329071977754,2,8,0,4,0.4,0.322265625,0.5693359375
23,A1,0,9,-0.11757689265010901,-0.29067378994882853,0.47070694496961585,0.11757689265010901,0.2885212590119465,0.10267579436287422,0.309092894368474,0.38452486392085367,0.4627961250674757,2,7,0,2,0.2222222222222222,0.0546875,0.2484375
24,A1,0,10,-0.3995617864632707,-0.4818983686499605,0.4191194527352151,0.3995617864632707,0.14913750206661175,-0.1606832447954874,0.21820423281647547,0.18057805612641925,0.1022755712714689,1,9,0,7,0.7,0.005859375,0.12421875
25,A1,0,9,0.0,-0.1686850307390131,0.4626625674033473,0.0,1.0,0.9282346660206461,1.0,0.9282346660206461,0.2223724369800993,2,4,3,3,0.3333333333333333,0.5625,0.7413054435483871
26,A1,0,10,-0.10720997186817963,-0.18767760980133238,0.26748243455731924,0.10720997186817963,0.20552151778159744,0.037992302661262384,0.360566293529039,0.12792510698609558,0.09424639786704468,3,7,0,2,0.2,0.10546875,0.310546875
27,A1,0,10,0.02710971733385633,-0.1555029910322167,0.3992134169553417,0.02710971733385633,0.319149763118207,0.14713048121979191,0.4100485838156519,0.5131384555209512,0.25286747799255277,5,4,1,2,0.2,0.49609375,0.691304347826087
28,A1,0,10,-0.020259565687893506,-0.05360692807657659,0.6103400154660431,0.020259565687893506,0.164242895015222,0.026506578614245338,0.45107701989708576,0.10050335291740589,0.2283480137896911,5,5,0,3,0.3,0.845703125,0.9210054580479452
29,A1,0,10,-0.2924808901733104,-0.4742080026435386,0.6157160333795823,0.2924808901733104,0.41887714372336365,0.07105100254209329,0.41887714372336365,0.15076743003589638,0.08692069736447396,1,9,0,4,0.4,0.01953125,0.16344572368421054
30,A1,0,10,0.0,-0.07355384889155461,0.15113456111897136,0.0,1.0,1.0,1.0,1.0,0.443870153095664,1,2,7,0,0.0,0.5,0.691304347826087
31,A1,0,10,-0.32874024717591743,-0.3185973250384514,0.3119754974529816,0.32874024717591743,0.039302576622393275,-0.29175607484024046,0.14047396087584846,0.3225979926062398,0.48166216924398103,1,9,0,5,0.5,0.02734375,0.18115234375
32,A1,0,9,0.09992824621668073,0.03158971763098431,0.33484206213908796,0.09992824621668073,0.676421339818818,0.9538492841617274,0.676421339818818,0.9538492841617274,0.5521022499539843,7,2,0,1,0.1111111111111111,0.42578125,0.6688701923076923
