channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,9,-0.15580715719250454,-0.1867497054432851,0.5813494334208228,0.15580715719250454,0.1703926450712061,0.002930644157523126,0.29611485532032045,0.186032368040579,0.3178021335069864,3,6,0,4,0.4444444444444444,0.30078125,0.8872767857142857
3,A1,0,9,-0.06384815121886642,-0.07277739431811549,0.2917719105017263,0.06384815121886642,0.16859158454209183,0.04632879379198363,0.17407599599331658,0.16713507358582552,0.290645992862483,3,5,1,3,0.3333333333333333,0.4609375,0.9675986842105263
4,A1,0,9,-0.10570070156986089,-0.16772914125220903,0.3519067501112658,0.10570070156986089,0.006753479896308274,-0.03758656345812851,0.052532802232430106,0.04566056241671627,0.1335226479829585,2,7,0,6,0.6666666666666666,0.1640625,0.7453125
5,A1,0,5,0.28781412419865765,0.1718761969914223,0.3744220416811529,0.28781412419865765,0.3326608382503428,0.6050903736126261,1.0,0.6050903736126261,0.007083160013031066,3,2,0,1,0.2,0.625,1.0
6,A1,0,9,-0.03865662929216395,-0.06603986922038223,0.10548084167770874,0.03865662929216395,0.04433234059986654,-0.008575194157955256,0.04433234059986654,0.015483345674756685,0.13555571472628403,3,6,0,6,0.6666666666666666,0.0546875,0.724609375
7,A1,0,7,-0.013029433005235971,-0.09634823136741189,0.17184793551736427,0.013029433005235971,0.43212633449702426,0.4432268786240912,0.43212633449702426,0.6617921702215623,0.2788477837603519,1,4,2,0,0.0,0.125,0.7361111111111112
8,A1,0,8,-0.19594992096096925,-0.09392706435603008,0.4715579676978721,0.19594992096096925,0.5039938423312974,0.3999457045204797,0.5155789361068865,0.6694527504080059,0.15106262215886831,2,5,1,2,0.25,0.578125,0.9675986842105263
9,A1,0,9,-0.08619991428269785,-0.11657343469285492,0.24653007651488737,0.08619991428269785,0.4688989472043189,0.15586161235924328,0.4688989472043189,0.15586161235924328,0.38391120618010527,2,6,1,1,0.1111111111111111,0.1953125,0.8088662790697675
10,A1,0,9,-0.2009390077038283,-0.18934230427173304,0.9937001665381029,0.2009390077038283,0.5665812510223167,0.06768012265936527,0.6719003728683153,0.22401515856916068,0.2049955264421308,3,6,0,4,0.4444444444444444,0.375,0.9616935483870968
11,A1,0,9,-0.02935147682275585,-0.009019361348701516,0.3593590712092362,0.02935147682275585,0.7211526614630772,0.7773246015460261,0.7211526614630772,0.7773246015460261,0.5549221112002807,3,5,1,0,0.0,0.84375,1.0
12,A1,0,9,-0.06814596923990526,-0.33441650303153747,0.5928991637642077,0.06814596923990526,0.5344004575652714,0.3238204210394,0.5344004575652714,0.4498875241468387,0.3785258256730255,1,7,1,3,0.3333333333333333,0.078125,0.724609375
13,A1,0,9,0.05782561507748884,0.06730459787616375,0.24014473809034106,0.05782561507748884,0.22715398897331368,0.2090176022072465,0.22715398897331368,0.2090176022072465,0.47044409828236144,5,4,0,3,0.3333333333333333,0.5703125,0.9675986842105263
14,A1,0,9,0.006433613812068847,-0.03406165749800145,0.46707376230202713,0.006433613812068847,-0.012566101860854913,0.044495632126605844,0.07461230010201543,0.13766709524139145,0.1078836327895402,5,4,0,6,0.6666666666666666,1.0,1.0
15,A1,0,9,0.0,0.04483825859828504,0.9206671958819842,0.0,-0.5649948297685611,-0.5694492771068206,1.0,1.0,0.8074706979483108,3,2,4,3,0.3333333333333333,1.0,1.0
16,A1,0,7,-0.06783870416526283,-0.06302049023484291,0.5098734507177518,0.06783870416526283,0.6199586292685492,0.489625729347568,0.6199586292685492,0.489625729347568,0.4176863721322798,1,4,2,1,0.14285714285714285,0.4375,0.9661458333333334
17,A1,0,9,0.31077147500062524,0.23620264311303174,0.6110561013324861,0.31077147500062524,-0.08997051531842355,0.03794303845055227,0.2111028832071137,0.2824794145061277,0.33502658722038997,5,4,0,5,0.5555555555555556,0.42578125,0.9661458333333334
18,A1,0,9,-0.11449277659300222,-0.020349686176216245,0.6275223622696774,0.11449277659300222,0.2966681896091035,0.052656615833505595,0.5398604867245974,0.24313501327135706,0.511192566507445,2,6,1,3,0.3333333333333333,0.4609375,0.9675986842105263
19,A1,0,9,-0.06374514169424388,-0.3047596626168471,0.5820367295127624,0.06374514169424388,0.3676112950796313,0.03713192614753765,0.3676112950796313,0.1448319371808161,0.4588024154388063,1,8,0,3,0.3333333333333333,0.09765625,0.724609375
20,A1,0,8,-0.1435669738985656,-0.336252045900535,0.4448979533150497,0.1435669738985656,-0.11389450200196634,-0.5491490411722004,0.41002669434161365,0.5755443532161405,0.46993595118249193,2,5,1,2,0.25,0.078125,0.724609375
21,A1,0,9,-0.03264653433522996,0.011062138931030401,0.734556795839661,0.03264653433522996,0.41256168371351265,0.17595190040136593,0.8048253306169724,0.59693661017078,0.5731766670600987,2,5,2,2,0.2222222222222222,0.578125,0.9675986842105263
22,A1,0,9,0.026015944423718323,0.19268124402415177,0.2899361904737381,0.026015944423718323,-0.47503951129715394,-0.2133227333825053,0.7525211803752856,0.3047583212510823,0.4536010419115088,5,2,2,0,0.0,0.21875,0.8088662790697675
23,A1,0,8,-0.07636573824047484,-0.216993086762528,0.33528242542401177,0.07636573824047484,0.5163861764872798,0.09175290473839522,0.5285378502796731,0.15628609815518338,0.2936454252663589,2,5,1,1,0.125,0.15625,0.7453125
24,A1,0,9,-0.09072115423783367,-0.3275843408502102,0.5547588480444919,0.09072115423783367,0.30795577728308465,-0.0288349370051703,0.30795577728308465,0.28711309033843585,0.05288320354502796,1,7,1,1,0.1111111111111111,0.078125,0.724609375
25,A1,0,8,0.0,-0.09273484096241262,0.2798071892200359,0.0,1.0,1.0,1.0,1.0,0.6782469085733852,2,3,3,1,0.125,0.4375,0.9661458333333334
26,A1,0,9,0.013292224123073154,-0.07532725139963511,0.42217368467673433,0.013292224123073154,-0.017541418527221592,0.05220978622391775,0.1922787601482354,0.17898653602516224,0.3636286689220089,5,3,1,3,0.3333333333333333,0.546875,0.9675986842105263
27,A1,0,9,0.0,-0.19124624405746335,0.461417516233254,0.0,0.719200142822669,0.7081301503850954,0.719200142822669,1.0,0.5489905995509378,2,4,3,1,0.1111111111111111,0.5625,0.9675986842105263
28,A1,0,9,-0.022537138354300976,-0.03836603456685842,0.09781592707382682,0.022537138354300976,0.1243139333592614,0.10177679500496042,0.1243139333592614,0.10177679500496042,0.14671302617653414,3,5,1,3,0.3333333333333333,0.3125,0.8872767857142857
29,A1,0,9,-0.03268429811119711,-0.3922531153694458,0.7070364141221692,0.03268429811119711,0.3381107483119744,0.06079770031261681,0.3381107483119744,0.11945098224585146,0.29882359384164947,4,5,0,4,0.4444444444444444,0.30078125,0.8872767857142857
30,A1,0,9,0.0,-0.039707649384115494,0.30811768130527495,0.0,1.0,1.0,1.0,1.0,0.4855447972562123,4,3,2,0,0.0,0.9375,1.0
31,A1,0,9,0.0,-0.22971969520436128,0.7378356006271024,0.0,-0.3026711829554772,-0.278533117518967,0.8808870840047505,0.5546099985671549,0.5267104776731767,4,4,1,1,0.1111111111111111,0.546875,0.9675986842105263
32,A1,0,8,0.0,0.12371020179593292,0.28411569182558466,0.0,1.0,1.0,1.0,1.0,0.6180105201391379,2,1,5,0,0.0,0.5,0.9675986842105263
33,A2,1,9,0.0819120740223335,0.024233567673817524,0.3616767137109252,0.0819120740223335,-0.010797281538329557,0.10634526479762664,0.3418935208833164,0.12651434024696626,0.15221715248204853,5,4,0,5,0.5555555555555556,0.8203125,1.0
34,A2,1,4,0.02561729622914333,-0.010418057426237453,0.09013735031843094,0.02561729622914333,0.010700619505311666,0.025296321201047207,0.026478886602821352,0.025296321201047207,0.12371883479726112,2,2,0,3,0.75,1.0,1.0
35,A2,1,6,-0.08091798876602291,-0.012249696756053604,0.2787536416178776,0.08091798876602291,-0.216449554006583,-0.2123388491895588,0.2549849197155375,0.31113670607936117,0.06435119376005238,3,3,0,2,0.3333333333333333,0.84375,1.0
36,A2,1,8,0.2563846742284447,0.04398616649317108,0.7792589688418189,0.2563846742284447,0.004029549837000778,0.15333047761866303,0.3989497658577028,0.43037648878848056,0.12070477581009095,5,3,0,4,0.5,0.7421875,1.0
37,A2,1,9,-0.011935814830961436,-0.025340149412192488,0.7298913548946969,0.011935814830961436,0.021513798279079215,-0.025973557954496886,0.0631269977590204,0.03498470687304246,-0.027471808076365976,3,6,0,5,0.5555555555555556,0.359375,0.9616935483870968
38,A2,1,7,0.0,-0.04592522583694363,0.3889455662262084,0.0,1.0,0.9728000178201281,1.0,0.9728000178201281,0.5771971852933317,2,3,2,0,0.0,0.8125,1.0
39,A2,1,9,0.0,-0.28674680604912495,0.5532646584020252,0.0,0.3207842622479171,0.03727765236818201,0.35168293730723915,0.4867166669673763,0.15945225813134473,3,4,2,3,0.3333333333333333,0.296875,0.8872767857142857
40,A2,1,9,0.0721952172290795,-0.017888524613171614,0.8551831657665933,0.0721952172290795,-0.054683871732352125,0.0864139658813562,0.5042241921145607,0.44311115130809836,0.014634302007270564,5,3,1,5,0.5555555555555556,0.9453125,1.0
41,A2,1,9,-0.037924873024996586,-0.2325412148121727,0.46944587780001285,0.037924873024996586,0.28851934087393166,0.03921990284825781,0.40893633936704415,0.5365636002539731,0.21687117513642465,2,5,2,2,0.2222222222222222,0.21875,0.8088662790697675
42,A2,1,9,-0.06849463692774596,-0.2652367747123798,0.48679760388241616,0.06849463692774596,0.07991422622327786,-0.00886336405992146,0.07991422622327786,0.08234968142487203,0.17116062170212412,1,7,1,4,0.4444444444444444,0.0390625,0.724609375
43,A2,1,9,-0.18870632689431283,-0.26299737033205856,0.37791157609068077,0.18870632689431283,0.3590903379392705,0.2620407595352892,0.3590903379392705,0.2620407595352892,0.3863809148961899,3,6,0,4,0.4444444444444444,0.07421875,0.724609375
44,A2,1,9,0.0,-0.05339387126621981,0.2287266755339074,0.0,0.37284899566346463,0.2036118455111728,0.37284899566346463,0.2036118455111728,0.18693202296308548,3,4,2,1,0.1111111111111111,0.578125,0.9675986842105263
45,A2,1,8,-0.03418177258041982,0.017157843680651083,0.6954049188723512,0.03418177258041982,-0.0778062341188793,0.015465796885123501,0.33423166438502727,0.31273967625146587,0.18828361685056025,4,4,0,5,0.625,1.0,1.0
46,A2,1,9,0.0,0.03905502701578142,0.6058856380032215,0.0,0.630754341102245,0.5977822778017254,0.630754341102245,0.7879034771612149,0.41689528941085197,4,4,1,2,0.2222222222222222,0.84375,1.0
47,A2,1,9,0.07998143758774379,0.15609778633287436,0.23840567042543917,0.07998143758774379,0.3188679079183185,0.6788551802163527,0.3188679079183185,0.6788551802163527,0.5985960077054658,6,1,2,1,0.1111111111111111,0.03125,0.724609375
48,A2,1,8,-0.13461366130916919,-0.38500791699001624,0.6778785204324023,0.13461366130916919,0.14263313496717006,-0.048667062148183685,0.35423989737112005,0.2169847627249522,0.17983391103427787,3,4,1,4,0.5,0.21875,0.8088662790697675
49,A2,1,9,-0.03804168934815774,0.2069485777249411,0.6633722988838776,0.03804168934815774,0.0378091873671738,0.042956320327758694,0.05678513326866028,0.04778121221881941,0.010275213649508374,4,5,0,5,0.5555555555555556,1.0,1.0
50,A2,1,9,-0.06163509195938764,-0.02878705302816866,0.1386101748537603,0.06163509195938764,-0.0803974785879604,0.04179718711932821,0.11715409982841302,0.1462807202446098,-0.10272394494845816,2,7,0,2,0.2222222222222222,0.42578125,0.9661458333333334
51,A2,1,9,-0.11534481005824117,-0.1865049205929118,0.45067184591263715,0.11534481005824117,0.08146832935046013,-0.053593566489600813,0.10861664928519352,0.11409349017937515,0.03553146873350594,3,6,0,6,0.6666666666666666,0.359375,0.9616935483870968
52,A2,1,9,-0.04698977744996097,0.2259484945571636,0.7512694144612719,0.04698977744996097,0.10369426357650932,0.4346587590450934,0.39740645078644943,0.4346587590450934,0.24869762721467117,3,6,0,2,0.2222222222222222,1.0,1.0
53,A2,1,9,-0.23772064905583992,-0.14805344186594005,0.9587056408649098,0.23772064905583992,0.36989109570155376,0.20484630572211557,0.7962672242420074,0.3677023173475794,0.03287530296744199,3,5,1,5,0.5555555555555556,0.546875,0.9675986842105263
54,A2,1,8,0.04374607355674427,0.18951081434947908,0.6004878296331715,0.04374607355674427,0.0032714779808083933,0.05805126324664166,0.263418879310313,0.2489328192342979,0.13496660825046483,6,2,0,3,0.375,0.1953125,0.8088662790697675
55,A2,1,9,-0.15840060099646777,-0.33745319350300135,0.622501153831005,0.15840060099646777,0.7628167262760094,0.3305270553615233,0.7628167262760094,0.34029721625069576,0.063604089731886,2,6,1,3,0.3333333333333333,0.109375,0.724609375
56,A2,1,6,-0.02008592966982479,0.05027521977852312,0.19096467628477173,0.02008592966982479,-0.1288750169889784,-0.13174680421350132,0.1288750169889784,0.13174680421350132,0.2106740169063675,2,3,1,0,0.0,1.0,1.0
57,A2,1,9,-0.01908995564863461,-0.09039349771307108,0.3299008826714579,0.01908995564863461,-0.18267362544554538,-0.008557449270400936,0.20651102964949647,0.43521676364389156,0.005409851687085122,2,6,1,2,0.2222222222222222,0.546875,0.9675986842105263
58,A2,1,9,0.019886310503883592,0.021884449363839167,0.9365711622577955,0.019886310503883592,0.08049603945539617,0.03596588767772174,0.19949832337426252,0.10191210182447784,0.021537757482192048,5,4,0,6,0.6666666666666666,1.0,1.0
59,A2,1,9,-0.0034631064266359216,0.02909496610821065,0.25449480213000386,0.0034631064266359216,0.06289497754742458,0.08310870025758071,0.06771757124238542,0.08310870025758071,0.1120034684591944,4,5,0,4,0.4444444444444444,1.0,1.0
60,A2,1,9,-0.0819066552329415,-0.33797654277099426,0.48498698208167146,0.0819066552329415,0.636069621534469,0.08548348064908445,0.636069621534469,0.1847513464800444,0.27750577168400403,1,6,2,3,0.3333333333333333,0.078125,0.724609375
61,A2,1,7,-0.15195358591063013,-0.4552108620406602,0.5640692961261227,0.15195358591063013,1.0,0.1418763839375736,1.0,0.48310865991830304,0.3920502054619083,1,5,1,2,0.2857142857142857,0.09375,0.724609375
