channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
1,A1,10,0.11558873051146046,0.1251070938534449,0.7,7,-0.4020121612639828,0.4399511479444381,0.31866122342470804,0.512579525816202,True,10,False,
2,A1,7,0.05970978796441986,0.014534444250837403,0.5714285714285714,4,-0.12411810267428881,0.37796791116041506,0.08018195456714264,0.22368420087991964,False,2,False,
3,A1,8,0.03197343387143975,0.017539615589242934,0.5,4,-0.13957350339456695,0.32665958889707253,0.009616834518975777,0.06422059588102347,True,8,False,
4,A1,10,0.13062396848756067,0.0684255907517444,0.9,9,0.1287117203400943,0.24984126133660162,0.2287249294133074,0.17307650479561648,False,9,False,
6,A1,10,0.010620762513335087,0.002786239436235298,0.7,7,0.1450544226690419,0.30481756560048007,0.053168295368723084,0.14030164411425075,False,9,False,
8,A1,9,0.04242611053658115,0.03118249104699827,0.5555555555555556,5,-0.0530661360242753,0.4280205073109738,0.1626414752115305,0.3240580842073291,False,7,False,
9,A1,10,0.26074029183451763,0.19931343741870466,0.9,9,0.537353731098779,0.4199760022129115,0.5619767904614285,0.6783389837226752,False,9,False,
10,A1,10,0.027175017687220554,0.0372505708949812,0.8,8,0.2249332719472426,0.3382876303283211,0.1421567741329739,0.2838665240630275,True,10,False,
11,A1,10,0.2185695211625527,0.18256134533565152,0.7,7,0.13628547361090143,0.28745853867559024,0.2621696754278009,0.3148958003202846,True,10,False,
12,A1,10,0.026756001830822062,0.028586430904554976,1.0,10,0.28650273957982025,0.26874337710128476,0.1783570601080822,0.23801170840855407,True,10,False,
13,A1,10,0.4688963240250321,0.35412279622788223,0.8,8,0.19062334121457922,0.21492409268942925,0.11565010713111623,0.19154981656047598,True,10,False,
14,A1,10,0.1743410413833489,0.10301273657296317,0.8,8,0.38827983058042465,0.3537316540631162,0.4406872541168978,0.38145403150244545,True,10,False,
15,A1,10,0.44091405512698795,0.4013563172328811,1.0,10,0.6267232224724937,0.2804907276214588,0.48955936313826676,0.3726003120690929,True,10,False,9
17,A1,10,0.2229559877464509,0.1252286859074564,0.8,8,0.25502507409451597,0.23291690148336153,0.25667139409479955,0.28419187324161865,True,10,False,
