session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20230607T115959,20230609T101610,1.9279,1,A1,0.046656,1.243918,0
20230607T115959,20230609T101610,1.9279,4,A1,0.098804,0.220782,1
20230607T115959,20230609T101610,1.9279,6,A1,0.285626,0.919406,1
20230607T115959,20230609T101610,1.9279,8,A1,0.041152,1.045009,0
20230607T115959,20230609T101610,1.9279,9,A1,0.682601,0.007148,1
20230607T115959,20230609T101610,1.9279,10,A1,0.370742,0.332807,1
20230607T115959,20230609T101610,1.9279,11,A1,0.879664,0.230573,1
20230607T115959,20230609T101610,1.9279,12,A1,0.409660,0.190197,1
20230607T115959,20230609T101610,1.9279,13,A1,0.585460,0.193025,1
20230607T115959,20230609T101610,1.9279,14,A1,-0.048639,0.182103,1
20230607T115959,20230609T101610,1.9279,15,A1,0.650077,0.000000,1
20230607T115959,20230609T101610,1.9279,16,A1,0.231477,0.451803,1
20230607T115959,20230609T101610,1.9279,17,A1,0.314444,0.545647,1
20230607T115959,20230609T101610,1.9279,18,A1,0.722336,0.020847,1
20230607T115959,20230609T101610,1.9279,19,A1,0.361866,0.232235,0
20230607T115959,20230609T101610,1.9279,22,A1,0.127522,0.957826,1
20230607T115959,20230609T101610,1.9279,23,A1,0.518877,0.143110,1
20230607T115959,20230609T101610,1.9279,24,A1,0.457281,0.195885,0
20230607T115959,20230609T101610,1.9279,25,A1,0.620477,0.780985,0
20230607T115959,20230609T101610,1.9279,26,A1,0.396204,0.015663,1
20230607T115959,20230609T101610,1.9279,27,A1,0.499824,0.000000,1
20230607T115959,20230609T101610,1.9279,28,A1,0.585228,0.067412,1
20230607T115959,20230609T101610,1.9279,29,A1,0.783062,0.368610,1
20230607T115959,20230609T101610,1.9279,30,A1,0.901461,0.000000,1
20230607T115959,20230609T101610,1.9279,31,A1,0.542535,0.108689,1
20230607T115959,20230609T101610,1.9279,32,A1,0.537878,0.115338,1
20230607T115959,20230609T101610,1.9279,36,A2,-0.095114,0.000000,1
20230607T115959,20230609T101610,1.9279,37,A2,-0.124888,0.500412,1
20230607T115959,20230609T101610,1.9279,38,A2,0.634685,0.031184,1
20230607T115959,20230609T101610,1.9279,39,A2,0.469879,0.067033,1
20230607T115959,20230609T101610,1.9279,40,A2,0.267166,0.193923,1
20230607T115959,20230609T101610,1.9279,41,A2,0.505237,0.104325,1
20230607T115959,20230609T101610,1.9279,42,A2,0.107451,0.000000,1
20230607T115959,20230609T101610,1.9279,43,A2,0.784867,0.016702,1
20230607T115959,20230609T101610,1.9279,44,A2,-0.045100,0.284563,0
20230607T115959,20230609T101610,1.9279,45,A2,0.464702,0.995996,1
20230607T115959,20230609T101610,1.9279,46,A2,0.097468,0.294390,1
20230607T115959,20230609T101610,1.9279,47,A2,0.918154,0.000000,1
20230607T115959,20230609T101610,1.9279,48,A2,0.006773,0.250638,1
20230607T115959,20230609T101610,1.9279,49,A2,0.273336,0.770888,1
20230607T115959,20230609T101610,1.9279,51,A2,-0.223230,0.446425,0
20230607T115959,20230609T101610,1.9279,52,A2,0.131100,0.348413,1
20230607T115959,20230609T101610,1.9279,53,A2,-0.397644,1.407946,0
20230607T115959,20230609T101610,1.9279,54,A2,0.119202,1.174708,0
20230607T115959,20230609T101610,1.9279,55,A2,-0.212310,0.349817,1
20230607T115959,20230609T101610,1.9279,57,A2,-0.339718,0.087413,1
20230607T115959,20230609T101610,1.9279,58,A2,0.423031,0.075987,0
20230607T115959,20230609T101610,1.9279,59,A2,0.442956,0.088203,1
20230607T115959,20230609T101610,1.9279,60,A2,0.283769,0.037098,1
20230607T115959,20230609T101610,1.9279,62,A2,0.604376,0.123809,1
20230607T115959,20230609T101610,1.9279,63,A2,0.653283,0.016574,1
20230607T115959,20230609T101610,1.9279,64,A2,0.516495,0.514508,1
20230607T115959,20230609T101610,1.9279,65,A3,0.375270,0.243025,0
20230607T115959,20230609T101610,1.9279,66,A3,0.490294,0.513924,0
20230607T115959,20230609T101610,1.9279,68,A3,0.811239,0.511688,1
20230607T115959,20230609T101610,1.9279,69,A3,0.624150,0.084148,1
20230607T115959,20230609T101610,1.9279,70,A3,0.821136,0.667517,1
20230607T115959,20230609T101610,1.9279,71,A3,0.841431,0.806518,1
20230607T115959,20230609T101610,1.9279,72,A3,0.033517,1.485392,0
20230607T115959,20230609T101610,1.9279,73,A3,0.061042,1.027466,0
20230607T115959,20230609T101610,1.9279,74,A3,0.091869,0.818770,1
20230607T115959,20230609T101610,1.9279,75,A3,0.228327,0.282702,0
20230607T115959,20230609T101610,1.9279,76,A3,0.728345,0.645340,0
20230607T115959,20230609T101610,1.9279,77,A3,0.073387,0.373157,1
20230607T115959,20230609T101610,1.9279,78,A3,0.594479,1.200115,0
20230607T115959,20230609T101610,1.9279,79,A3,0.314584,0.903001,0
20230607T115959,20230609T101610,1.9279,80,A3,0.608742,0.000000,1
20230607T115959,20230609T101610,1.9279,81,A3,0.603453,0.753342,1
20230607T115959,20230609T101610,1.9279,82,A3,0.816411,0.006177,1
20230607T115959,20230609T101610,1.9279,83,A3,0.080469,1.181942,0
20230607T115959,20230609T101610,1.9279,84,A3,0.737857,0.162835,1
20230607T115959,20230609T101610,1.9279,85,A3,0.706154,0.132607,1
20230607T115959,20230609T101610,1.9279,87,A3,0.670602,0.314288,1
20230607T115959,20230609T101610,1.9279,88,A3,0.244171,0.493503,1
20230607T115959,20230609T101610,1.9279,89,A3,0.410882,0.257778,1
20230607T115959,20230609T101610,1.9279,90,A3,0.236231,0.356433,0
20230607T115959,20230609T101610,1.9279,92,A3,0.073741,0.566682,1
20230607T115959,20230609T101610,1.9279,93,A3,0.750789,0.201134,1
20230607T115959,20230609T101610,1.9279,94,A3,0.627479,2.000000,0
20230607T115959,20230609T101610,1.9279,95,A3,0.659625,0.000000,1
20230607T115959,20230609T101610,1.9279,96,A3,0.723893,1.268002,0
20230607T115959,20230609T101610,1.9279,97,A4,0.208957,0.582662,0
20230607T115959,20230609T101610,1.9279,98,A4,0.028312,0.834652,1
20230607T115959,20230609T101610,1.9279,99,A4,0.384848,0.913752,1
20230607T115959,20230609T101610,1.9279,100,A4,-0.127592,0.493712,1
20230607T115959,20230609T101610,1.9279,101,A4,-0.325581,0.822025,0
20230607T115959,20230609T101610,1.9279,102,A4,0.230774,0.518253,0
20230607T115959,20230609T101610,1.9279,104,A4,-0.245653,0.852331,1
20230607T115959,20230609T101610,1.9279,105,A4,0.282671,0.218495,1
20230607T115959,20230609T101610,1.9279,106,A4,-0.037031,0.376788,1
20230607T115959,20230609T101610,1.9279,107,A4,0.122535,0.970506,0
20230607T115959,20230609T101610,1.9279,108,A4,-0.170773,1.095042,0
20230607T115959,20230609T101610,1.9279,109,A4,0.090837,1.981841,0
20230607T115959,20230609T101610,1.9279,110,A4,0.043198,0.541290,1
20230607T115959,20230609T101610,1.9279,111,A4,-0.290189,1.195805,0
20230607T115959,20230609T101610,1.9279,112,A4,0.071925,0.066539,1
20230607T115959,20230609T101610,1.9279,114,A4,0.180608,1.317438,0
20230607T115959,20230609T101610,1.9279,116,A4,0.223567,0.861223,1
20230607T115959,20230609T101610,1.9279,118,A4,-0.117751,0.786130,1
20230607T115959,20230609T101610,1.9279,119,A4,-0.003490,0.057396,1
20230607T115959,20230609T101610,1.9279,121,A4,0.835219,0.296840,1
20230607T115959,20230609T101610,1.9279,122,A4,0.852627,0.151421,1
20230607T115959,20230609T101610,1.9279,123,A4,-0.215372,0.475882,1
20230607T115959,20230609T101610,1.9279,124,A4,0.139292,0.920208,0
20230607T115959,20230609T101610,1.9279,125,A4,-0.382353,1.586712,0
20230607T115959,20230609T101610,1.9279,126,A4,-0.308758,1.064641,0
20230607T115959,20230609T101610,1.9279,127,A4,-0.060554,0.009856,1
20230607T115959,20230609T101610,1.9279,129,A5,0.222713,0.140233,1
20230607T115959,20230609T101610,1.9279,130,A5,0.352359,1.269915,0
20230607T115959,20230609T101610,1.9279,132,A5,0.057215,1.043307,0
20230607T115959,20230609T101610,1.9279,133,A5,0.453516,0.365696,1
20230607T115959,20230609T101610,1.9279,134,A5,0.532222,0.557224,1
20230607T115959,20230609T101610,1.9279,135,A5,0.064433,0.206988,1
20230607T115959,20230609T101610,1.9279,136,A5,0.200339,0.892545,1
20230607T115959,20230609T101610,1.9279,137,A5,0.009784,0.967972,1
20230607T115959,20230609T101610,1.9279,138,A5,0.343421,1.464037,0
20230607T115959,20230609T101610,1.9279,141,A5,0.463138,0.013165,1
20230607T115959,20230609T101610,1.9279,142,A5,0.344048,0.655362,1
20230607T115959,20230609T101610,1.9279,143,A5,-0.254584,0.734875,1
20230607T115959,20230609T101610,1.9279,145,A5,0.173741,0.022708,1
20230607T115959,20230609T101610,1.9279,146,A5,0.940169,0.188335,1
20230607T115959,20230609T101610,1.9279,147,A5,0.225456,1.124483,0
20230607T115959,20230609T101610,1.9279,148,A5,0.591308,0.446833,1
20230607T115959,20230609T101610,1.9279,150,A5,-0.331096,0.722331,0
20230607T115959,20230609T101610,1.9279,151,A5,-0.013599,0.731837,1
20230607T115959,20230609T101610,1.9279,152,A5,0.081711,0.370824,1
20230607T115959,20230609T101610,1.9279,153,A5,0.414868,0.018644,1
20230607T115959,20230609T101610,1.9279,155,A5,-0.124782,2.000000,0
20230607T115959,20230609T101610,1.9279,157,A5,0.275718,1.031967,0
20230607T115959,20230609T101610,1.9279,158,A5,0.164423,0.892964,0
20230607T115959,20230609T101610,1.9279,160,A5,-0.200239,2.000000,0
20230607T115959,20230614T114327,6.9885,1,A1,0.115589,1.001334,0
20230607T115959,20230614T114327,6.9885,2,A1,-0.258600,1.231889,0
20230607T115959,20230614T114327,6.9885,3,A1,-0.237390,0.942202,1
20230607T115959,20230614T114327,6.9885,4,A1,0.185720,0.024181,1
20230607T115959,20230614T114327,6.9885,6,A1,0.233253,0.691699,1
20230607T115959,20230614T114327,6.9885,8,A1,-0.303528,1.218810,0
20230607T115959,20230614T114327,6.9885,9,A1,0.536624,0.077210,1
20230607T115959,20230614T114327,6.9885,10,A1,0.307062,0.266922,1
20230607T115959,20230614T114327,6.9885,11,A1,0.773545,0.128625,1
20230607T115959,20230614T114327,6.9885,12,A1,0.248841,0.149863,1
20230607T115959,20230614T114327,6.9885,13,A1,0.497411,0.225688,1
20230607T115959,20230614T114327,6.9885,14,A1,0.144534,0.131493,1
20230607T115959,20230614T114327,6.9885,15,A1,0.592853,0.635118,1
20230607T115959,20230614T114327,6.9885,17,A1,0.216758,0.074670,1
20230607T115959,20230614T114327,6.9885,18,A1,-0.397122,0.148592,1
20230607T115959,20230614T114327,6.9885,19,A1,-0.079706,0.116799,1
20230607T115959,20230614T114327,6.9885,21,A1,0.188936,0.279072,1
20230607T115959,20230614T114327,6.9885,22,A1,0.516642,0.399766,1
20230607T115959,20230614T114327,6.9885,23,A1,0.523288,0.324247,1
20230607T115959,20230614T114327,6.9885,26,A1,-0.486679,0.354567,1
20230607T115959,20230614T114327,6.9885,27,A1,0.653828,0.868325,1
20230607T115959,20230614T114327,6.9885,28,A1,0.309014,0.509723,1
20230607T115959,20230614T114327,6.9885,29,A1,0.624303,0.164929,1
20230607T115959,20230614T114327,6.9885,30,A1,0.879535,0.000000,1
20230607T115959,20230614T114327,6.9885,31,A1,0.309876,0.003465,1
20230607T115959,20230614T114327,6.9885,32,A1,0.658050,0.122419,1
20230607T115959,20230614T114327,6.9885,36,A2,-0.229886,0.498325,1
20230607T115959,20230614T114327,6.9885,37,A2,0.153571,0.805304,0
20230607T115959,20230614T114327,6.9885,38,A2,0.274529,0.200005,1
20230607T115959,20230614T114327,6.9885,39,A2,0.006620,2.000000,0
20230607T115959,20230614T114327,6.9885,40,A2,0.094051,1.036477,0
20230607T115959,20230614T114327,6.9885,41,A2,0.446016,0.239093,1
20230607T115959,20230614T114327,6.9885,42,A2,0.143414,0.000000,1
20230607T115959,20230614T114327,6.9885,43,A2,0.756903,0.042012,1
20230607T115959,20230614T114327,6.9885,44,A2,0.113590,0.926014,1
20230607T115959,20230614T114327,6.9885,45,A2,0.428225,0.276824,1
20230607T115959,20230614T114327,6.9885,46,A2,-0.113760,0.280773,1
20230607T115959,20230614T114327,6.9885,47,A2,0.725916,1.367960,0
20230607T115959,20230614T114327,6.9885,48,A2,0.005391,1.482491,0
20230607T115959,20230614T114327,6.9885,49,A2,-0.020180,1.035897,0
20230607T115959,20230614T114327,6.9885,51,A2,0.142366,0.625701,0
20230607T115959,20230614T114327,6.9885,52,A2,-0.214350,1.125357,0
20230607T115959,20230614T114327,6.9885,53,A2,0.197685,0.893009,0
20230607T115959,20230614T114327,6.9885,54,A2,-0.084610,1.196702,0
20230607T115959,20230614T114327,6.9885,55,A2,-0.199499,0.375418,1
20230607T115959,20230614T114327,6.9885,57,A2,-0.127576,0.035831,1
20230607T115959,20230614T114327,6.9885,58,A2,0.177452,0.097568,0
20230607T115959,20230614T114327,6.9885,59,A2,0.278439,0.233251,1
20230607T115959,20230614T114327,6.9885,60,A2,0.266923,0.037098,1
20230607T115959,20230614T114327,6.9885,61,A2,0.484852,0.000000,1
20230607T115959,20230614T114327,6.9885,62,A2,0.594657,0.123809,1
20230607T115959,20230614T114327,6.9885,63,A2,0.679012,0.409834,1
20230607T115959,20230614T114327,6.9885,64,A2,0.213854,0.406303,1
20230607T115959,20230614T114327,6.9885,65,A3,0.413782,0.489487,1
20230607T115959,20230614T114327,6.9885,66,A3,0.482970,0.025833,1
20230607T115959,20230614T114327,6.9885,67,A3,0.480314,0.273059,1
20230607T115959,20230614T114327,6.9885,68,A3,0.816819,0.318992,1
20230607T115959,20230614T114327,6.9885,69,A3,0.678593,0.188998,0
20230607T115959,20230614T114327,6.9885,70,A3,0.607080,0.000786,1
20230607T115959,20230614T114327,6.9885,71,A3,0.713340,1.420741,0
20230607T115959,20230614T114327,6.9885,72,A3,-0.029796,0.361839,1
20230607T115959,20230614T114327,6.9885,73,A3,-0.341550,1.117780,0
20230607T115959,20230614T114327,6.9885,74,A3,0.229591,0.000000,1
20230607T115959,20230614T114327,6.9885,75,A3,0.106185,0.738083,0
20230607T115959,20230614T114327,6.9885,76,A3,0.587818,0.637721,1
20230607T115959,20230614T114327,6.9885,77,A3,0.323152,0.732062,0
20230607T115959,20230614T114327,6.9885,78,A3,0.541500,0.444705,0
20230607T115959,20230614T114327,6.9885,79,A3,0.053522,0.064624,1
20230607T115959,20230614T114327,6.9885,80,A3,0.725286,0.302681,1
20230607T115959,20230614T114327,6.9885,81,A3,0.329507,0.471445,1
20230607T115959,20230614T114327,6.9885,82,A3,0.751363,0.459830,0
20230607T115959,20230614T114327,6.9885,83,A3,0.046305,0.931450,1
20230607T115959,20230614T114327,6.9885,84,A3,-0.555394,1.113057,0
20230607T115959,20230614T114327,6.9885,85,A3,0.664060,0.288876,1
20230607T115959,20230614T114327,6.9885,87,A3,0.607693,0.496188,1
20230607T115959,20230614T114327,6.9885,88,A3,0.301985,0.065469,1
20230607T115959,20230614T114327,6.9885,89,A3,-0.034746,0.703203,1
20230607T115959,20230614T114327,6.9885,90,A3,-0.098968,0.231151,1
20230607T115959,20230614T114327,6.9885,91,A3,0.357748,0.472491,1
20230607T115959,20230614T114327,6.9885,93,A3,0.658142,0.649941,1
20230607T115959,20230614T114327,6.9885,94,A3,0.727422,0.847488,1
20230607T115959,20230614T114327,6.9885,95,A3,0.778425,0.000000,1
20230607T115959,20230614T114327,6.9885,97,A4,-0.110937,1.285154,0
20230607T115959,20230614T114327,6.9885,98,A4,0.062126,0.252696,1
20230607T115959,20230614T114327,6.9885,99,A4,0.075896,1.040893,0
