channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,9,0.43468341973388186,0.590587950158699,0.5383098077380623,0.43468341973388186,-0.28726398255425006,0.29611485532032045,0.28726398255425006,0.29611485532032045,-0.0015500705606282701,8,1,0,4,0.4444444444444444,0.01171875,0.1629971590909091
2,A1,0,6,0.07204551636510492,0.07162927626310095,0.15059353966641278,0.07204551636510492,0.04028144849174288,0.06465323083431562,0.0762701438640096,0.07773197685719754,-0.12061862056920818,4,2,0,2,0.3333333333333333,0.4375,0.8064759036144579
3,A1,0,7,-0.023074786908561743,0.05279042294861619,0.43524310906079483,0.023074786908561743,0.004178915337007788,-0.032297280734158974,0.009222493825597231,0.11208289905862989,0.006119429524892347,3,4,0,3,0.42857142857142855,0.6875,0.9603365384615384
4,A1,0,9,-0.1051574879568686,0.012223900920802364,0.2572964936103179,0.1051574879568686,0.1805353060145296,0.1098222121993242,0.21663447962068377,0.1098222121993242,0.1678585263449111,3,6,0,2,0.2222222222222222,0.359375,0.7854910714285714
6,A1,0,9,-0.012503430686198316,0.09314373323089625,0.2721661350844462,0.012503430686198316,0.024871236493970363,0.03648440634500742,0.0257423707661399,0.04326746979696678,0.019556245530431747,4,5,0,3,0.3333333333333333,1.0,1.0
8,A1,0,8,0.22488978180301183,0.269820898890481,0.5582804282731657,0.22488978180301183,0.01273011893173327,0.23797021637298638,0.13434345313732993,0.4005604432053085,0.10365631536025487,6,2,0,4,0.5,0.3828125,0.8023330479452054
9,A1,0,9,-0.01935054231247957,-0.12132059018766451,0.48124203818140904,0.01935054231247957,0.25783803855471316,0.323096598650312,0.25783803855471316,0.323096598650312,0.27408150871841847,4,5,0,2,0.2222222222222222,0.65234375,0.9327905957943925
10,A1,0,9,-0.06440916366848082,0.008372281204571973,0.5275022485860759,0.06440916366848082,0.12632101956709238,0.026879470769026415,0.12838356529397674,0.151782205933374,-0.12172078739926,4,5,0,5,0.5555555555555556,1.0,1.0
11,A1,0,9,0.43427342226216925,0.44420785304538735,0.28612249662761047,0.43427342226216925,0.09377372879714879,0.4823437434018834,0.27692410722206184,0.4823437434018834,0.17124591369947892,8,1,0,3,0.3333333333333333,0.0078125,0.1494140625
12,A1,0,9,0.04715760160783719,0.05515052839558744,0.2612810529436405,0.04715760160783719,0.17482903769376615,0.3345622182211966,0.17482903769376615,0.3345622182211966,0.011038419774451016,6,3,0,0,0.0,0.359375,0.7854910714285714
