session_id,array,n_present,n_missing,missing_channels
20230607T115959.A_Curius.B_VC.SCP_01,A1,0,32,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032"
20230607T115959.A_Curius.B_VC.SCP_01,A2,0,32,"033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064"
20230607T115959.A_Curius.B_VC.SCP_01,A3,0,32,"065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096"
20230607T115959.A_Curius.B_VC.SCP_01,A4,0,32,"097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128"
20230607T115959.A_Curius.B_VC.SCP_01,A5,0,32,"129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160"
20230609T101610.A_Curius.B_VC.SCP_01,A1,26,6,"002,003,005,007,020,021"
20230609T101610.A_Curius.B_VC.SCP_01,A2,30,2,"035,061"
20230609T101610.A_Curius.B_VC.SCP_01,A3,30,2,"067,091"
20230609T101610.A_Curius.B_VC.SCP_01,A4,28,4,"113,115,117,120"
20230609T101610.A_Curius.B_VC.SCP_01,A5,27,5,"131,140,154,156,159"
20230614T114327.A_Curius.B_VC.SCP_01,A1,27,5,"005,007,016,024,025"
20230614T114327.A_Curius.B_VC.SCP_01,A2,31,1,035
20230614T114327.A_Curius.B_VC.SCP_01,A3,30,2,"092,096"
20230614T114327.A_Curius.B_VC.SCP_01,A4,30,2,"102,115"
20230614T114327.A_Curius.B_VC.SCP_01,A5,31,1,148
20230619T102732.A_Curius.B_VC.SCP_01,A1,28,4,"005,007,016,025"
20230619T102732.A_Curius.B_VC.SCP_01,A2,28,4,"035,036,054,056"
20230619T102732.A_Curius.B_VC.SCP_01,A3,31,1,091
20230619T102732.A_Curius.B_VC.SCP_01,A4,29,3,"117,120,128"
20230619T102732.A_Curius.B_VC.SCP_01,A5,31,1,131
20230620T101238.A_Curius.B_VC.SCP_01,A1,28,4,"005,007,016,025"
20230620T101238.A_Curius.B_VC.SCP_01,A2,28,4,"033,035,038,056"
20230620T101238.A_Curius.B_VC.SCP_01,A3,30,2,"068,092"
20230620T101238.A_Curius.B_VC.SCP_01,A4,31,1,117
20230620T101238.A_Curius.B_VC.SCP_01,A5,31,1,131
20230621T100721.A_Curius.B_MK.SCP_01,A1,28,4,"005,007,016,025"
20230621T100721.A_Curius.B_MK.SCP_01,A2,28,4,"035,038,056,061"
20230621T100721.A_Curius.B_MK.SCP_01,A3,30,2,"068,092"
20230621T100721.A_Curius.B_MK.SCP_01,A4,29,3,"116,117,127"
20230621T100721.A_Curius.B_MK.SCP_01,A5,30,2,"131,156"
20230622T111856.A_Curius.B_SM.SCP_01,A1,29,3,"005,007,016"
20230622T111856.A_Curius.B_SM.SCP_01,A2,30,2,"038,056"
20230622T111856.A_Curius.B_SM.SCP_01,A3,31,1,092
20230622T111856.A_Curius.B_SM.SCP_01,A4,31,1,117
20230622T111856.A_Curius.B_SM.SCP_01,A5,31,1,129
20230628T101631.A_Curius.B_VC.SCP_01,A1,30,2,"016,020"
20230628T101631.A_Curius.B_VC.SCP_01,A2,28,4,"035,038,045,050"
20230628T101631.A_Curius.B_VC.SCP_01,A3,29,3,"067,090,092"
20230628T101631.A_Curius.B_VC.SCP_01,A4,27,5,"099,113,117,124,128"
20230628T101631.A_Curius.B_VC.SCP_01,A5,29,3,"131,148,156"
20230629T100435.A_Curius.B_VC.SCP_01,A1,25,7,"002,003,005,007,016,020,021"
20230629T100435.A_Curius.B_VC.SCP_01,A2,25,7,"033,034,035,045,051,052,056"
20230629T100435.A_Curius.B_VC.SCP_01,A3,23,9,"065,066,068,073,079,089,092,094,096"
20230629T100435.A_Curius.B_VC.SCP_01,A4,28,4,"099,105,113,117"
20230629T100435.A_Curius.B_VC.SCP_01,A5,24,8,"131,132,139,140,148,154,155,159"
20230703T122644.A_Curius.B_MK.SCP_01,A1,25,7,"002,005,007,008,016,020,025"
20230703T122644.A_Curius.B_MK.SCP_01,A2,27,5,"038,048,054,056,061"
20230703T122644.A_Curius.B_MK.SCP_01,A3,27,5,"067,071,083,092,096"
20230703T122644.A_Curius.B_MK.SCP_01,A4,29,3,"113,115,120"
20230703T122644.A_Curius.B_MK.SCP_01,A5,29,3,"129,131,148"
