channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
1,A1,9,0.36952575294583656,0.28530751829423384,0.7777777777777778,7,0.2550188820876069,0.3345920031395048,0.29611485532032045,0.36793200953465305,False,8,False,
2,A1,6,-0.06303938470380553,-0.05148626345112408,0.6666666666666666,4,0.09349148980976398,0.13300307560050365,0.07773197685719754,0.1554639537143951,False,0,False,
3,A1,7,0.06458781726260042,0.017587509447966526,0.5714285714285714,4,0.03613499049768253,0.4245928749033094,0.11208289905862989,0.3248706522885957,False,3,False,
4,A1,9,0.16402191276235453,0.1019026960966783,0.8888888888888888,8,0.12847965916469256,0.10104583623891533,0.1098222121993242,0.08587889800832746,False,7,False,
6,A1,9,0.10833018900057198,0.09008855701707842,0.7777777777777778,7,0.14320420286316501,0.33236112787468614,0.04326746979696678,0.2468369144676935,False,4,False,
8,A1,8,-0.006676609734433066,-0.04670513610968275,0.75,6,0.3351214958631713,0.5386613089912338,0.4005604432053085,0.7103308855750976,False,4,False,
9,A1,9,0.38983354413347593,0.32248666912119717,0.8888888888888888,8,0.37092520604489526,0.3695878560178849,0.323096598650312,0.3613865710552362,False,7,False,
10,A1,9,0.06272072079489378,0.04975078128112654,0.6666666666666666,6,0.22238708775296173,0.32511720790642334,0.151782205933374,0.43232849133497414,False,7,False,
11,A1,9,0.5532778519696422,0.431467043002722,1.0,9,0.5681455744315511,0.29999335134992317,0.4823437434018834,0.33972886985290457,True,9,True,4
12,A1,9,0.15078642790265312,0.08885791476238675,1.0,9,0.35327745209289896,0.2412027246699701,0.3345622182211966,0.26955434160622316,False,8,False,
13,A1,9,0.426781318419117,0.3263443116692404,0.6666666666666666,6,0.10765156500477646,0.4988672784518204,0.25774529991278655,0.5345985128191255,True,9,False,
14,A1,9,0.12539846037681057,0.10627070422714141,0.7777777777777778,7,0.38218606623779083,0.39988095746048674,0.14621581827832517,0.45648563980788925,False,6,False,
15,A1,9,0.804016411571066,0.682019993297985,0.6666666666666666,6,-0.07763829489788912,0.6610008380190746,0.4245277492123844,0.68181033184351,True,9,False,
17,A1,9,0.4291291324612857,0.3606880921552819,0.6666666666666666,6,0.16299922578730797,0.47220867907821357,0.11008547809637641,0.5812188622599774,True,9,False,
18,A1,9,0.5853294393030672,0.5408538254423115,1.0,9,0.6233490166315823,0.390552834662423,0.8906347737057452,0.6111885421773129,True,9,True,
19,A1,9,0.4409172005462496,0.39138012203877326,1.0,9,0.46876384685687483,0.26311059531646236,0.4044364628708616,0.3346925788434769,False,8,False,
20,A1,5,0.0003814933532498392,0.01550021880807517,0.8,4,0.04321996258652209,0.06400533543763663,0.0276123702169606,0.07553458908549018,False,2,False,
21,A1,7,0.1463134066489377,0.11783423975541707,0.8571428571428571,6,0.2367461962862896,0.32120493575979137,0.13551713751911224,0.1589112025982558,False,6,False,
22,A1,9,0.7375445577131079,0.5452063390160249,0.8888888888888888,8,0.5376816134861196,0.41298471543851417,0.5460159577122802,0.4727584198849484,True,9,True,
23,A1,9,0.30805691314459827,0.21386632148687168,0.6666666666666666,6,0.23990703363156493,0.4736470295502271,0.25703867876107916,0.6563033442742395,False,7,False,
24,A1,8,-0.025958779491294652,0.00621524905289656,0.625,5,0.01164206452191974,0.17666475270374438,0.1474197602005666,0.19766847828187728,False,6,False,
25,A1,4,0.2881891653958502,0.1817968215568332,1.0,4,0.5766340877434675,0.2482281820986679,0.6058669415768283,0.342344472378064,True,4,False,3
26,A1,9,0.5857411246693642,0.3373492619550174,0.6666666666666666,6,0.020953807266336052,0.39398446001610715,0.1922787601482354,0.31049996748291164,True,9,False,
27,A1,9,0.4690459735592546,0.3560663758691062,0.8888888888888888,8,0.46846194615481046,0.4338985812334332,0.45081613338518356,0.48015717099043265,True,9,False,
28,A1,9,0.2797604843915581,0.24771164300434878,1.0,9,0.581111314789159,0.3714885820601131,0.7739379273416569,0.43375147910269246,False,5,False,
29,A1,9,0.2919127455478715,0.17553789950421603,0.7777777777777778,7,0.18794208010484173,0.5383375080888356,0.2442399346320119,0.5800533485310918,True,9,False,
30,A1,9,0.4918456743031268,0.32834490164040325,1.0,9,0.8699186005469097,0.18511869940662687,1.0,0.19178804984988773,True,9,False,1
31,A1,9,0.09904585939509768,0.15124879990137774,0.7777777777777778,7,-0.11997791032825506,0.6913458391762983,0.772513739655111,0.839454685875375,True,9,False,
32,A1,9,0.6732380818401928,0.6266481151370784,1.0,9,0.7058028099329646,0.33002206962331154,0.8561198752108549,0.3031151979758939,True,9,True,
33,A2,7,0.06491427992744346,-0.0037041793129777493,0.5714285714285714,4,0.18062558284509564,0.3035539780108652,0.010408985441831359,0.046737374613112885,False,0,False,
34,A2,8,-0.033750081078031784,-0.0024998685885642886,0.75,6,-0.04650749943432569,0.08454837466125174,0.04863984464990461,0.09795966066487441,False,0,False,
36,A2,8,0.10211321026098738,0.05759300895507479,0.75,6,0.352408407981761,0.3960365811350886,0.39395614496677667,0.40312981468316667,False,1,False,
37,A2,9,0.09141629185658393,0.03419948700280088,0.7777777777777778,7,0.10250336891431347,0.4140948897641002,0.11611191057371231,0.5228143611833279,False,0,False,
38,A2,4,0.41740018797019296,0.08838933824886733,1.0,4,0.5783920861470853,0.4256094084517445,0.6195632868779183,0.7608734262441634,False,3,False,
39,A2,9,0.0925652398131328,0.06725928704249146,0.5555555555555556,5,0.11051388768482989,0.7267807370917445,0.5101422572746703,0.8762582731131501,False,4,False,
40,A2,9,0.019008094656852347,0.020202711459965324,0.5555555555555556,5,0.06750416680850842,0.1662854073692763,0.045139289694328816,0.10621056778984193,False,1,False,
41,A2,9,0.3881509441075255,0.30813210182760375,0.7777777777777778,7,0.3961593366067777,0.4005611788163335,0.3609915250691419,0.47500786620145746,False,5,False,
42,A2,9,0.12400236661401706,0.10377659177652258,0.8888888888888888,8,0.11932489392742844,0.2580803680030663,0.08215601023855724,0.3587386616634975,False,2,False,
