session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20230609T101610,20230614T114327,5.0606,1,A1,0.302235,0.384369,1
20230609T101610,20230614T114327,5.0606,4,A1,-0.229326,0.026631,1
20230609T101610,20230614T114327,5.0606,6,A1,0.201454,0.963516,1
20230609T101610,20230614T114327,5.0606,8,A1,-0.282860,0.045705,1
20230609T101610,20230614T114327,5.0606,9,A1,0.682058,0.555497,1
20230609T101610,20230614T114327,5.0606,10,A1,-0.307521,0.717473,0
20230609T101610,20230614T114327,5.0606,11,A1,0.643621,0.000000,1
20230609T101610,20230614T114327,5.0606,12,A1,0.057119,0.263492,1
20230609T101610,20230614T114327,5.0606,13,A1,0.344533,0.145225,1
20230609T101610,20230614T114327,5.0606,14,A1,-0.019789,0.900408,1
20230609T101610,20230614T114327,5.0606,15,A1,0.875520,0.027335,1
20230609T101610,20230614T114327,5.0606,17,A1,0.630773,0.945500,1
20230609T101610,20230614T114327,5.0606,18,A1,0.379308,0.062367,1
20230609T101610,20230614T114327,5.0606,19,A1,0.693915,0.467467,1
20230609T101610,20230614T114327,5.0606,22,A1,0.161225,0.391085,0
20230609T101610,20230614T114327,5.0606,23,A1,0.806239,0.742961,1
20230609T101610,20230614T114327,5.0606,26,A1,0.446054,1.021745,0
20230609T101610,20230614T114327,5.0606,27,A1,0.057042,0.483236,0
20230609T101610,20230614T114327,5.0606,28,A1,0.450961,0.071289,1
20230609T101610,20230614T114327,5.0606,29,A1,-0.182968,1.365472,0
20230609T101610,20230614T114327,5.0606,30,A1,0.206866,0.143279,1
20230609T101610,20230614T114327,5.0606,31,A1,-0.066531,0.073397,1
20230609T101610,20230614T114327,5.0606,32,A1,0.476692,0.752960,1
20230609T101610,20230614T114327,5.0606,33,A2,0.064914,0.009470,1
20230609T101610,20230614T114327,5.0606,34,A2,-0.219900,0.049003,1
20230609T101610,20230614T114327,5.0606,36,A2,-0.099435,0.751687,1
20230609T101610,20230614T114327,5.0606,37,A2,-0.010947,0.761365,0
20230609T101610,20230614T114327,5.0606,38,A2,0.650314,0.760873,1
20230609T101610,20230614T114327,5.0606,39,A2,0.084943,1.452440,0
20230609T101610,20230614T114327,5.0606,40,A2,0.147178,0.014667,1
20230609T101610,20230614T114327,5.0606,41,A2,0.493516,0.000000,1
20230609T101610,20230614T114327,5.0606,42,A2,0.091631,0.587615,0
20230609T101610,20230614T114327,5.0606,43,A2,0.705198,0.585429,1
20230609T101610,20230614T114327,5.0606,44,A2,0.226856,0.635588,1
20230609T101610,20230614T114327,5.0606,45,A2,0.712610,0.985101,1
20230609T101610,20230614T114327,5.0606,46,A2,0.362985,0.230523,1
