channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
1,A1,10,0.0790970532160042,0.08463200822213676,0.8,8,-0.05108134152902418,0.5020782469019942,0.19693661306817323,0.5477018925950147,True,10,False,
2,A1,7,0.07787122870332473,0.04025503157228262,0.8571428571428571,6,0.22912524316919428,0.3385537423700772,0.06320150755199169,0.32442813951942606,False,1,False,
3,A1,8,0.26462511997190863,0.1607224979273561,0.5,4,-0.18784208255344387,0.40423087863815327,0.0440100055717092,0.16502114853427038,False,7,False,
4,A1,10,0.1409311407393054,0.11312836767564442,0.7,7,0.14193030537048265,0.2799761393403767,0.08245126031783084,0.26997189854494436,False,9,False,
6,A1,10,0.03941232841582647,0.04844404581460639,0.7,7,-0.10634931134603301,0.34861824001066505,0.03855400877744233,0.21882731395486954,False,9,False,
8,A1,9,-0.04115827781926434,-0.021218917797698546,0.7777777777777778,7,0.47466048976352404,0.4723629874388308,0.2857780250191858,0.6886481337646961,False,2,False,
9,A1,10,0.25388216353612314,0.22195889257962642,0.7,7,-0.14577289502669216,0.6652203360229796,0.5132580386029901,0.781292960399165,True,10,False,
10,A1,10,0.3548257786561968,0.31395780431426945,0.8,8,-0.09588762922592535,0.30174462261530866,0.11824521866163945,0.17344844222139078,True,10,False,
11,A1,10,0.7551919136298746,0.6874932071729086,0.8,8,0.2593979220329362,0.30344905218377666,0.13224771839879274,0.296512549486454,True,10,True,
12,A1,10,0.257434907342616,0.20066094026737674,0.5,5,0.12472072760831794,0.3889387859275808,0.18518523521067182,0.3289732317497617,True,10,False,
13,A1,10,0.8688089749096363,0.6903535871842277,0.5,5,0.06259351042482847,0.19183084121579194,0.0980156518426215,0.18373711977402082,True,10,False,
14,A1,10,0.13903530501878844,0.1199183571832765,0.9,9,0.2641162000926808,0.32360854160163716,0.1546253099050949,0.24079549858733088,False,9,False,
15,A1,10,0.7304919670677326,0.4595769592364583,0.8,8,-0.3860415877344866,0.6063705539504692,0.6928007737976705,0.4470205316674105,True,10,True,
17,A1,10,0.27897070653745554,0.17520234939549229,0.5,5,-0.06756335170433307,0.242219069088021,0.11391675190738162,0.28633419340763616,True,10,False,
18,A1,10,0.27391793981545504,0.24492562199294132,0.8,8,0.30194593590565383,0.38707706149577686,0.09681403731219596,0.37329173241300867,True,10,False,
19,A1,10,0.25196953699928215,0.19723876529322928,0.9,9,0.6192035343933763,0.3583209045852114,0.6625412426631216,0.40263592854511365,True,10,False,
20,A1,5,0.22768829014205447,0.10135382257232284,0.8,4,0.15190778633466476,0.17237981354021373,0.0478877291540899,0.31288175775682026,True,5,False,
21,A1,8,0.3034033821024189,0.16252604411303115,0.75,6,0.28668110307078276,0.38435222184537926,0.14507556429672352,0.2097386309737329,True,8,False,
22,A1,10,0.686268383045783,0.503326419356599,0.8,8,-0.21981656503137761,0.5427408793579424,0.2838831304512174,0.5769063116996388,True,10,True,
23,A1,10,0.19567247469239932,0.1105711090860414,0.9,9,0.11777228098562616,0.19444263343363585,0.11817037280056837,0.1300821701017727,True,10,False,
24,A1,9,0.1510466671742271,0.13759773170985617,0.8888888888888888,8,-0.15435838774260735,0.21144282683485008,0.07950008626968119,0.143337476839767,False,7,False,
25,A1,5,0.18675264676182826,0.12979740821667404,1.0,5,0.6263847974164729,0.31763176300509777,0.4681483539784886,0.5318516460215115,True,5,False,
26,A1,10,0.421999292993401,0.2603697659298518,0.7,7,0.20361955851584557,0.3354663161398692,0.08468808029822797,0.19167707291170843,True,10,False,
27,A1,10,0.41998066177900595,0.23310800179750257,0.8,8,0.14998666664453617,0.1704206525969259,0.16146651738132156,0.20758073597656643,True,10,False,9
28,A1,10,0.2808959384534839,0.06043215879878302,0.6,6,0.04204836451022912,0.5737702721217797,0.4140552789997698,0.622339696588579,False,7,False,
29,A1,10,0.8653651592449979,0.6791043394008692,0.7,7,0.22052485838254837,0.34975154434430944,0.11605611393943602,0.2820543469841231,True,10,True,
30,A1,10,0.7368165786618649,0.48544955231605164,1.0,10,0.9699294350027845,0.07639620041032691,1.0,0.0015599243244419636,True,10,True,1
31,A1,10,0.5806016535057473,0.5378403403152234,0.8,8,-0.17368698323328893,0.24266671548293509,0.1469440658293179,0.27296582474542597,True,10,True,10
32,A1,10,0.7814958311039558,0.6218736645713873,1.0,10,0.7055359419821203,0.309820825682219,0.7735525388620337,0.3202720138873537,True,10,True,
33,A2,7,0.06183744055307865,0.0042089819925880895,0.7142857142857143,5,0.07155539106233307,0.16914429252316832,0.13113093287625663,0.23731589075813897,False,0,False,
34,A2,8,-0.01839602710924644,-0.01100197884984686,0.625,5,-0.21753431507120247,0.4578829707474527,0.09124806670651325,0.20412997932148125,False,2,False,
36,A2,9,0.040576524790219365,0.044627628560975866,0.5555555555555556,5,0.18632664566514012,0.5260687015530323,0.4018179836718489,0.563437668061253,False,4,False,
37,A2,10,-0.010576047165394306,0.02062508990422565,0.8,8,0.3529771255167934,0.3725239347959348,0.1968347106871826,0.49425027287651463,False,1,False,
38,A2,5,0.5289030817575575,0.46765457064730387,0.8,4,0.581937397966814,0.5245514353908546,0.8665370517797591,0.5801730398097382,False,4,False,
39,A2,10,0.1332362195873372,0.09653266820375948,0.5,5,-0.13322287595228977,0.5317894790818516,0.2867685255802345,0.5592524269399326,True,10,False,
40,A2,10,-0.028001029604294358,-0.010110618916730384,0.6,6,0.12432579601218703,0.3233341112606886,0.12051282780207587,0.23144335494848717,False,1,False,
41,A2,10,0.49105776738361906,0.33694323184529656,0.8,8,0.6369837671525296,0.4836003486144993,0.9494211192762224,0.45310406057107566,True,10,False,
42,A2,10,0.005017091084826315,-0.010987574265666248,0.8,8,0.3395233798383345,0.32524143107451425,0.3334323338283198,0.3419241741523879,False,4,False,
43,A2,10,0.37563156670894937,0.301686471721907,0.6,6,0.21378284817955412,0.3842989493031021,0.24114483515895505,0.4070245893326764,True,10,False,
44,A2,10,0.564468347556587,0.3847515712054866,0.8,8,0.26698314681254826,0.5238262705457796,0.3792833483105471,0.553922987597754,True,10,False,
45,A2,8,0.33905865520716616,0.32854534237685945,0.875,7,-0.4962303960146059,0.44433718802747596,0.46238960303245247,0.5461064157047331,False,7,False,
46,A2,10,0.1994714118750538,0.16771460893883136,0.7,7,-0.12244871941715219,0.32477449714329015,0.12578915507347443,0.25888820864672585,False,5,False,
47,A2,10,0.8106964121918162,0.7100164310311674,1.0,10,0.8320544528969579,0.2179658751528222,0.9723867206134726,0.1712561305113064,True,10,True,4
48,A2,9,0.07634297319162814,0.021132013811335684,0.6666666666666666,6,0.15860466380720076,0.6806558143647592,0.7167275701137122,0.7502811639782517,False,5,False,
49,A2,10,-0.06595518157931546,-0.0066914401658747635,0.7,7,0.0008415373087434837,0.3396742698978105,0.07036905555572531,0.3422067831626548,False,0,False,
50,A2,8,0.010554163273204185,0.010700099976744688,0.875,7,-0.19525652712439748,0.36020968490458977,0.27468138014648014,0.34455778926178,False,2,False,
51,A2,9,0.20482027595483823,0.17232022202233538,0.5555555555555556,5,-0.2405088994282809,0.3364890251360755,0.19664422035920295,0.32039319215977985,False,4,False,
52,A2,9,0.09392363492153455,0.10458184034771653,0.6666666666666666,6,0.17420734210936298,0.5699053900389882,0.23289573888070708,0.7114050323743466,False,8,False,
53,A2,10,-0.010330031562637355,0.03553019458619918,0.5,5,-0.08097759701098486,0.36299644168681466,0.19786708234899059,0.37111910925058966,False,7,False,
54,A2,8,0.10963286854380258,0.09999830120176155,0.875,7,0.22502180996085375,0.32899520869821197,0.0639222379486708,0.19865922865303937,False,2,False,
55,A2,10,0.07302580512807122,0.08180081199749856,0.8,8,-0.03139990106388289,0.16535175562856616,0.13131980562500511,0.15207937999779908,True,10,False,
56,A2,3,0.0026940536059312237,-0.011022237367412263,1.0,3,0.4666361121377908,0.2901343089597597,0.538384290189768,0.45748799141089075,False,2,False,
57,A2,10,0.04333976689213637,0.04054431199124865,0.7,7,-0.12328400947277043,0.3532132495197844,0.18957920531065686,0.27168796810215634,False,1,False,
58,A2,10,0.08537504346090843,0.044257841568407265,0.7,7,-0.0956053833470294,0.23353303126245425,0.24398265911380407,0.22475700045605318,False,0,False,
59,A2,10,0.18727152266303543,0.1851941808860266,0.6,6,0.301187690376275,0.3774092503814663,0.2216209588523855,0.29337192662481254,False,9,False,
60,A2,10,0.2529934692446055,0.08790599647246668,0.9,9,0.5592020105016569,0.34491994410216015,0.5822570043498737,0.42717801963972407,False,9,False,
61,A2,7,0.6515834018115563,0.3739338831626704,0.7142857142857143,5,0.16363222644810713,0.4447918156092578,0.14253218915702837,0.49653165400373966,True,7,False,
62,A2,10,0.7609664475385657,0.6553475603893105,0.9,9,-0.4715304762878702,0.29547226490069706,0.44243989306828235,0.3651350286603152,True,10,True,5
63,A2,10,0.7331607210777686,0.4931631115517109,0.6,6,0.05359446976845198,0.3536228163890144,0.2703304065377229,0.3875722457636086,True,10,False,
64,A2,10,0.771791003907205,0.5516703189803058,1.0,10,-0.5464139594718145,0.3414934728180504,0.39341384582576866,0.4231873844548009,True,10,True,
65,A3,9,0.06056316269436453,0.07534387651479485,0.6666666666666666,6,0.398149280695969,0.580305385521675,0.4255040038824426,0.6866200083727216,False,8,False,
66,A3,9,0.7236472698542864,0.4355195233514507,0.6666666666666666,6,0.038660940062828365,0.3799688650025428,0.19193572313925486,0.23801576170757527,False,6,False,
67,A3,7,0.5816756478881967,0.30670419013587125,0.8571428571428571,6,0.6657097532726782,0.43901957672551006,1.0,0.32844342533599646,False,6,False,
68,A3,7,0.5642222853868386,0.3356801202898569,0.8571428571428571,6,0.62175037471294,0.5293933812194376,0.9618895075010211,0.434827881767923,True,7,False,
69,A3,10,0.6241469844118611,0.38630286766852506,0.9,9,-0.31492526237492996,0.5205176656142363,0.39263816617724434,0.5183167260860585,True,10,False,
70,A3,10,0.630644791792374,0.5026350448871302,0.6,6,0.024098470703096102,0.5787508946411841,0.4081887170420443,0.6735042793889658,True,10,False,
71,A3,9,0.9010591019066133,0.834610361269446,0.6666666666666666,6,0.34583038581053405,0.6171298041353191,0.6986184147466414,0.6525667292478932,True,9,False,
72,A3,10,0.07846921488088222,0.016518963658840223,0.7,7,0.05115065758769288,0.40737878357837415,0.06174201877166254,0.11389099560346769,False,1,False,
73,A3,9,0.05933245168867807,-0.00010480602935997837,0.6666666666666666,6,0.029136339090547074,0.5072772213168323,0.12967890232768967,0.44528531780494673,False,1,False,
74,A3,10,0.015396076339843672,0.00745423440673333,0.6,6,0.13829123583132108,0.4225112277051688,0.16316245924470718,0.33436125780192943,False,3,False,
75,A3,10,0.10933775991976985,0.028844417274355248,0.8,8,0.37330832192764685,0.5998993393363642,0.6736193486836204,0.6693527072928098,False,3,False,
76,A3,10,0.2303314461025158,0.12247028439436776,0.6,6,-0.024780119629844395,0.24987201792714345,0.2180641092386742,0.27058575534095824,True,10,False,
77,A3,10,0.6696417977545617,0.4822295200775641,0.6,6,0.1499018808582927,0.5803665646457355,0.32667654463338325,0.6067334329117906,True,10,False,
78,A3,10,0.14191955788177527,0.12664233228679933,0.9,9,0.20159267200906653,0.22751622282826495,0.18187961854642123,0.23560272803778878,True,10,False,8
79,A3,9,0.007902187592120137,0.015135497887250044,0.5555555555555556,5,0.043602898704907765,0.2881114157600236,0.027268439778688845,0.22237314200005673,False,8,False,
80,A3,10,0.6562923020480581,0.5785362374240918,0.9,9,-0.3380107746709682,0.5542205123503109,0.426483581268881,0.5532884073873581,False,8,False,
81,A3,10,0.3207539059687447,0.29134909676622384,0.8,8,0.22220880128922502,0.5254023046663555,0.29056949897285705,0.614224336626959,False,9,False,
82,A3,10,0.5924210667280967,0.431898191376503,0.9,9,0.7759961923430568,0.3329654394810478,0.9350242482200632,0.2032630052508997,True,10,True,
83,A3,9,0.1600831840314499,0.10040001403461139,0.7777777777777778,7,-0.11953469439255181,0.5000651393599514,0.2168975511361769,0.452373095086183,False,6,False,
84,A3,10,0.281420539373285,0.05418914404888134,0.6,6,0.06494526758895539,0.49922317798485416,0.15422650276473387,0.516584907332995,True,10,False,
85,A3,10,0.23396119542266636,0.2655584453778886,0.8,8,0.5201060872933229,0.49088607512530885,0.5919202672371449,0.5587436489961485,True,10,False,
86,A3,9,-0.014118835282820307,0.005599172155089904,0.7777777777777778,7,0.20076872760663744,0.3010566290290486,0.05770320662699005,0.21268638400010442,False,8,False,
87,A3,10,0.5924481678027349,0.3599901000880535,0.7,7,0.5207928457257776,0.5560110676751079,0.8522284990556106,0.6986993868460508,True,10,False,
88,A3,10,0.0808527646273482,0.09281045396964742,0.7,7,0.19995112114029218,0.5397685886963739,0.22780120567162213,0.5771282760896129,False,4,False,
89,A3,9,0.11087841872322438,0.07235095926213182,0.8888888888888888,8,0.49236836214391144,0.38325303305875946,0.4566764635155061,0.4557983264456984,False,4,False,
90,A3,9,0.06490461540581088,0.02093935333192081,0.6666666666666666,6,-0.16310352913768486,0.32174908688962683,0.12438263572942053,0.1947726390101145,False,4,False,
91,A3,8,0.02313631757686431,0.028530498492242252,0.625,5,0.18565033379418736,0.6313827872756155,0.4094828976701404,0.8774084599232211,False,3,False,
92,A3,3,0.21144090203858343,0.0752988795945033,0.6666666666666666,2,0.27473743898018005,0.3193865945634327,0.333289631598312,0.4756947939710683,False,1,False,
93,A3,10,0.22334481449643082,0.25854926220491603,0.6,6,0.04832340849974096,0.19898756809570026,0.08922195570513314,0.2187657617037214,True,10,False,
94,A3,9,0.2039719549415423,0.09934126475890334,0.6666666666666666,6,-0.059753374531567295,0.397123180790001,0.10296681851975426,0.3797160545095386,False,3,False,
95,A3,10,0.27592445323275805,0.21639952616364302,0.7,7,-0.06660880878267231,0.6681719217736559,0.46965810952714815,0.8807753180944095,True,10,False,
96,A3,7,0.053209564635294665,0.05984298428510586,0.7142857142857143,5,0.1768565286363917,0.34179163040477456,0.044883859101202815,0.11772331259670918,False,1,False,
97,A4,10,0.1145206892583325,0.10511139405160377,0.6,6,-0.14654889587877712,0.3106158926224824,0.07897924932399361,0.1700811456990536,False,7,False,
98,A4,10,0.2650902912070476,0.1685646152837831,0.6,6,-0.10909406436323063,0.42251892376085154,0.25324804705339554,0.3038543333474831,False,8,False,
99,A4,8,0.00861024494632989,0.01455552398568529,0.875,7,-0.2302491796482291,0.33054503607040214,0.05924608882731005,0.18365499841793723,False,1,False,
100,A4,10,0.020223165400450733,-0.0011867228003086532,0.5,5,0.08184696926618444,0.3619157366862099,0.145055282293746,0.2633923984202963,False,0,False,
101,A4,10,-0.004197300343170454,-0.0021049933527874905,0.7,7,0.020457345607191757,0.37810629447774924,0.06748442908486257,0.17557579331849196,False,1,False,
102,A4,9,0.018096177537574098,0.007904716735875113,0.7777777777777778,7,0.008380003746484448,0.3837277875874504,0.11141849269505381,0.2087067028982184,False,1,False,
103,A4,9,0.04248283554995657,0.013654790486273147,0.7777777777777778,7,-0.3104541973866352,0.38679036251363785,0.34167598750275524,0.44202316890230203,False,0,False,
104,A4,10,-0.03361701351791073,-0.019349173622434088,0.6,6,-0.10442465435034001,0.3886100838028213,0.1443137327279053,0.2629039909295312,False,0,False,
105,A4,9,0.40200107831790177,0.26477417810084486,0.5555555555555556,5,0.021687301093791585,0.20752684724681858,0.08832977973902281,0.20882585403503395,False,6,False,
106,A4,10,-0.04223611455473759,-0.03489484707886619,0.7,7,0.2103959249750423,0.5063335319467173,0.6015219966191605,0.6381572287625795,False,0,False,
107,A4,10,-0.02743374080320654,0.007170565445099022,0.5,5,-0.1147273338072475,0.3743678951766583,0.15463321497748558,0.3804100232875117,False,0,False,
108,A4,10,-0.0038494754792625296,-0.01641528013280203,0.7,7,-0.03777285181796307,0.5534363326367884,0.20761251142141432,0.6825698525661378,False,1,False,
109,A4,10,-0.044222248928046125,-0.029130961896606744,0.8,8,-0.2861749721959242,0.4450729723002762,0.2936269844831896,0.4879905332554527,False,0,False,
110,A4,10,-0.020744057388645678,-0.00445884327615796,0.5,5,-0.148880033744297,0.46147539817349803,0.14700475123770174,0.3826073310123787,False,0,False,
111,A4,10,-0.027128580521474096,-9.166757914366154e-05,0.7,7,-0.07127616595860338,0.48977205468183155,0.26876448626556454,0.43499750281391936,False,1,False,
112,A4,10,-0.005195469958980195,-0.00763535481293348,0.6,6,0.13572773832451662,0.5836382349198477,0.11751488175612843,0.8388796993254418,False,0,False,
113,A4,5,-0.0965999160844466,-0.037898973341827326,0.6,3,0.08943534145890282,0.09204822145022568,0.13654433514042516,0.14020744286318026,False,1,False,
114,A4,10,-0.0030235357024755325,-0.007087319088207615,0.5,5,-0.09028097961636644,0.22922229843322586,0.04238676262015958,0.12051271648779682,False,0,False,
115,A4,6,0.046584665887018414,0.012212667133800923,0.6666666666666666,4,0.0030212012413797624,0.13948654732864324,0.08216974124716987,0.105249983314156,False,0,False,
116,A4,9,-0.017273574597690917,0.00318778876484333,0.5555555555555556,5,-0.0010212789512048823,0.5404255834429752,0.07052689820834755,0.5835210063403511,False,0,False,
117,A4,3,0.12263959581813554,0.013899159348666831,0.6666666666666666,2,-0.12380071657066599,0.3729769900517281,0.2517776257883928,0.6414777758432058,False,1,False,
118,A4,10,-0.012328369374735998,0.004437272037643808,0.6,6,0.006817567886644521,0.46344665955590025,0.11757609074031664,0.2907306972243729,False,0,False,
119,A4,10,-0.008234014664900674,-0.012973690584923798,0.5,5,-0.003286086621572204,0.4969172276283604,0.1434836646546212,0.48985905256564555,False,1,False,
120,A4,7,0.027447145547924805,0.02420271469614516,0.5714285714285714,4,0.2858702311997933,0.6577060419220535,0.7162988183992486,0.7500889138090021,False,0,False,
121,A4,10,0.7656494041774878,0.645710546923087,1.0,10,-0.7497988304325133,0.3312293882384244,0.9772715313253106,0.23421603520622547,True,10,True,
122,A4,10,0.8053765925653001,0.7301257053849121,1.0,10,-0.8856538633415166,0.14559943792146174,0.9961096376459828,0.21186809795788752,True,10,True,3
123,A4,10,0.05334351497986284,0.003255396035020722,0.6,6,-0.22306010776869165,0.41578260372911496,0.20156520950159024,0.35879838940790465,False,0,False,
124,A4,9,-0.03349342635084221,-0.008915114352203138,0.6666666666666666,6,-0.23002667385428144,0.3358944262155856,0.20434622806342034,0.32139726274611563,False,2,False,
125,A4,10,-0.015064654335932034,-0.006065885774087639,0.6,6,0.008465003648763427,0.6024644542714348,0.10118217429841733,0.857439571676778,False,0,False,
126,A4,10,0.042617862467207966,0.012438774202253526,0.6,6,0.22945974325955892,0.4624939989482746,0.1704408321637387,0.461585834932212,False,1,False,
127,A4,9,0.01716617789571205,0.025978059655651198,0.5555555555555556,5,-0.030206113734185,0.4739418053787996,0.21585936049758223,0.48272809060146793,False,0,False,
128,A4,7,-0.006203317675662396,0.005956704262531432,0.8571428571428571,6,-0.20084080384884498,0.44463656936073165,0.12126263742621662,0.5426750685538255,False,0,False,
129,A5,8,0.028471779028027243,0.01755347072831066,0.625,5,0.06052425966859788,0.5269655299188262,0.1538494719783003,0.5346690650527072,False,5,False,
130,A5,10,0.43212103988735534,0.2824705049232848,0.7,7,0.31835285760716064,0.606358496719039,0.6517826560633402,0.7675677591631741,True,10,False,
132,A5,9,0.009733238563241285,0.024013769085084565,0.6666666666666666,6,-0.03908044557779592,0.47979872875943613,0.09994867806364599,0.2180375837826527,False,3,False,
133,A5,10,-0.004954307892352114,-0.007168883678667525,0.7,7,-0.2520066624587004,0.6072579657399562,0.5248188050320662,0.6348244788027436,False,6,False,
134,A5,10,0.45734264162631216,0.3603822913276097,0.9,9,-0.33098827205833503,0.36073691553065673,0.25913069697283087,0.33591946087635277,False,6,False,
135,A5,10,0.08618887502412365,0.04633788245405668,0.6,6,0.1018289723686118,0.5583296623450967,0.4393582498428525,0.628819276402709,False,9,False,
136,A5,10,0.14144890756169584,0.12101263713700391,0.6,6,0.03174810266642598,0.42897056420894303,0.4457519560562382,0.4835531817732092,False,3,False,
137,A5,10,0.6177646994022549,0.5334282608415505,0.9,9,-0.2011649693580415,0.20784495891702054,0.24345588855308797,0.16240878449610652,True,10,True,7
138,A5,10,0.344365983339753,0.14933201819544972,1.0,10,-0.48603858201660904,0.30229130943810567,0.3669114634020298,0.3084634640410189,False,8,False,
139,A5,8,0.8364992410358629,0.7748140037546076,1.0,8,-0.9335595048851945,0.09859815410518667,1.0,0.08185448295843267,True,8,True,2
140,A5,7,0.7270370369262168,0.6039507457005224,0.8571428571428571,6,0.3374303222558336,0.26089166468420977,0.3275085701734539,0.3291635970259268,True,7,True,6
141,A5,10,0.3855362037735808,0.2923209196713867,0.9,9,-0.40076409037086425,0.5929263218488172,0.6386869101061403,0.5932906789681617,False,6,False,
142,A5,10,0.4094814919852226,0.3328342792118259,0.7,7,-0.4360159108954022,0.6364302157681448,0.9136164044388223,0.8194735580785031,False,8,False,
143,A5,10,0.004855639337018108,-0.0042724112057996215,0.5,5,0.26518687476814057,0.6301366407044852,0.5475253992813934,0.7734833902835773,False,1,False,
144,A5,9,0.05295336132382869,0.0037050227086709714,0.5555555555555556,5,0.04324202043725686,0.30502819990261687,0.15669055404584462,0.27384735955400535,False,0,False,
145,A5,10,0.16181105401743184,0.16127474723770605,0.9,9,-0.33144962411003986,0.31373342003218024,0.2646105911199138,0.332360381604086,False,8,False,
146,A5,10,0.5002189789891152,0.33297647113058787,1.0,10,-0.4914555741093352,0.35648544066768006,0.3795771623261165,0.39826637020452765,False,9,False,
147,A5,10,0.7792622293266473,0.641166175647511,0.7,7,-0.05830045302136131,0.5074748748784669,0.33841644028022694,0.6925229153773669,True,10,True,
148,A5,6,0.531471760089645,0.44446054668029755,1.0,6,0.46786575257465596,0.3260315061110105,0.4809803390510009,0.40702196539643154,True,6,True,
149,A5,9,0.27517090235688035,0.13152952147555536,0.7777777777777778,7,0.12153824178263578,0.5091493002744681,0.06690314483391893,0.7418725714729337,False,4,False,
150,A5,10,-0.03133796933194533,-0.021512979102934784,0.6,6,-0.09592507723759254,0.3062349606157546,0.037314968902336876,0.07409436211188729,False,1,False,
151,A5,10,-0.01598222811585749,-0.012853490465902999,0.6,6,-0.09263746237472743,0.5370577029594561,0.2384965844973098,0.6287130290566052,False,1,False,
152,A5,10,0.04345084835086969,0.06947985196547884,0.7,7,-0.05762944576223439,0.5181692683801471,0.17360844605330167,0.5409870335883243,False,1,False,
153,A5,10,0.6458177991981758,0.5482235035794876,0.8,8,0.0999038857323565,0.12560534242080906,0.096559357988921,0.12596607107754862,True,10,True,
154,A5,7,0.017697788913905346,0.009978689950779211,0.7142857142857143,5,0.01737091721062538,0.5364419497330702,0.07053005177766764,0.9158036895511918,False,1,False,
155,A5,9,-0.04524338978525149,-0.01275265963895407,0.5555555555555556,5,-0.12225591441543503,0.7480470324852798,0.9391958918297384,0.9143423649094949,False,0,False,
156,A5,7,0.24341798724717553,0.07060269172914221,0.7142857142857143,5,-0.048139230985318186,0.2383693598734927,0.20692582883696217,0.14354996288553817,False,4,False,
157,A5,10,0.024026355375975136,0.002304027387313599,0.6,6,-0.1327661237126329,0.3405395930622226,0.09996233193713064,0.2056227760294674,False,7,False,
158,A5,10,0.025216018453002857,0.02835632746373625,0.6,6,-0.011827242031495447,0.5357917455797767,0.3234534350190006,0.6207347991223806,False,1,False,
159,A5,8,-0.06383169318396781,-0.0121332252834589,0.5,4,-0.0379118345949761,0.41662849271145846,0.10269367083561645,0.42451665407944,False,0,False,
