session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20230607T115959,20230609T101610,1.9279,1,A1,0.358256,0.579902,0
20230607T115959,20230609T101610,1.9279,4,A1,0.038711,0.525839,0
20230607T115959,20230609T101610,1.9279,6,A1,0.379901,0.496761,0
20230607T115959,20230609T101610,1.9279,8,A1,-0.120723,1.206683,0
20230607T115959,20230609T101610,1.9279,9,A1,0.424470,0.013621,1
20230607T115959,20230609T101610,1.9279,10,A1,0.288293,0.464040,1
20230607T115959,20230609T101610,1.9279,11,A1,0.736647,0.395929,1
20230607T115959,20230609T101610,1.9279,12,A1,0.121136,0.306689,0
20230607T115959,20230609T101610,1.9279,13,A1,0.590481,0.283545,1
20230607T115959,20230609T101610,1.9279,14,A1,0.328381,0.102060,1
20230607T115959,20230609T101610,1.9279,15,A1,-0.074492,1.685246,0
20230607T115959,20230609T101610,1.9279,16,A1,0.278164,0.000000,1
20230607T115959,20230609T101610,1.9279,17,A1,0.349835,0.892972,0
20230607T115959,20230609T101610,1.9279,18,A1,0.704222,0.192742,0
20230607T115959,20230609T101610,1.9279,19,A1,0.520169,0.146107,1
20230607T115959,20230609T101610,1.9279,22,A1,-0.204980,2.000000,0
20230607T115959,20230609T101610,1.9279,23,A1,-0.097112,0.055495,1
20230607T115959,20230609T101610,1.9279,24,A1,0.046645,0.214461,0
20230607T115959,20230609T101610,1.9279,25,A1,0.591193,0.552403,1
20230607T115959,20230609T101610,1.9279,26,A1,0.864820,0.336433,1
20230607T115959,20230609T101610,1.9279,27,A1,0.424172,0.088072,1
20230607T115959,20230609T101610,1.9279,28,A1,0.630555,0.694860,1
20230607T115959,20230609T101610,1.9279,29,A1,0.740538,0.678962,1
20230607T115959,20230609T101610,1.9279,30,A1,0.794117,0.212883,1
20230607T115959,20230609T101610,1.9279,31,A1,0.833946,0.229908,0
20230607T115959,20230609T101610,1.9279,32,A1,0.602361,0.935942,1
20230607T115959,20230609T101610,1.9279,36,A2,0.254598,0.474509,0
20230607T115959,20230609T101610,1.9279,37,A2,0.077371,0.611747,1
20230607T115959,20230609T101610,1.9279,38,A2,0.903445,0.133463,1
20230607T115959,20230609T101610,1.9279,39,A2,-0.045845,0.043982,1
20230607T115959,20230609T101610,1.9279,40,A2,-0.126066,0.231443,1
20230607T115959,20230609T101610,1.9279,41,A2,0.109701,0.000000,1
20230607T115959,20230609T101610,1.9279,42,A2,0.070488,0.323782,1
20230607T115959,20230609T101610,1.9279,43,A2,0.530914,0.293089,0
20230607T115959,20230609T101610,1.9279,44,A2,0.626729,0.925187,0
20230607T115959,20230609T101610,1.9279,45,A2,0.709956,0.846877,1
20230607T115959,20230609T101610,1.9279,46,A2,0.419988,0.354066,0
20230607T115959,20230609T101610,1.9279,47,A2,0.963473,0.055227,1
20230607T115959,20230609T101610,1.9279,48,A2,0.157664,1.334013,0
20230607T115959,20230609T101610,1.9279,49,A2,0.134987,1.021329,0
20230607T115959,20230609T101610,1.9279,51,A2,0.180168,0.735731,1
20230607T115959,20230609T101610,1.9279,52,A2,0.285597,1.108777,0
20230607T115959,20230609T101610,1.9279,53,A2,0.331526,0.030388,1
20230607T115959,20230609T101610,1.9279,54,A2,0.156228,0.995266,1
20230607T115959,20230609T101610,1.9279,55,A2,-0.084699,0.062862,1
20230607T115959,20230609T101610,1.9279,57,A2,0.080145,0.914948,1
20230607T115959,20230609T101610,1.9279,58,A2,0.449028,0.005260,1
20230607T115959,20230609T101610,1.9279,59,A2,0.229193,0.723754,1
20230607T115959,20230609T101610,1.9279,60,A2,0.153377,0.373462,1
20230607T115959,20230609T101610,1.9279,62,A2,0.876109,0.129578,1
20230607T115959,20230609T101610,1.9279,63,A2,0.694851,0.167168,1
20230607T115959,20230609T101610,1.9279,64,A2,0.902063,0.560475,1
20230607T115959,20230609T101610,1.9279,65,A3,0.058704,0.328812,1
20230607T115959,20230609T101610,1.9279,66,A3,0.746881,0.516096,0
20230607T115959,20230609T101610,1.9279,68,A3,0.808402,1.163923,0
20230607T115959,20230609T101610,1.9279,69,A3,0.666004,1.462153,0
20230607T115959,20230609T101610,1.9279,70,A3,0.809345,0.317410,1
20230607T115959,20230609T101610,1.9279,71,A3,0.950876,0.205060,1
20230607T115959,20230609T101610,1.9279,72,A3,0.122144,0.883200,1
20230607T115959,20230609T101610,1.9279,73,A3,-0.326245,1.067770,0
20230607T115959,20230609T101610,1.9279,74,A3,-0.126512,0.034380,1
20230607T115959,20230609T101610,1.9279,75,A3,0.100243,1.088271,0
20230607T115959,20230609T101610,1.9279,76,A3,0.742680,0.674777,0
20230607T115959,20230609T101610,1.9279,77,A3,0.736999,0.006836,1
20230607T115959,20230609T101610,1.9279,78,A3,0.447987,0.397677,1
20230607T115959,20230609T101610,1.9279,79,A3,0.147711,0.546930,0
20230607T115959,20230609T101610,1.9279,80,A3,0.814768,1.815076,0
20230607T115959,20230609T101610,1.9279,81,A3,0.543725,0.723185,1
20230607T115959,20230609T101610,1.9279,82,A3,0.843890,0.350802,0
20230607T115959,20230609T101610,1.9279,83,A3,0.304879,0.945028,1
20230607T115959,20230609T101610,1.9279,84,A3,0.256496,1.383039,0
20230607T115959,20230609T101610,1.9279,85,A3,0.912424,0.000000,1
20230607T115959,20230609T101610,1.9279,87,A3,0.637885,0.000000,1
20230607T115959,20230609T101610,1.9279,88,A3,0.375779,0.000000,1
20230607T115959,20230609T101610,1.9279,89,A3,0.173313,0.734235,1
20230607T115959,20230609T101610,1.9279,90,A3,0.367330,1.068025,0
20230607T115959,20230609T101610,1.9279,92,A3,-0.022040,0.300038,1
20230607T115959,20230609T101610,1.9279,93,A3,0.747836,0.178290,1
20230607T115959,20230609T101610,1.9279,94,A3,0.638415,0.046198,1
20230607T115959,20230609T101610,1.9279,95,A3,0.594473,0.000000,1
20230607T115959,20230609T101610,1.9279,96,A3,0.511299,1.041731,0
20230607T115959,20230609T101610,1.9279,97,A4,0.348179,1.040745,0
20230607T115959,20230609T101610,1.9279,98,A4,0.041770,1.271039,0
20230607T115959,20230609T101610,1.9279,99,A4,0.079456,0.938292,1
20230607T115959,20230609T101610,1.9279,100,A4,-0.005150,0.225558,0
20230607T115959,20230609T101610,1.9279,101,A4,-0.242389,1.047446,0
20230607T115959,20230609T101610,1.9279,102,A4,-0.146154,1.002983,0
20230607T115959,20230609T101610,1.9279,104,A4,-0.252150,0.270163,1
20230607T115959,20230609T101610,1.9279,105,A4,0.535321,0.586125,0
20230607T115959,20230609T101610,1.9279,106,A4,-0.035904,0.688244,1
20230607T115959,20230609T101610,1.9279,107,A4,0.171775,1.013668,0
20230607T115959,20230609T101610,1.9279,108,A4,0.118740,0.976684,1
20230607T115959,20230609T101610,1.9279,109,A4,0.014553,0.000000,1
20230607T115959,20230609T101610,1.9279,110,A4,-0.152691,0.923191,1
20230607T115959,20230609T101610,1.9279,111,A4,-0.180477,0.567320,0
20230607T115959,20230609T101610,1.9279,112,A4,0.020365,0.259172,1
20230607T115959,20230609T101610,1.9279,114,A4,0.100332,0.611576,1
20230607T115959,20230609T101610,1.9279,116,A4,-0.134942,1.070527,0
20230607T115959,20230609T101610,1.9279,118,A4,-0.099281,2.000000,0
20230607T115959,20230609T101610,1.9279,119,A4,0.219887,0.555136,1
20230607T115959,20230609T101610,1.9279,121,A4,0.914326,0.000000,1
20230607T115959,20230609T101610,1.9279,122,A4,0.904402,0.000000,1
20230607T115959,20230609T101610,1.9279,123,A4,-0.054419,1.248058,0
20230607T115959,20230609T101610,1.9279,124,A4,-0.373177,0.182271,1
20230607T115959,20230609T101610,1.9279,125,A4,-0.087650,1.789621,0
20230607T115959,20230609T101610,1.9279,126,A4,-0.082812,0.345790,1
20230607T115959,20230609T101610,1.9279,127,A4,0.038960,0.010326,1
20230607T115959,20230609T101610,1.9279,129,A5,-0.250362,2.000000,0
20230607T115959,20230609T101610,1.9279,130,A5,0.378143,2.000000,0
20230607T115959,20230609T101610,1.9279,132,A5,-0.229685,0.941945,1
20230607T115959,20230609T101610,1.9279,133,A5,0.168478,2.000000,0
20230607T115959,20230609T101610,1.9279,134,A5,0.534007,0.101376,1
20230607T115959,20230609T101610,1.9279,135,A5,0.248189,0.331822,1
20230607T115959,20230609T101610,1.9279,136,A5,0.334633,0.821199,0
20230607T115959,20230609T101610,1.9279,137,A5,0.629882,0.304064,1
20230607T115959,20230609T101610,1.9279,138,A5,0.344366,0.245409,1
20230607T115959,20230609T101610,1.9279,141,A5,0.129978,1.406709,0
20230607T115959,20230609T101610,1.9279,142,A5,0.802199,1.274158,0
20230607T115959,20230609T101610,1.9279,143,A5,-0.104082,1.619311,0
20230607T115959,20230609T101610,1.9279,145,A5,0.291860,0.591870,1
20230607T115959,20230609T101610,1.9279,146,A5,0.939348,0.489021,1
20230607T115959,20230609T101610,1.9279,147,A5,0.677407,0.264711,1
20230607T115959,20230609T101610,1.9279,148,A5,0.623307,0.331241,1
20230607T115959,20230609T101610,1.9279,150,A5,-0.353086,1.013988,0
20230607T115959,20230609T101610,1.9279,151,A5,0.113722,0.165695,1
20230607T115959,20230609T101610,1.9279,152,A5,-0.094658,1.521711,0
20230607T115959,20230609T101610,1.9279,153,A5,0.777715,0.017421,0
20230607T115959,20230609T101610,1.9279,155,A5,0.152041,2.000000,0
20230607T115959,20230609T101610,1.9279,157,A5,-0.009950,0.895190,1
20230607T115959,20230609T101610,1.9279,158,A5,-0.080431,1.213192,0
20230607T115959,20230609T101610,1.9279,160,A5,-0.285143,0.000000,1
20230607T115959,20230614T114327,6.9885,1,A1,-0.301919,0.782482,0
20230607T115959,20230614T114327,6.9885,2,A1,0.313825,0.603018,1
20230607T115959,20230614T114327,6.9885,3,A1,0.153770,0.253521,1
20230607T115959,20230614T114327,6.9885,4,A1,0.061494,0.319504,0
20230607T115959,20230614T114327,6.9885,6,A1,0.156368,0.756197,0
20230607T115959,20230614T114327,6.9885,8,A1,-0.066715,0.969140,1
20230607T115959,20230614T114327,6.9885,9,A1,0.235044,2.000000,0
20230607T115959,20230614T114327,6.9885,10,A1,0.583638,0.547996,0
20230607T115959,20230614T114327,6.9885,11,A1,0.666703,0.068511,1
20230607T115959,20230614T114327,6.9885,12,A1,-0.112393,0.135923,0
20230607T115959,20230614T114327,6.9885,13,A1,0.495603,0.179502,1
20230607T115959,20230614T114327,6.9885,14,A1,0.225361,0.652043,1
20230607T115959,20230614T114327,6.9885,15,A1,-0.337505,1.128476,0
20230607T115959,20230614T114327,6.9885,17,A1,0.180843,0.323645,1
20230607T115959,20230614T114327,6.9885,18,A1,0.219526,0.000728,1
20230607T115959,20230614T114327,6.9885,19,A1,0.393223,0.696037,1
20230607T115959,20230614T114327,6.9885,21,A1,-0.264227,0.836954,1
20230607T115959,20230614T114327,6.9885,22,A1,-0.199375,1.183052,0
20230607T115959,20230614T114327,6.9885,23,A1,-0.467562,0.014483,1
20230607T115959,20230614T114327,6.9885,26,A1,0.347457,0.775159,1
20230607T115959,20230614T114327,6.9885,27,A1,0.062176,0.062288,1
20230607T115959,20230614T114327,6.9885,28,A1,0.588759,1.317200,0
20230607T115959,20230614T114327,6.9885,29,A1,0.474217,0.252906,1
20230607T115959,20230614T114327,6.9885,30,A1,0.540523,0.043131,1
20230607T115959,20230614T114327,6.9885,31,A1,0.767859,0.159633,0
20230607T115959,20230614T114327,6.9885,32,A1,0.704214,0.132623,1
20230607T115959,20230614T114327,6.9885,36,A2,0.233916,0.540827,1
20230607T115959,20230614T114327,6.9885,37,A2,-0.080837,0.276611,1
20230607T115959,20230614T114327,6.9885,38,A2,0.801843,0.580173,1
20230607T115959,20230614T114327,6.9885,39,A2,0.301684,0.886512,1
20230607T115959,20230614T114327,6.9885,40,A2,-0.084968,0.259042,1
20230607T115959,20230614T114327,6.9885,41,A2,0.364247,0.000000,1
20230607T115959,20230614T114327,6.9885,42,A2,0.315232,0.573765,1
20230607T115959,20230614T114327,6.9885,43,A2,0.534075,0.485655,1
20230607T115959,20230614T114327,6.9885,44,A2,0.406625,1.460725,0
20230607T115959,20230614T114327,6.9885,45,A2,0.110284,0.724304,1
20230607T115959,20230614T114327,6.9885,46,A2,0.199471,0.711958,0
20230607T115959,20230614T114327,6.9885,47,A2,0.945070,0.055227,1
20230607T115959,20230614T114327,6.9885,48,A2,-0.027059,0.000000,1
20230607T115959,20230614T114327,6.9885,49,A2,0.015585,0.673287,1
20230607T115959,20230614T114327,6.9885,51,A2,0.240934,0.347614,0
20230607T115959,20230614T114327,6.9885,52,A2,-0.260873,0.655706,1
20230607T115959,20230614T114327,6.9885,53,A2,0.172971,0.332418,1
20230607T115959,20230614T114327,6.9885,54,A2,0.052295,0.804952,1
20230607T115959,20230614T114327,6.9885,55,A2,-0.018976,0.174345,0
20230607T115959,20230614T114327,6.9885,57,A2,-0.458699,0.961563,1
20230607T115959,20230614T114327,6.9885,58,A2,0.298482,0.479609,0
20230607T115959,20230614T114327,6.9885,59,A2,0.322565,0.723754,1
20230607T115959,20230614T114327,6.9885,60,A2,0.069944,0.458603,1
20230607T115959,20230614T114327,6.9885,61,A2,0.719329,1.441874,0
20230607T115959,20230614T114327,6.9885,62,A2,0.535892,0.365135,0
20230607T115959,20230614T114327,6.9885,63,A2,0.468000,0.608863,0
20230607T115959,20230614T114327,6.9885,64,A2,0.741857,0.606937,1
20230607T115959,20230614T114327,6.9885,65,A3,-0.108405,1.425504,0
20230607T115959,20230614T114327,6.9885,66,A3,0.878498,0.675840,1
20230607T115959,20230614T114327,6.9885,67,A3,0.702698,0.000000,1
20230607T115959,20230614T114327,6.9885,68,A3,0.777673,0.336962,1
20230607T115959,20230614T114327,6.9885,69,A3,0.537230,1.174760,0
20230607T115959,20230614T114327,6.9885,70,A3,0.716651,1.743176,0
20230607T115959,20230614T114327,6.9885,71,A3,0.797697,1.493558,0
20230607T115959,20230614T114327,6.9885,72,A3,0.094865,0.109810,1
20230607T115959,20230614T114327,6.9885,73,A3,0.366895,1.129679,0
20230607T115959,20230614T114327,6.9885,74,A3,0.056003,0.272772,1
20230607T115959,20230614T114327,6.9885,75,A3,-0.215807,2.000000,0
20230607T115959,20230614T114327,6.9885,76,A3,0.195346,0.182017,1
20230607T115959,20230614T114327,6.9885,77,A3,0.853309,1.323258,0
20230607T115959,20230614T114327,6.9885,78,A3,0.681469,0.176574,1
20230607T115959,20230614T114327,6.9885,79,A3,0.171513,1.186553,0
20230607T115959,20230614T114327,6.9885,80,A3,0.787533,2.000000,0
20230607T115959,20230614T114327,6.9885,81,A3,0.666605,0.010700,1
20230607T115959,20230614T114327,6.9885,82,A3,0.262490,0.471179,1
20230607T115959,20230614T114327,6.9885,83,A3,0.707271,1.009426,0
20230607T115959,20230614T114327,6.9885,84,A3,-0.565613,0.167722,1
20230607T115959,20230614T114327,6.9885,85,A3,0.838626,0.000000,1
20230607T115959,20230614T114327,6.9885,87,A3,0.221441,0.000000,1
20230607T115959,20230614T114327,6.9885,88,A3,-0.031684,0.757935,1
20230607T115959,20230614T114327,6.9885,89,A3,0.077182,0.081952,1
20230607T115959,20230614T114327,6.9885,90,A3,0.016183,0.965208,1
20230607T115959,20230614T114327,6.9885,91,A3,-0.083592,0.233732,0
20230607T115959,20230614T114327,6.9885,93,A3,0.824322,0.150918,1
20230607T115959,20230614T114327,6.9885,94,A3,0.443509,0.403521,0
20230607T115959,20230614T114327,6.9885,95,A3,-0.515447,0.000000,1
20230607T115959,20230614T114327,6.9885,97,A4,0.082742,0.830492,1
20230607T115959,20230614T114327,6.9885,98,A4,0.289315,0.037979,1
20230607T115959,20230614T114327,6.9885,99,A4,0.121826,0.949743,1
20230607T115959,20230614T114327,6.9885,100,A4,-0.197503,0.295290,0
20230607T115959,20230614T114327,6.9885,101,A4,0.280404,1.060128,0
20230607T115959,20230614T114327,6.9885,104,A4,-0.295788,0.104145,1
20230607T115959,20230614T114327,6.9885,105,A4,0.725975,0.363257,1
20230607T115959,20230614T114327,6.9885,106,A4,-0.074367,0.507365,1
20230607T115959,20230614T114327,6.9885,107,A4,0.142511,1.151370,0
20230607T115959,20230614T114327,6.9885,108,A4,-0.181109,1.760372,0
20230607T115959,20230614T114327,6.9885,109,A4,-0.078537,0.901916,1
20230607T115959,20230614T114327,6.9885,110,A4,-0.116543,1.013286,0
20230607T115959,20230614T114327,6.9885,111,A4,-0.071399,0.139397,1
20230607T115959,20230614T114327,6.9885,112,A4,0.043869,0.965135,1
20230607T115959,20230614T114327,6.9885,114,A4,-0.042882,0.481651,1
20230607T115959,20230614T114327,6.9885,116,A4,0.191549,1.032617,0
20230607T115959,20230614T114327,6.9885,117,A4,0.035639,0.884106,0
20230607T115959,20230614T114327,6.9885,118,A4,0.022624,1.047010,0
20230607T115959,20230614T114327,6.9885,119,A4,0.026598,1.084523,0
20230607T115959,20230614T114327,6.9885,120,A4,0.200360,0.730842,0
20230607T115959,20230614T114327,6.9885,121,A4,0.777834,0.045457,1
20230607T115959,20230614T114327,6.9885,122,A4,0.910779,0.211868,1
20230607T115959,20230614T114327,6.9885,123,A4,0.141505,0.025747,1
20230607T115959,20230614T114327,6.9885,124,A4,0.373708,0.929071,0
20230607T115959,20230614T114327,6.9885,125,A4,0.080987,0.872183,1
20230607T115959,20230614T114327,6.9885,126,A4,0.155773,0.693529,0
20230607T115959,20230614T114327,6.9885,127,A4,0.220491,0.179716,1
20230607T115959,20230614T114327,6.9885,129,A5,0.216830,1.089504,0
20230607T115959,20230614T114327,6.9885,130,A5,-0.012700,1.036162,0
20230607T115959,20230614T114327,6.9885,132,A5,-0.191144,1.099949,0
20230607T115959,20230614T114327,6.9885,133,A5,-0.012941,0.029351,1
20230607T115959,20230614T114327,6.9885,134,A5,0.605116,0.997907,0
20230607T115959,20230614T114327,6.9885,135,A5,-0.335690,1.009628,0
20230607T115959,20230614T114327,6.9885,136,A5,0.481133,1.101080,0
20230607T115959,20230614T114327,6.9885,137,A5,0.391375,0.345025,1
20230607T115959,20230614T114327,6.9885,138,A5,0.779442,0.684990,1
20230607T115959,20230614T114327,6.9885,141,A5,0.224809,1.857844,0
20230607T115959,20230614T114327,6.9885,142,A5,0.691033,1.286713,0
20230607T115959,20230614T114327,6.9885,143,A5,0.353386,0.845828,1
20230607T115959,20230614T114327,6.9885,145,A5,0.106839,0.584269,1
20230607T115959,20230614T114327,6.9885,146,A5,0.446081,0.000000,1
20230607T115959,20230614T114327,6.9885,147,A5,0.661093,0.190656,1
20230607T115959,20230614T114327,6.9885,150,A5,0.023988,0.930632,1
