channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,9,0.19634163444210728,0.2554970043704957,0.9788314078626618,0.19634163444210728,-0.12493500109978734,0.15775923072862472,0.13805025006779617,0.16716010071463078,-0.07173785834562685,8,1,0,8,0.8888888888888888,0.1015625,0.5578125
2,A1,0,6,-0.0045237840518970625,-0.08518672933827663,0.188151417107905,0.0045237840518970625,0.051575140514464185,0.05005987133894184,0.051575140514464185,0.05919655524469422,0.008041917532271431,3,3,0,3,0.5,0.6875,0.9476351351351351
3,A1,0,7,0.04502664683568387,0.16355006388068194,0.8618936388254276,0.04502664683568387,0.00030741073010775197,0.06684784351253249,0.01109134439498103,0.08491122373092277,0.04938404444069896,6,1,0,4,0.5714285714285714,0.21875,0.6954545454545454
4,A1,0,9,-0.0620311722730018,-0.14678622976632089,0.24238907249453917,0.0620311722730018,0.06771948910302254,0.004091466787407996,0.07423873248414078,0.03758656345812851,0.08152872131708115,3,6,0,4,0.4444444444444444,0.1640625,0.6436298076923077
6,A1,0,9,-0.04606817615761605,0.02431333047306377,0.30835318340156337,0.04606817615761605,0.003076612297509031,-0.04106898739600363,0.03480065339488444,0.04106898739600363,0.03529750462553347,3,6,0,7,0.7777777777777778,0.25,0.6954545454545454
8,A1,0,8,0.03863339413309411,-0.10845023584376273,0.9626057801408924,0.03863339413309411,0.2709140845159312,0.670130739170076,0.2709140845159312,1.0,-0.05697606634002797,4,3,1,4,0.5,0.9375,0.9838966836734694
9,A1,0,9,0.3387508556734675,0.5049959955149552,0.561457630512934,0.3387508556734675,-0.2187070396008351,0.08360804764788181,0.3797274722582159,0.08360804764788181,-0.03148476248474233,8,1,0,6,0.6666666666666666,0.01171875,0.298828125
10,A1,0,9,0.08828046638433534,0.16998303913543258,0.33957923401954054,0.08828046638433534,-0.08028352390441913,-0.02324990118699539,0.08028352390441913,0.13585773950748967,0.1554682346482156,6,3,0,3,0.3333333333333333,0.203125,0.6954545454545454
11,A1,0,9,0.07540643264330171,0.1528472716237806,0.4443494718494578,0.07540643264330171,0.11911510472388857,0.45195928360589666,0.11911510472388857,0.45195928360589666,0.6047713000729696,6,3,0,2,0.2222222222222222,0.30078125,0.7470703125
12,A1,0,9,0.08189956833900071,0.12198633828472912,0.2647258147298396,0.08189956833900071,-0.017844825478260756,0.1680455776953699,0.18837827599473372,0.1680455776953699,0.021513053812646912,6,2,1,6,0.6666666666666666,0.25,0.6954545454545454
