channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
1,A1,9,0.07902955595980368,0.06601052132840397,0.7777777777777778,7,0.1402222695624554,0.4976635226531406,0.16716010071463078,0.35504611607956305,False,7,False,
2,A1,6,-0.00580779178943153,-0.03070301303250836,0.6666666666666666,4,0.015459387692450033,0.0829417915143982,0.05919655524469422,0.09410642917368212,False,0,False,
3,A1,7,-0.06400101746367873,-0.007834546045616005,0.8571428571428571,6,0.05551324007546251,0.5377567772312726,0.08491122373092277,0.8211839803930236,False,2,False,
4,A1,9,0.050444507069646524,0.028863306778460492,0.5555555555555556,5,0.03634079297461415,0.0823420517237924,0.03758656345812851,0.08618108364426887,False,6,False,
6,A1,9,0.03758620181355049,0.0017275289585524905,0.7777777777777778,7,-0.0388456772416527,0.05094047947957798,0.04106898739600363,0.055197585782911264,False,2,False,
8,A1,8,0.03155290122159127,-0.01768926420899247,0.75,6,0.3005428151402018,0.8059669412442444,1.0,0.9359189572185376,False,2,False,
9,A1,9,0.2479152193535366,0.2502640814944749,0.6666666666666666,6,0.23191500104085275,0.3716390104344026,0.08360804764788181,0.1427733636993456,False,8,False,
10,A1,9,0.06548482193627983,0.06207077207143824,0.5555555555555556,5,0.005375646429631438,0.21086153052210257,0.13585773950748967,0.25087157596452736,False,6,False,
11,A1,9,0.46908624408893596,0.4584260589661614,0.7777777777777778,7,0.3872739959525705,0.4348530646956543,0.45195928360589666,0.46962984854189865,True,9,False,
12,A1,9,0.0787131080529162,0.11858291740843796,0.8888888888888888,8,0.2474451156496612,0.3060522788706985,0.1680455776953699,0.24815620902123517,False,6,False,
13,A1,9,0.48709761154820447,0.42033144157900293,0.8888888888888888,8,0.3811924457840325,0.31322005731000097,0.3904682596652489,0.3468030507198469,True,9,False,
14,A1,9,0.09652840218456188,0.043942237407809476,0.6666666666666666,6,0.1260096387464292,0.35456348816510863,0.13626897215785375,0.2694188856175047,False,6,False,
15,A1,9,0.5911825194279099,0.4883820583290084,0.7777777777777778,7,-0.10568378760823725,0.5730221055308082,0.2234010085983829,0.7377180652418796,False,8,False,
17,A1,9,0.35998909179127525,0.23951651415530514,0.5555555555555556,5,0.049594568494975344,0.48733852134546274,0.1456204713733882,0.31748067932846524,False,8,False,
18,A1,9,0.6506586177966388,0.45865019877402563,0.8888888888888888,8,0.1953573442054942,0.5284125931132678,0.24313501327135706,0.49202404247717524,True,9,True,
19,A1,9,0.3809957465720345,0.3010201758494811,0.6666666666666666,6,-0.00794144341903116,0.38527212686537615,0.15472504041554408,0.24126415625133274,False,8,False,
20,A1,5,0.08618132043433671,0.04564686029532107,0.6,3,-0.19156203441311576,0.4055840039095769,0.02318378177162117,0.0908056534941328,False,2,False,
21,A1,7,0.09021831227994295,0.08636850566524154,0.7142857142857143,5,0.12149985176424827,0.2836577870759865,0.13969084374653418,0.2138825515233795,False,3,False,
22,A1,9,0.556356716250388,0.523763320116211,1.0,9,0.5029651480129695,0.2942621927666067,0.4221090497880474,0.2880439832417242,False,8,False,
23,A1,9,0.17989056692657557,0.09442892625757192,0.6666666666666666,6,0.11814312310882359,0.549714765256617,0.14084072454937296,0.7672115953018581,False,7,False,
24,A1,8,0.06579128514497633,0.033359187092834225,0.5,4,0.02673503113087889,0.11761400949385846,0.10331096459247799,0.12766394776925838,False,6,False,
25,A1,4,0.2048255417885791,0.08221821474733461,0.75,3,0.47882476752482395,0.40156739086999965,0.5216333376081804,0.5639838025585326,False,3,False,
