session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20230609T101610,20230614T114327,5.0606,1,A1,0.409688,0.408911,1
20230609T101610,20230614T114327,5.0606,4,A1,-0.104287,0.048629,1
20230609T101610,20230614T114327,5.0606,6,A1,-0.359652,0.034373,1
20230609T101610,20230614T114327,5.0606,8,A1,0.128540,0.422099,1
20230609T101610,20230614T114327,5.0606,9,A1,0.727610,0.169917,1
20230609T101610,20230614T114327,5.0606,10,A1,-0.117068,0.325813,1
20230609T101610,20230614T114327,5.0606,11,A1,0.762352,0.009474,1
20230609T101610,20230614T114327,5.0606,12,A1,0.256641,0.039449,1
20230609T101610,20230614T114327,5.0606,13,A1,0.648703,0.239919,1
20230609T101610,20230614T114327,5.0606,14,A1,0.275266,1.010469,0
20230609T101610,20230614T114327,5.0606,15,A1,0.815005,0.038535,1
20230609T101610,20230614T114327,5.0606,17,A1,0.652354,0.276931,0
20230609T101610,20230614T114327,5.0606,18,A1,0.611248,0.532711,1
20230609T101610,20230614T114327,5.0606,19,A1,0.638072,0.212228,1
20230609T101610,20230614T114327,5.0606,22,A1,0.445752,0.248531,1
20230609T101610,20230614T114327,5.0606,23,A1,0.712888,0.767844,1
20230609T101610,20230614T114327,5.0606,26,A1,0.146478,0.746235,1
20230609T101610,20230614T114327,5.0606,27,A1,0.143377,0.056385,1
20230609T101610,20230614T114327,5.0606,28,A1,0.139658,0.683324,1
20230609T101610,20230614T114327,5.0606,29,A1,0.412039,0.156454,1
20230609T101610,20230614T114327,5.0606,30,A1,0.474023,0.000000,1
20230609T101610,20230614T114327,5.0606,31,A1,0.241932,0.248145,0
20230609T101610,20230614T114327,5.0606,32,A1,0.426033,0.818894,1
20230609T101610,20230614T114327,5.0606,33,A2,-0.026554,0.022020,1
20230609T101610,20230614T114327,5.0606,34,A2,0.002426,0.878655,1
20230609T101610,20230614T114327,5.0606,36,A2,-0.130800,0.751220,1
20230609T101610,20230614T114327,5.0606,37,A2,-0.018550,2.000000,0
20230609T101610,20230614T114327,5.0606,38,A2,0.643604,0.792730,1
20230609T101610,20230614T114327,5.0606,39,A2,0.287037,0.370459,0
20230609T101610,20230614T114327,5.0606,40,A2,0.392157,0.271888,0
20230609T101610,20230614T114327,5.0606,41,A2,0.303444,0.286926,1
20230609T101610,20230614T114327,5.0606,42,A2,0.223739,0.694971,1
20230609T101610,20230614T114327,5.0606,43,A2,0.544182,0.319812,1
20230609T101610,20230614T114327,5.0606,44,A2,0.010189,0.764113,0
20230609T101610,20230614T114327,5.0606,45,A2,0.255675,0.878858,0
20230609T101610,20230614T114327,5.0606,46,A2,0.233911,0.373600,0
20230609T101610,20230614T114327,5.0606,47,A2,0.850803,0.589618,1
20230609T101610,20230614T114327,5.0606,48,A2,0.095818,0.376084,1
20230609T101610,20230614T114327,5.0606,49,A2,0.204443,0.021052,0
20230609T101610,20230614T114327,5.0606,50,A2,0.006973,0.093519,1
20230609T101610,20230614T114327,5.0606,51,A2,-0.005455,1.361239,0
20230609T101610,20230614T114327,5.0606,52,A2,0.298027,0.144234,1
20230609T101610,20230614T114327,5.0606,53,A2,-0.122660,0.501362,0
20230609T101610,20230614T114327,5.0606,54,A2,-0.053347,0.012225,1
20230609T101610,20230614T114327,5.0606,55,A2,0.266412,0.004219,1
20230609T101610,20230614T114327,5.0606,56,A2,0.185925,0.000000,1
20230609T101610,20230614T114327,5.0606,57,A2,-0.188545,0.037909,0
20230609T101610,20230614T114327,5.0606,58,A2,-0.188797,0.211229,1
20230609T101610,20230614T114327,5.0606,59,A2,0.218260,0.033049,1
20230609T101610,20230614T114327,5.0606,60,A2,0.091597,0.688118,1
20230609T101610,20230614T114327,5.0606,62,A2,0.137824,0.000000,1
