rank,list,channel,array_name,delta_si_median,delta_si_median_abs,qualifying_conditions,si_a_median_abs,si_b_median_abs,waveform_r_median,sign_flip_rate,n_matched_sessions
1,different10,47,A2,1.3933689064590173,1.3933689064590173,AgoB+BgoA,0.7635717439944743,0.9723867206134726,-0.1774066001246105,0.8,10
2,different10,15,A1,-1.0669610442391024,1.0669610442391024,BgoA,0.48955936313826676,0.6928007737976705,0.31501260455822294,0.8,10
3,different10,62,A2,-0.8196656433202463,0.8196656433202463,BgoA,0.5884517662991097,0.44243989306828235,0.36949075416197064,0.8,10
4,different10,147,A5,-0.7999405557372405,0.7999405557372405,BgoA,0.6363639248206653,0.33841644028022694,0.6957647660520407,0.8,10
5,different10,82,A3,0.477351061477356,0.477351061477356,BgoA,0.34938629759377093,0.9350242482200632,0.7086308336799121,0.1,10
6,different10,31,A1,-0.4476167908475337,0.4476167908475337,BgoA,0.22895051435874614,0.1469440658293179,0.14102668906037644,0.7,10
7,different10,22,A1,0.3885691086531939,0.3885691086531939,AgoB+BgoA,0.5249584281689734,0.2838831304512174,0.806773020268752,0.2,10
8,different10,121,A4,-0.3227271514270361,0.3227271514270361,AgoB+BgoA,0.46058731252696306,0.9772715313253106,0.6007546977098336,0.0,10
9,different10,63,A2,-0.26130104295501577,0.26130104295501577,AgoB,0.25075025072223683,0.2703304065377229,0.5828198348700788,0.3,10
10,different10,85,A3,0.20820028738316426,0.20820028738316426,AgoB,0.5548435260283895,0.5919202672371449,0.7132962722221334,0.2,10
