channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,10,0.02881456525272074,0.3509308197349587,0.7139738990524094,0.02881456525272074,-0.31866122342470804,-0.0890890561035409,0.31866122342470804,0.19693661306817323,0.0027140179011979973,5,5,0,5,0.5,0.431640625,0.7794540229885057
2,A1,0,7,0.10676503289934292,0.3532433458434831,0.6801877946545611,0.10676503289934292,0.008204563822609182,0.06320150755199169,0.08018195456714264,0.06320150755199169,0.19135790496877608,5,2,0,4,0.5714285714285714,0.109375,0.43469551282051283
3,A1,0,8,0.006207166051135309,-0.04826857915887691,0.3503447160266506,0.006207166051135309,-0.0025217892442947216,0.00014290060644627872,0.009616834518975777,0.0440100055717092,-0.019557309258426116,5,3,0,2,0.25,0.640625,0.9362340856481481
4,A1,0,10,-0.13397502978406528,0.01321858503038841,0.4691568040723374,0.13397502978406528,0.1985848928176067,0.04737343343371263,0.2287249294133074,0.08245126031783084,0.036309899858240624,4,6,0,4,0.4,0.6953125,0.9709318693693694
6,A1,0,10,-0.0467470653702958,-0.2514037340150749,0.5167687824367015,0.0467470653702958,0.02530680363005513,0.0024735597292432398,0.053168295368723084,0.03855400877744233,0.15117742236051931,3,7,0,4,0.4,0.10546875,0.43469551282051283
8,A1,0,9,0.30532714579864406,0.5277266257877993,0.677908183475174,0.30532714579864406,-0.019549120779458255,0.2857780250191858,0.1626414752115305,0.2857780250191858,0.06175412835786373,7,2,0,5,0.5555555555555556,0.0390625,0.2883184523809524
9,A1,0,10,-0.3985774043880962,-0.6831266261254713,0.6786736646452775,0.3985774043880962,0.5619767904614285,-0.21289636048951327,0.5619767904614285,0.5132580386029901,0.06542999836720223,2,8,0,6,0.6,0.009765625,0.11643629807692307
10,A1,0,10,-0.245597511092174,-0.32082090117316797,0.40245442627801375,0.245597511092174,0.12735229243053456,-0.07340518594426194,0.1421567741329739,0.11824521866163945,0.09526352700957003,2,8,0,6,0.6,0.02734375,0.264892578125
11,A1,0,10,0.11984797836544224,0.12311244842203481,0.36505427535128837,0.11984797836544224,0.17059448621534434,0.13224771839879274,0.2621696754278009,0.13224771839879274,0.18222022844227426,6,4,0,3,0.3,0.431640625,0.7794540229885057
12,A1,0,10,-0.19912239158114842,-0.16178201197150233,0.2710064679045522,0.19912239158114842,0.1783570601080822,0.03415059193905422,0.1783570601080822,0.18518523521067182,0.010071983329955736,1,9,0,5,0.5,0.064453125,0.3700086805555556
13,A1,0,10,-0.05837505527224706,-0.12802983078975078,0.2265470708081938,0.05837505527224706,0.11565010713111623,-0.0020285492968561874,0.11565010713111623,0.0980156518426215,0.31528214419842904,3,7,0,3,0.3,0.130859375,0.4507378472222222
14,A1,0,10,-0.1061185481418167,-0.12416363048774386,0.30808008459332553,0.1061185481418167,0.4406872541168978,0.1546253099050949,0.4406872541168978,0.1546253099050949,0.12321963339075195,2,7,1,1,0.1,0.203125,0.5622209821428571
15,A1,0,10,-1.0669610442391024,-1.01276481020698,0.6723534272395957,1.0669610442391024,0.48955936313826676,-0.6275339388542126,0.48955936313826676,0.6928007737976705,0.31501260455822294,1,9,0,8,0.8,0.005859375,0.11643629807692307
17,A1,0,10,-0.317914032037424,-0.32258842579884905,0.438303063510074,0.317914032037424,0.25667139409479955,0.010230035671169226,0.25667139409479955,0.11391675190738162,0.21179947520820863,3,7,0,7,0.7,0.064453125,0.3700086805555556
18,A1,0,10,-0.21753994165711896,-0.19019770563059232,0.4198107958842763,0.21753994165711896,0.5287438831874136,0.09681403731219596,0.5287438831874136,0.09681403731219596,-0.02428122450458773,3,7,0,2,0.2,0.232421875,0.5905801741803278
19,A1,0,10,0.8260660932304389,0.6330004438844259,0.3633260517546458,0.8260660932304389,-0.006103702918517733,0.6625412426631216,0.09208254882419864,0.6625412426631216,0.16536620785607736,10,0,0,4,0.4,0.001953125,0.07568359375
20,A1,0,5,-0.014162540254437209,-0.12436703020342854,0.2563343891315219,0.014162540254437209,0.062050269408527106,0.0478877291540899,0.062050269408527106,0.0478877291540899,-0.04354684930841308,1,4,0,1,0.2,0.4375,0.7794540229885057
21,A1,0,8,0.03256490241660373,0.09362879842407598,0.31714640640291103,0.03256490241660373,0.08750237683574881,0.14507556429672352,0.09429705348851464,0.14507556429672352,0.35784778163447084,5,3,0,1,0.125,0.7421875,0.9782386893656716
22,A1,0,10,0.3885691086531939,0.31660073365720665,0.7478440747838069,0.3885691086531939,-0.5249584281689734,-0.17465344909813124,0.5249584281689734,0.2838831304512174,0.806773020268752,8,2,0,2,0.2,0.232421875,0.5905801741803278
23,A1,0,10,0.011796252798591363,-0.00968691511148865,0.30722481085064973,0.011796252798591363,0.06851887235280767,0.08771170460181568,0.14582266464958477,0.11817037280056837,0.32913044500612276,5,5,0,5,0.5,0.921875,0.9992351398601399
24,A1,0,9,0.013530874186171379,0.048791749391184594,0.5468479668036348,0.013530874186171379,-0.04354108122424006,-0.06810278583429909,0.18450401134783415,0.07950008626968119,-0.07425486742789147,5,4,0,5,0.5555555555555556,0.91015625,0.9992351398601399
25,A1,0,5,0.4917772881087483,0.3373253582713368,0.6922556153477274,0.4917772881087483,0.5082227118912517,0.4681483539784886,0.5286092488448618,0.4681483539784886,0.04088026184491201,3,2,0,1,0.2,0.4375,0.7794540229885057
26,A1,0,10,0.023816179876691018,-0.026078965328604292,0.43678542231214595,0.023816179876691018,0.256609555418492,0.05692915736786415,0.4007364585100849,0.08468808029822797,-0.000855133216921454,5,5,0,2,0.2,1.0,1.0
