rank,list,channel,array_name,delta_si_median,delta_si_median_abs,qualifying_conditions,si_a_median_abs,si_b_median_abs,waveform_r_median,sign_flip_rate,n_matched_sessions
1,similar10,146,A5,0.0,0.0,AgoB,0.49438021309703084,0.3795771623261165,0.6554736920148208,0.0,10
2,similar10,30,A1,0.0,0.0,AgoB+BgoA,1.0,1.0,0.0661710291774099,0.0,10
3,similar10,137,A5,0.006239659890197674,0.006239659890197674,AgoB+BgoA,0.17288135076953348,0.24345588855308797,0.5787771364079368,0.2,10
4,similar10,64,A2,-0.060544898345151095,0.060544898345151095,BgoA,0.4397673190324033,0.39341384582576866,0.32986136771571223,0.2,10
5,similar10,11,A1,0.11984797836544224,0.11984797836544224,BgoA,0.2621696754278009,0.13224771839879274,0.18222022844227426,0.3,10
6,similar10,122,A4,-0.1637209210026674,0.1637209210026674,AgoB+BgoA,0.6888476149257734,0.9961096376459828,0.6587089183502379,0.0,10
7,similar10,29,A1,-0.18212421886768043,0.18212421886768043,BgoA,0.4151572544508245,0.11605611393943602,0.3173827948731009,0.4,10
8,similar10,32,A1,0.19085159578824976,0.19085159578824976,AgoB+BgoA,0.5264037108222315,0.7735525388620337,0.6046465522388196,0.0,10
9,similar10,85,A3,0.20820028738316426,0.20820028738316426,AgoB,0.5548435260283895,0.5919202672371449,0.7132962722221334,0.2,10
10,similar10,63,A2,-0.26130104295501577,0.26130104295501577,AgoB,0.25075025072223683,0.2703304065377229,0.5828198348700788,0.3,10
