session_id,channel,array_name,si_a,si_b,delta_si,waveform_r,sign_a,sign_b,sign_flip,task_evoked_a,task_evoked_b
20230609T101610.A_Curius.B_VC.SCP_01,1,A1,0.051648164033276024,0.08519763935217424,0.033549475318898216,-0.07458111778564801,1,1,0,0,1
20230609T101610.A_Curius.B_VC.SCP_01,4,A1,0.0831908898144044,0.13875339698920544,0.055562507174801046,0.23611280980710356,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,6,A1,0.03648440634500742,-0.04106898739600363,-0.07755339374101106,-0.002218200961101956,1,-1,1,1,0
20230609T101610.A_Curius.B_VC.SCP_01,8,A1,0.2151174949277447,0.5779007069604365,0.3627832120326918,-0.004713706040562816,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,9,A1,1.0,1.0,0.0,0.8412435714299741,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,10,A1,0.7093418389179004,0.3886883291890684,-0.32065350972883194,-0.06408103084485355,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,11,A1,1.0,1.0,0.0,0.5659647224919558,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,12,A1,0.3345622182211966,0.10289098333396576,-0.23167123488723082,0.14462971265859836,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,13,A1,0.16219583100554094,0.5928644990602023,0.4306686680546614,0.6385386747436366,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,14,A1,0.09959162871217617,-0.010469178810456288,-0.11006080752263245,0.21089526484272583,1,-1,1,1,1
20230609T101610.A_Curius.B_VC.SCP_01,15,A1,-0.4245277492123844,-0.2234010085983829,0.2011267406140015,0.8422189334673492,-1,-1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,16,A1,1.0,1.0,0.0,0.3387048566723848,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,17,A1,1.0,0.27388037950546573,-0.7261196204945343,0.6056837577114758,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,18,A1,0.9376326640833443,0.6967205384949738,-0.2409121255883705,0.9091225401742834,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,19,A1,0.649577823053155,0.2977763693562365,-0.3518014536969185,0.732743533933285,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,22,A1,-0.10272692035317152,0.23840750129394073,0.3411344216471123,0.4650952687509818,-1,1,1,1,1
20230609T101610.A_Curius.B_VC.SCP_01,23,A1,0.25703867876107916,0.23215646948218452,-0.024882209278894646,0.6291299186985188,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,24,A1,-0.1983924932016997,-0.1283621849897425,0.07003030821195719,0.2724031411918468,-1,-1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,25,A1,0.540097621056402,0.5493797234400851,0.0092821023836831,0.6689014189845522,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,26,A1,1.0,1.0,0.0,0.8180624236453486,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,27,A1,0.45081613338518356,0.2941075091924715,-0.1567086241927121,0.042495346619770856,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,28,A1,0.7739379273416569,0.31667622499868214,-0.45726170234297475,0.3585296515147575,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,29,A1,0.3654718087266516,0.22863937858477054,-0.13683243014188104,0.06906680099369691,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,30,A1,0.6350045220942006,1.0,0.36499547790579945,0.5773569880700499,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,31,A1,-0.1496220091960015,0.028701903565088845,0.17832391276109033,0.5966156575837692,-1,1,1,1,1
20230609T101610.A_Curius.B_VC.SCP_01,32,A1,0.2470395717519023,0.18110560948634924,-0.06593396226555306,0.28928171316888557,1,1,0,1,0
20230609T101610.A_Curius.B_VC.SCP_01,33,A2,-0.000938816367478491,-0.021341475645395232,-0.020402659277916742,0.14553968324486033,-1,-1,0,0,0
20230609T101610.A_Curius.B_VC.SCP_01,34,A2,0.021476358124969522,0.12134541059883217,0.09986905247386264,0.12230977447525193,1,1,0,0,0
20230609T101610.A_Curius.B_VC.SCP_01,36,A2,0.24831255705647162,0.24877967407306306,0.00046711701659143956,0.08712999392515677,1,1,0,0,0
20230609T101610.A_Curius.B_VC.SCP_01,37,A2,0.6452527629244552,-1.0,-1.6452527629244553,-0.25620855123649877,1,-1,1,0,0
20230609T101610.A_Curius.B_VC.SCP_01,38,A2,1.0,1.0,0.0,0.7112238534004921,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,39,A2,-0.4524396604085046,0.15539699142386015,0.6078366518323648,0.22782909314440836,-1,1,1,1,1
20230609T101610.A_Curius.B_VC.SCP_01,40,A2,0.030471867735185003,0.10684072120517407,0.07636885346998906,0.2135110410127008,1,1,0,0,0
20230609T101610.A_Curius.B_VC.SCP_01,41,A2,1.0,1.0,0.0,0.16968242710743636,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,42,A2,-0.36916203325945546,1.0,1.3691620332594554,-0.08562422099667058,-1,1,1,0,0
20230609T101610.A_Curius.B_VC.SCP_01,43,A2,0.11275470667431062,0.22052246843753495,0.10776776176322433,0.463641005333136,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,44,A2,0.3450846341874153,0.07670517932567954,-0.26837945486173576,0.06048949213640388,1,1,0,0,0
20230609T101610.A_Curius.B_VC.SCP_01,45,A2,0.014899286302498637,-0.0518719826707828,-0.06677126897328144,0.530211316679785,1,-1,1,0,0
20230609T101610.A_Curius.B_VC.SCP_01,46,A2,-0.2630873466084944,-0.23791823188851666,0.025169114719977764,0.00707820044938619,-1,-1,0,0,0
20230609T101610.A_Curius.B_VC.SCP_01,47,A2,0.142507897747059,0.4103822424026795,0.26787434465562054,0.7598832740068392,1,1,0,1,1
20230609T101610.A_Curius.B_VC.SCP_01,48,A2,-1.0,-0.6239157298886043,0.37608427011139567,0.021561205179622206,-1,-1,0,0,1
20230609T101610.A_Curius.B_VC.SCP_01,49,A2,0.005678568188597193,0.016378561630744873,0.010699993442147681,0.0634471536557328,1,1,0,0,0
20230609T101610.A_Curius.B_VC.SCP_01,50,A2,-1.0,0.12676441650375192,1.126764416503752,-0.15744174715536632,-1,1,1,0,0
