channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,9,-0.0001703274767244356,-0.11479661252515151,0.2674909410560321,0.0001703274767244356,0.29611485532032045,0.15775923072862472,0.29611485532032045,0.16716010071463078,0.2061078879365435,3,5,1,0,0.0,0.3125,0.8693181818181818
2,A1,0,6,0.007875876308058853,-0.07803210211731394,0.19761785824606956,0.007875876308058853,0.06465323083431562,0.05005987133894184,0.07773197685719754,0.05919655524469422,0.14588875311448987,3,3,0,4,0.6666666666666666,0.84375,1.0
3,A1,0,7,0.07730231805262766,0.019378249577779942,0.3042747856062263,0.07730231805262766,-0.032297280734158974,0.06684784351253249,0.11208289905862989,0.08491122373092277,0.16028215533458173,5,1,1,3,0.42857142857142855,0.4375,0.9530194256756757
4,A1,0,9,-0.071286351270253,-0.09213886619007843,0.14030306284141053,0.071286351270253,0.1098222121993242,0.004091466787407996,0.1098222121993242,0.03758656345812851,0.1547128515342247,2,7,0,3,0.3333333333333333,0.09765625,0.83671875
6,A1,0,9,-0.07755339374101106,-0.18204988010481774,0.3346547518087199,0.07755339374101106,0.03648440634500742,-0.04106898739600363,0.04326746979696678,0.04106898739600363,0.019483333840559103,3,6,0,5,0.5555555555555556,0.09765625,0.83671875
8,A1,0,8,0.06559793351232751,-0.034578680722969504,0.8770953435264913,0.06559793351232751,0.23797021637298638,0.670130739170076,0.4005604432053085,1.0,0.07452684239569443,4,3,1,2,0.25,0.8125,1.0
9,A1,0,9,-0.06215558218580455,-0.1390102050040425,0.3672781791199919,0.06215558218580455,0.323096598650312,0.08360804764788181,0.323096598650312,0.08360804764788181,0.35757127510137543,2,6,1,2,0.2222222222222222,0.3125,0.8693181818181818
10,A1,0,9,-0.16273721027651608,-0.21701144132333028,0.34236243079459855,0.16273721027651608,0.026879470769026415,-0.02324990118699539,0.151782205933374,0.13585773950748967,0.14491712617016503,3,6,0,6,0.6666666666666666,0.1640625,0.86328125
11,A1,0,9,-0.009473859401731954,-0.1808715784789806,0.32425398809996053,0.009473859401731954,0.4823437434018834,0.45195928360589666,0.4823437434018834,0.45195928360589666,0.3253985276188036,2,6,1,2,0.2222222222222222,0.1484375,0.86328125
12,A1,0,9,-0.01213685313528523,-0.10583233644323777,0.2888689791745111,0.01213685313528523,0.3345622182211966,0.1680455776953699,0.3345622182211966,0.1680455776953699,0.14462971265859836,3,6,0,1,0.1111111111111111,0.359375,0.9446824596774194
13,A1,0,9,0.3359747950683211,0.27354088077925603,0.5493244919669823,0.3359747950683211,0.16219583100554094,0.3904682596652489,0.25774529991278655,0.3904682596652489,0.5506123630145132,6,3,0,4,0.4444444444444444,0.203125,0.86328125
14,A1,0,9,-0.11006080752263245,-0.25617642749136166,0.3292371157014254,0.11006080752263245,0.14621581827832517,-0.031154992204487558,0.14621581827832517,0.13626897215785375,0.1078836327895402,3,5,1,4,0.4444444444444444,0.109375,0.83671875
15,A1,0,9,0.16448272502955388,-0.0280454927103481,1.1859650894222509,0.16448272502955388,-0.3636206636870201,-0.18486599386567337,0.4245277492123844,0.2234010085983829,0.6531502358441371,6,3,0,5,0.5555555555555556,0.8515625,1.0
17,A1,0,9,-0.05755123547384294,-0.1134046572923326,0.28058871024413035,0.05755123547384294,0.054500383463135134,-0.003050852010707811,0.11008547809637641,0.1456204713733882,0.5928975314893331,3,6,0,4,0.4444444444444444,0.30078125,0.8693181818181818
18,A1,0,9,-0.15595773804090834,-0.42799167242608804,0.5728796390877421,0.15595773804090834,0.8906347737057452,0.16400964833226103,0.8906347737057452,0.24313501327135706,0.5903101486628294,0,8,1,1,0.1111111111111111,0.0078125,0.2390625
19,A1,0,9,-0.3518014536969185,-0.47670529027590597,0.475060416549763,0.3518014536969185,0.4044364628708616,0.08554835596159546,0.4044364628708616,0.15472504041554408,0.4306720431785991,0,9,0,3,0.3333333333333333,0.00390625,0.2390625
20,A1,0,5,0.007325808112471632,-0.23478199699963787,0.4266189203403136,0.007325808112471632,0.015225110152062437,-0.015615472431855796,0.0276123702169606,0.02318378177162117,0.14615587090371135,3,2,0,2,0.4,0.8125,1.0
21,A1,0,7,-0.047373531986989785,-0.11524634452204131,0.14731776968797358,0.047373531986989785,0.13551713751911224,0.04513423455423406,0.13551713751911224,0.13969084374653418,0.18158868519173818,2,5,0,1,0.14285714285714285,0.078125,0.83671875
22,A1,0,9,0.0,-0.034716465473150084,0.2932054016588103,0.0,0.5460159577122802,0.4221090497880474,0.5460159577122802,0.4221090497880474,0.7388303695118433,4,4,1,1,0.1111111111111111,0.9453125,1.0
23,A1,0,9,-0.024882209278894646,-0.1217639105227413,0.3992119617149859,0.024882209278894646,0.14376237664457536,0.022080764940489224,0.25703867876107916,0.14084072454937296,0.3771739581854645,2,6,1,2,0.2222222222222222,0.3828125,0.9446824596774194
24,A1,0,8,0.043221955155714926,0.015092966608959157,0.1676131960034252,0.043221955155714926,0.013719556079851907,0.009399369883462058,0.1474197602005666,0.10331096459247799,0.105352852886724,5,3,0,1,0.125,0.84375,1.0
25,A1,0,4,-0.08423360396864785,-0.09780932021864357,0.17064257991606754,0.08423360396864785,0.6058669415768283,0.5216333376081804,0.6058669415768283,0.5216333376081804,0.3071731503747354,2,2,0,1,0.25,0.625,1.0
26,A1,0,9,0.013292224123073154,0.05476854044418303,0.18216714855984453,0.013292224123073154,-0.02174460356197181,-0.02173889043499289,0.1922787601482354,0.16296622226781804,0.26543750678716604,5,3,1,3,0.3333333333333333,0.546875,1.0
27,A1,0,9,-0.003050783268734281,-0.07706735852718492,0.23702221163183054,0.003050783268734281,0.45081613338518356,0.2941075091924715,0.45081613338518356,0.2941075091924715,0.28816457831990727,3,6,0,1,0.1111111111111111,0.49609375,0.9987150493421053
28,A1,0,9,-0.15266300195567042,-0.3095121498797194,0.3979174392169051,0.15266300195567042,0.7739379273416569,0.15139294917148172,0.7739379273416569,0.31667622499868214,0.22108055010175895,2,6,1,2,0.2222222222222222,0.109375,0.83671875
