session_id,array,n_present,n_missing,missing_channels
20210401T124246.A_Elmo.B_KN.SCP_01,A1,32,0,
20210401T124246.A_Elmo.B_KN.SCP_01,A2,32,0,
20210401T124246.A_Elmo.B_KN.SCP_01,A3,32,0,
20210401T124246.A_Elmo.B_KN.SCP_01,A4,32,0,
20210401T124246.A_Elmo.B_KN.SCP_01,A5,32,0,
20210416T105525.A_Elmo.B_KN.SCP_01,A1,32,0,
20210416T105525.A_Elmo.B_KN.SCP_01,A2,32,0,
20210416T105525.A_Elmo.B_KN.SCP_01,A3,32,0,
20210416T105525.A_Elmo.B_KN.SCP_01,A4,32,0,
20210416T105525.A_Elmo.B_KN.SCP_01,A5,32,0,
20210423T105645.A_Elmo.B_KN.SCP_01,A1,32,0,
20210423T105645.A_Elmo.B_KN.SCP_01,A2,32,0,
20210423T105645.A_Elmo.B_KN.SCP_01,A3,32,0,
20210423T105645.A_Elmo.B_KN.SCP_01,A4,32,0,
20210423T105645.A_Elmo.B_KN.SCP_01,A5,32,0,
20210520T120659.A_Elmo.B_KN.SCP_01,A1,32,0,
20210520T120659.A_Elmo.B_KN.SCP_01,A2,32,0,
20210520T120659.A_Elmo.B_KN.SCP_01,A3,32,0,
20210520T120659.A_Elmo.B_KN.SCP_01,A4,32,0,
20210520T120659.A_Elmo.B_KN.SCP_01,A5,32,0,
20210604T143542.A_Elmo.B_KN.SCP_01,A1,32,0,
20210604T143542.A_Elmo.B_KN.SCP_01,A2,32,0,
20210604T143542.A_Elmo.B_KN.SCP_01,A3,32,0,
20210604T143542.A_Elmo.B_KN.SCP_01,A4,32,0,
20210604T143542.A_Elmo.B_KN.SCP_01,A5,32,0,
20210708T131736.A_Elmo.B_KN.SCP_01,A1,32,0,
20210708T131736.A_Elmo.B_KN.SCP_01,A2,32,0,
20210708T131736.A_Elmo.B_KN.SCP_01,A3,32,0,
20210708T131736.A_Elmo.B_KN.SCP_01,A4,32,0,
20210708T131736.A_Elmo.B_KN.SCP_01,A5,32,0,
20210709T103307.A_Elmo.B_ST.SCP_01,A1,32,0,
20210709T103307.A_Elmo.B_ST.SCP_01,A2,32,0,
20210709T103307.A_Elmo.B_ST.SCP_01,A3,32,0,
20210709T103307.A_Elmo.B_ST.SCP_01,A4,32,0,
20210709T103307.A_Elmo.B_ST.SCP_01,A5,32,0,
20210715T105108.A_Elmo.B_ST.SCP_01,A1,32,0,
20210715T105108.A_Elmo.B_ST.SCP_01,A2,32,0,
20210715T105108.A_Elmo.B_ST.SCP_01,A3,32,0,
20210715T105108.A_Elmo.B_ST.SCP_01,A4,32,0,
20210715T105108.A_Elmo.B_ST.SCP_01,A5,32,0,
20210716T103652.A_Elmo.B_KN.SCP_01,A1,32,0,
20210716T103652.A_Elmo.B_KN.SCP_01,A2,32,0,
20210716T103652.A_Elmo.B_KN.SCP_01,A3,32,0,
20210716T103652.A_Elmo.B_KN.SCP_01,A4,32,0,
20210716T103652.A_Elmo.B_KN.SCP_01,A5,32,0,
20210828T135335.A_Elmo.B_KN.SCP_01,A1,32,0,
20210828T135335.A_Elmo.B_KN.SCP_01,A2,32,0,
20210828T135335.A_Elmo.B_KN.SCP_01,A3,32,0,
20210828T135335.A_Elmo.B_KN.SCP_01,A4,32,0,
20210828T135335.A_Elmo.B_KN.SCP_01,A5,32,0,
