channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
1,A1,10,0.008998357185985488,-0.013777156838614212,0.8,8,-0.43210419822257373,0.5105900807069618,0.5301838004401926,0.6396524044732301,False,7,False,
2,A1,10,0.16342959278146094,0.15868651838490347,0.6,6,-0.14925951066956267,0.49750559084571677,0.371071386729159,0.48619708868443434,False,9,False,
3,A1,10,0.01440429095512593,0.008298697952642094,0.7,7,-0.2744605253746669,0.6500948961633272,0.5414059759877567,0.6796327861753112,False,4,False,
4,A1,10,0.22254027446195537,0.23859805813666254,0.7,7,0.42925005996752075,0.6337536610695494,0.8056961483753708,0.8037450487489158,True,10,False,
5,A1,10,0.1192787568413406,0.07376318758424945,0.9,9,-0.45374509640433836,0.38271507002299254,0.29822232296159024,0.41144322844721837,False,9,False,
6,A1,10,0.07130774809190056,0.06639351217460625,0.8,8,-0.7494892914722789,0.5107014434947935,1.0,0.006955101222214988,False,8,False,
7,A1,10,0.12589174854405838,0.09928972351884457,0.8,8,-0.6215657267669529,0.5327793843347713,0.9382725110197604,0.32977388456377865,False,8,False,
8,A1,10,0.22035065980617102,0.28103366882089065,1.0,10,-0.6471055299518795,0.3624698651786866,0.7293442504654639,0.5413114990690723,False,9,False,
9,A1,10,0.013942001825347348,-0.012670237440063643,0.7,7,-0.37084539332590627,0.4874549604555551,0.36051105246285353,0.6300225470795122,False,5,False,
10,A1,10,0.2427105714158639,0.25991815158386056,0.9,9,-0.6301160177995119,0.37657181796789946,0.7431883213102646,0.4340472769099708,True,10,False,
11,A1,10,0.034131493040260336,0.035547135369035546,0.6,6,-0.2725405266865548,0.6779385674164816,0.7162066724575821,0.7891802075853853,False,8,False,
12,A1,10,-0.20307140262272125,-0.02167512983948239,0.6,6,0.263706507899417,0.7017147343632156,0.6205434893063225,0.7989611967364337,True,10,False,
13,A1,10,0.005948288815347147,0.031847305624655244,0.8,8,-0.3108001503066169,0.653192120967362,0.6711388822481639,0.66156809728309,True,10,False,
14,A1,10,-0.006678295923195839,0.013416037658193214,0.8,8,-0.3257716836263947,0.3607532906412015,0.21742883655543133,0.4208387481313477,False,9,False,
15,A1,10,-0.04811617946776074,-0.030437013514640593,0.5,5,0.1203799270174319,0.6805724849680236,0.6291841908082982,0.9254808570936807,False,6,False,
16,A1,10,0.10191421532017836,0.08684412441115084,0.7,7,-0.2521865297989799,0.5604985270257705,0.4469244830924901,0.7476150350809158,True,10,False,
17,A1,10,0.06564501773235701,0.07175354099943464,0.9,9,-0.5866876474879724,0.47523581680886945,0.7988112750548837,0.6064911613460535,False,9,False,
18,A1,10,0.09065151471091651,0.02430237345284131,0.8,8,-0.3381932205229847,0.5541468371794727,0.5294107153144683,0.47575512961977995,False,8,False,
19,A1,10,0.43411721659358543,0.43438661309175164,1.0,10,-0.4677266094647403,0.37122315933386824,0.30798177898782825,0.40804848267756155,False,9,False,
20,A1,10,0.6345099916120619,0.38121855057161746,0.7,7,-0.23729673711058505,0.3882331431849612,0.5088676469696243,0.5028779107286554,True,10,False,
21,A1,10,0.04552349260173003,0.02097467521974843,1.0,10,-0.6814049351280136,0.30270520498427705,0.7557150283532156,0.32082845370655644,False,6,False,
22,A1,10,-0.011081758651005372,0.007816477021089821,0.8,8,-0.29872460494789066,0.5961944868752503,0.4215286290355533,0.725420617447106,False,2,False,
23,A1,10,0.07968386273922633,0.0371077369562088,0.5,5,-0.2756515927812627,0.4626920163022718,0.25988337678321893,0.4803637915426546,False,8,False,
24,A1,10,0.14676998834882085,0.1566047994087348,0.9,9,-0.4024865102281968,0.6214087867362907,0.8322840194328074,0.846156803810475,False,9,False,
25,A1,10,0.10729739507841435,0.07772351504190872,1.0,10,-0.6001435411446152,0.3072965758028333,0.5881032282399868,0.35608173034775825,False,7,False,
26,A1,10,-0.014592692769331223,0.06436797752333798,0.5,5,0.12016297618694968,0.9084634450499389,1.0,1.0648893923303886,True,10,False,
27,A1,10,0.15411436784839633,0.09148539317372696,0.5,5,-0.025756482811021275,0.8227062323708662,1.0,0.8948983382806596,False,5,False,
28,A1,10,0.22822842050246095,0.12114772278827046,0.6,6,-0.3910003939828583,0.6907218520616665,0.8524385232350219,0.9211361301430583,True,10,False,
29,A1,10,0.17527876023029274,0.1033025010869378,0.5,5,-0.1674679841310177,0.47874064826367474,0.31557679844126557,0.5409862416164233,False,9,False,
30,A1,10,0.046534241835227606,0.020724577906106358,0.8,8,-0.23847268839154961,0.6026897910686675,0.44406069602323234,0.6740243239971548,False,6,False,
31,A1,10,0.031502235382403036,0.01354292492778178,0.8,8,-0.3040521575700884,0.36252573238583774,0.10616525449633372,0.39432241183256833,False,8,False,
32,A1,10,0.19070130818960568,0.10195885873036163,0.7,7,0.6180501091963422,0.5763540275203883,1.0,0.33408895460006355,True,10,False,
33,A2,10,0.1238238258038868,0.12568791786187034,0.9,9,-0.59343087449314,0.4396082582075031,0.6889225966362117,0.4767627522582627,False,9,False,
