session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20210401T124246,20210416T105525,14.9255,1,A1,-0.053629,1.450476,0
20210401T124246,20210416T105525,14.9255,2,A1,-0.156662,0.252788,0
20210401T124246,20210416T105525,14.9255,3,A1,0.399606,0.859338,1
20210401T124246,20210416T105525,14.9255,4,A1,0.077906,0.406951,1
20210401T124246,20210416T105525,14.9255,5,A1,-0.268749,0.351849,0
20210401T124246,20210416T105525,14.9255,6,A1,0.362954,0.000000,1
20210401T124246,20210416T105525,14.9255,7,A1,0.029090,0.000000,1
20210401T124246,20210416T105525,14.9255,8,A1,0.305267,0.249579,1
20210401T124246,20210416T105525,14.9255,9,A1,-0.324407,0.315677,0
20210401T124246,20210416T105525,14.9255,10,A1,0.853820,0.000000,1
20210401T124246,20210416T105525,14.9255,11,A1,-0.250839,0.982843,1
20210401T124246,20210416T105525,14.9255,12,A1,0.776335,0.020343,1
20210401T124246,20210416T105525,14.9255,13,A1,-0.023720,0.247779,1
20210401T124246,20210416T105525,14.9255,14,A1,0.087314,0.252744,0
20210401T124246,20210416T105525,14.9255,15,A1,0.094011,0.952147,0
20210401T124246,20210416T105525,14.9255,16,A1,-0.182871,0.833295,0
20210401T124246,20210416T105525,14.9255,17,A1,0.077617,1.416678,0
20210401T124246,20210416T105525,14.9255,18,A1,0.023640,1.189034,0
20210401T124246,20210416T105525,14.9255,19,A1,0.305437,0.233672,1
20210401T124246,20210416T105525,14.9255,20,A1,0.013216,0.606924,1
20210401T124246,20210416T105525,14.9255,21,A1,-0.327128,0.365698,1
20210401T124246,20210416T105525,14.9255,22,A1,-0.164495,0.861463,1
20210401T124246,20210416T105525,14.9255,23,A1,0.067662,0.339381,0
20210401T124246,20210416T105525,14.9255,24,A1,0.016283,0.062610,1
20210401T124246,20210416T105525,14.9255,25,A1,0.163689,0.185649,1
20210401T124246,20210416T105525,14.9255,26,A1,0.869226,0.000000,1
20210401T124246,20210416T105525,14.9255,27,A1,0.118476,0.321379,1
20210401T124246,20210416T105525,14.9255,28,A1,0.711593,0.002385,1
20210401T124246,20210416T105525,14.9255,29,A1,0.239285,0.914109,0
20210401T124246,20210416T105525,14.9255,30,A1,-0.018454,0.001822,1
20210401T124246,20210416T105525,14.9255,31,A1,0.020430,0.581444,1
20210401T124246,20210416T105525,14.9255,32,A1,0.613304,0.016922,1
20210401T124246,20210416T105525,14.9255,33,A2,0.123824,0.297296,1
20210401T124246,20210416T105525,14.9255,34,A2,0.108751,0.085484,1
