channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,9,0.7370175026790777,0.5786039589291735,0.8008514697362027,0.7370175026790777,-0.20818805832951975,-0.0020193476120618273,0.450476169178804,0.32208938526227465,0.08042355035775094,5,4,0,2,0.2222222222222222,0.1640625,0.6104651162790697
2,A1,0,9,-0.21120808397606106,0.049046340194544506,0.6228575430514178,0.21120808397606106,-0.21323430358701753,-0.15673574003854807,0.5289084698713005,0.27995583479545877,0.13736139684590648,3,6,0,5,0.5555555555555556,1.0,1.0
3,A1,0,9,0.2280536463740366,0.06413443320255284,0.5390055060792126,0.2280536463740366,-0.3203672138246888,-0.3462028097300186,0.721647804156482,0.3832995031120433,0.04896745261091897,5,3,1,1,0.1111111111111111,0.9453125,1.0
4,A1,0,9,0.0,-0.2180525203269938,0.6464635014662696,0.0,0.378295293581585,0.4602477356082775,0.6113922967507418,1.0,0.33919330352488597,2,4,3,1,0.1111111111111111,0.5625,0.8371559633027523
5,A1,0,9,0.47964709414028595,0.47924455146275846,0.6066177581174207,0.47964709414028595,-0.33356586108791314,0.007915646330232567,0.33356586108791314,0.230186488068608,0.1829976814860198,7,2,0,6,0.6666666666666666,0.07421875,0.4567307692307692
6,A1,0,9,0.5881960495246985,0.3595271667837735,0.7219910320831711,0.5881960495246985,-1.0,-0.22091689270030543,1.0,0.22091689270030543,0.16133083716500662,6,2,1,4,0.4444444444444444,0.25,0.6896551724137931
7,A1,0,9,0.4173782909947896,0.4472220593107894,0.7003794199653709,0.4173782909947896,-1.0,-0.28862344945747886,1.0,0.9490089373513927,-0.05484570272097696,6,2,1,1,0.1111111111111111,0.109375,0.5833333333333334
8,A1,0,9,0.0,-0.14412864944633558,0.2757023199938246,0.0,-0.4586885009309277,-1.0,0.4586885009309277,1.0,0.46841525560771563,2,3,4,0,0.0,0.3125,0.7142857142857143
9,A1,0,9,0.3769580900613456,0.013270323526408619,0.7734084103487296,0.3769580900613456,-0.31123287769399766,-0.3357240673672507,0.3963279540129424,0.5403072182475295,0.08583058003058239,5,4,0,3,0.3333333333333333,0.8203125,0.9712230215827338
10,A1,0,9,0.12182735200807399,0.18091081169015913,0.34777597425726825,0.12182735200807399,-0.9204239195304998,-0.5415021944763148,0.9204239195304998,0.6085066265149999,0.3110351040984495,5,3,1,1,0.1111111111111111,0.25,0.6896551724137931
