channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable
1,A1,9,-0.004962181372790474,0.008361256184692595,0.5555555555555556,5,0.19269267899328593,0.5850265420456179,0.32208938526227465,0.7429156671313131,False,4,False
2,A1,9,0.013576183692619228,0.010698688957226955,0.5555555555555556,5,-0.13541431561355877,0.5413359257360707,0.27995583479545877,0.6112623272120361,False,6,False
3,A1,9,0.05450484275213989,0.06678633422274252,0.8888888888888888,8,-0.28048688048680614,0.5612123256656286,0.3832995031120433,0.6019659181681942,False,4,False
4,A1,9,0.08593746750540407,0.0872267988271245,0.5555555555555556,5,0.1477808796369181,0.8519991384906228,1.0,1.1949956822514927,False,7,False
5,A1,9,0.009621842492810295,0.02976299975155442,0.5555555555555556,5,-0.0019227850203515362,0.5079383777204742,0.230186488068608,0.4894577876154318,False,6,False
6,A1,9,0.10843244052857343,0.09617809760212885,0.7777777777777778,7,-0.36212760151875867,0.3789759462290745,0.22091689270030543,0.3882919081411345,False,4,False
7,A1,9,0.026740659544254704,0.040651350107182876,0.6666666666666666,6,-0.1460126346481004,0.758782024489974,0.9490089373513927,0.8510490139135567,False,3,False
8,A1,9,0.3514055087248272,0.30300894033350106,1.0,9,-0.7520236827262017,0.3794719735884589,1.0,0.3890481936517516,False,8,False
9,A1,9,0.049857133879485524,0.020012803102078407,0.7777777777777778,7,-0.36270298562318004,0.6080980092107762,0.5403072182475295,0.6642759326327493,False,3,False
10,A1,9,0.09875883324890965,0.07168092176881197,0.8888888888888888,8,-0.5201914913065546,0.4820373200914417,0.6085066265149999,0.44761255520933374,False,6,False
11,A1,9,-0.0090586311165861,-0.007011061328635469,0.6666666666666666,6,-0.2489619114169162,0.6264109527852884,0.5265930814848743,0.7125292022463653,False,3,False
12,A1,9,0.035961714889188715,0.04625980903242926,0.6666666666666666,6,0.0063695194676207535,0.5872796204242927,0.41305261906169444,0.5690788351382161,False,8,False
13,A1,9,0.09857563205941286,0.05036542197603377,0.5555555555555556,5,-0.011479815556030695,0.6767014521265202,0.22966086041817244,0.9146069426259429,False,7,False
14,A1,9,0.0010897936473701743,0.0016279572188685955,0.6666666666666666,6,-0.3482144748950639,0.6602920005587183,1.0,0.9233186495714951,False,7,False
15,A1,9,-0.009505269427228024,-0.04357834556564846,0.5555555555555556,5,0.012643764340862859,0.6460377634131689,0.4297818075304705,0.7112432904160387,False,1,False
16,A1,9,-0.023632816808115346,0.011981515692810089,0.7777777777777778,7,0.24185143412547078,0.5841899573002763,0.27994993346963704,0.720050066530363,False,7,False
17,A1,9,-0.01329538849574866,0.010468825301125311,0.6666666666666666,6,-0.0022564788570081326,0.10723131480212011,0.08090362431682727,0.12387166671829355,False,4,False
18,A1,9,0.010487386132935487,-0.0006313472014909195,0.7777777777777778,7,-0.3134296126848554,0.6528575170049378,0.5729886347375979,0.6668573241557569,False,4,False
19,A1,9,0.4103032958112544,0.33026134600970264,1.0,9,-0.6446597628396188,0.2554115261561256,0.5220868082708444,0.30695940858543885,False,7,False
20,A1,9,0.47663837127132624,0.298633451201387,0.7777777777777778,7,-0.4638310414956024,0.5608756298615112,0.6306782548340361,0.6482932238039373,True,9,False
21,A1,9,-0.0358508643018227,-0.016080234990043157,0.8888888888888888,8,-0.41102571534398613,0.375170210180685,0.3399770320166594,0.4828159793245506,False,4,False
22,A1,9,-0.03684992664253521,-0.003652576260838283,0.6666666666666666,6,0.07109410563426814,0.637150348352167,0.26368786169113784,0.8931414245963024,False,2,False
23,A1,9,0.07374753007143416,0.04422499808496959,0.6666666666666666,6,-0.1611472324604536,0.33338758115843875,0.18731003368822274,0.26371764475545,False,5,False
24,A1,9,0.16668351114983732,0.17981841364913398,0.7777777777777778,7,-0.5732343845947317,0.6088867205422951,1.0,0.7682957586552173,False,8,False
25,A1,9,0.04156588228843103,0.02710891970842856,0.6666666666666666,6,-0.20794036221462434,0.5626820754765921,0.27054000897748065,0.7048801635864405,False,2,False
26,A1,9,0.05172694125182721,0.016158044170977513,0.6666666666666666,6,0.12081521041855531,0.8739628340757645,1.0,1.0,False,6,False
27,A1,9,-0.00921643007301758,0.002132456125127215,0.5555555555555556,5,0.09732766823378874,0.5575691045309554,0.24133660239424048,0.6045346730873316,False,3,False
28,A1,9,0.4724462548092536,0.31524466822391867,0.8888888888888888,8,-0.623548260041403,0.43163977074173904,1.0,0.671888112076416,True,9,False
29,A1,9,0.04415793421942581,0.013646438715393656,0.6666666666666666,6,0.1069011868778696,0.4693656003322784,0.3745398075252,0.5343931310178941,False,5,False
30,A1,9,0.06435211032715327,0.05874582392227011,0.6666666666666666,6,-0.06176434668566956,0.6096176209425519,0.4958037589580951,0.5403758814272169,False,1,False
31,A1,9,-0.02953133690203605,-0.019574873942519177,0.5555555555555556,5,-0.033565794760100465,0.5001914015502269,0.24324010958053274,0.41610761350354575,False,6,False
32,A1,9,0.06470626777028994,0.05422379471215288,0.6666666666666666,6,-0.04859698403763671,0.39559232127472344,0.26539010551521075,0.39404174847380985,False,7,False
33,A2,9,0.16522445866983157,0.09544955619859584,0.6666666666666666,6,-0.2795746561519457,0.8155952744640181,1.0,0.7541719270364916,False,7,False
34,A2,9,0.031233748878754082,0.015322519915796045,0.6666666666666666,6,0.11659725959569162,0.49501751924229337,0.2134710498158466,0.5511755852851414,False,4,False
35,A2,9,-0.02577132322609836,-0.007302117688326884,0.6666666666666666,6,-0.17154525725998393,0.587858518787865,0.2190512826684566,0.7647070280044247,False,2,False
36,A2,9,-0.0059655731027702785,-0.0017522504245942108,0.8888888888888888,8,0.3493889985936955,0.4258536849818369,0.35923237218811827,0.48825706207417774,False,7,False
37,A2,9,0.00863031401458492,-0.00025008495421718804,0.5555555555555556,5,0.018949060369009618,0.4781034537867885,0.19660626966245068,0.47751794702984585,False,1,False
38,A2,9,0.004456735454460367,0.015143592677426484,0.7777777777777778,7,-0.3132088232335069,0.325195363460199,0.2596446396305001,0.3377636169238717,False,1,False
39,A2,9,0.018298671851682345,-0.002989318316000154,0.5555555555555556,5,0.052445270803907026,0.5846509041295064,0.38245725584966433,0.6313728739069193,False,7,False
40,A2,9,-0.06777629548785719,-0.04684350780288897,0.7777777777777778,7,0.04021963877223421,0.37865471843071563,0.13349492828162723,0.21330509678919507,False,1,False
41,A2,9,0.11551113207388476,0.06488513540300575,0.6666666666666666,6,0.03850024307530394,0.5731884869389284,0.24549651016241308,0.5890210163700669,False,7,False
42,A2,9,0.026537448237937775,0.027086857509340808,0.5555555555555556,5,-0.022992140097147604,0.47653075349412993,0.25296165087861955,0.44800889270244104,False,1,False
43,A2,9,-0.05802813569530007,0.016415821217685714,0.6666666666666666,6,-0.2731556872580528,0.5509571771382177,0.5359343865892129,0.5680110961029989,False,5,False
44,A2,9,-0.06082502633542557,-0.027747754550231686,0.7777777777777778,7,-0.23923405968217817,0.42123630093399755,0.11616670670841528,0.4304696654383775,False,0,False
45,A2,9,0.0389430724962183,0.01551227570427035,0.7777777777777778,7,-0.20377151886513492,0.53138062601239,0.4470853336211084,0.59084869640324,False,1,False
46,A2,9,0.00887499622949365,0.00189181021990272,0.5555555555555556,5,0.13156705069641514,0.7093792385465262,0.8647076723852638,0.9540971736902316,False,0,False
47,A2,9,0.07919174316631616,0.05665999746530966,0.5555555555555556,5,-0.24270906593790176,0.5035304954852554,0.33429375964632774,0.5888091222205081,False,0,False
48,A2,9,0.01664031604236158,-0.00941753337210684,0.6666666666666666,6,-0.04599421701856367,0.11647005253984076,0.07316239801977371,0.12769088557591143,False,0,False
49,A2,9,0.1591084850463375,0.1007900778129555,0.5555555555555556,5,-0.3449728994476955,0.6192291309735397,0.4435917352128237,0.7220743065934486,False,5,False
50,A2,9,0.18585685563192963,0.09966367066048994,0.5555555555555556,5,0.03399936028471114,0.663219688554623,0.5288333105029419,0.7445196167501351,False,3,False
51,A2,9,-0.017178326721096655,6.664630760953237e-05,0.6666666666666666,6,0.008107297041025814,0.5307468421518889,0.19926580838637822,0.5988784576328778,False,1,False
52,A2,9,-0.019551901417937497,-0.0003359833487592918,0.5555555555555556,5,0.07111186574303598,0.5631840988420052,0.3499871173027971,0.6146297257778277,False,5,False
53,A2,9,-0.0016120638869518765,0.002207299572898894,0.6666666666666666,6,-0.022601133769359752,0.3344340048135695,0.0882160518141995,0.25339870900529077,False,2,False
54,A2,9,0.4152529864719653,0.2779362901387919,0.8888888888888888,8,0.5590878332999156,0.3934588187930813,0.5596532540321989,0.4797970207761672,True,9,False
55,A2,9,-0.05103429786014267,-0.004842922245847939,0.7777777777777778,7,0.41196335048398036,0.4186090760355256,0.48420827606321537,0.49108573017405993,False,8,False
56,A2,9,0.12435128937350803,0.1056523801141863,0.5555555555555556,5,0.020724919657579402,0.27296599435436436,0.2226127944021328,0.294071006124075,False,5,False
57,A2,9,-0.024736254984511957,0.010306874401606837,0.7777777777777778,7,0.09582529654224838,0.22444234645223368,0.22277869177555473,0.2175459026201111,False,4,False
58,A2,9,0.0029757602905855006,-0.029934363747498086,0.7777777777777778,7,0.09304234922132276,0.6073131709364287,0.4545015976071436,0.37895451852080697,False,0,False
59,A2,9,0.12656749356137614,0.08184814616594702,0.6666666666666666,6,-0.04604835184594283,0.24998330863092316,0.14995632739032388,0.1984039068928576,False,6,False
60,A2,9,-0.023199339901003622,-0.0008452536903077869,0.8888888888888888,8,-0.19816109762836137,0.3952421507149677,0.11047889594697727,0.46537606808650867,False,0,False
61,A2,9,-0.015673638663592886,-0.05035905461721892,0.6666666666666666,6,0.01521005634280208,0.2739023881244081,0.16008355689509848,0.33052354720143184,False,0,False
62,A2,9,-0.07204956850757924,-0.04298147921950522,0.7777777777777778,7,-0.24577550166583073,0.43485900428269675,0.19567212389887842,0.39558616698455606,False,0,False
63,A2,9,0.189858876763882,0.08414962920285754,1.0,9,-0.5639694373472144,0.3866534467440396,0.3857005273341468,0.5769791495080863,False,4,False
64,A2,9,0.006666659261186586,-0.020663012226213827,0.5555555555555556,5,0.07041284402004369,0.5379566172694631,0.2053698485134474,0.5958623546094576,False,0,False
65,A3,9,-0.02971063221648129,-0.03140985114892089,0.6666666666666666,6,0.11969757471365165,0.29577145673070193,0.17449615215097097,0.35204817511704445,False,3,False
66,A3,9,0.01584200033314286,0.014240942391963555,0.6666666666666666,6,-0.015644343623647642,0.261295516116628,0.1489706600446078,0.1590485811879363,False,0,False
67,A3,9,-0.07038193093893202,-0.03970871496656115,0.5555555555555556,5,-0.14670250232097828,0.4782473773456494,0.09570575845567632,0.36900534474704466,False,0,False
68,A3,9,-0.0031688014115954597,0.012635653283735008,0.5555555555555556,5,-0.009962770509916334,0.13383005869462786,0.08650927205501521,0.14220676811862565,False,0,False
69,A3,9,0.01133655148794413,0.0030936741362051247,0.5555555555555556,5,-0.005201409466784888,0.11418211172265295,0.07253471603257299,0.13963624302639124,False,2,False
70,A3,9,-0.0015411431859690453,-0.014224975177320714,0.5555555555555556,5,0.02553531659345512,0.46526846814051454,0.10273255263676338,0.2741141295247815,False,0,False
71,A3,9,-0.04038691696634312,0.008530291451297127,0.6666666666666666,6,0.02247906849460605,0.13003011467932707,0.047999229055639026,0.10731300480210276,False,0,False
72,A3,9,-0.048074327919255117,0.0019844903908540915,0.6666666666666666,6,0.0424291629218749,0.34406734378555875,0.11181390426226742,0.37498040832366886,False,0,False
73,A3,9,-0.02214413297100678,0.004539873189122003,0.5555555555555556,5,0.04818620261013808,0.4766553765747234,0.20371965536794778,0.5704543050170401,False,0,False
74,A3,9,-0.010697201266418013,0.006157660678816029,0.7777777777777778,7,-0.2185419381489085,0.3869757452057349,0.38495153128740167,0.5187926833861864,False,0,False
75,A3,9,-0.06257305861996007,-0.017162830263407234,0.6666666666666666,6,0.11449005026930943,0.6280792422301563,0.6126100344664815,0.7842366313120197,False,0,False
76,A3,9,0.0012924440518187468,-0.016438203351150055,0.5555555555555556,5,0.09941149357433779,0.36852021545935054,0.12561675339460687,0.27307104092091733,False,1,False
77,A3,9,0.02711734815636069,-0.008833837876895564,0.5555555555555556,5,0.17550331394502447,0.46194789738948216,0.1747442186401385,0.33008464008420046,False,2,False
78,A3,9,0.06752807238112601,0.06136848872286223,0.7777777777777778,7,-0.1188783697659511,0.3440727856877784,0.0492387672633363,0.21885798436246096,False,1,False
79,A3,9,0.022796794197577297,-0.014431047005810056,0.7777777777777778,7,-0.07362626817828015,0.3791090481410447,0.12747353385003157,0.21091409325100752,False,1,False
80,A3,9,-0.021046434382207685,-0.030640485786304725,0.6666666666666666,6,0.14953291095796808,0.39236084642595676,0.12377640255071963,0.36877463007108335,False,0,False
81,A3,9,-0.02701205497943831,-0.010773222078654238,0.6666666666666666,6,-0.017926578871601623,0.20976175179533885,0.14498257158619998,0.23044772650001993,False,3,False
82,A3,9,0.003998153522475223,0.0023029807544500346,0.6666666666666666,6,0.025863683150060688,0.1971327960082357,0.11823205987641307,0.22636292988759016,False,0,False
83,A3,9,0.04488857304332555,0.03696428909569205,0.8888888888888888,8,-0.4049456585987281,0.4006521207045226,0.3269355767210394,0.4787303504333712,False,1,False
84,A3,9,0.00523665440256748,-0.021966510057578218,0.5555555555555556,5,0.014126493988925059,0.20321874142496776,0.12121609978880842,0.25269195608669714,False,1,False
85,A3,9,0.02203269167005468,0.01996075403781516,0.5555555555555556,5,0.1131184410289503,0.3500685655590904,0.1854932056471642,0.3702612242042085,False,0,False
86,A3,9,0.03903192820473613,0.03387904208795073,0.6666666666666666,6,-0.37715990679238365,0.464873271116537,0.15410662441550238,0.6709395559312541,False,0,False
87,A3,9,-0.012262322072868337,-0.024515309770110922,0.7777777777777778,7,0.06599575795663612,0.40369918512707587,0.1432789105535316,0.32699856836873564,False,0,False
88,A3,9,0.002432765562754796,0.03497280740719553,0.6666666666666666,6,0.01615275583808473,0.2751165387922693,0.2253326678840729,0.28146876555882905,False,0,False
89,A3,9,0.0016760284800817781,-0.01167978843511836,0.6666666666666666,6,-0.12650146834290946,0.3179970118804149,0.030498257319714853,0.1087258305162852,False,0,False
90,A3,9,0.0076005583772725,-0.041522381551365284,0.5555555555555556,5,0.018145885652891266,0.27310661328156066,0.07736895285388284,0.1955045470621522,False,0,False
91,A3,9,-0.014979044565926705,-0.02619189416250496,0.6666666666666666,6,0.048129720955790406,0.09525631360695182,0.04673152225450323,0.11297768334425762,False,0,False
92,A3,9,-0.050225888414072176,-0.05471436853274633,0.6666666666666666,6,0.02112228693432868,0.17465237356277205,0.15078737385564325,0.1819422755428412,False,0,False
93,A3,9,0.0809626287945548,0.06518619015939373,0.6666666666666666,6,-0.03736526265818898,0.2701246036184085,0.14614203435617015,0.2813200485199043,False,0,False
94,A3,9,0.08713617900090109,0.08568360037829426,0.5555555555555556,5,0.061942137899141284,0.5147360847193201,0.12558186935944476,0.5111409850229736,False,0,False
95,A3,9,0.055895209115756975,-0.005086663156842634,0.6666666666666666,6,0.23165176717237956,0.5089321051514525,0.09610525439249863,0.6233954816862605,False,0,False
96,A3,9,0.029736647946503388,-0.011329205590964612,0.7777777777777778,7,0.04008547975358894,0.2622618222003411,0.12142461128531126,0.19966208138592584,False,0,False
97,A4,9,0.022919807929099256,0.08338140284987315,0.7777777777777778,7,0.4912689108762575,0.523196537174228,0.6754549958163698,0.6700495099004102,False,6,False
98,A4,9,0.023013764027823472,0.06567023135891667,0.5555555555555556,5,-0.10472391355061496,0.4450862441107471,0.30920177902310236,0.4905120018371886,False,5,False
99,A4,9,0.09679425705181459,0.1999435874376184,0.7777777777777778,7,-0.38931174895853654,0.4887395382329599,0.33126368255784583,0.5783330389296275,False,5,False
100,A4,9,-0.053976372705309146,0.021954389693934,0.6666666666666666,6,0.367734488012161,0.5734307937793562,0.6364576697239421,0.7863471758332601,False,5,False
101,A4,9,0.06183936730100551,0.20234377069460646,0.6666666666666666,6,0.19376780295050783,0.3221085830759153,0.09679327395816348,0.23378405907374025,False,5,False
102,A4,9,0.023432786316628942,0.14513350213488088,0.6666666666666666,6,0.18007095307718263,0.4012390389534574,0.08055091755791895,0.19070858774972088,False,6,False
103,A4,9,0.21808401885819118,0.17127326713307453,0.6666666666666666,6,0.23227445526723317,0.4006302483388436,0.3236422691347435,0.46653028515107253,False,7,False
104,A4,9,0.07220357697090057,0.011563973831784478,0.5555555555555556,5,-0.016543901628722324,0.4842868844071452,0.147866458106763,0.2870289772144656,False,6,False
105,A4,9,-0.026959837148743997,0.016906413326632196,0.5555555555555556,5,0.23350754032717122,0.43931106978118195,0.2060903190299405,0.3711420708451985,False,5,False
106,A4,9,0.043108733753896414,0.03825545995290632,0.6666666666666666,6,-0.01459417603960929,0.2035895820663988,0.1085139102753441,0.22804033189456513,False,6,False
107,A4,9,0.007732702925820883,0.04704118478337967,0.5555555555555556,5,0.061895667107486646,0.6603829236568896,0.6037576079423905,0.831123837916252,False,5,False
108,A4,9,0.04917251487612441,0.018008842992874884,0.6666666666666666,6,-0.047999225289600406,0.11346741723002066,0.06619009636852995,0.10591681390628127,False,2,False
109,A4,9,-0.007269687786706606,0.029872210986199944,0.6666666666666666,6,-0.29039340080427584,0.4233943689966358,0.2800358882598965,0.48583372667347025,False,5,False
110,A4,9,0.07173837608872266,0.0774020996331672,0.5555555555555556,5,-0.2195490595173693,0.38129966631712786,0.09338303514153308,0.3544919566807584,False,4,False
111,A4,9,0.0843632778897476,0.07650850142804419,0.6666666666666666,6,0.005394280606103872,0.14507507736139805,0.07289620697879537,0.17332974841463197,False,5,False
112,A4,9,0.08680594716172466,0.10565905277797308,0.8888888888888888,8,-0.05273331854309159,0.1302583548475524,0.08043162416894657,0.090136028446182,False,5,False
113,A4,9,0.12290783795282458,0.17389925528790123,0.7777777777777778,7,0.3890781260993113,0.3686329295956964,0.3324888920771998,0.40898623156249836,True,9,False
114,A4,9,-0.10478429048198143,-0.0099202653797175,0.6666666666666666,6,0.019022509390244177,0.20018101471203734,0.11231894388928651,0.21587731401437138,False,5,False
115,A4,9,0.1000847313859253,0.10333407485521479,0.6666666666666666,6,-0.09795354369939219,0.43652328133906876,0.28294227382727805,0.47935334425812537,False,7,False
116,A4,9,0.03682800682784968,0.07205696116302124,0.5555555555555556,5,0.1343056187829488,0.36099754789940736,0.14961461908025675,0.25050966490103016,False,6,False
117,A4,9,0.008420409554286669,0.19969341239698082,0.5555555555555556,5,0.006030332683546373,0.17485828434898418,0.09448920417671777,0.17608836136462236,False,7,False
118,A4,9,0.022688729809635974,0.2478706831172779,0.5555555555555556,5,0.019550968511711404,0.44962960345101016,0.11170191349528308,0.2953581875523811,False,5,False
119,A4,9,0.1943478570947618,0.21248067890219696,0.5555555555555556,5,-0.0015415901362309326,0.6419179995461264,0.1853000157034714,0.8761654273716387,False,7,False
120,A4,9,0.039432507172536505,0.09299503275724323,0.6666666666666666,6,-0.023711471426553745,0.1883398913850989,0.14049724453848975,0.19370479863077195,False,6,False
121,A4,9,0.02695819115174348,0.06307620123024175,0.5555555555555556,5,-0.10591080597739236,0.5181745316735689,0.34907831588086,0.5981468828683221,False,5,False
122,A4,9,0.060369908963732996,0.23156656710068982,0.5555555555555556,5,0.07875147509889585,0.5164924698102139,0.056842761618870474,0.634191385142386,False,5,False
123,A4,9,0.04967119952776644,0.12247058392109604,0.6666666666666666,6,-0.026302727281201872,0.41722278814619296,0.2459915043597776,0.38444143320973173,False,5,False
124,A4,9,-0.015569051295924136,0.058520526009322026,0.5555555555555556,5,0.04591500104664317,0.4990435140881951,0.21534245772939523,0.4055729967406809,False,5,False
125,A4,9,0.10972702282878985,0.2202079058613626,0.5555555555555556,5,0.0423714425223825,0.4839213046893933,0.2884288690210829,0.42238943526975103,False,5,False
126,A4,9,0.08672678392368667,0.1565927484571431,0.5555555555555556,5,-0.11149601281093978,0.25878692499387784,0.14121819704241967,0.3150558935370873,False,5,False
127,A4,9,0.05322224756923718,0.18656954148622673,0.6666666666666666,6,0.05581260101691056,0.5731329668724363,0.23654858814458132,0.7292180672280524,False,5,False
128,A4,9,0.21077969505141203,0.18643619684045432,0.5555555555555556,5,0.046301500766516276,0.30802757162099714,0.2718529254395987,0.3647681569666158,False,5,False
129,A5,8,0.0017231139169081675,0.008407406853761587,0.75,6,-0.10794093607669017,0.13915323034160237,0.15090959538640436,0.15826948050946527,False,2,False
130,A5,8,-0.017254612019968092,-0.012678869365008309,0.5,4,-0.04283643173179423,0.5720318853265993,0.3997785521732182,0.6002214478267818,False,4,False
131,A5,8,-0.03751679678710917,-0.0018144480345114713,0.625,5,0.02565850925647996,0.3282915359846517,0.14067896804810795,0.29946170099874153,False,6,False
132,A5,8,0.020019618856903114,-0.03191347325805378,0.625,5,0.1824953984294912,0.5460516118574024,0.2833553207899338,0.6516138987272733,False,4,False
133,A5,8,0.13836570611609922,0.07807430766779289,0.625,5,0.07992852951439958,0.6841274059644696,0.5458670531760361,0.7263946668084668,False,6,False
134,A5,8,0.0006060623934267757,-0.01257596005802192,0.625,5,-0.16588325034859025,0.37938664280891987,0.2826551582066228,0.44726121952364944,False,6,False
135,A5,8,0.06947811675684963,0.10309174619307887,0.5,4,-0.3688863808283895,0.6637961969281209,0.8644782370220216,1.0119174132501476,True,8,False
136,A5,8,-0.02026455933184905,-0.012332589465526794,0.625,5,0.07253110176452929,0.564651341425735,0.4608436253796462,0.6815251132501852,False,6,False
137,A5,8,0.08554162287312847,0.03397167147872955,0.625,5,0.10006608452998478,0.4168102328654404,0.14011668614510403,0.5923519295670723,False,3,False
138,A5,8,0.06409298052087803,-0.0005395164604820277,0.5,4,-0.062798356993535,0.5542271346696098,0.09308905162428845,0.7025966127007497,False,1,False
139,A5,8,-0.042336191751418915,-0.015373652893841195,0.875,7,-0.20429343756413182,0.25138351611742743,0.07605265124544996,0.30320620519818187,False,1,False
140,A5,8,0.009162275115374744,-0.03461761595316171,0.625,5,-0.030974779454457535,0.5061213041659018,0.09632090979043373,0.24008480024406575,False,0,False
141,A5,8,-0.029000138906509577,-0.030199576238949553,0.75,6,-0.06901507519819278,0.13747730527553684,0.058204697977404046,0.18069164408414867,False,3,False
142,A5,8,0.1357760507911342,0.03247706048486965,0.75,6,-0.14000559621802397,0.3329006048133758,0.05462716261852184,0.12010958306319675,False,4,False
143,A5,8,0.0037855361869819732,-0.009217425538567525,0.5,4,-0.003725858760211479,0.508572844175876,0.11360472725537793,0.31602619756124833,False,2,False
144,A5,8,0.03838216536176377,0.01977391203602048,0.625,5,-0.2741917757663867,0.45319178615345185,0.19085563437166397,0.6189903817141923,False,0,False
145,A5,8,0.2341693020498571,0.1158665038003395,0.875,7,-0.3743771644409203,0.3873283110411911,0.24780052456582466,0.3821442346806383,False,6,False
146,A5,8,0.10664795201098848,0.07492656844557043,0.875,7,-0.3971246426581965,0.3472330093377726,0.43947755429350654,0.40186649272443814,False,6,False
147,A5,8,0.031674236775593875,0.043109676048960925,0.875,7,-0.23079330461758343,0.2736945149134601,0.35250882218146984,0.2789621327695842,False,4,False
