session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20210401T124246,20210416T105525,14.9255,1,A1,-0.029106,0.362386,0
20210401T124246,20210416T105525,14.9255,2,A1,0.253983,0.843264,1
20210401T124246,20210416T105525,14.9255,3,A1,0.384253,0.587231,1
20210401T124246,20210416T105525,14.9255,4,A1,0.202980,0.237125,1
20210401T124246,20210416T105525,14.9255,5,A1,0.097860,0.119111,1
20210401T124246,20210416T105525,14.9255,6,A1,0.248648,0.588196,1
20210401T124246,20210416T105525,14.9255,7,A1,0.016555,0.834933,1
20210401T124246,20210416T105525,14.9255,8,A1,0.569621,0.521840,1
20210401T124246,20210416T105525,14.9255,9,A1,0.434075,0.000000,1
20210401T124246,20210416T105525,14.9255,10,A1,0.316083,0.458498,1
20210401T124246,20210416T105525,14.9255,11,A1,-0.065739,1.608820,0
20210401T124246,20210416T105525,14.9255,12,A1,0.336638,0.086531,1
20210401T124246,20210416T105525,14.9255,13,A1,-0.267572,0.770339,1
20210401T124246,20210416T105525,14.9255,14,A1,-0.102841,0.096799,0
20210401T124246,20210416T105525,14.9255,15,A1,0.025693,1.018480,0
20210401T124246,20210416T105525,14.9255,16,A1,0.366533,0.384309,1
20210401T124246,20210416T105525,14.9255,17,A1,-0.049933,0.067158,1
20210401T124246,20210416T105525,14.9255,18,A1,0.131396,0.803416,0
20210401T124246,20210416T105525,14.9255,19,A1,0.064111,0.052905,1
20210401T124246,20210416T105525,14.9255,20,A1,0.158286,0.673230,0
20210401T124246,20210416T105525,14.9255,21,A1,-0.015122,0.835353,0
20210401T124246,20210416T105525,14.9255,22,A1,0.156972,0.929262,1
20210401T124246,20210416T105525,14.9255,23,A1,0.203841,0.037259,1
20210401T124246,20210416T105525,14.9255,24,A1,0.125524,0.398411,1
20210401T124246,20210416T105525,14.9255,25,A1,0.317486,1.049269,0
20210401T124246,20210416T105525,14.9255,26,A1,0.817036,0.000000,1
20210401T124246,20210416T105525,14.9255,27,A1,-0.124575,0.067553,1
20210401T124246,20210416T105525,14.9255,28,A1,0.806690,0.000000,1
20210401T124246,20210416T105525,14.9255,29,A1,0.219718,1.027447,0
20210401T124246,20210416T105525,14.9255,30,A1,0.235284,1.639192,0
20210401T124246,20210416T105525,14.9255,31,A1,-0.027455,0.088375,1
20210401T124246,20210416T105525,14.9255,32,A1,0.311913,0.678959,1
20210401T124246,20210416T105525,14.9255,33,A2,-0.088350,0.655287,0
20210401T124246,20210416T105525,14.9255,34,A2,-0.138697,0.380115,1
20210401T124246,20210416T105525,14.9255,35,A2,0.056717,0.490240,1
20210401T124246,20210416T105525,14.9255,36,A2,-0.299832,0.437353,0
20210401T124246,20210416T105525,14.9255,37,A2,0.075936,0.161262,0
20210401T124246,20210416T105525,14.9255,38,A2,0.215699,0.430144,1
20210401T124246,20210416T105525,14.9255,39,A2,-0.074865,0.733953,0
20210401T124246,20210416T105525,14.9255,40,A2,0.141053,0.025827,1
20210401T124246,20210416T105525,14.9255,41,A2,0.299294,0.476128,1
20210401T124246,20210416T105525,14.9255,42,A2,0.057523,0.140667,1
20210401T124246,20210416T105525,14.9255,43,A2,-0.015681,0.532763,1
20210401T124246,20210416T105525,14.9255,44,A2,-0.226907,0.166654,1
