channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
1,A1,10,0.04292590634304594,0.026016668940795348,0.5,5,0.1095175000883255,0.49318333596547603,0.35584578947213075,0.5657573850054838,False,7,False,
2,A1,10,0.04657126159338909,0.04347420000059865,0.7,7,-0.2835896809322572,0.5173275140726437,0.49477928797983417,0.542485050193291,False,8,False,
3,A1,10,0.05563208805801549,0.061576618795409835,0.6,6,-0.12450408849204857,0.3282259653635659,0.2029103087710193,0.35705859634082804,False,9,False,
4,A1,10,0.2182448910620057,0.1419850793834243,0.9,9,0.6955689333052104,0.4707340940553862,1.0,0.2801138167211968,False,9,False,
5,A1,10,0.09549740443490323,0.05850113911647864,0.8,8,-0.20530975083003122,0.34563811344690837,0.23509885753633336,0.33101925614067634,False,9,False,
6,A1,10,0.09546499127855318,0.04659906625384532,0.8,8,-0.28523294085152845,0.510225664278193,0.35532344276591254,0.6065387720840674,False,8,False,
7,A1,10,0.07750359861478857,0.06844276112864935,0.5,5,0.05753285036130984,0.3802691435673912,0.200345722288427,0.34781364305346313,False,6,False,
8,A1,10,0.2909112989015941,0.24620799080705985,0.9,9,-0.4971197038051308,0.4884490697050727,0.5742777671424502,0.7025369909036242,False,9,False,
9,A1,10,0.09403381772166518,0.0711909108281343,0.8,8,-0.35343239535980236,0.3770083847216658,0.40380984042299395,0.45329966575161224,False,3,False,
10,A1,10,-0.05983149267335707,-0.009429887605937003,0.8,8,-0.3768642670957626,0.5858558365158116,0.6138422130805314,0.5783856197522015,True,10,False,
11,A1,10,-0.012539818796966529,-0.017612512964151263,0.5,5,0.0768826149427346,0.24142721435629494,0.17828077490703942,0.26150742802311366,False,7,False,
12,A1,10,0.09845494633528613,0.09125125852233769,0.9,9,-0.2511341089635404,0.5182469892738988,0.29469529811269085,0.5097200613452221,True,10,False,
13,A1,10,0.10498078436405398,0.11285692679607057,0.7,7,-0.2206692077198559,0.3245061162047455,0.22623571006760457,0.36847595767925656,False,9,False,
14,A1,10,0.022578381914179227,0.0384503769124573,0.9,9,-0.20762614428253667,0.2700379647670064,0.2707708389058803,0.30311911579692685,True,10,False,3
15,A1,10,-0.002750383256501814,-0.01848878501869396,0.6,6,-0.09578251907484028,0.5249964152248853,0.12525240944962882,0.5673556770260159,False,4,False,
16,A1,10,0.14401165691080928,0.10425335169427362,0.8,8,-0.13951688166142917,0.2674834034978822,0.2389570454730635,0.3433696149691653,True,10,False,4
17,A1,10,0.0538718966224098,0.07236489966780711,0.9,9,-0.5129438899888552,0.6047087869911716,0.9584506845540464,0.6567385879255784,False,8,False,
18,A1,10,0.04232388539184123,0.016190280688976228,0.6,6,-0.022716640489223526,0.36910518931419134,0.22109445454938664,0.27192519039508384,False,8,False,
19,A1,10,0.36343649671265194,0.3625334032416611,0.8,8,-0.3366368560335358,0.6289904913676644,0.6785712596986196,0.7966020544613639,True,10,False,
20,A1,10,0.19859068817738218,0.2314663366628072,0.8,8,-0.22163595781455206,0.26823190660074697,0.3680075049546758,0.2938275530742961,True,10,False,1
21,A1,10,0.02974707008447423,0.024495254662684172,0.8,8,-0.5661639398704341,0.5022263682468412,0.7289664801591926,0.5331870871783884,False,4,False,
