session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20210401T124246,20210416T105525,14.9255,1,A1,0.390484,0.711692,0
20210401T124246,20210416T105525,14.9255,2,A1,0.303179,0.501209,1
20210401T124246,20210416T105525,14.9255,3,A1,0.032906,0.477671,1
20210401T124246,20210416T105525,14.9255,4,A1,0.525070,0.923329,1
20210401T124246,20210416T105525,14.9255,5,A1,-0.064476,0.638325,0
20210401T124246,20210416T105525,14.9255,6,A1,0.192496,0.917992,0
20210401T124246,20210416T105525,14.9255,7,A1,0.311280,0.269295,0
20210401T124246,20210416T105525,14.9255,8,A1,0.195897,0.867371,1
20210401T124246,20210416T105525,14.9255,9,A1,0.010481,0.807620,0
20210401T124246,20210416T105525,14.9255,10,A1,0.387796,0.843903,1
20210401T124246,20210416T105525,14.9255,11,A1,0.241531,0.374114,0
20210401T124246,20210416T105525,14.9255,12,A1,0.110480,0.059528,1
20210401T124246,20210416T105525,14.9255,13,A1,0.086183,0.371410,0
20210401T124246,20210416T105525,14.9255,14,A1,0.420107,0.058099,1
20210401T124246,20210416T105525,14.9255,15,A1,0.069964,0.866452,1
20210401T124246,20210416T105525,14.9255,16,A1,0.434904,0.443770,0
20210401T124246,20210416T105525,14.9255,17,A1,-0.256169,2.000000,0
20210401T124246,20210416T105525,14.9255,18,A1,-0.110050,0.273263,1
20210401T124246,20210416T105525,14.9255,19,A1,0.416671,0.996423,0
20210401T124246,20210416T105525,14.9255,20,A1,-0.471021,0.357873,1
20210401T124246,20210416T105525,14.9255,21,A1,0.078865,1.502583,0
20210401T124246,20210416T105525,14.9255,22,A1,-0.066905,0.147374,1
20210401T124246,20210416T105525,14.9255,23,A1,-0.111089,0.220282,0
20210401T124246,20210416T105525,14.9255,24,A1,0.403189,0.328333,1
20210401T124246,20210416T105525,14.9255,25,A1,0.053579,1.292108,0
20210401T124246,20210416T105525,14.9255,26,A1,0.742510,0.471347,1
20210401T124246,20210416T105525,14.9255,27,A1,-0.068043,0.904385,1
20210401T124246,20210416T105525,14.9255,28,A1,0.245890,0.079212,1
20210401T124246,20210416T105525,14.9255,29,A1,0.422306,1.050545,0
20210401T124246,20210416T105525,14.9255,30,A1,0.170656,0.517174,0
20210401T124246,20210416T105525,14.9255,31,A1,0.171421,0.507279,0
20210401T124246,20210416T105525,14.9255,32,A1,0.672696,0.000000,1
20210401T124246,20210416T105525,14.9255,33,A2,0.144194,0.240838,1
20210401T124246,20210416T105525,14.9255,34,A2,0.261875,0.002648,1
20210401T124246,20210416T105525,14.9255,35,A2,0.026860,0.446769,0
20210401T124246,20210416T105525,14.9255,36,A2,0.148178,0.342174,1
20210401T124246,20210416T105525,14.9255,37,A2,0.006237,1.093377,0
20210401T124246,20210416T105525,14.9255,38,A2,0.088952,1.005393,0
20210401T124246,20210416T105525,14.9255,39,A2,0.217925,0.166207,1
20210401T124246,20210416T105525,14.9255,40,A2,-0.195493,0.000000,1
20210401T124246,20210416T105525,14.9255,41,A2,0.268402,0.121792,1
20210401T124246,20210416T105525,14.9255,42,A2,-0.143425,0.824938,1
20210401T124246,20210416T105525,14.9255,43,A2,-0.270504,0.860122,1
20210401T124246,20210416T105525,14.9255,44,A2,-0.077692,0.215151,1
20210401T124246,20210416T105525,14.9255,45,A2,-0.099609,1.191095,0
20210401T124246,20210416T105525,14.9255,46,A2,0.002497,0.633038,0
20210401T124246,20210416T105525,14.9255,47,A2,0.122094,0.020074,1
20210401T124246,20210416T105525,14.9255,48,A2,0.078601,1.525920,0
20210401T124246,20210416T105525,14.9255,49,A2,0.278723,0.068667,0
20210401T124246,20210416T105525,14.9255,50,A2,-0.054752,0.048855,1
20210401T124246,20210416T105525,14.9255,51,A2,-0.036387,0.672181,1
20210401T124246,20210416T105525,14.9255,52,A2,0.085093,0.770794,0
20210401T124246,20210416T105525,14.9255,53,A2,-0.157602,0.533706,0
