session_id,channel,array_name,si_a,si_b,delta_si,waveform_r,sign_a,sign_b,sign_flip,task_evoked_a,task_evoked_b
20210401T124246.A_Elmo.B_KN.SCP_01,1,A1,0.3485097997166503,0.477148934001264,0.1286391342846137,-0.029795569519738618,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,2,A1,-1.0,-0.12397035884861518,0.8760296411513848,0.31650018273415403,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,3,A1,-0.20249346806430726,-0.7359948216800124,-0.5335013536157052,0.2636715691327608,-1,-1,0,1,0
20210401T124246.A_Elmo.B_KN.SCP_01,4,A1,1.0,-0.19869832404980867,-1.1986983240498086,0.32175114737416766,1,-1,1,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,5,A1,-0.4854129222866348,-0.40288411390643175,0.08252880838020304,0.36446591083068136,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,6,A1,0.7541402078670728,-0.32577652488127545,-1.0799167327483483,0.22063897083263012,1,-1,1,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,7,A1,0.2128905703314863,0.19965753631607647,-0.013233034015409845,0.12191034703899667,1,1,0,1,0
20210401T124246.A_Elmo.B_KN.SCP_01,8,A1,-1.0,-0.351155828436444,0.648844171563556,0.33500148651545036,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,9,A1,0.33812520652048045,0.26917204174115233,-0.06895316477932811,-0.04242922286749923,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,10,A1,-0.0769876525809577,-0.2960877382018616,-0.21910008562090394,0.19156241320550307,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,11,A1,0.35453560748358814,-0.1968191079095168,-0.5513547153931049,0.06203028617364571,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,12,A1,-0.14788405873772573,0.6188611957209826,0.7667452544587083,0.20382593411985453,-1,1,1,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,13,A1,0.1443717452416187,0.17831091897196727,0.033939173730348576,0.019545255613591588,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,14,A1,-0.05874735291090579,-0.024529633442985456,0.034217719467920335,0.6036888474798713,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,15,A1,-1.0,-1.0,0.0,-0.038901220936430975,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,16,A1,0.32414720020658133,0.08361320653471548,-0.24053399367186584,0.6393715727907626,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,17,A1,1.0,0.15392656128643248,-0.8460734387135675,-0.029467819345643985,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,18,A1,0.3440881295127734,0.48776576094309715,0.14367763143032375,0.506845818667745,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,19,A1,0.7930249726692301,1.0,0.2069750273307699,0.43449359529958026,1,1,0,1,0
20210401T124246.A_Elmo.B_KN.SCP_01,20,A1,0.371805438287331,0.3646949714262758,-0.007110466861055154,0.8988257985897997,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,21,A1,0.5025832678594343,0.5288520623873505,0.026268794527916195,0.04524449742100483,1,1,0,1,0
20210401T124246.A_Elmo.B_KN.SCP_01,22,A1,0.10085144226021595,0.4540670786616881,0.35321563640147213,0.3507433585738028,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,23,A1,-0.08893024109744518,-0.08591851554967957,0.0030117255477656174,-0.017169355264802254,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,24,A1,1.0,0.46694192726499,-0.53305807273501,0.5729039799119452,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,25,A1,-0.29210821420170463,-0.25097393404424206,0.041134280157462566,-0.06644886198493588,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,26,A1,0.5286525699354709,1.0,0.47134743006452906,0.796805599058216,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,27,A1,0.09561513005856186,-0.11965202046008319,-0.21526715051864503,-0.15620941428697585,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,28,A1,-0.9207876909520415,-0.6416361474889516,0.2791515434630899,0.7365871737639358,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,29,A1,-0.05054542548137386,1.0,1.0505454254813738,0.3420118080185033,-1,1,1,1,0
20210401T124246.A_Elmo.B_KN.SCP_01,30,A1,-0.44515356072642176,0.4539220206748999,0.8990755814013216,-0.36334526896836605,-1,1,1,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,31,A1,-0.29110612784790235,-0.2406627955796837,0.05044333226821865,-0.19894814938099176,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,32,A1,-1.0,-0.9613361961740847,0.03866380382591528,0.777833331247764,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,33,A2,-0.3153659260568841,-0.08940599353227291,0.22595993252461122,0.20080543650258406,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,34,A2,0.01837303359283945,-0.4835647522664586,-0.501937785859298,0.4919283017640456,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,35,A2,-0.04225470615888047,-0.06751388826176859,-0.02525918210288812,0.3612747252881268,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,36,A2,0.46325443715217973,0.17440321185494298,-0.2888512252972367,0.06091680355854121,1,1,0,0,1
20210401T124246.A_Elmo.B_KN.SCP_01,37,A2,-0.5604128644483011,0.23561742316853115,0.7960302876168323,-0.23314586726495368,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,38,A2,0.48342015648405984,0.8556760117993434,0.37225585531528355,0.08848175187861215,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,39,A2,-0.4555668436276367,-0.27996558172733127,0.17560126190030545,0.05919562676296797,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,40,A2,-1.0,0.2764909681513554,1.2764909681513554,-0.36250606757796666,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,41,A2,-0.48392047646356867,0.361165429694149,0.8450859061577176,-0.13248641293768934,-1,1,1,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,42,A2,-1.0,-0.48886385272602406,0.5111361472739759,0.18773628878724688,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,43,A2,-0.0918690065679766,0.061922809653096725,0.15379181622107332,-0.03778851534726251,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,44,A2,-0.34186624289307344,-0.029723509981304484,0.31214273291176897,-0.0661576450917037,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,45,A2,1.0,-1.0,-2.0,0.19216989937171247,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,46,A2,-0.2362190287683397,0.016786916055929246,0.25300594482426897,-0.17786239787907152,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,47,A2,-0.4752083902894958,0.06288734017094774,0.5380957304604436,0.2423051759100166,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,48,A2,1.0,-1.0,-2.0,-0.17880780997877682,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,49,A2,-0.04132757325181941,-0.7012097915874307,-0.6598822183356112,0.08618720301584165,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,50,A2,0.1412634458756522,0.28520082666688124,0.14393738079122903,0.342594612907832,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,51,A2,0.767731256106718,-1.0,-1.767731256106718,0.16300203696863336,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,52,A2,-0.4195508881827289,0.8866704749301451,1.3062213631128738,-0.3730672374730918,-1,1,1,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,53,A2,0.49085043714219617,-0.06087212652611451,-0.5517225636683107,0.02097819477884055,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,54,A2,0.40955646585730626,0.8083015565645042,0.39874509070719794,0.7233528498491641,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,55,A2,0.2494048717641762,0.32842459545145913,0.07901972368728294,0.5248983406056932,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,56,A2,-0.42180099405900084,-0.18704866838717177,0.23475232567182908,0.056810396870412214,-1,-1,0,1,0
20210401T124246.A_Elmo.B_KN.SCP_01,57,A2,-0.09711732984827838,0.0044141806362266575,0.10153151048450504,0.053372685002408014,-1,1,1,1,0
20210401T124246.A_Elmo.B_KN.SCP_01,58,A2,1.0,-1.0,-2.0,0.029374871080847634,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,59,A2,-0.36082996155031216,-1.0,-0.6391700384496879,0.08232810730109855,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,60,A2,1.0,-0.07746575765631884,-1.077465757656319,-0.0024207549227507744,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,61,A2,0.05043775005390447,-0.07105866137272143,-0.1214964114266259,-0.2367015092338702,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,62,A2,0.2632143244565652,1.0,0.7367856755434348,0.2541199884187847,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,63,A2,-0.5697254622545223,-1.0,-0.43027453774547775,0.5107657825967176,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,64,A2,-1.0,-0.3048134934760839,0.6951865065239161,0.0010188445129777014,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,65,A3,0.04830132495229078,0.07998010184303979,0.03167877689074901,-0.12106502005161797,1,1,0,0,0
