channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,9,0.17973592358340268,-0.02076410768104901,0.9035322855482144,0.17973592358340268,-0.2172475852888335,0.004878590230887512,0.3485097997166503,0.3886249270485694,-0.029795569519738618,6,3,0,5,0.5555555555555556,0.734375,0.9654471544715447
2,A1,0,9,0.02064311922091977,-0.08141645533682534,0.6652608043160405,0.02064311922091977,-0.490767243668282,-0.4781482130704665,0.4987913322913863,0.4781482130704665,0.27800366399550724,5,4,0,2,0.2222222222222222,0.91015625,0.9839527027027027
3,A1,0,9,0.2514775025025193,0.2974866273041359,0.6346600716368108,0.2514775025025193,-0.20249346806430726,-0.11816382005152679,0.20249346806430726,0.3978064767250419,0.04293291696768907,6,3,0,5,0.5555555555555556,0.359375,0.9206081081081081
4,A1,0,9,-0.3446559971358663,-0.5092898543349041,0.6936445671560342,0.3446559971358663,1.0,-0.03610128575785345,1.0,0.26798503093246706,0.1943742378096587,1,7,1,6,0.6666666666666666,0.078125,0.6578947368421053
5,A1,0,9,-0.08520286153772233,0.06249933456562541,0.648912817520126,0.08520286153772233,-0.1781067025576729,-0.011712298361070909,0.22289433630325775,0.40288411390643175,0.11342348798417205,4,5,0,4,0.4444444444444444,1.0,1.0
6,A1,0,9,0.1325055750807706,0.23756433090561144,0.8741452577006652,0.1325055750807706,-0.3171856576158924,-0.11620682891650633,0.39346122791593263,0.1846800825351218,0.22063897083263012,5,4,0,4,0.4444444444444444,0.65234375,0.9654471544715447
7,A1,0,9,-0.013233034015409845,0.11399700846334687,0.7130367841679655,0.013233034015409845,-0.0034472378192090527,-0.014327266651560809,0.18780087424536768,0.19965753631607647,0.08737715995626358,3,6,0,4,0.4444444444444444,0.8203125,0.9782608695652174
8,A1,0,9,0.03980270385234734,-0.06852188433799883,0.5527430984504395,0.03980270385234734,-0.29139833895833744,-0.43647522706961694,0.422414981084975,0.43647522706961694,0.33500148651545036,5,3,1,2,0.2222222222222222,0.7421875,0.9654471544715447
9,A1,0,9,-0.06895316477932811,0.1101005400264938,0.4685737167151306,0.06895316477932811,-0.20215161498654213,-0.351466598838717,0.33812520652048045,0.4405222140567171,0.025468721275735504,3,6,0,3,0.3333333333333333,0.91015625,0.9839527027027027
10,A1,0,9,0.10845893801102474,0.22198863993950477,0.7256662609239436,0.10845893801102474,-0.3696796977129937,-0.26122075970196895,0.8580047284480693,0.2960877382018616,0.09935681266374849,5,3,1,4,0.4444444444444444,0.3828125,0.9206081081081081
11,A1,0,9,-0.5513547153931049,-0.42248970597877755,0.48479006141816877,0.5513547153931049,0.02750275028711613,-0.1968191079095168,0.18341859399968852,0.3186726899300624,0.06203028617364571,1,8,0,3,0.3333333333333333,0.0390625,0.6578947368421053
12,A1,0,9,-0.10480605376751917,0.20903288452810143,0.7453814316456837,0.10480605376751917,-0.20741233716541732,-0.19689995739452837,0.27062877948228214,0.5973323620819202,0.0951353645457446,4,5,0,3,0.3333333333333333,0.5703125,0.9654471544715447
13,A1,0,9,0.033939173730348576,0.012592512062525442,0.5318189669023017,0.033939173730348576,-0.22703869594561002,-0.07116423951550452,0.22703869594561002,0.30058327944594115,0.037323818664863624,6,3,0,1,0.1111111111111111,0.734375,0.9654471544715447
14,A1,0,9,0.034217719467920335,0.049499490247745206,0.529363600993258,0.034217719467920335,-0.26539339124715117,-0.024529633442985456,0.27614828656460944,0.35884178499433717,0.1616469711184604,7,2,0,3,0.3333333333333333,0.42578125,0.9206081081081081
15,A1,0,9,0.5532823601965968,0.3628175054568162,0.5441945004853438,0.5532823601965968,-0.06960572607589,0.07245471158194461,0.11695679257812493,0.6336683332547753,0.06785375859813943,5,3,1,4,0.4444444444444444,0.1484375,0.7720588235294118
16,A1,0,9,0.07592687683877147,0.13939378985114645,0.5414030045883309,0.07592687683877147,-0.12299987281685243,0.08361320653471548,0.23941388953277323,0.20529285245348966,0.12500268422965094,5,4,0,3,0.3333333333333333,0.49609375,0.9449404761904762
