channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable
1,A1,9,0.013688653563865099,-0.00396446180609782,0.5555555555555556,5,0.04005853563118788,0.5098176124928472,0.3886249270485694,0.5381414736611593,False,3,False
2,A1,9,-5.883015460253667e-05,0.010077875265588556,0.7777777777777778,7,-0.40226252376433436,0.41265595192456195,0.4781482130704665,0.5145793871427562,False,7,False
3,A1,9,0.08927587846735348,0.0862827952997237,0.5555555555555556,5,0.11384522601462378,0.5786508713431681,0.3978064767250419,0.6492718939971038,False,4,False
4,A1,9,-0.054793131039793115,-0.009273071469009308,0.5555555555555556,5,0.15245340489310752,0.5411788824273984,0.26798503093246706,0.6198544241027925,False,6,False
5,A1,9,0.05717074787918858,0.013259862949852454,0.5555555555555556,5,-0.1324716017136284,0.5555021180596621,0.40288411390643175,0.6270353708156975,False,6,False
6,A1,9,0.07281425572594663,0.037795703476168827,0.6666666666666666,6,-0.10427933805534655,0.48473954312464823,0.1846800825351218,0.44702692096200247,False,3,False
7,A1,9,-0.044007072503158245,-0.03438623953775628,0.5555555555555556,5,0.09237717059512547,0.4833196829791419,0.19965753631607647,0.5741355222543452,False,2,False
8,A1,9,0.11493914966748453,0.06818241238008263,0.8888888888888888,8,-0.5401948270992635,0.3818132138426064,0.43647522706961694,0.4618783539357963,False,6,False
9,A1,9,-0.0276494394691495,0.0012077368582081042,0.6666666666666666,6,-0.2079404446106875,0.5785631293610694,0.4405222140567171,0.6481620326605588,False,1,False
10,A1,9,0.04057518345050387,0.04505508837553357,0.6666666666666666,6,-0.20645799356155262,0.5679597604894461,0.2960877382018616,0.6745829985456732,False,5,False
11,A1,9,0.03341892376670825,0.009325444026536352,0.5555555555555556,5,-0.33288556483952797,0.5232087784265255,0.3186726899300624,0.5257613218400481,False,1,False
12,A1,9,-0.036077970130634185,-0.020014610665293184,0.5555555555555556,5,-0.022901558354244914,0.6334948293417655,0.5973323620819202,0.7601612769903012,False,8,False
13,A1,9,0.03812021265018778,0.025120352416838087,0.5555555555555556,5,-0.20806055492456488,0.5554784310990234,0.30058327944594115,0.6675333017310707,False,5,False
14,A1,9,-0.011386901164988875,-0.0011599954468120967,0.5555555555555556,5,-0.17771163985587488,0.5434007000084651,0.35884178499433717,0.6284408365058173,False,3,False
15,A1,9,-0.010893535918070555,-0.008310530034098072,0.5555555555555556,5,0.2081916341842288,0.6448057779683498,0.6336683332547753,0.7739226978773401,False,0,False
16,A1,9,-0.0307908903701718,0.012369230381091877,0.5555555555555556,5,0.0009691540053258815,0.5163271832366135,0.20529285245348966,0.5521411772565465,False,7,False
17,A1,9,0.13912500046643195,0.07169916307005178,0.7777777777777778,7,-0.3440539226320897,0.4129495754727078,0.32515088608919884,0.5316435184094335,False,3,False
18,A1,9,0.021337944165724754,-0.008245021577381164,0.5555555555555556,5,-0.08265350426664286,0.5372286296438119,0.3706270119456318,0.5399987638136812,False,4,False
19,A1,9,0.3387664602632392,0.2128528009584959,0.5555555555555556,5,-0.02568254448347935,0.8486118001728552,1.0,1.0531579889298641,False,6,False
20,A1,9,0.3637669380462391,0.19959096349649058,0.6666666666666666,6,-0.4667761307575851,0.5401713823007321,0.8346870395118029,0.8152134943102671,True,9,False
21,A1,9,-0.0013735881802710598,0.00016168461658562077,0.6666666666666666,6,-0.3379779775768863,0.48480696843121446,0.5288520623873505,0.5248667813462138,False,2,False
22,A1,9,0.08276924611669603,0.059305154509909516,0.7777777777777778,7,-0.22057433117342992,0.45319695935428106,0.1182669815590646,0.46757224979887835,False,2,False
