session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20210401T124246,20210416T105525,14.9255,1,A1,-0.376037,0.088524,1
20210401T124246,20210416T105525,14.9255,2,A1,0.010277,0.354178,1
20210401T124246,20210416T105525,14.9255,3,A1,0.179186,0.338188,1
20210401T124246,20210416T105525,14.9255,4,A1,-0.417623,0.069287,1
20210401T124246,20210416T105525,14.9255,5,A1,0.112350,0.470594,0
20210401T124246,20210416T105525,14.9255,6,A1,0.285604,0.534676,1
20210401T124246,20210416T105525,14.9255,7,A1,-0.315648,0.284355,0
20210401T124246,20210416T105525,14.9255,8,A1,0.664984,0.258329,1
20210401T124246,20210416T105525,14.9255,9,A1,-0.421689,0.027152,1
20210401T124246,20210416T105525,14.9255,10,A1,0.042482,0.058659,1
20210401T124246,20210416T105525,14.9255,11,A1,0.095212,0.803181,1
20210401T124246,20210416T105525,14.9255,12,A1,0.381714,0.381139,1
20210401T124246,20210416T105525,14.9255,13,A1,0.051442,1.178311,0
20210401T124246,20210416T105525,14.9255,14,A1,-0.182018,0.039217,0
20210401T124246,20210416T105525,14.9255,15,A1,0.068369,1.633668,0
20210401T124246,20210416T105525,14.9255,16,A1,0.259858,0.101212,1
20210401T124246,20210416T105525,14.9255,17,A1,0.136496,0.582800,0
20210401T124246,20210416T105525,14.9255,18,A1,-0.011168,0.976122,0
20210401T124246,20210416T105525,14.9255,19,A1,-0.130197,1.144453,0
20210401T124246,20210416T105525,14.9255,20,A1,-0.291811,0.192050,1
20210401T124246,20210416T105525,14.9255,21,A1,-0.150753,0.618908,0
20210401T124246,20210416T105525,14.9255,22,A1,0.189677,0.570853,0
20210401T124246,20210416T105525,14.9255,23,A1,0.009012,0.082337,1
20210401T124246,20210416T105525,14.9255,24,A1,0.123437,0.275523,1
20210401T124246,20210416T105525,14.9255,25,A1,-0.043578,0.294313,0
20210401T124246,20210416T105525,14.9255,26,A1,0.707526,0.000000,1
20210401T124246,20210416T105525,14.9255,27,A1,-0.007821,0.105390,1
20210401T124246,20210416T105525,14.9255,28,A1,0.491702,0.139853,1
20210401T124246,20210416T105525,14.9255,29,A1,0.063172,0.751584,1
20210401T124246,20210416T105525,14.9255,30,A1,-0.048539,0.546078,1
20210401T124246,20210416T105525,14.9255,31,A1,0.151213,0.419538,0
20210401T124246,20210416T105525,14.9255,32,A1,0.456481,0.589313,1
20210401T124246,20210416T105525,14.9255,33,A2,-0.316657,0.206380,0
20210401T124246,20210416T105525,14.9255,34,A2,0.241105,0.484792,0
20210401T124246,20210416T105525,14.9255,35,A2,0.170015,0.552998,1
20210401T124246,20210416T105525,14.9255,36,A2,0.120553,0.005951,1
20210401T124246,20210416T105525,14.9255,37,A2,0.305704,0.088261,1
20210401T124246,20210416T105525,14.9255,38,A2,0.259133,0.144324,1
20210401T124246,20210416T105525,14.9255,39,A2,0.092992,0.181778,1
20210401T124246,20210416T105525,14.9255,40,A2,0.261093,0.496663,1
20210401T124246,20210416T105525,14.9255,41,A2,0.089907,0.420120,0
20210401T124246,20210416T105525,14.9255,42,A2,0.350555,0.408629,1
20210401T124246,20210416T105525,14.9255,43,A2,-0.237729,0.938077,1
20210401T124246,20210416T105525,14.9255,44,A2,0.073160,0.204802,0
20210401T124246,20210416T105525,14.9255,45,A2,0.068513,1.127379,0
20210401T124246,20210416T105525,14.9255,46,A2,-0.124722,0.160920,1
20210401T124246,20210416T105525,14.9255,47,A2,-0.115853,0.658165,0
20210401T124246,20210416T105525,14.9255,48,A2,0.075628,0.764371,1
20210401T124246,20210416T105525,14.9255,49,A2,0.059963,0.649932,1
20210401T124246,20210416T105525,14.9255,50,A2,0.105895,0.242062,1
20210401T124246,20210416T105525,14.9255,51,A2,0.261958,1.044731,0
20210401T124246,20210416T105525,14.9255,52,A2,0.033243,0.113330,1
20210401T124246,20210416T105525,14.9255,53,A2,0.028651,0.525607,0
20210401T124246,20210416T105525,14.9255,54,A2,0.615276,0.738681,1
20210401T124246,20210416T105525,14.9255,55,A2,0.094000,0.140575,1
20210401T124246,20210416T105525,14.9255,56,A2,-0.206045,0.637208,0
20210401T124246,20210416T105525,14.9255,57,A2,0.261416,0.138507,0
20210401T124246,20210416T105525,14.9255,58,A2,0.351355,1.603069,0
20210401T124246,20210416T105525,14.9255,59,A2,0.316085,1.067005,0
20210401T124246,20210416T105525,14.9255,60,A2,-0.106898,0.034912,1
20210401T124246,20210416T105525,14.9255,61,A2,0.190811,0.013838,1
20210401T124246,20210416T105525,14.9255,62,A2,0.030639,0.945627,1
20210401T124246,20210416T105525,14.9255,63,A2,0.030192,0.077469,1
20210401T124246,20210416T105525,14.9255,64,A2,0.054939,0.394079,0
20210401T124246,20210416T105525,14.9255,65,A3,-0.201186,0.054570,1
20210401T124246,20210416T105525,14.9255,66,A3,-0.137407,1.126617,0
20210401T124246,20210416T105525,14.9255,67,A3,-0.026849,0.006106,1
20210401T124246,20210416T105525,14.9255,68,A3,0.294841,0.218237,0
20210401T124246,20210416T105525,14.9255,69,A3,-0.225625,0.162532,0
20210401T124246,20210416T105525,14.9255,70,A3,0.345424,0.057664,1
20210401T124246,20210416T105525,14.9255,71,A3,0.176757,0.079910,0
20210401T124246,20210416T105525,14.9255,72,A3,0.467298,0.345216,0
20210401T124246,20210416T105525,14.9255,73,A3,0.336180,0.491650,0
20210401T124246,20210416T105525,14.9255,74,A3,0.398414,0.109382,0
20210401T124246,20210416T105525,14.9255,75,A3,-0.263067,1.143483,0
20210401T124246,20210416T105525,14.9255,76,A3,-0.157465,0.355108,0
20210401T124246,20210416T105525,14.9255,77,A3,0.212500,0.698257,1
20210401T124246,20210416T105525,14.9255,78,A3,0.021035,0.116293,0
20210401T124246,20210416T105525,14.9255,79,A3,-0.008177,0.303631,1
20210401T124246,20210416T105525,14.9255,80,A3,-0.294597,0.074778,1
20210401T124246,20210416T105525,14.9255,81,A3,0.251339,0.079056,1
20210401T124246,20210416T105525,14.9255,82,A3,0.203710,0.052096,1
20210401T124246,20210416T105525,14.9255,83,A3,0.133727,1.465965,0
20210401T124246,20210416T105525,14.9255,84,A3,-0.144072,0.143816,1
20210401T124246,20210416T105525,14.9255,85,A3,0.054474,0.377664,1
20210401T124246,20210416T105525,14.9255,86,A3,-0.022914,0.106918,1
20210401T124246,20210416T105525,14.9255,87,A3,-0.080415,0.244889,1
20210401T124246,20210416T105525,14.9255,88,A3,0.130735,0.257252,1
20210401T124246,20210416T105525,14.9255,89,A3,-0.050277,1.256925,0
20210401T124246,20210416T105525,14.9255,90,A3,0.045659,0.546251,0
20210401T124246,20210416T105525,14.9255,91,A3,0.039239,0.385172,0
20210401T124246,20210416T105525,14.9255,92,A3,0.256718,0.142661,1
20210401T124246,20210416T105525,14.9255,93,A3,-0.094181,0.156253,1
20210401T124246,20210416T105525,14.9255,94,A3,-0.040800,0.293832,1
20210401T124246,20210416T105525,14.9255,95,A3,0.363119,0.051892,0
20210401T124246,20210416T105525,14.9255,96,A3,0.212735,0.131038,1
20210401T124246,20210416T105525,14.9255,97,A4,0.662121,0.094344,1
20210401T124246,20210416T105525,14.9255,98,A4,0.289774,0.037333,1
20210401T124246,20210416T105525,14.9255,99,A4,0.939157,0.000000,1
20210401T124246,20210416T105525,14.9255,100,A4,0.501263,1.017651,0
20210401T124246,20210416T105525,14.9255,101,A4,0.612630,0.126142,1
20210401T124246,20210416T105525,14.9255,102,A4,0.508744,0.173592,0
20210401T124246,20210416T105525,14.9255,103,A4,0.019827,0.094034,0
