channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,10,0.4510833873077771,0.5416216983108992,0.7516502814181188,0.4510833873077771,-0.4090397450155505,-0.008902859980066291,0.5301838004401926,0.35584578947213075,-0.09266744528971718,6,4,0,5,0.5,0.10546875,0.7912234042553191
2,A1,0,10,-0.10258454771816439,-0.1343301702626945,0.8707852253206196,0.10258454771816439,-0.20577481018731636,-0.34133792953074016,0.371071386729159,0.49477928797983417,0.23111131122463532,4,6,0,3,0.3,0.76953125,0.9544573643410853
3,A1,0,10,0.18529048003311901,0.14995643688261834,0.7555776266994162,0.18529048003311901,-0.30022284046300163,-0.17250970026027568,0.5414059759877567,0.2029103087710193,0.1172366553313115,6,4,0,5,0.5,0.556640625,0.8371559633027523
4,A1,0,10,0.0,0.26631887333768967,0.733008116608825,0.0,0.6891476467907924,1.0,0.8056961483753708,1.0,0.27623350702087845,4,2,4,4,0.4,0.3125,0.8371559633027523
5,A1,0,10,0.36486594778535936,0.2484353455743072,0.5376674077410907,0.36486594778535936,-0.29822232296159024,-0.20050051943046532,0.29822232296159024,0.23509885753633336,0.12013835635009959,7,3,0,3,0.3,0.193359375,0.7912234042553191
6,A1,0,10,0.7179050420425874,0.46425635062075055,0.8355584999869524,0.7179050420425874,-1.0,-0.28209495795741246,1.0,0.35532344276591254,-0.00034550652664162157,7,2,1,4,0.4,0.25,0.8163265306122449
7,A1,0,10,0.757376814193846,0.6790985771282626,0.5901496892531926,0.757376814193846,-0.9382725110197604,0.02207722335263344,0.9382725110197604,0.200345722288427,0.05848521478707644,9,1,0,5,0.5,0.009765625,0.44642857142857145
8,A1,0,10,0.09186670362612019,0.14998582614674882,0.4663264796120594,0.09186670362612019,-0.7293442504654639,-0.5087694460791314,0.7293442504654639,0.5742777671424502,0.5108086369359457,6,2,2,1,0.1,0.25,0.8163265306122449
9,A1,0,10,-0.02400457283283275,0.017412997966104,0.6005935633657219,0.02400457283283275,-0.3179635143033812,-0.3358230446560248,0.36051105246285353,0.40380984042299395,-0.04461112125091551,5,5,0,1,0.1,0.921875,1.0
10,A1,0,10,0.07886289830578849,0.2532517507037493,0.6147316828688243,0.07886289830578849,-0.7431883213102646,-0.36390999887191305,0.7431883213102646,0.6138422130805314,0.2025955832075852,7,3,0,1,0.1,0.322265625,0.8371559633027523
11,A1,0,10,0.21692718031469882,0.3494231416292894,0.6640542992603073,0.21692718031469882,-0.21178936122204972,0.003962289229315697,0.7162066724575821,0.17828077490703942,0.04000204697074071,6,4,0,5,0.5,0.193359375,0.7912234042553191
12,A1,0,10,-0.5936899863041745,-0.5148406168629575,0.8711738796872159,0.5936899863041745,0.4166550417530535,-0.23902055832384972,0.6205434893063225,0.29469529811269085,-0.29784735707385507,4,6,0,5,0.5,0.10546875,0.7912234042553191
13,A1,0,10,0.3726017707852581,0.09013094258676098,0.7568115460306655,0.3726017707852581,-0.5028831650675701,-0.22557145419162394,0.6711388822481639,0.22623571006760457,0.09425686258840209,6,4,0,5,0.5,0.845703125,0.9949448529411765
14,A1,0,10,0.09609589820823006,0.11814553934385796,0.48407692487878834,0.09609589820823006,-0.21742883655543133,-0.2077171257199789,0.21742883655543133,0.2707708389058803,0.10202454255592655,6,4,0,3,0.3,0.556640625,0.8371559633027523
15,A1,0,10,-0.19691876148650816,-0.2161624460922722,0.5155373272818188,0.19691876148650816,0.007628369043931009,-0.03625046547129229,0.6291841908082982,0.12525240944962882,0.020708913095931907,3,7,0,3,0.3,0.16015625,0.7912234042553191
16,A1,0,10,0.23198218546879779,0.11266964813755069,0.5379810813302414,0.23198218546879779,-0.09635670886375663,-0.13617348340937963,0.4469244830924901,0.2389570454730635,0.035970449937534336,6,4,0,5,0.5,0.556640625,0.8371559633027523
17,A1,0,10,0.0,0.07374375749911719,0.24408180796424586,0.0,-0.7988112750548837,-0.7122902454839164,0.7988112750548837,0.9584506845540464,-0.002297516066451514,4,2,4,0,0.0,0.4375,0.8371559633027523
