session_id,channel,array_name,si_a,si_b,delta_si,waveform_r,sign_a,sign_b,sign_flip,task_evoked_a,task_evoked_b
20210401T124246.A_Elmo.B_KN.SCP_01,1,A1,0.14892422875011824,0.477148934001264,0.3282247052511458,-0.33822590402364705,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,2,A1,-0.15673574003854807,-0.12397035884861518,0.032765381189932885,-0.27691920262482134,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,3,A1,-1.0,-0.7359948216800124,0.2640051783199876,-0.08808267307978253,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,4,A1,-0.7628754172309216,-0.19869832404980867,0.5641770931811129,-0.46178162008185175,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,5,A1,-0.08934930375945775,-0.40288411390643175,-0.313534810146974,0.4425471964014979,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,6,A1,-1.0,-0.32577652488127545,0.6742234751187246,0.3462990543083425,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,7,A1,-0.11407558699766722,0.19965753631607647,0.3137331233137437,0.03490306693002968,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,8,A1,-0.6109518063482484,-0.351155828436444,0.2597959779118044,0.6409055304484833,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,9,A1,-1.0,0.26917204174115233,1.2691720417411523,0.14410593861907747,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,10,A1,-0.5415021944763148,-0.2960877382018616,0.24541445627445313,-0.026095695539508426,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,11,A1,0.6088199032886109,-0.1968191079095168,-0.8056390111981278,-0.28060991581937933,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,12,A1,-0.49958315492366584,0.6188611957209826,1.1184443506446484,0.04493826096515796,-1,1,1,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,13,A1,-0.22966086041817244,0.17831091897196727,0.40797177939013973,-0.10503966366855122,-1,1,1,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,14,A1,-0.09160743312414782,-0.024529633442985456,0.06707779968116237,0.1532656591920696,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,15,A1,-1.0,-1.0,0.0,0.2093733276038509,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,16,A1,0.6642587150405496,0.08361320653471548,-0.5806455085058341,0.5326859750515636,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,17,A1,-0.014028872352322542,0.15392656128643248,0.167955433638755,0.03434825161631302,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,18,A1,0.5729886347375979,0.48776576094309715,-0.08522287379450072,0.3560472779768448,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,19,A1,-0.43898649439886567,1.0,1.4389864943988657,0.42438017588401417,-1,1,1,1,0
20210401T124246.A_Elmo.B_KN.SCP_01,20,A1,0.6306782548340361,0.3646949714262758,-0.26598328340776023,0.7465043008305142,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,21,A1,-0.6746518519035011,0.5288520623873505,1.2035039142908515,0.057198735361464234,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,22,A1,1.0,0.4540670786616881,-0.545932921338312,0.5042383307826835,1,1,0,0,1
20210401T124246.A_Elmo.B_KN.SCP_01,23,A1,-0.20516270867249342,-0.08591851554967957,0.11924419312281385,0.3041497517699371,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,24,A1,0.6417049415523872,0.46694192726499,-0.1747630142873972,0.42231176827423694,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,25,A1,-1.0,-0.25097393404424206,0.7490260659557579,-0.0934534276494226,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,26,A1,1.0,1.0,0.0,0.7441785771466588,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,27,A1,-0.1737832354624487,-0.11965202046008319,0.05413121500236551,-0.3606502374579133,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,28,A1,-1.0,-0.6416361474889516,0.3583638525110484,0.7343319613193537,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,29,A1,-0.6529068855390728,1.0,1.652906885539073,0.46905057375441883,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,30,A1,-0.639192000195444,0.4539220206748999,1.0931140208703438,-0.09648543110123382,-1,1,1,0,1
20210401T124246.A_Elmo.B_KN.SCP_01,31,A1,-0.19481944438795182,-0.2406627955796837,-0.045843351191731885,0.17302722959849276,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,32,A1,-0.9609447715999108,-0.9613361961740847,-0.0003914245741739597,0.5385652585836531,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,33,A2,-0.24582807296350842,-0.08940599353227291,0.1564220794312355,-0.15138026484548708,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,34,A2,0.3829167241594422,-0.4835647522664586,-0.8664814764259008,-0.09040113802434896,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,35,A2,-0.03917449277821406,-0.06751388826176859,-0.028339395483554526,-0.08003061686127425,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,36,A2,-0.3731708029714851,0.17440321185494298,0.5475740148264281,-0.03071588177051725,-1,1,1,0,1
20210401T124246.A_Elmo.B_KN.SCP_01,37,A2,0.04609490898848373,0.23561742316853115,0.18952251418004742,-0.14285997135591752,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,38,A2,-0.5698562105691972,0.8556760117993434,1.4255322223685405,-0.033099927013448306,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,39,A2,0.11236257149944584,-0.27996558172733127,-0.3923281532267771,0.1465311279235282,1,-1,1,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,40,A2,-0.13349492828162723,0.2764909681513554,0.4099858964329826,-0.044915496013629964,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,41,A2,-0.6148197529046565,0.361165429694149,0.9759851825988055,0.06779368807414483,-1,1,1,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,42,A2,0.3378097153086456,-0.48886385272602406,-0.8266735680346697,0.08757473577858207,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,43,A2,0.05735647628894973,0.061922809653096725,0.004566333364146996,0.379240698690903,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,44,A2,-0.28282095669687535,-0.029723509981304484,0.2530974467155709,-0.05852216768531693,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,45,A2,-1.0,-1.0,0.0,0.40847405632611367,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,46,A2,-0.006442686706844281,0.016786916055929246,0.023229602762773527,0.23567795096167704,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,47,A2,0.0747730909108464,0.06288734017094774,-0.011885750739898657,-0.13226502592724088,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,48,A2,0.08895404724538628,-1.0,-1.0889540472453862,-0.20001662314459945,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,49,A2,-1.0,-0.7012097915874307,0.2987902084125693,0.2580203301906338,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,50,A2,0.33414021896151236,0.28520082666688124,-0.04893939229463112,0.09965716919955402,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,51,A2,0.36235712884337157,-1.0,-1.3623571288433716,-0.10297520466603033,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,52,A2,0.3499871173027971,0.8866704749301451,0.536683357627348,-0.05301881233563192,1,1,0,0,1
20210401T124246.A_Elmo.B_KN.SCP_01,53,A2,0.06919446632150919,-0.06087212652611451,-0.1300665928476237,-0.13125234145806133,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,54,A2,0.2802298484373988,0.8083015565645042,0.5280717081271054,0.5089289505822584,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,55,A2,0.48420827606321537,0.32842459545145913,-0.15578368061175624,0.6676587630655502,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,56,A2,-0.13933362609185918,-0.18704866838717177,-0.04771504229531259,0.12164569962400926,-1,-1,0,1,0
20210401T124246.A_Elmo.B_KN.SCP_01,57,A2,0.18460867334463205,0.0044141806362266575,-0.1801944927084054,0.0037398873978067722,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,58,A2,0.09776080558308653,-1.0,-1.0977608055830865,-0.2939756528307016,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,59,A2,-0.23247139846466935,-1.0,-0.7675286015353306,-0.20185696671923165,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,60,A2,-0.6469259545070297,-0.07746575765631884,0.5694601968507109,0.1823456538430374,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,61,A2,0.16612409192078356,-0.07105866137272143,-0.237182753293505,0.16548188412331524,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,62,A2,0.2960869527030729,1.0,0.703913047296927,0.4999501468001019,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,63,A2,-0.3808293861067915,-1.0,-0.6191706138932085,0.27398103232840415,-1,-1,0,0,1
20210401T124246.A_Elmo.B_KN.SCP_01,64,A2,-0.1472904911921355,-0.3048134934760839,-0.1575230022839484,-0.16253977765347094,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,65,A3,0.07360274765323971,0.07998010184303979,0.00637735418980008,-0.022564361898778425,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,66,A3,0.21825726478922458,1.0,0.7817427352107754,0.1252151315235729,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,67,A3,0.18279851499729036,-0.09783896582261847,-0.2806374808199088,0.09983159113870511,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,68,A3,-0.239782800002723,-0.1165747805889534,0.1232080194137696,-0.07661898914925037,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,69,A3,-0.009114268224069856,0.085505435216795,0.09461970344086486,-0.14198809856016298,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,70,A3,-0.005888048958216229,-0.0075932935676021815,-0.0017052446093859521,0.568399545336992,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,71,A3,0.09696368925877358,-0.007392321475945081,-0.10435601073471866,-0.017033198647435067,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,72,A3,0.050939620727431,0.3411801418261858,0.29024052109875476,0.26333628862140857,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,73,A3,0.7134855666407155,-0.21534116656771107,-0.9288267332084266,0.2363723421580021,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,74,A3,0.4850521928879955,0.0705168222435178,-0.4145353706444777,0.08640525512927842,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,75,A3,0.0611223278407216,0.1434832637686232,0.08236093592790159,0.1595288814326596,1,1,0,0,1
20210401T124246.A_Elmo.B_KN.SCP_01,76,A3,1.0,-0.28402327687504086,-1.2840232768750408,0.012398196606744533,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,77,A3,0.1747442186401385,0.3017434504542052,0.1269992318140667,-0.12998144653965205,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,78,A3,-0.06751914159352666,-0.023304784569023677,0.044214357024502986,-0.03651038941135301,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,79,A3,0.12747353385003157,-0.30867256989561337,-0.43614610374564494,0.20944489143440656,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,80,A3,0.07127093800761672,0.14387834460098725,0.07260740659337053,0.22081502603664904,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,81,A3,0.30390945626953053,0.16961364271109933,-0.1342958135584312,0.2156630058550001,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,82,A3,0.26255174973110434,0.15358123510517094,-0.1089705146259334,0.07290267428908995,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,83,A3,-0.6045126537519507,1.0,1.6045126537519507,-0.04225101156530692,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,84,A3,-0.12121609978880842,0.088453441112314,0.20966954090112241,0.10530223234879835,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,85,A3,-0.34987955223211636,-0.15711283458862804,0.19276671764348832,-0.17844328277987986,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,86,A3,-0.7948235586753964,-0.193876318672505,0.6009472400028915,-0.005060462532944706,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,87,A3,-0.6040202560399676,-0.27136751347379373,0.33265274256617383,0.09889988106372466,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,88,A3,0.018791364442845584,0.13514040038051583,0.11634903593767025,0.28591075361363594,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,89,A3,-0.011060395440735449,1.0,1.0110603954407353,-0.3679756849271077,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,90,A3,-0.007134385194440056,0.128039104427095,0.13517348962153508,-0.1252724948727261,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,91,A3,0.2141770171719044,0.38114695212171523,0.16696993494981083,0.08414332961068144,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,92,A3,-0.15078737385564325,-0.13466828303809167,0.016119090817551585,0.0645590690747581,-1,-1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,93,A3,0.2810347516925573,0.1390477154525747,-0.14198703623998263,-0.44540873973458056,1,1,0,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,94,A3,0.06080867045284844,-0.09424170522034922,-0.15505037567319765,-0.3184507884315925,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,95,A3,-0.09493503190596977,0.006301548759708641,0.10123658066567842,0.020049843597688317,-1,1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,96,A3,0.1332079988364243,-0.23995693045016078,-0.37316492928658507,-0.002447554781983796,1,-1,1,0,0
20210401T124246.A_Elmo.B_KN.SCP_01,97,A4,0.6754549958163698,0.644249552938622,-0.031205442877747847,0.47304864904820865,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,98,A4,0.2232750270333422,-0.3065482293297277,-0.5298232563630699,0.5641461117726196,1,-1,1,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,99,A4,-0.15901092334831274,-1.0,-0.8409890766516872,0.8626832889809067,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,100,A4,0.21365282416673992,-0.01765050444378466,-0.23130332861052458,0.2599778759356186,1,-1,1,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,101,A4,-0.06322795904469253,-0.01333275523220161,0.04989520381249092,0.6359509119469173,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,102,A4,-0.07730706011626792,-0.04124941502020142,0.0360576450960665,0.436958065768702,-1,-1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,103,A4,0.028706233110126395,0.028959443615327415,0.00025321050520102015,-0.058077647313711254,1,1,0,1,1
20210401T124246.A_Elmo.B_KN.SCP_01,104,A4,-0.17810223655503002,-0.0606833640532126,0.11741887250181743,0.4188762887156301,-1,-1,0,1,1
