session_id,array,n_present,n_missing,missing_channels
20210204T131620.A_Elmo.B_DL.SCP_01,A1,26,6,"018,019,022,023,025,030"
20210204T131620.A_Elmo.B_DL.SCP_01,A2,9,23,"033,034,036,038,039,040,042,043,044,045,046,047,048,049,050,051,052,054,056,058,060,061,063"
20210204T131620.A_Elmo.B_DL.SCP_01,A3,10,22,"068,070,072,074,075,076,078,079,080,081,082,083,084,085,086,087,088,090,091,092,094,096"
20210204T131620.A_Elmo.B_DL.SCP_01,A4,25,7,"105,106,108,109,110,111,112"
20210204T131620.A_Elmo.B_DL.SCP_01,A5,22,10,"138,139,140,141,142,144,148,155,156,157"
20210205T151709.A_Elmo.B_DL.SCP_01,A1,32,0,
20210205T151709.A_Elmo.B_DL.SCP_01,A2,32,0,
20210205T151709.A_Elmo.B_DL.SCP_01,A3,32,0,
20210205T151709.A_Elmo.B_DL.SCP_01,A4,32,0,
20210205T151709.A_Elmo.B_DL.SCP_01,A5,32,0,
20210211T163501.A_Elmo.B_DL.SCP_01,A1,32,0,
20210211T163501.A_Elmo.B_DL.SCP_01,A2,32,0,
20210211T163501.A_Elmo.B_DL.SCP_01,A3,32,0,
20210211T163501.A_Elmo.B_DL.SCP_01,A4,32,0,
20210211T163501.A_Elmo.B_DL.SCP_01,A5,32,0,
20210212T153711.A_Elmo.B_DL.SCP_01,A1,32,0,
20210212T153711.A_Elmo.B_DL.SCP_01,A2,32,0,
20210212T153711.A_Elmo.B_DL.SCP_01,A3,32,0,
20210212T153711.A_Elmo.B_DL.SCP_01,A4,32,0,
20210212T153711.A_Elmo.B_DL.SCP_01,A5,32,0,
20210218T131636.A_Elmo.B_FS.SCP_01,A1,32,0,
20210218T131636.A_Elmo.B_FS.SCP_01,A2,32,0,
20210218T131636.A_Elmo.B_FS.SCP_01,A3,32,0,
20210218T131636.A_Elmo.B_FS.SCP_01,A4,32,0,
20210218T131636.A_Elmo.B_FS.SCP_01,A5,32,0,
20210219T145809.A_Elmo.B_DL.SCP_01,A1,32,0,
20210219T145809.A_Elmo.B_DL.SCP_01,A2,32,0,
20210219T145809.A_Elmo.B_DL.SCP_01,A3,32,0,
20210219T145809.A_Elmo.B_DL.SCP_01,A4,32,0,
20210219T145809.A_Elmo.B_DL.SCP_01,A5,32,0,
20210610T132106.A_Elmo.B_ST.SCP_01,A1,32,0,
20210610T132106.A_Elmo.B_ST.SCP_01,A2,32,0,
20210610T132106.A_Elmo.B_ST.SCP_01,A3,32,0,
20210610T132106.A_Elmo.B_ST.SCP_01,A4,32,0,
20210610T132106.A_Elmo.B_ST.SCP_01,A5,32,0,
20210618T123111.A_Elmo.B_ST.SCP_01,A1,32,0,
20210618T123111.A_Elmo.B_ST.SCP_01,A2,32,0,
20210618T123111.A_Elmo.B_ST.SCP_01,A3,32,0,
20210618T123111.A_Elmo.B_ST.SCP_01,A4,32,0,
20210618T123111.A_Elmo.B_ST.SCP_01,A5,32,0,
20210623T140144.A_Elmo.B_ST.SCP_01,A1,32,0,
20210623T140144.A_Elmo.B_ST.SCP_01,A2,32,0,
20210623T140144.A_Elmo.B_ST.SCP_01,A3,32,0,
20210623T140144.A_Elmo.B_ST.SCP_01,A4,32,0,
20210623T140144.A_Elmo.B_ST.SCP_01,A5,32,0,
20210625T141512.A_Elmo.B_KN.SCP_01,A1,32,0,
20210625T141512.A_Elmo.B_KN.SCP_01,A2,32,0,
20210625T141512.A_Elmo.B_KN.SCP_01,A3,32,0,
20210625T141512.A_Elmo.B_KN.SCP_01,A4,32,0,
20210625T141512.A_Elmo.B_KN.SCP_01,A5,32,0,
