channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
1,A1,10,0.03974689721203054,0.04398928235230474,0.5,5,-0.17110417567592814,0.6108024138760265,0.3639220664443764,0.7278441328887528,False,8,False,
2,A1,10,0.24442263838384712,0.2105776883476624,0.5,5,0.14361856623503164,0.7802373706965634,0.911603050561625,0.9685452393796016,False,8,False,
3,A1,10,-0.04626886270035372,-0.006909926772752436,0.6,6,-0.33694344196977993,0.6258087632791627,0.6705254365617002,0.6848172706532187,False,5,False,
4,A1,10,0.047766302986663595,0.023628021055218832,0.6,6,0.05742358568799326,0.7049204513059376,0.548979086342916,0.715292658635329,True,10,False,
5,A1,10,0.007934379476116908,0.012052763028738379,0.8,8,-0.4455781742454089,0.5521142193467349,0.7256815222479688,0.669728310793126,False,6,False,
6,A1,10,0.25892181348210985,0.1852685174946468,0.8,8,-0.2341288114279212,0.5175911550960092,0.4373559154987906,0.4656273592051221,False,9,False,
7,A1,10,0.08462658064485776,0.06010261704525781,0.9,9,-0.6261363635866768,0.403017619750481,0.7676374637053429,0.4435222917668745,False,7,False,
8,A1,10,0.20832001053123975,0.21285663015094192,0.9,9,-0.6659281559971802,0.40580707055624227,0.8781396892732231,0.3456472838848329,False,6,False,
9,A1,10,-0.00807332247597736,0.035912260920951455,0.5,5,-0.023862144417483813,0.49661516265887246,0.3525179857271268,0.5700214459210022,False,6,False,
10,A1,10,0.320110847136425,0.24060996307371502,0.7,7,-0.5152241003372888,0.5622518381257203,0.7694474487430745,0.5783082124351618,True,10,False,
11,A1,10,0.06482045708675489,0.05256057931825661,0.6,6,-0.11930784316075352,0.8112582073324692,0.9612484541201698,0.9109002014417322,False,9,False,
12,A1,10,-0.28447282576443766,0.0541307536859693,0.6,6,0.18398745557184062,0.591467302825399,0.3893317731094325,0.7447650293161525,True,10,False,
13,A1,10,-0.011577526364290146,-0.008640867064323475,0.6,6,-0.03871282017173768,0.463190736916777,0.3432287995102637,0.4990392868173365,True,10,False,
14,A1,10,0.04803883944065959,0.04643173948942452,0.6,6,0.10921178936701911,0.5799266553953136,0.3126118626141185,0.7222682185531636,False,7,False,
15,A1,10,0.10552845978810692,0.09006043998357359,0.6,6,0.028983503568680187,0.8279765487163584,1.0,1.2376077013516433,False,3,False,
16,A1,10,0.19444787982126346,0.22763105194564903,0.5,5,0.009376025107167818,0.47458048558384397,0.18487757160804255,0.3850316774740275,True,10,False,
17,A1,10,-0.03906837751471638,-0.007591593104811571,0.7,7,-0.14171006754819682,0.5707373508722293,0.41616592826294746,0.6003740062945229,False,8,False,
18,A1,9,0.10846454560916574,0.0929597428435596,0.5555555555555556,5,0.10482841841888108,0.5568471172064969,0.2799123139277827,0.56704664630556,False,7,False,
19,A1,9,0.2817054906577199,0.25647888088040005,1.0,9,-0.5213559435082524,0.3596469216804053,0.46296770721127656,0.41347044034354113,True,9,False,
20,A1,10,-0.007114845082426615,0.04756665149012339,1.0,10,-0.24641062576488534,0.1299766267331599,0.27773037078547164,0.12127802629119494,True,10,False,2
21,A1,10,0.013844103789417616,0.029878574389274774,0.5,5,0.06301202876289323,0.5273685975055099,0.2827372330921222,0.5654744661842444,False,5,False,
22,A1,9,-0.0736569768889477,-0.036094914631050946,0.5555555555555556,5,0.05682178714317132,0.5212813849993133,0.27018502642089065,0.5331535441194232,False,2,False,
23,A1,9,0.11031052413899453,0.062066716658325014,0.5555555555555556,5,0.02470730814186077,0.5454164386229604,0.30604318981735845,0.6413823119492885,False,7,False,
24,A1,10,0.17620727618829113,0.22910343044478157,0.8,8,-0.24425005149477025,0.3556062827330823,0.2164322154100921,0.46225655523961434,False,8,False,
25,A1,9,-0.027022428693648994,0.019526366574555903,0.8888888888888888,8,-0.4936952429597765,0.5634199646966132,0.8332655688210102,0.5338968142341032,False,4,False,
26,A1,10,0.7020549748408647,0.372067844993299,0.9,9,0.7272803798293823,0.5386307334797424,1.0,0.3114378131451947,True,10,False,
27,A1,10,0.0960942090959885,0.06769776991041408,0.7,7,-0.13277091664469326,0.6834860693424948,0.5155226069011747,0.6909103662411696,False,5,False,
28,A1,10,0.09670469233103604,0.15456541044307778,0.8,8,-0.5608718540641467,0.5701941784702125,1.0,0.6889619608481015,True,10,False,
29,A1,10,0.18030734567333925,0.14132746487724937,0.7,7,0.36661838309275063,0.7848088732915816,1.0,0.6955251199343149,True,10,False,
30,A1,9,0.004138362591634673,0.008610441715321018,0.6666666666666666,6,0.07008391913186342,0.4187411422553385,0.22062822824877526,0.376658894084008,False,3,False,
31,A1,10,0.04842973025995542,0.14073445625335423,0.6,6,-0.22287226504069083,0.45296443312598,0.25024096965371273,0.46098056448448743,False,6,False,
32,A1,10,-0.4446459616537827,0.03356864353294933,0.6,6,0.29191261232129506,0.5819470241267749,0.2798884836375132,1.072923291262109,True,10,False,
33,A2,9,0.15718001515951674,0.1410641881985228,1.0,9,-0.5078092066948942,0.3048786736748098,0.4663819177238087,0.34082184110989644,True,9,False,
34,A2,9,-0.0359760288071031,0.007196321129235402,0.6666666666666666,6,-0.11749566657832654,0.5475447605331187,0.3706313656142894,0.629708337611076,False,8,False,
35,A2,10,0.03368635255985608,0.028376725861152967,0.6,6,-0.06064545264120549,0.13296405259098654,0.08636488087042785,0.14761896549410458,False,8,False,
36,A2,9,0.14686940140982147,0.1265313784542792,0.5555555555555556,5,-0.12376325486404911,0.32254513042245153,0.09026177338404326,0.14195915851276858,True,9,False,
37,A2,10,0.022494969920861738,0.043967034603972485,0.9,9,-0.5160665613526673,0.4616036846545108,0.5050491742105929,0.611881018465386,False,5,False,
38,A2,9,0.039275255731757025,0.03369986917132469,0.6666666666666666,6,-0.13401412381374703,0.5685341377141804,0.1559412069204032,0.8416005698448024,False,1,False,
39,A2,9,0.33138233862896815,0.382375993308344,0.6666666666666666,6,-0.09903901286809094,0.24913723126904352,0.14081588704657896,0.22837824558744915,True,9,False,
40,A2,9,0.06752014462856837,0.015349180297301108,0.6666666666666666,6,-0.25086284963542776,0.7761089818345279,1.0,0.7787833992391362,False,0,False,
41,A2,10,0.14718690168201598,0.11718041209798577,0.8,8,0.39151762587454525,0.5139942442881035,0.24065591178146972,0.7888886045692961,False,9,False,
42,A2,9,-0.006867078971373756,0.02567482377110556,0.5555555555555556,5,-0.13561695295744627,0.5377556744426826,0.4187341647002783,0.5372323926079554,False,0,False,
43,A2,9,0.046911014091442355,0.06289837717022373,0.6666666666666666,6,0.146726625328567,0.6376129316688541,0.30436823781834077,0.9292142083562136,False,4,False,
44,A2,9,-0.01386190230283671,0.006906913497858451,0.5555555555555556,5,0.0032763588748326734,0.5110919896167175,0.24921717104469493,0.5099452533045723,False,0,False,
45,A2,9,0.03048223003758678,0.055823419704049936,0.7777777777777778,7,-0.209336775439959,0.5340050896926255,0.36353375101230695,0.6778164581454769,False,1,False,
46,A2,9,0.012034127072830931,0.04046808312346021,0.5555555555555556,5,-0.06488926790905152,0.7743686157234708,1.0,0.9838795381279819,False,0,False,
47,A2,9,-0.000518359355155918,-0.00285974271159076,0.7777777777777778,7,-0.40256407819985385,0.5503100578540936,0.4058092866814941,0.9470497032259187,False,0,False,
48,A2,9,0.011883432040963223,-0.0030793200876676878,0.6666666666666666,6,-0.11467422299387096,0.6451505554959024,0.44256759208339586,0.8791888723410437,False,1,False,
49,A2,9,-0.2287891340368179,0.045844577436793,0.5555555555555556,5,0.008723036786973429,0.7671633118692862,0.8166921599246828,0.9083460799623414,True,9,False,
50,A2,9,0.01063373366501642,0.011630943241496107,0.6666666666666666,6,-0.050810193140583645,0.6230332814578927,0.3793230951408976,0.6564156725923203,False,2,False,
51,A2,9,-0.004219414145114909,-0.005864856062277466,0.7777777777777778,7,-0.41190212771071216,0.6117194956192957,0.6892684066683884,0.6293726263288607,False,3,False,
52,A2,9,0.1329100364116112,0.1684424890404387,0.8888888888888888,8,-0.3843474092304304,0.328223793258593,0.29800725570614983,0.35942724489014466,True,9,False,
53,A2,10,0.040821458612183274,0.04425603899939004,0.8,8,-0.23143748628334543,0.573425582288517,0.3454867446806094,0.6582494923238463,False,5,False,
54,A2,9,0.101209463421573,0.04523651576140958,0.6666666666666666,6,-0.27210377981318007,0.4509778168379214,0.27923957524500664,0.48657846423831413,True,9,False,
55,A2,10,0.3578420575543268,0.4012287391086581,0.6,6,-0.01575294049804644,0.19002898240834623,0.08707000483706623,0.11443333565554098,True,10,False,
56,A2,9,0.15007914172303818,0.1245756792168585,0.7777777777777778,7,-0.31782029736438827,0.34959268678035155,0.18795110304222318,0.35260188512397916,True,9,False,
57,A2,10,0.11591361346516056,0.12167117206081202,0.6,6,0.04432040601593175,0.6146894516109905,0.5174885618798337,0.7093775806616156,True,10,False,
58,A2,9,-0.02479927464259144,0.011060615608152921,0.6666666666666666,6,0.22345138944624163,0.6822745707510578,0.6907754486515894,0.7911457348090689,False,0,False,
59,A2,10,0.051173702263315586,0.043494140969444074,0.5,5,-0.197549927044745,0.47189655694603794,0.20790645581475392,0.38089332761434547,True,10,False,
60,A2,9,-0.002080949114959002,0.0021023194696070074,0.5555555555555556,5,0.007139046625549628,0.2885702072183225,0.10619310113779379,0.26040005189442667,False,0,False,
61,A2,9,0.020821303164831738,0.020738455574459153,0.6666666666666666,6,-0.2876284475543947,0.6132395832756196,0.5986303912829118,0.7356171555505766,False,0,False,
62,A2,10,-0.021910639040229198,-0.015134505713518051,1.0,10,-0.5329965003313203,0.3709906472216765,0.5994413303777791,0.43384598042005057,False,3,False,
