session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20210204T131620,20210205T151709,1.0839,1,A1,-0.259664,1.992816,0
20210204T131620,20210205T151709,1.0839,2,A1,0.129269,0.968545,0
20210204T131620,20210205T151709,1.0839,3,A1,0.143015,0.684817,1
20210204T131620,20210205T151709,1.0839,4,A1,0.400779,0.305388,1
20210204T131620,20210205T151709,1.0839,5,A1,-0.032603,0.470533,0
20210204T131620,20210205T151709,1.0839,6,A1,0.558596,0.245246,0
20210204T131620,20210205T151709,1.0839,7,A1,0.299812,0.836676,1
20210204T131620,20210205T151709,1.0839,8,A1,0.378191,0.129209,0
20210204T131620,20210205T151709,1.0839,9,A1,0.270709,0.075191,1
20210204T131620,20210205T151709,1.0839,10,A1,0.842567,0.461105,1
20210204T131620,20210205T151709,1.0839,11,A1,0.033043,0.518024,1
20210204T131620,20210205T151709,1.0839,12,A1,0.888535,0.169763,1
20210204T131620,20210205T151709,1.0839,13,A1,0.045027,0.006738,1
20210204T131620,20210205T151709,1.0839,14,A1,0.654674,0.293540,1
20210204T131620,20210205T151709,1.0839,15,A1,0.571716,0.000000,1
20210204T131620,20210205T151709,1.0839,16,A1,0.546736,0.150790,1
20210204T131620,20210205T151709,1.0839,17,A1,0.196752,0.164120,0
20210204T131620,20210205T151709,1.0839,20,A1,0.785395,0.098152,1
20210204T131620,20210205T151709,1.0839,21,A1,-0.074419,0.352780,0
20210204T131620,20210205T151709,1.0839,24,A1,0.221690,0.355592,0
20210204T131620,20210205T151709,1.0839,26,A1,0.918204,0.000000,1
20210204T131620,20210205T151709,1.0839,27,A1,0.215082,0.353196,1
20210204T131620,20210205T151709,1.0839,28,A1,0.938954,0.000000,1
20210204T131620,20210205T151709,1.0839,29,A1,0.734913,0.000000,1
20210204T131620,20210205T151709,1.0839,31,A1,-0.344083,0.425248,0
20210204T131620,20210205T151709,1.0839,32,A1,0.707144,0.155066,1
20210204T131620,20210205T151709,1.0839,35,A2,0.452608,0.340439,0
20210204T131620,20210205T151709,1.0839,37,A2,-0.024073,0.000000,1
20210204T131620,20210205T151709,1.0839,41,A2,0.416399,0.000000,1
20210204T131620,20210205T151709,1.0839,53,A2,0.178159,0.147418,1
20210204T131620,20210205T151709,1.0839,55,A2,0.802811,0.082535,1
20210204T131620,20210205T151709,1.0839,57,A2,0.724867,0.051833,1
20210204T131620,20210205T151709,1.0839,59,A2,0.432171,0.023576,1
20210204T131620,20210205T151709,1.0839,62,A2,0.036362,0.091162,1
20210204T131620,20210205T151709,1.0839,64,A2,0.104597,0.249320,1
20210204T131620,20210205T151709,1.0839,65,A3,0.451499,0.555159,0
20210204T131620,20210205T151709,1.0839,66,A3,0.917830,0.399707,1
20210204T131620,20210205T151709,1.0839,67,A3,0.490816,0.081683,1
20210204T131620,20210205T151709,1.0839,69,A3,0.655022,0.461600,0
20210204T131620,20210205T151709,1.0839,71,A3,0.768315,0.566692,1
20210204T131620,20210205T151709,1.0839,73,A3,0.148359,0.072774,1
20210204T131620,20210205T151709,1.0839,77,A3,0.689203,0.011878,1
20210204T131620,20210205T151709,1.0839,89,A3,0.774204,0.026591,1
20210204T131620,20210205T151709,1.0839,93,A3,0.713072,0.053459,1
20210204T131620,20210205T151709,1.0839,95,A3,0.539424,0.207834,1
20210204T131620,20210205T151709,1.0839,97,A4,0.789949,0.020730,1
