channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,9,0.0429174299857108,-0.02030602337518454,0.7901431551853272,0.0429174299857108,-0.1713755120366659,-0.17749506902078713,0.38836923352170705,0.5089226939156272,0.01250573232635673,5,4,0,4,0.4444444444444444,1.0,1.0
2,A1,0,9,0.18680649505619468,0.458384474163465,0.6526225479950315,0.18680649505619468,-0.12665490321567643,0.6439641485350659,0.8232061011232501,0.762665606747238,0.2290061396039065,5,2,2,4,0.4444444444444444,0.109375,0.7291666666666666
3,A1,0,9,0.5467773533217106,0.5010461346204451,0.8407145066579178,0.5467773533217106,-0.5798141622436331,-0.03303680892192256,0.5798141622436331,0.3228319899430507,-0.15838294246401408,7,2,0,5,0.5555555555555556,0.1640625,0.7407407407407407
4,A1,0,9,-0.2661087420769143,-0.07373281250468519,0.7752216142616383,0.2661087420769143,-0.13453952716098333,-0.048350989774910404,0.6946117767156629,0.40064826923789765,0.03295683911547985,2,6,1,4,0.4444444444444444,0.7421875,0.9205426356589147
5,A1,0,9,0.7641767935321282,0.5919607535454021,0.8200502321843953,0.7641767935321282,-0.8240635357321094,0.08316121082547347,0.8240635357321094,0.340793585058891,0.0877158628915638,6,3,0,6,0.6666666666666666,0.12890625,0.7407407407407407
6,A1,0,9,-0.28219517545738915,-0.22879868231265427,0.5574280264611042,0.28219517545738915,-0.3420477111909444,-0.5548468603162369,0.5326641198066369,0.5548468603162369,0.2120327769191327,3,6,0,2,0.2222222222222222,0.30078125,0.746268656716418
7,A1,0,9,0.24521121069254034,0.3983121562120099,0.7692578374865499,0.24521121069254034,-0.9284289253851791,-0.3679469657696491,0.9284289253851791,1.0,-0.04230831766000193,5,2,2,3,0.3333333333333333,0.296875,0.746268656716418
8,A1,0,9,0.13306981674714535,0.27546411851123703,0.4318761802096502,0.13306981674714535,-0.7562793785464461,-0.5212828993680217,0.7562793785464461,0.6879064466509641,0.28919083038620075,5,2,2,2,0.2222222222222222,0.15625,0.7407407407407407
9,A1,0,9,0.30111705284918344,0.38515082904697806,0.41107235126312847,0.30111705284918344,-0.19191856769376164,0.5386470535495449,0.36597027079625005,0.7061800222272883,0.05178942881289132,7,1,1,2,0.2222222222222222,0.015625,0.546875
10,A1,0,9,0.0,-0.0978488396381533,0.2254523880682664,0.0,-0.5388948974861488,-0.9057269746917703,0.5388948974861488,0.9057269746917703,0.32424940838588856,2,4,3,2,0.2222222222222222,0.4375,0.8241758241758241
11,A1,0,9,0.0,-0.14039593269577766,0.5381545131173642,0.0,-0.4819758234158007,-0.35287416291559753,0.9224969082403397,0.35287416291559753,0.138646947060551,4,4,1,1,0.1111111111111111,0.546875,0.8449074074074074
