channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
1,A1,9,0.022669152164595252,0.07324036986568187,0.5555555555555556,5,-0.2187346731766967,0.5907353236556213,0.5089226939156272,0.700536243982262,False,3,False,
2,A1,9,0.07757572802595514,0.024591981828667415,0.8888888888888888,8,0.5068495477579446,0.6041747794176909,0.762665606747238,0.42574435296757707,False,5,False,
3,A1,9,-0.020033067365620553,-0.009076461212659242,0.5555555555555556,5,0.04208267566738215,0.5926563850502371,0.3228319899430507,0.6396947853121242,False,3,False,
4,A1,9,0.06748552231937721,0.03482169178194827,0.5555555555555556,5,0.03375836012311659,0.6094607419192507,0.40064826923789765,0.6631009802617244,False,7,False,
5,A1,9,0.009887590545373897,0.040892142630735415,0.6666666666666666,6,0.1335707476290448,0.4793185025960898,0.340793585058891,0.5407291034262729,False,5,False,
6,A1,9,0.19545473438202438,0.11624842882210942,0.7777777777777778,7,-0.45675506689695083,0.4148291802049141,0.5548468603162369,0.5387031980670787,False,3,False,
7,A1,9,-0.0384030795255773,-0.003560717300806651,0.5555555555555556,5,-0.26698118492430417,0.7337159844236169,1.0,0.8124930360975918,False,2,False,
8,A1,9,0.10356655031008391,0.08127239147186652,0.6666666666666666,6,-0.35334494370785213,0.656362627239968,0.6879064466509641,0.5741063381217739,False,7,False,
9,A1,9,-0.06375180945318015,-0.017249659608617997,0.6666666666666666,6,0.3412722481164317,0.590204489179463,0.7061800222272883,0.6241058047583924,False,5,False,
10,A1,9,0.1302309307125931,0.12692122777922335,0.8888888888888888,8,-0.5592089511240298,0.4795549472005726,0.9057269746917703,0.7021392609559243,False,6,False,
11,A1,9,0.05125526015521188,0.04985863919804622,0.7777777777777778,7,-0.38407131398550387,0.4741520959651798,0.35287416291559753,0.565283061590095,False,3,False,
12,A1,9,0.1776985071242142,0.07521872124260447,0.7777777777777778,7,-0.4497129590125019,0.43977821634131364,0.24301243986627277,0.5603751837441149,False,7,False,
13,A1,9,-0.022663495474174802,-0.04322965667423394,0.5555555555555556,5,0.2265164345783227,0.5437503137873857,0.4178556678040759,0.5821443321959241,False,7,False,
14,A1,9,0.10054478747807516,0.06942769873032827,0.5555555555555556,5,-0.002727725252383221,0.6888414350803754,0.41937235948941265,0.9479519074228969,False,5,False,
15,A1,9,0.0005614784944602538,-0.0043082600073357956,0.5555555555555556,5,0.21396401525887107,0.7775712850597873,1.0,0.9783134113245937,False,1,False,
16,A1,9,0.046591302655042834,0.003906390300426159,0.6666666666666666,6,0.16304881302542495,0.5972307216544508,0.3762403925222312,0.6666548020193233,False,8,False,
17,A1,9,0.024875098018118,0.019979983579198234,0.8888888888888888,8,-0.4500654261507511,0.6107488544627756,0.7922393328723378,0.6267886046941297,False,2,False,
18,A1,8,-0.05087692514942002,-0.010952341006505056,0.625,5,0.19313415676908952,0.5867467334066468,0.4201273107182152,0.6339471963345329,False,4,False,
19,A1,8,0.3163672545894835,0.19642174482944297,0.875,7,-0.2528230715265112,0.3240695876903737,0.10379176845998095,0.5459320538073493,False,4,False,
20,A1,9,0.25842485510197843,0.3158256939185033,1.0,9,-0.4795856364021939,0.29705593181658024,0.3997114496396353,0.32317983404322065,True,9,False,1
21,A1,9,0.03963317132759206,0.035529910091902726,0.7777777777777778,7,-0.3970171900045346,0.4302776310376277,0.4007531200553728,0.549803293895462,False,2,False,
22,A1,8,0.03322881948204541,-0.0038020612260623236,0.75,6,-0.033557780283204434,0.061135729703867464,0.05552176306376694,0.06305855227010457,False,1,False,
23,A1,8,0.05956126351010603,0.032962749659005953,0.5,4,-0.03832859407784736,0.1902281791762625,0.05590137910134197,0.15533094671554112,False,4,False,
24,A1,9,0.12660166489771313,0.07650481342616068,0.5555555555555556,5,-0.047136304790479394,0.8903365224311064,1.0,1.1464930765329866,False,8,False,
25,A1,8,0.11164730991121602,0.011758715810160858,0.875,7,-0.0816678267625092,0.2305976287943009,0.17667543552631965,0.1332741947084598,False,4,False,
26,A1,9,0.18070459038464684,0.22500096831216376,0.7777777777777778,7,0.4811562395933488,0.618897765246112,1.0,0.9290997205298644,False,5,False,
27,A1,9,-0.052887616946196994,-0.042307497091731296,0.6666666666666666,6,0.12542475749585508,0.7395864562564004,1.0,0.9548259354908262,False,0,False,
28,A1,9,0.36068183311197677,0.24961816900018066,0.7777777777777778,7,-0.5666022365202132,0.5251457737100277,1.0,0.5359832295872651,True,9,False,
