session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20210204T131620,20210205T151709,1.0839,1,A1,-0.137273,1.576703,0
20210204T131620,20210205T151709,1.0839,2,A1,0.168198,0.237334,1
20210204T131620,20210205T151709,1.0839,3,A1,0.169655,0.000000,1
20210204T131620,20210205T151709,1.0839,4,A1,0.194236,0.453212,1
20210204T131620,20210205T151709,1.0839,5,A1,0.340968,0.627338,1
20210204T131620,20210205T151709,1.0839,6,A1,0.137034,0.959316,0
20210204T131620,20210205T151709,1.0839,7,A1,-0.281571,0.525402,0
20210204T131620,20210205T151709,1.0839,8,A1,-0.013966,0.557619,1
20210204T131620,20210205T151709,1.0839,9,A1,0.022823,0.010144,1
20210204T131620,20210205T151709,1.0839,10,A1,0.459066,0.039526,1
20210204T131620,20210205T151709,1.0839,11,A1,0.085035,0.259668,1
20210204T131620,20210205T151709,1.0839,12,A1,0.015807,0.270231,0
20210204T131620,20210205T151709,1.0839,13,A1,0.009059,0.000000,1
20210204T131620,20210205T151709,1.0839,14,A1,0.225003,0.000000,1
20210204T131620,20210205T151709,1.0839,15,A1,0.119286,0.188771,1
20210204T131620,20210205T151709,1.0839,16,A1,0.323769,0.046114,1
20210204T131620,20210205T151709,1.0839,17,A1,0.078839,0.551491,1
20210204T131620,20210205T151709,1.0839,20,A1,0.717631,0.034566,1
20210204T131620,20210205T151709,1.0839,21,A1,-0.086975,0.559704,1
20210204T131620,20210205T151709,1.0839,24,A1,-0.471525,0.853507,1
20210204T131620,20210205T151709,1.0839,26,A1,0.736395,0.000000,1
20210204T131620,20210205T151709,1.0839,27,A1,-0.258078,2.000000,0
20210204T131620,20210205T151709,1.0839,28,A1,0.705090,0.000000,1
20210204T131620,20210205T151709,1.0839,29,A1,0.068585,0.414286,0
20210204T131620,20210205T151709,1.0839,31,A1,0.220538,0.470691,1
20210204T131620,20210205T151709,1.0839,32,A1,0.288857,0.000000,1
20210204T131620,20210205T151709,1.0839,35,A2,0.119025,0.073900,1
20210204T131620,20210205T151709,1.0839,37,A2,0.170642,0.146177,1
20210204T131620,20210205T151709,1.0839,41,A2,-0.119092,0.458737,0
20210204T131620,20210205T151709,1.0839,53,A2,-0.337964,0.400678,1
20210204T131620,20210205T151709,1.0839,55,A2,0.274190,0.798214,1
20210204T131620,20210205T151709,1.0839,57,A2,-0.128780,0.820588,1
20210204T131620,20210205T151709,1.0839,59,A2,0.046400,1.201780,0
20210204T131620,20210205T151709,1.0839,62,A2,0.212323,0.058686,1
20210204T131620,20210205T151709,1.0839,64,A2,0.091871,0.621215,0
20210204T131620,20210205T151709,1.0839,65,A3,0.309350,1.489633,0
20210204T131620,20210205T151709,1.0839,66,A3,0.898736,0.000000,1
20210204T131620,20210205T151709,1.0839,67,A3,0.166803,1.007148,0
20210204T131620,20210205T151709,1.0839,69,A3,0.589224,2.000000,0
20210204T131620,20210205T151709,1.0839,71,A3,0.689752,0.304855,1
20210204T131620,20210205T151709,1.0839,73,A3,0.060006,0.652768,1
20210204T131620,20210205T151709,1.0839,77,A3,0.422624,0.000000,1
20210204T131620,20210205T151709,1.0839,89,A3,0.333932,0.000000,1
20210204T131620,20210205T151709,1.0839,93,A3,0.717177,0.195756,1
20210204T131620,20210205T151709,1.0839,95,A3,0.565106,0.226425,1
20210204T131620,20210205T151709,1.0839,97,A4,0.434360,0.037155,1
20210204T131620,20210205T151709,1.0839,98,A4,0.280159,0.000000,1
20210204T131620,20210205T151709,1.0839,99,A4,0.621615,0.476672,1
20210204T131620,20210205T151709,1.0839,100,A4,-0.094953,0.000000,1
20210204T131620,20210205T151709,1.0839,101,A4,0.390563,0.000000,1
20210204T131620,20210205T151709,1.0839,102,A4,0.254862,0.421889,1
20210204T131620,20210205T151709,1.0839,103,A4,0.315950,0.154442,0
20210204T131620,20210205T151709,1.0839,104,A4,0.497547,0.312209,1
20210204T131620,20210205T151709,1.0839,107,A4,0.421566,0.158979,1
20210204T131620,20210205T151709,1.0839,113,A4,0.699013,0.000000,1
20210204T131620,20210205T151709,1.0839,114,A4,0.082486,0.269378,1
20210204T131620,20210205T151709,1.0839,115,A4,0.678072,0.000000,1
20210204T131620,20210205T151709,1.0839,116,A4,0.219549,0.050082,1
20210204T131620,20210205T151709,1.0839,117,A4,0.490173,0.137846,1
20210204T131620,20210205T151709,1.0839,118,A4,0.649767,0.022966,1
20210204T131620,20210205T151709,1.0839,119,A4,0.077403,1.060853,0
20210204T131620,20210205T151709,1.0839,120,A4,0.820807,0.538022,0
20210204T131620,20210205T151709,1.0839,121,A4,0.213570,0.040015,1
20210204T131620,20210205T151709,1.0839,122,A4,0.433846,0.042721,1
20210204T131620,20210205T151709,1.0839,123,A4,0.815333,0.225386,0
20210204T131620,20210205T151709,1.0839,124,A4,0.502476,0.063993,0
20210204T131620,20210205T151709,1.0839,125,A4,0.795616,0.149321,1
20210204T131620,20210205T151709,1.0839,126,A4,0.677709,0.008654,1
20210204T131620,20210205T151709,1.0839,127,A4,0.664926,0.158322,1
20210204T131620,20210205T151709,1.0839,128,A4,0.371308,0.350849,1
20210204T131620,20210205T151709,1.0839,129,A5,0.074413,1.816195,0
20210204T131620,20210205T151709,1.0839,130,A5,0.394508,0.176613,1
20210204T131620,20210205T151709,1.0839,131,A5,-0.050119,0.000000,1
20210204T131620,20210205T151709,1.0839,132,A5,0.273622,0.563687,1
20210204T131620,20210205T151709,1.0839,133,A5,0.237372,0.407062,1
20210204T131620,20210205T151709,1.0839,134,A5,0.593933,0.937321,1
20210204T131620,20210205T151709,1.0839,135,A5,0.210726,0.135432,1
20210204T131620,20210205T151709,1.0839,136,A5,0.446998,0.313810,1
20210204T131620,20210205T151709,1.0839,137,A5,0.251490,0.206570,0
20210204T131620,20210205T151709,1.0839,143,A5,0.363476,0.682478,1
20210204T131620,20210205T151709,1.0839,145,A5,0.401740,0.238855,1
20210204T131620,20210205T151709,1.0839,146,A5,0.298284,0.930283,0
20210204T131620,20210205T151709,1.0839,147,A5,0.372892,0.612333,0
20210204T131620,20210205T151709,1.0839,149,A5,0.307717,0.857166,1
20210204T131620,20210205T151709,1.0839,150,A5,0.272208,0.469684,0
20210204T131620,20210205T151709,1.0839,151,A5,0.240181,1.217661,0
20210204T131620,20210205T151709,1.0839,152,A5,0.141597,0.247466,1
20210204T131620,20210205T151709,1.0839,153,A5,-0.115069,0.000000,1
20210204T131620,20210205T151709,1.0839,154,A5,0.084189,0.223579,0
20210204T131620,20210205T151709,1.0839,158,A5,-0.000788,0.102854,1
20210204T131620,20210205T151709,1.0839,159,A5,-0.125669,0.011411,0
20210204T131620,20210205T151709,1.0839,160,A5,0.234137,0.910353,1
20210204T131620,20210211T163501,7.1380,1,A1,0.338459,0.057749,1
20210204T131620,20210211T163501,7.1380,2,A1,-0.077200,0.356036,1
20210204T131620,20210211T163501,7.1380,3,A1,-0.337629,1.887420,0
20210204T131620,20210211T163501,7.1380,4,A1,-0.120206,1.630044,0
20210204T131620,20210211T163501,7.1380,5,A1,0.254538,0.770093,0
20210204T131620,20210211T163501,7.1380,6,A1,-0.013145,0.919797,0
20210204T131620,20210211T163501,7.1380,7,A1,-0.241783,0.842545,1
20210204T131620,20210211T163501,7.1380,8,A1,0.013360,0.902353,1
20210204T131620,20210211T163501,7.1380,9,A1,-0.149952,1.734137,0
