channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
1,A1,10,-0.032374422173127575,-0.014977830308744593,0.6,6,0.0435916538472012,0.5357516306845533,0.2939939562683435,0.5834484540294608,False,8,False,
2,A1,10,0.04542815431949546,0.03267729758804925,0.5,5,0.05483060092819113,0.39980920666919456,0.22792274407494145,0.3674225712180002,False,9,False,
3,A1,10,0.004753876027424408,0.0038534998727614697,0.7,7,-0.12637751507036693,0.5728536914493524,0.42403151585172644,0.644889881301653,True,10,False,
4,A1,10,0.07201137754432399,0.058225517738810705,0.6,6,0.07852004516313235,0.6751876769419418,0.47183690164503084,0.8717358478638868,True,10,False,
5,A1,10,-0.07663950240451495,-0.02879841362268119,0.7,7,0.21631768047128436,0.48861213012532634,0.37397443055085616,0.507125276927225,False,9,False,
6,A1,10,0.11592384093455892,0.06451696776482142,0.6,6,-0.05965620093128047,0.3389836505400507,0.14315209078466012,0.2625501411409736,True,10,False,
7,A1,10,-0.02329293280698219,-0.0009716446007651087,0.6,6,-0.07231272346516573,0.27322926480195314,0.12869600728992525,0.25021895970165586,False,6,False,
8,A1,10,-0.011986154075753652,0.05272944386490081,0.6,6,0.053873869243894944,0.4159981297313697,0.2170929391669018,0.40278738868969544,False,8,False,
9,A1,10,0.04377177422662199,0.07688393252103137,0.8,8,0.18495662593270348,0.6636205980981396,0.5181899054863759,0.6207343652632966,False,8,False,
10,A1,10,0.04040962650039272,0.026116190811442366,0.7,7,-0.3193564034197087,0.5806945101118073,0.5190076703208524,0.7577729448153302,True,10,False,
11,A1,10,-0.015476509078227466,-0.021316958981699545,0.5,5,-0.07488902271558964,0.5488902609880011,0.09469162164422056,0.7904868859796885,False,9,False,
12,A1,10,0.08022562975213968,0.060039212268764186,0.6,6,0.009376129320700565,0.39929541561674814,0.2465833940136316,0.3632735686295,True,10,False,
13,A1,10,0.1657233326197158,0.13111488968335436,0.7,7,0.07762430908510567,0.1779881926543482,0.12628566581145143,0.1884289653461849,False,9,False,
14,A1,10,0.10222019696851994,0.10228869977946167,0.7,7,-0.17615059343348002,0.3318845121233661,0.21577954944141758,0.28496346261124683,False,8,False,
15,A1,10,0.04545784499495488,0.04166373580634049,0.9,9,0.3062226898186714,0.359629830794104,0.2940189618909814,0.40519046864859753,False,2,False,
16,A1,10,0.08667684543830428,0.09133370536667822,0.6,6,-0.16748130596567443,0.3668605828239852,0.2640472370248187,0.45908448836057614,False,9,False,
17,A1,10,0.002381675314968294,0.028101159133061358,0.7,7,-0.3237667747485693,0.49101461643135297,0.29935830576931755,0.5654909569627848,True,10,False,
18,A1,9,0.038312733627071625,0.1232487949601474,0.7777777777777778,7,0.18749296531247575,0.22418998615356953,0.2193557218988008,0.27099309469141286,False,7,False,
19,A1,9,0.3177766863894762,0.22451664279642158,0.6666666666666666,6,-0.23345485356924456,0.6268434755866912,0.6451027225753841,0.7966946427935699,True,9,False,
20,A1,10,0.408093303861463,0.35425770513225924,1.0,10,-0.3350668179201789,0.12362636699284521,0.40332612423997805,0.18126023640856023,True,10,False,3
21,A1,10,0.028134044259166636,0.032155749845298114,1.0,10,-0.3908426665411121,0.28329311688656295,0.32030861448316916,0.3064898967273097,False,8,False,
22,A1,9,0.026988277723919762,0.013475974064592139,0.6666666666666666,6,-0.21421398913215747,0.40476526042998645,0.101326614802817,0.3565432274345667,False,4,False,
23,A1,9,0.07126113543490725,0.04513342376916062,0.5555555555555556,5,0.0032539853237547414,0.4338851054758961,0.28516675185926427,0.41189277851027467,False,8,False,
24,A1,10,-0.2876449238025586,0.08928546033706389,0.6,6,0.0862552634151554,0.8925017546260765,0.9372805666813857,1.5839177584461368,True,10,False,
