session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20210204T131620,20210205T151709,1.0839,1,A1,0.268172,1.610589,0
20210204T131620,20210205T151709,1.0839,2,A1,0.486400,0.121635,1
20210204T131620,20210205T151709,1.0839,3,A1,0.030139,0.310817,1
20210204T131620,20210205T151709,1.0839,4,A1,0.336201,0.182274,1
20210204T131620,20210205T151709,1.0839,5,A1,0.098656,0.096856,1
20210204T131620,20210205T151709,1.0839,6,A1,0.590328,0.443515,0
20210204T131620,20210205T151709,1.0839,7,A1,0.240969,0.032284,1
20210204T131620,20210205T151709,1.0839,8,A1,-0.246546,0.344212,0
20210204T131620,20210205T151709,1.0839,9,A1,0.011722,0.859662,1
20210204T131620,20210205T151709,1.0839,10,A1,0.391325,0.234037,0
20210204T131620,20210205T151709,1.0839,11,A1,-0.108150,0.041205,0
20210204T131620,20210205T151709,1.0839,12,A1,0.332031,0.029776,1
20210204T131620,20210205T151709,1.0839,13,A1,0.269315,0.257960,1
20210204T131620,20210205T151709,1.0839,14,A1,0.061765,0.031016,1
20210204T131620,20210205T151709,1.0839,15,A1,0.447502,0.443107,1
20210204T131620,20210205T151709,1.0839,16,A1,0.549625,0.503800,0
20210204T131620,20210205T151709,1.0839,17,A1,-0.029196,0.148024,1
20210204T131620,20210205T151709,1.0839,20,A1,0.947710,0.018173,1
20210204T131620,20210205T151709,1.0839,21,A1,0.048628,0.484026,1
20210204T131620,20210205T151709,1.0839,24,A1,0.799347,0.290643,1
20210204T131620,20210205T151709,1.0839,26,A1,0.920737,0.000000,1
20210204T131620,20210205T151709,1.0839,27,A1,0.270814,0.028348,1
20210204T131620,20210205T151709,1.0839,28,A1,0.957893,0.000000,1
20210204T131620,20210205T151709,1.0839,29,A1,0.539645,0.086369,1
20210204T131620,20210205T151709,1.0839,31,A1,0.187241,1.049756,0
20210204T131620,20210205T151709,1.0839,32,A1,0.452033,0.197513,0
20210204T131620,20210205T151709,1.0839,35,A2,0.140306,0.109603,1
20210204T131620,20210205T151709,1.0839,37,A2,0.193196,0.059077,1
20210204T131620,20210205T151709,1.0839,41,A2,0.452996,0.193423,1
20210204T131620,20210205T151709,1.0839,53,A2,0.188141,0.025108,1
20210204T131620,20210205T151709,1.0839,55,A2,0.945473,0.008997,1
20210204T131620,20210205T151709,1.0839,57,A2,0.338271,0.435080,1
20210204T131620,20210205T151709,1.0839,59,A2,0.279322,0.143193,1
20210204T131620,20210205T151709,1.0839,62,A2,0.066700,0.009001,1
20210204T131620,20210205T151709,1.0839,64,A2,0.400945,0.074660,0
20210204T131620,20210205T151709,1.0839,65,A3,0.129604,1.073840,0
20210204T131620,20210205T151709,1.0839,66,A3,0.944965,0.397925,1
