channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,9,-0.004484041406191963,-0.069989808720735,0.6235860934362638,0.004484041406191963,0.14435835233902078,-0.06456689792128367,0.36256703215947744,0.18431709747872332,0.09368186733101594,4,5,0,4,0.4444444444444444,0.734375,0.9350393700787402
2,A1,0,9,-0.013594815217691153,-0.19502216543745973,0.42068725317786226,0.013594815217691153,0.051683336436783925,-0.06154190821931316,0.18933768205008863,0.3149226018706042,0.03360316153996396,4,5,0,1,0.1111111111111111,0.49609375,0.8809523809523809
3,A1,0,9,0.06372566542635655,0.06077160092749079,1.0169844662909369,0.06372566542635655,-0.2554014698279242,0.09495634293515409,0.49295291300510585,0.4292272475787493,-0.04625609949270128,5,4,0,6,0.6666666666666666,0.91015625,0.9821428571428571
4,A1,0,9,-0.04449371789600931,-0.15203368111238869,0.5661260377761214,0.04449371789600931,-0.05081654122887631,-0.012710034741109323,0.7105835958056402,0.23688890884848082,0.03839297368711295,3,6,0,3,0.3333333333333333,0.42578125,0.8809523809523809
5,A1,0,9,-0.5187316255729566,-0.39797171597984016,0.6319449150857702,0.5187316255729566,0.0921663933388571,0.03624586441218679,0.4350396053120779,0.4012993518575099,0.08068459165395661,2,7,0,2,0.2222222222222222,0.12890625,0.625
6,A1,0,9,-0.3061496781932895,-0.2764940832469087,0.5025339480086499,0.3061496781932895,0.07672757810074059,-0.22719793785976186,0.13517794782358628,0.22719793785976186,-0.010119828446657538,1,8,0,5,0.5555555555555556,0.09765625,0.5787037037037037
7,A1,0,9,-0.008535836820426232,-0.09923270851631201,0.6453561728088292,0.008535836820426232,-0.09847235955969003,-0.10700819638011626,0.15891965502016048,0.5261471072347103,-0.04441476846674829,4,5,0,5,0.5555555555555556,0.734375,0.9350393700787402
8,A1,0,9,-0.10443586944445876,-0.21739297310707917,0.3729053287864084,0.10443586944445876,-0.16100351873150828,-0.059890371482256545,0.18601600996731427,0.29045187941177303,0.17673072574356882,3,6,0,2,0.2222222222222222,0.203125,0.6914893617021277
9,A1,0,9,-0.1823795866099701,-0.2902499573748654,0.7915697255651297,0.1823795866099701,0.15533963507486087,0.04702160921840418,0.5512973543789235,0.3125760879260769,0.0359623763312537,2,6,1,4,0.4444444444444444,0.25,0.7017543859649122
10,A1,0,9,-0.2828112893344067,-0.5681235873196128,0.6064579578991679,0.2828112893344067,-0.1899133868398901,-1.0,0.3208266299761115,1.0,0.05024718039741595,0,7,2,3,0.3333333333333333,0.015625,0.4166666666666667
11,A1,0,9,-0.07844556471667447,-0.41482320507216086,0.5807518285767852,0.07844556471667447,-0.01971516922411639,-0.7060321967977883,0.09437054823258138,0.7060321967977883,-0.029182743501683282,2,5,2,6,0.6666666666666666,0.15625,0.6410256410256411
12,A1,0,9,-0.1390821108413261,-0.23588372321090695,0.45654182644986824,0.1390821108413261,-0.1398340128120465,-0.12970180525576155,0.29950370263944376,0.12970180525576155,0.21650084642885928,4,5,0,2,0.2222222222222222,0.25,0.7017543859649122
13,A1,0,9,0.03430704231824294,-0.3539378352794072,0.5876346385849313,0.03430704231824294,0.034177747317621986,0.04688804790765847,0.11887478705471777,0.6452428367538627,0.054191577787884936,5,4,0,5,0.5555555555555556,0.42578125,0.8809523809523809
14,A1,0,9,0.08255857729238786,0.10788766187955995,0.5524713824619941,0.08255857729238786,-0.2144034169133314,-0.08103351002633816,0.2171556819695038,0.27226259241455614,-0.08112160064985276,6,3,0,2,0.2222222222222222,0.49609375,0.8809523809523809
15,A1,0,9,-0.6573520625499814,-0.5967835840208057,0.8520059231379549,0.6573520625499814,0.24910402037559276,-0.40824804217438854,0.3323183796696748,0.614585924244909,0.07765640989676119,3,6,0,5,0.5555555555555556,0.12890625,0.625
16,A1,0,9,0.2385893049725007,0.4402314128832296,0.4061991556738035,0.2385893049725007,-0.16967061405600786,0.07986141073437045,0.3584238599936296,0.13936853848514713,0.14967831754114472,9,0,0,3,0.3333333333333333,0.00390625,0.3125
17,A1,0,9,0.0,-0.05631158277152151,0.755936837820579,0.0,-0.28648544252318886,-1.0,0.3122311690154462,1.0,0.2018094796003688,2,4,3,4,0.4444444444444444,0.84375,0.9782608695652174
18,A1,0,8,-0.21790844431151357,-0.519838110067519,0.62948921573732,0.21790844431151357,0.14957989103388614,-0.262606836050206,0.19427828277257858,0.3850906339440139,0.016871896595220242,2,6,0,4,0.5,0.078125,0.5787037037037037
19,A1,0,8,0.1738265925861871,0.17557692844308126,0.549983389995124,0.1738265925861871,-0.2521742835134979,-0.07834769092731082,0.5000044565018783,0.2143733816409061,0.19339955448547494,5,3,0,2,0.25,0.3828125,0.875
20,A1,0,9,-0.033589882532339355,-0.049845045367113316,0.19704655748434055,0.033589882532339355,-0.4106193874358946,-0.3264985891464499,0.4106193874358946,0.3264985891464499,0.7062750695296267,4,5,0,0,0.0,0.734375,0.9350393700787402
21,A1,0,9,0.0,-0.03660148178730332,0.5083244648264688,0.0,-0.30682767828630314,-0.5810813974140487,0.30682767828630314,0.6971573942317669,0.008541358767269348,4,4,1,2,0.2222222222222222,0.84375,0.9782608695652174
22,A1,0,8,0.051431002169895705,0.1504652125436791,0.26880361162389066,0.051431002169895705,-0.07826080649112539,-0.044877452118081626,0.0951727859038925,0.07227093663225065,0.023401922831441185,5,3,0,2,0.25,0.25,0.7017543859649122
23,A1,0,8,-0.09758683388529502,-0.11765577216235726,0.430296563203975,0.09758683388529502,-0.13324427796617755,-0.20683637779422384,0.2829855899983578,0.5033034705353912,0.24755678199960818,4,4,0,2,0.25,0.640625,0.8997844827586207
24,A1,0,9,-0.07682138184338794,-0.13594398302963365,0.15187483567700696,0.07682138184338794,0.5839177584461368,0.35752136540558743,1.0,0.7958078525098994,0.44780098152506187,0,5,4,0,0.0,0.0625,0.5555555555555556
25,A1,0,8,-0.1988558561998157,-0.1401084281478532,0.6852606799008304,0.1988558561998157,0.007123969157019655,-0.32324534328580673,0.26932766831953864,0.3747489733347985,0.07966998524918684,3,5,0,5,0.625,0.546875,0.8809523809523809
26,A1,0,9,0.0,0.02448024685945648,0.09208499399361769,0.0,1.0,1.0,1.0,1.0,0.6543705519891746,3,1,5,2,0.2222222222222222,0.625,0.8997844827586207
27,A1,0,9,0.14892929918152087,0.0891283461325562,0.5889891754006491,0.14892929918152087,0.1045049268832244,0.38142659260316464,0.13804612677997496,0.38142659260316464,-0.10672659667719696,5,4,0,4,0.4444444444444444,0.734375,0.9350393700787402
28,A1,0,9,0.22597711809053625,0.213643183762318,0.48554567807977295,0.22597711809053625,-1.0,-0.42990020221646635,1.0,0.42990020221646635,0.48984305286557833,7,1,1,2,0.2222222222222222,0.1484375,0.625
29,A1,0,9,-0.5156453525797522,-0.5652060201000222,0.4353532250035868,0.5156453525797522,0.14359912297567795,-1.0,0.48435464742024786,1.0,0.24617195211648238,1,8,0,3,0.3333333333333333,0.01171875,0.4166666666666667
30,A1,0,8,-0.181242274422508,-0.13402185639999747,0.4974449693197682,0.181242274422508,-0.05299292016127688,-0.04018728593843641,0.16531691396933149,0.15324072951816564,-0.017548837271118344,3,5,0,3,0.375,0.546875,0.8809523809523809
