channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
1,A1,9,0.007058135445743921,0.0044500408772845425,0.5555555555555556,5,0.0032999972120716864,0.3753806635729364,0.18431709747872332,0.45463295900307316,False,5,False,
2,A1,9,0.01060286989148815,-0.002193345833887004,0.5555555555555556,5,-0.10448729706171468,0.5100318371816873,0.3149226018706042,0.5419616494511639,False,5,False,
3,A1,9,-0.022887645657581862,-0.01614801965102067,0.5555555555555556,5,-0.06967254535668116,0.6356909040443216,0.4292272475787493,0.7927912642828856,False,5,False,
4,A1,9,0.013810756932265127,0.02978373176436659,0.6666666666666666,6,-0.048202366001026085,0.3489724127657799,0.23688890884848082,0.4006272538465438,False,7,False,
5,A1,9,0.042500151329710904,0.03517288900553989,0.6666666666666666,6,-0.1687352011578311,0.5827423204660798,0.4012993518575099,0.6898060104891269,False,4,False,
6,A1,9,0.07063272083742889,0.011533897071997142,0.8888888888888888,8,-0.2930820819593425,0.30576516034769685,0.22719793785976186,0.27603242222989866,False,3,False,
7,A1,9,0.012846741970344563,0.009696297728938284,0.5555555555555556,5,-0.18972454621999565,0.6137798995387277,0.5261471072347103,0.7473763819548417,False,1,False,
8,A1,9,0.10895529478702663,0.04313491094056724,0.6666666666666666,6,-0.2686442295027514,0.5587337646638447,0.29045187941177303,0.709548120588227,False,6,False,
9,A1,9,-0.00743504406137307,0.00025874645285144435,0.5555555555555556,5,-0.13864064596006473,0.510055993626555,0.3125760879260769,0.5126114350848379,False,4,False,
10,A1,9,0.06230366015842555,0.03035120300168147,1.0,9,-0.8176655542687091,0.3196664367414558,1.0,0.08285630483065731,False,3,False,
11,A1,9,-0.0415057070129628,-0.04037767077730008,0.7777777777777778,7,-0.5213124652028506,0.49852001833805415,0.7060321967977883,0.6809828818004517,False,2,False,
12,A1,9,-0.01617973907314037,-0.022396001057066493,0.7777777777777778,7,-0.20634629172732766,0.27345573410507906,0.12970180525576155,0.26124339727650014,False,8,False,
13,A1,9,0.0010523032054960825,-0.016965140019592186,0.5555555555555556,5,-0.28343262811870673,0.6674560180570097,0.6452428367538627,1.0468880479076585,False,3,False,
14,A1,9,-0.020025157407086616,-0.016045434955295156,0.5555555555555556,5,-0.09666040854537658,0.4098906249634569,0.27226259241455614,0.40630311123677565,False,4,False,
15,A1,9,0.03915079855750571,0.003257155737179678,0.6666666666666666,6,-0.28494943356809166,0.6173282686294568,0.614585924244909,0.7160172440235586,False,2,False,
16,A1,9,-0.012411852871507553,-0.025792633394088587,0.6666666666666666,6,0.24271133732007832,0.38589818466911335,0.13936853848514713,0.3350360002501638,False,7,False,
17,A1,9,0.0521267324678077,0.045502580333581094,0.7777777777777778,7,-0.4299391202253325,0.7064980020054947,1.0,0.8370457408490405,False,3,False,
18,A1,8,0.03353262963757751,0.021954366583249493,0.75,6,-0.37065986505844206,0.5349988160111624,0.3850906339440139,0.6327187538819371,False,5,False,
19,A1,8,0.21500988338829224,0.09844030682699988,0.75,6,-0.1676976221442419,0.43196537714254757,0.2143733816409061,0.493369982192369,False,6,False,
20,A1,9,0.30139883368601794,0.22634148662073775,1.0,9,-0.4003473496961122,0.2538667018490685,0.3264985891464499,0.27941165266719015,True,9,False,1
21,A1,9,0.06145831473610927,0.06207579616959384,0.7777777777777778,7,-0.4337833834240906,0.5740722631719514,0.6971573942317669,0.748704272042418,False,4,False,
22,A1,8,0.01991190243752566,-0.014095560084578879,0.75,6,-0.12531082784792824,0.199421003818478,0.07227093663225065,0.16194444856250795,False,1,False,
23,A1,8,-0.0357257172117868,0.010167516370491857,0.625,5,-0.1496408826555412,0.5627460136521477,0.5033034705353912,0.6447737459012561,False,4,False,
