session_i,session_j,gap_days,channel,array_name,waveform_r,abs_delta_si,sign_match
20210204T131620,20210205T151709,1.0839,1,A1,-0.012446,0.176441,0
20210204T131620,20210205T151709,1.0839,2,A1,-0.046099,0.776415,1
20210204T131620,20210205T151709,1.0839,3,A1,0.230979,0.546665,0
20210204T131620,20210205T151709,1.0839,4,A1,0.128175,0.327852,0
20210204T131620,20210205T151709,1.0839,5,A1,0.100501,1.379612,0
20210204T131620,20210205T151709,1.0839,6,A1,-0.150124,0.166733,1
20210204T131620,20210205T151709,1.0839,7,A1,-0.040395,0.438572,1
20210204T131620,20210205T151709,1.0839,8,A1,0.180730,0.241736,0
20210204T131620,20210205T151709,1.0839,9,A1,-0.178425,0.957958,1
20210204T131620,20210205T151709,1.0839,10,A1,0.313825,0.036790,1
20210204T131620,20210205T151709,1.0839,11,A1,0.146559,0.943044,1
20210204T131620,20210205T151709,1.0839,12,A1,-0.134729,0.541449,1
20210204T131620,20210205T151709,1.0839,13,A1,-0.041205,1.534490,0
20210204T131620,20210205T151709,1.0839,14,A1,-0.112320,0.848540,1
20210204T131620,20210205T151709,1.0839,15,A1,-0.027618,1.234567,0
20210204T131620,20210205T151709,1.0839,16,A1,0.109763,0.179234,0
20210204T131620,20210205T151709,1.0839,17,A1,0.181772,0.645574,1
20210204T131620,20210205T151709,1.0839,20,A1,0.479149,0.052280,1
20210204T131620,20210205T151709,1.0839,21,A1,0.054341,0.418919,1
20210204T131620,20210205T151709,1.0839,24,A1,0.249781,0.352596,1
20210204T131620,20210205T151709,1.0839,26,A1,0.646027,0.000000,1
20210204T131620,20210205T151709,1.0839,27,A1,-0.006347,0.561250,1
20210204T131620,20210205T151709,1.0839,28,A1,0.566800,0.002219,1
20210204T131620,20210205T151709,1.0839,29,A1,0.039599,0.000000,1
20210204T131620,20210205T151709,1.0839,31,A1,-0.039341,0.192222,1
20210204T131620,20210205T151709,1.0839,32,A1,-0.076746,0.413215,0
20210204T131620,20210205T151709,1.0839,35,A2,0.227209,0.230806,0
20210204T131620,20210205T151709,1.0839,37,A2,0.260764,0.225513,1
20210204T131620,20210205T151709,1.0839,41,A2,-0.278477,0.406153,0
20210204T131620,20210205T151709,1.0839,53,A2,-0.492405,0.899377,0
20210204T131620,20210205T151709,1.0839,55,A2,0.370673,0.637371,1
20210204T131620,20210205T151709,1.0839,57,A2,0.075277,0.094786,0
20210204T131620,20210205T151709,1.0839,59,A2,-0.017243,0.374230,1
20210204T131620,20210205T151709,1.0839,62,A2,0.125143,0.049582,1
20210204T131620,20210205T151709,1.0839,64,A2,-0.102278,0.551873,0
20210204T131620,20210205T151709,1.0839,65,A3,0.052752,0.647033,1
20210204T131620,20210205T151709,1.0839,66,A3,0.782955,0.087007,1
20210204T131620,20210205T151709,1.0839,67,A3,0.091084,0.542481,1
20210204T131620,20210205T151709,1.0839,69,A3,0.512534,0.724401,1
20210204T131620,20210205T151709,1.0839,71,A3,0.685748,0.032350,1
20210204T131620,20210205T151709,1.0839,73,A3,0.154866,1.529180,0
20210204T131620,20210205T151709,1.0839,77,A3,0.351198,0.952460,1
20210204T131620,20210205T151709,1.0839,89,A3,0.493811,0.061124,1
20210204T131620,20210205T151709,1.0839,93,A3,0.300227,0.489195,1
20210204T131620,20210205T151709,1.0839,95,A3,0.348280,1.897032,0
20210204T131620,20210205T151709,1.0839,97,A4,0.089080,0.464903,1
20210204T131620,20210205T151709,1.0839,98,A4,-0.018082,0.897063,1
20210204T131620,20210205T151709,1.0839,99,A4,-0.009313,0.178705,1
20210204T131620,20210205T151709,1.0839,100,A4,0.266438,0.500353,1
20210204T131620,20210205T151709,1.0839,101,A4,0.347087,0.389730,1
20210204T131620,20210205T151709,1.0839,102,A4,0.324065,1.313208,0
20210204T131620,20210205T151709,1.0839,103,A4,0.275085,0.000000,1
20210204T131620,20210205T151709,1.0839,104,A4,-0.069537,0.000000,1
20210204T131620,20210205T151709,1.0839,107,A4,0.341274,0.554818,1
20210204T131620,20210205T151709,1.0839,113,A4,0.730839,0.109535,1
20210204T131620,20210205T151709,1.0839,114,A4,0.249911,0.900056,1
20210204T131620,20210205T151709,1.0839,115,A4,0.756396,0.086564,1
20210204T131620,20210205T151709,1.0839,116,A4,0.541393,0.063838,1
20210204T131620,20210205T151709,1.0839,117,A4,0.583866,0.217514,1
20210204T131620,20210205T151709,1.0839,118,A4,0.301049,0.149349,1
20210204T131620,20210205T151709,1.0839,119,A4,0.083273,1.146847,0
20210204T131620,20210205T151709,1.0839,120,A4,0.364700,0.452745,0
