session_id,channel,array_name,si_a,si_b,delta_si,waveform_r,sign_a,sign_b,sign_flip,task_evoked_a,task_evoked_b
20210204T131620.A_Elmo.B_DL.SCP_01,1,A1,-0.9928157859249306,-0.6105893974654308,0.38222638845949974,0.05173108823183568,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,2,A1,-0.6584536625198325,-0.3109727123867279,0.3474809501331046,0.09724831437166108,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,3,A1,-0.31518272934678127,-0.18213578821805168,0.13304694112872958,0.375842133097149,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,4,A1,-0.6946117767156629,-0.05081654122887631,0.6437952354867865,0.34699884379821205,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,5,A1,-0.24018372116252382,-0.3129092557896344,-0.0727255346271106,-0.04756213088352589,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,6,A1,-0.08186630965804267,0.3392777192417142,0.4211440288997569,0.21364478566297307,-1,1,1,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,7,A1,-0.1633237102586322,-0.1912034379079536,-0.027879727649321395,0.2759993666997553,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,8,A1,0.07508854082305592,-0.16100351873150828,-0.2360920595545642,-0.2017765865475939,1,-1,1,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,9,A1,0.4532938230180883,0.14033794035132763,-0.31295588266676067,-0.05486948034375011,1,1,0,0,1
20210204T131620.A_Elmo.B_DL.SCP_01,10,A1,-0.5388948974861488,-0.1899133868398901,0.3489815106462587,-0.6623334883985015,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,11,A1,-0.4819758234158007,-0.01971516922411639,0.46226065419168433,0.6463816267658632,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,12,A1,-0.20105069053718702,-0.1398340128120465,0.06121667772514053,-0.19234997359076228,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,13,A1,0.05608933009503222,0.05473242077799981,-0.0013569093170324106,0.6837882994525303,1,1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,14,A1,-0.1658420051037434,-0.2171556819695038,-0.05131367686576041,-0.10284883879340781,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,15,A1,1.0,0.7754254255931239,-0.22457457440687612,0.38954758749949736,1,1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,16,A1,0.08060007913310736,-0.36709951860302076,-0.4476995977361281,0.5477539235447801,1,-1,1,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,17,A1,-0.05844907230019506,-0.4345090430372151,-0.37605997073702,0.028563607393615627,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,20,A1,-0.2556099380268405,-0.4142056403769897,-0.1585957023501492,0.6688520582428675,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,21,A1,0.25806646660345806,-0.16451529586665764,-0.4225817624701157,0.15188448720918807,1,-1,1,0,1
20210204T131620.A_Elmo.B_DL.SCP_01,24,A1,0.31787959198613225,0.5839177584461368,0.26603816646000455,0.33522514772186596,1,1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,26,A1,1.0,1.0,0.0,0.8068491968951588,1,1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,27,A1,-1.0,-0.07891256382278974,0.9210874361772102,0.4294812634077671,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,28,A1,-1.0,-1.0,0.0,-0.12945262766482563,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,29,A1,-1.0,-0.570724012351436,0.429275987648564,-0.1856728870763815,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,31,A1,-0.2985178548857921,-0.6430187587914817,-0.34450090390568966,-0.11863180468120545,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,32,A1,-0.07292329126210897,-0.16593568877811024,-0.09301239751600127,-0.4162931914563433,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,35,A2,-0.26525877447432544,-0.32259940235002843,-0.05734062787570299,0.4055480923724712,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,37,A2,-1.0,-0.22652808557567047,0.7734719144243295,0.23735155973442973,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,41,A2,1.0,-0.37099341604376346,-1.3709934160437633,-0.27530405458500185,1,-1,1,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,53,A2,-0.15824633779677857,-0.20207889390447856,-0.04383255610769998,-0.07000457590750161,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,55,A2,0.01949109670372645,-0.4267300083681019,-0.44622110507182833,0.669862802859341,1,-1,1,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,57,A2,0.32430141865764556,-1.0,-1.3243014186576456,-0.14530490403957463,1,-1,1,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,59,A2,0.19611831572997174,-0.8568070486744147,-1.0529253644043863,-0.0931942291592588,1,-1,1,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,62,A2,-1.0,-0.3096757811801388,0.6903242188198613,0.0003450888008790032,-1,-1,0,1,1
20210204T131620.A_Elmo.B_DL.SCP_01,64,A2,-0.36086017260678055,0.02824176652567408,0.3891019391324546,0.5155202876109564,-1,1,1,1,1
