channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,10,0.031351162738152506,0.21469582952312938,0.4000516999560635,0.031351162738152506,-0.048279710291168954,0.09996500264830971,0.3639220664443764,0.2939939562683435,-0.03664041487935337,6,3,1,3,0.3,0.25,0.5555555555555556
2,A1,0,10,0.11824595616450742,-0.0887879653068405,0.6969393901364594,0.11824595616450742,0.09171833682204632,-0.045383627757299504,0.911603050561625,0.22792274407494145,0.17263617546930798,5,4,1,6,0.6,0.734375,0.9019886363636364
3,A1,0,10,0.3200470140618119,0.21056592689941303,0.8110888993654312,0.3200470140618119,-0.4474984457952072,-0.21876862902298794,0.6705254365617002,0.42403151585172644,0.10201859458862719,6,3,1,5,0.5,0.49609375,0.7488207547169812
4,A1,0,10,0.041468784399423086,0.02109645947513905,0.5680262471322035,0.041468784399423086,-0.21468390146956515,-0.1000489627999081,0.548979086342916,0.47183690164503084,0.2627587371337903,5,2,3,2,0.2,0.9375,1.0
5,A1,0,10,0.4745257430472962,0.6618958547166933,0.6914405225986295,0.4745257430472962,-0.5771676124694917,0.09610728232680951,0.7256815222479688,0.37397443055085616,0.012330411001375018,8,2,0,7,0.7,0.02734375,0.21875
6,A1,0,10,0.32273225060113436,0.1744726104966407,0.44363393461681105,0.32273225060113436,-0.3158641821057437,0.05549249808912842,0.4373559154987906,0.14315209078466012,0.12504402875296522,7,3,0,6,0.6,0.275390625,0.5798192771084337
7,A1,0,10,0.597489718073463,0.5538236401215111,0.42450130851233575,0.597489718073463,-0.7676374637053429,-0.06759980505279113,0.7676374637053429,0.12869600728992525,0.15722734719803835,8,2,0,3,0.3,0.009765625,0.1201923076923077
8,A1,0,10,0.675695903940674,0.7198020252410752,0.6271608906296545,0.675695903940674,-0.8781396892732231,-0.15520208409097783,0.8781396892732231,0.2170929391669018,0.14399199265904106,9,1,0,5,0.5,0.005859375,0.08522727272727272
9,A1,0,10,0.2559255115797363,0.2088187703501873,0.7050737621006631,0.2559255115797363,-0.01781639174684138,0.2673026349057821,0.3525179857271268,0.5181899054863759,0.16336608284915416,6,4,0,3,0.3,0.4921875,0.7488207547169812
10,A1,0,10,0.1675624788395932,0.19586769691758016,0.6110663561468457,0.1675624788395932,-0.7694474487430745,-0.2553700084080008,0.7694474487430745,0.5190076703208524,-0.13455827694861125,6,3,1,2,0.2,0.30078125,0.5798192771084337
