condition,session,session_id,n_trials_curated,n_trials_export,Dyadic_curated,Dyadic_export,Dyadic_match,SemiSolo_curated,SemiSolo_export,SemiSolo_match,SoloA_curated,SoloA_export,SoloA_match,SoloARewardAB_curated,SoloARewardAB_export,SoloARewardAB_match,SoloB_curated,SoloB_export,SoloB_match,SoloBRewardAB_curated,SoloBRewardAB_export,SoloBRewardAB_match,match_all
Curius_BLOCKED,20230330T133602,20230330T133602.A_Curius.B_AE.SCP_01,837,837,320,320,yes,-,-,yes,469,469,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_BLOCKED,20230413T142422,20230413T142422.A_Curius.B_AE.SCP_01,596,596,494,401,NO,-,-,yes,33,126,NO,-,-,yes,-,-,yes,-,-,yes,NO
Curius_BLOCKED,20230505T123505,20230505T123505.A_Curius.B_AE.SCP_01,840,840,600,600,yes,-,-,yes,174,174,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_BLOCKED,20230509T130346,20230509T130346.A_Curius.B_SM.SCP_01,777,777,386,386,yes,-,-,yes,275,275,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_BLOCKED,20230511T142916,20230511T142916.A_Curius.B_SM.SCP_01,605,605,406,406,yes,-,-,yes,88,88,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_BLOCKED,20230518T135808,20230518T135808.A_Curius.B_SM.SCP_01,753,753,563,563,yes,-,-,yes,130,130,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_BLOCKED,20230523T145755,20230523T145755.A_Curius.B_SM.SCP_01,680,680,402,402,yes,-,-,yes,136,136,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_BLOCKED,20230525T103049,20230525T103049.A_Curius.B_SM.SCP_01,684,684,243,243,yes,-,-,yes,149,149,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_BLOCKED,20230622T111856,20230622T111856.A_Curius.B_SM.SCP_01,792,792,461,461,yes,-,-,yes,152,152,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_BLOCKED,20230703T122644,20230703T122644.A_Curius.B_MK.SCP_01,804,804,542,542,yes,-,-,yes,195,195,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_SHUFFLED,20230607T115959,20230607T115959.A_Curius.B_VC.SCP_01,743,743,405,405,yes,-,-,yes,255,255,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_SHUFFLED,20230609T101610,20230609T101610.A_Curius.B_VC.SCP_01,672,672,313,313,yes,-,-,yes,206,206,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_SHUFFLED,20230614T114327,20230614T114327.A_Curius.B_VC.SCP_01,950,950,531,531,yes,-,-,yes,342,342,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_SHUFFLED,20230619T102732,20230619T102732.A_Curius.B_VC.SCP_01,716,716,326,326,yes,-,-,yes,119,119,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_SHUFFLED,20230620T101238,20230620T101238.A_Curius.B_VC.SCP_01,615,615,413,413,yes,-,-,yes,101,101,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_SHUFFLED,20230621T100721,20230621T100721.A_Curius.B_MK.SCP_01,746,746,533,533,yes,-,-,yes,118,118,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_SHUFFLED,20230622T111856,20230622T111856.A_Curius.B_SM.SCP_01,792,792,461,461,yes,-,-,yes,152,152,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_SHUFFLED,20230628T101631,20230628T101631.A_Curius.B_VC.SCP_01,553,553,455,455,yes,-,-,yes,35,35,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_SHUFFLED,20230629T100435,20230629T100435.A_Curius.B_VC.SCP_01,808,808,399,399,yes,-,-,yes,294,294,yes,-,-,yes,-,-,yes,-,-,yes,yes
Curius_SHUFFLED,20230703T122644,20230703T122644.A_Curius.B_MK.SCP_01,804,804,542,542,yes,-,-,yes,195,195,yes,-,-,yes,-,-,yes,-,-,yes,yes
Elmo_BLOCKED,20210401T124246,20210401T124246.A_Elmo.B_KN.SCP_01,694,694,300,300,yes,220,220,yes,137,137,yes,-,-,yes,-,-,yes,-,-,yes,yes
Elmo_BLOCKED,20210416T105525,20210416T105525.A_Elmo.B_KN.SCP_01,734,734,259,259,yes,281,281,yes,130,130,yes,-,-,yes,-,-,yes,-,-,yes,yes
Elmo_BLOCKED,20210423T105645,20210423T105645.A_Elmo.B_KN.SCP_01,807,807,300,300,yes,300,300,yes,174,174,yes,-,-,yes,-,-,yes,-,-,yes,yes
Elmo_BLOCKED,20210520T120659,20210520T120659.A_Elmo.B_KN.SCP_01,806,806,260,260,yes,260,260,yes,271,271,yes,-,-,yes,-,-,yes,-,-,yes,yes
Elmo_BLOCKED,20210604T143542,20210604T143542.A_Elmo.B_KN.SCP_01,677,677,260,260,yes,240,240,yes,144,144,yes,-,-,yes,-,-,yes,-,-,yes,yes
Elmo_BLOCKED,20210708T131736,20210708T131736.A_Elmo.B_KN.SCP_01,918,918,480,480,yes,-,-,yes,377,377,yes,-,-,yes,-,-,yes,-,-,yes,yes
Elmo_BLOCKED,20210709T103307,20210709T103307.A_Elmo.B_ST.SCP_01,782,782,480,480,yes,-,-,yes,267,267,yes,-,-,yes,-,-,yes,-,-,yes,yes
Elmo_BLOCKED,20210715T105108,20210715T105108.A_Elmo.B_ST.SCP_01,566,566,480,480,yes,-,-,yes,42,42,yes,-,-,yes,-,-,yes,-,-,yes,yes
Elmo_BLOCKED,20210716T103652,20210716T103652.A_Elmo.B_KN.SCP_01,576,576,480,480,yes,-,-,yes,41,41,yes,-,-,yes,-,-,yes,-,-,yes,yes
Elmo_BLOCKED,20210828T135335,20210828T135335.A_Elmo.B_KN.SCP_01,326,326,313,313,yes,-,-,yes,-,-,yes,-,-,yes,-,-,yes,-,-,yes,yes
Elmo_SHUFFLED,20210204T131620,20210204T131620.A_Elmo.B_DL.SCP_01,664,664,569,569,yes,-,-,yes,52,52,yes,-,-,yes,-,-,yes,-,-,yes,yes
