channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,stable
1,A1,10,0.2617622738736619,0.08643462864612045,0.7,7,-0.00013271643136871582,0.003974825934808678,False
3,A1,10,0.09956861046740531,0.01785229057610535,0.6,6,-0.0005543715131985604,0.008092470638501024,False
4,A1,10,0.08866195655884294,0.059257587594753365,1.0,10,0.003112844633118958,0.0013172223313122065,False
5,A1,6,-0.04770254830755736,0.0030317312273521876,1.0,6,0.004703680355998155,0.003686124002495204,False
6,A1,10,0.04444088305394377,0.005645076379905645,0.8,8,0.0021434384258354152,0.01097105134561613,False
7,A1,7,0.46970943125275255,0.012444241707959209,0.8571428571428571,6,0.0021431326232380517,0.010805352687006503,False
8,A1,9,0.01678737986494955,0.008756362645285292,0.5555555555555556,5,0.00169355077323351,0.006934484714907327,False
9,A1,10,0.4347947815730676,0.1190627604632089,1.0,10,0.009069274999046351,0.006036178083257939,False
10,A1,10,0.11285501014523619,0.045337229302439525,1.0,10,0.003199362573836433,0.003225930889173195,False
11,A1,10,0.5595422112479363,0.2794939821674394,0.9,9,0.004996364742441302,0.007772716364364983,False
12,A1,10,0.2686355246105196,0.09348579111933672,0.8,8,0.004942449489954183,0.005143197015894901,False
13,A1,10,0.3408140907201347,0.14472151122190594,1.0,10,0.00726535924327448,0.0025182830725605796,False
14,A1,10,0.38128645603765215,0.21338414571914385,1.0,10,0.005909323066637682,0.002966102007494865,False
15,A1,10,0.28767629532341327,0.12549219767130232,0.8,8,0.008876647987869019,0.015715451429100257,False
16,A1,8,0.5005169154065854,0.14572015493392898,1.0,8,0.0074010851455422275,0.0032700191220108904,False
17,A1,10,0.15685952874268264,0.0540478746020748,0.5,5,0.0003838972833057899,0.005254321180841031,False
18,A1,10,0.08231076679037698,-0.024769424195274118,0.6,6,0.0035083910457907514,0.00954008632518878,False
19,A1,10,0.15970055975696645,0.01543483444718519,0.7,7,0.005146272168036583,0.00867970607218285,False
20,A1,9,0.001754322709066749,-0.0396122856987434,0.6666666666666666,6,-0.0031939642836026783,0.010416669484149432,False
21,A1,10,0.6231827172909818,0.19044302433782115,0.8,8,0.011982958741369223,0.007474292155249332,False
22,A1,10,0.6356966875117022,0.1481858940828937,0.6,6,-0.001995866755422246,0.00817068333339393,False
23,A1,9,0.334237583930426,0.008874207465244281,0.8888888888888888,8,0.008463426635452973,0.009609020638837805,False
24,A1,10,0.11634871643813759,0.0032923970142610605,0.8,8,0.004099112042020356,0.008206116833178057,False
25,A1,9,0.5494541373661993,0.08970311113273333,0.8888888888888888,8,0.015220631481580075,0.011902858816754356,False
26,A1,10,0.23091973044680017,0.13729089743018963,0.7,7,0.002113976554469813,0.005616174055811485,False
27,A1,10,0.27987572967354857,0.06926042028301867,0.7,7,0.0053145553021262636,0.01283346867778874,False
28,A1,10,0.2711460383886612,0.06651228253706687,0.6,6,0.001105357448780681,0.008176833571877205,False
29,A1,10,0.42383351185316426,0.19121493295825262,1.0,10,0.009240528896944314,0.0027150869006656543,False
30,A1,10,0.7380167389594972,0.20860260845653592,1.0,10,0.03082280323939123,0.00835336627660387,False
31,A1,10,0.35188054988684914,0.27367502579480874,0.7,7,-0.0010772809039380432,0.012034664161409655,False
32,A1,9,0.6381373786922608,0.25202715057816133,1.0,9,0.01684122454946775,0.010093303185421926,False
33,A2,10,0.017649731806661927,-0.014776012413923956,0.6,6,0.0010246992347100468,0.002330872172453177,False
34,A2,5,-0.029493288891181635,-0.010729456842913727,1.0,5,0.004570069024341228,0.0031461159282388652,False
35,A2,7,-0.05498819980646731,-0.0020952082060475947,0.8571428571428571,6,0.006087229818933927,0.010692574350489438,False
36,A2,9,-0.004481839572426552,-0.005294794042974358,0.5555555555555556,5,-0.0015318243588611352,0.0034959414532089606,False
37,A2,9,0.0265205105479785,-0.0005794119145890753,0.5555555555555556,5,0.00433350634987216,0.01301680074586806,False
38,A2,8,0.6809179330519506,0.13876039985808364,0.75,6,-0.001053494211995059,0.004776561755955697,False
39,A2,10,0.29486031486730285,0.12469250990570503,0.9,9,0.0010502696536789189,0.0014396923454765096,False
40,A2,10,0.12301575157711707,0.004658250435031056,0.9,9,0.0014064883745915106,0.002580437989146065,False
41,A2,10,0.7092780838342797,0.16905119091920165,1.0,10,0.016167721465996217,0.0055294863253774725,False
42,A2,10,0.02732341158778171,0.01062908299478665,0.9,9,0.0032897696966348935,0.00703331719284305,False
43,A2,10,0.5592734852963066,0.23273223181959582,1.0,10,0.00568892200403179,0.0033901625940252742,False
44,A2,10,-0.025819738766994692,0.046518832975141665,0.8,8,0.0038825516226822223,0.003986301421172277,False
45,A2,8,0.1992412582410679,0.18450449156903204,0.75,6,-0.0003649012911333693,0.006769695971390312,False
46,A2,10,0.048807994625706,0.01595388951513786,0.8,8,-0.0034276320319476376,0.003931706787680567,False
47,A2,10,0.5103216672393844,0.22602469946236164,1.0,10,-0.00799795605290059,0.005134154686063851,False
48,A2,9,0.05057866643950587,-0.0024725056405074633,0.6666666666666666,6,-0.0009354410246705943,0.0018436931200974604,False
49,A2,10,-0.029720726825023667,-0.0008791463014671059,0.9,9,0.0061113999035147595,0.015968950381823943,False
50,A2,10,0.015536000109815705,0.014888531119529952,0.7,7,0.0013639587678847464,0.0040338638536273,False
51,A2,10,0.08710876461618386,0.016131888583147996,0.6,6,-0.000280430181725723,0.004478688785053058,False
52,A2,10,0.23626420137003676,0.05826651169597784,0.8,8,0.0037411948966633497,0.002966625875980025,False
53,A2,10,0.05539349091212711,-0.0021058792485180895,0.8,8,0.002503766693663456,0.004051384133037527,False
54,A2,9,0.1165637110167993,0.039744844691738404,0.6666666666666666,6,-0.0009332709558609471,0.009816675913556902,False
55,A2,10,0.20174087837446686,0.037305482121032275,1.0,10,0.0031319684905421327,0.0019316079829075916,False
56,A2,7,0.1039089601096273,0.07253168588162644,0.5714285714285714,4,0.00020149786110126955,0.0038248093759513614,False
57,A2,10,0.06802355320085146,-0.0036056574192339375,0.9,9,-0.0030655605530548317,0.003542408150034861,False
58,A2,10,0.00012345554791864596,0.01644851122118148,0.5,5,-0.0004990290451095423,0.0027116218872653038,False
59,A2,9,0.153067533273692,0.03253060516983162,0.8888888888888888,8,0.006020007647907006,0.006553131641646125,False
60,A2,10,0.23413076267486777,0.017702854700619407,0.9,9,0.0029925625300532112,0.003000664139980626,False
61,A2,8,0.6994332628233423,0.12667361048537,1.0,8,0.008396231246374128,0.005196805839076802,False
62,A2,10,0.19641224005483104,0.16119428926785045,0.6,6,0.0014493219665688512,0.007706452004048345,False
63,A2,10,0.5423439856802333,0.22019930138960844,1.0,10,0.01629833092892472,0.004007202413676595,False
64,A2,10,0.3294671838385465,0.13929445764766377,0.9,9,-0.00588191493093283,0.004004256597731646,False
65,A3,10,0.15354206271083315,0.13423982079980123,0.7,7,0.002671391885126653,0.0038899908703364265,False
66,A3,9,0.44936953167144056,0.09040004296835832,0.7777777777777778,7,0.0243858133995111,0.02519435018264457,False
67,A3,7,0.6302670519849591,0.10683581505242193,1.0,7,0.04106591859921997,0.02411524492587182,False
68,A3,9,0.7221327141355629,0.15678810316707753,0.7777777777777778,7,0.019454097490606812,0.021224200927627775,False
69,A3,10,0.5438011298337089,0.09658486656915809,0.6,6,0.0014278382330284486,0.01157565916414628,False
70,A3,10,0.6240910073306356,0.21694285120601495,1.0,10,0.014495730637203556,0.0057136658796345784,False
71,A3,9,0.6219563349502257,0.24847613265174207,1.0,9,0.010518186956715898,0.004300138878627035,False
72,A3,8,0.10814215890422949,0.03579418186162313,0.875,7,0.0012281715766587083,0.003591374217487108,False
73,A3,8,0.03539802398238802,-0.0004057632586078791,0.75,6,0.0015417868052312914,0.0022721489119011382,False
74,A3,8,0.02969181375527581,0.003677931629704092,0.75,6,-0.0014058295248874214,0.010214335392567709,False
75,A3,10,0.34346331294042226,0.026478957749507745,0.9,9,0.018051150054614155,0.015664989380036118,False
76,A3,9,0.6064274925256375,0.08721201606617568,1.0,9,0.01760824011073631,0.011992377919743825,False
77,A3,10,0.4142552767961634,0.11268007107343173,0.9,9,0.010092183433316453,0.009214983509341874,False
78,A3,10,0.49891412838118127,0.13119973830468837,0.7,7,0.003633929014288096,0.004682931460383008,False
79,A3,10,0.24330886492964807,0.005787172241987732,0.6,6,0.0048024103337069865,0.014986918367783498,False
80,A3,10,0.29877455491775984,0.13629354821081038,1.0,10,0.007706834439274744,0.003879225003709005,False
81,A3,10,0.5474287422785937,0.10647027051144047,1.0,10,0.007727734014908528,0.005076686488127209,False
82,A3,10,0.3882467130136442,0.07216150037608163,1.0,10,0.015961805458933838,0.008294222447554312,False
83,A3,8,0.1520676123520636,0.00524844646775896,0.625,5,0.002649369278769813,0.008954561193960441,False
84,A3,9,0.134658894873747,0.02870908676747676,0.6666666666666666,6,-0.011053631444924168,0.024534492669872003,False
85,A3,10,0.7428879461839033,0.2221890223032743,1.0,10,0.03555296393992991,0.018832687091811982,False
86,A3,7,0.28401564828331527,0.005272355991611379,0.8571428571428571,6,0.010381912395744252,0.011703945734683325,False
87,A3,10,0.38830526670447707,0.09960816000415001,0.9,9,0.005358511929733868,0.00966330674308394,False
88,A3,10,0.1155181075363093,0.008881913732833716,0.9,9,0.0055324176033695344,0.00470691683499951,False
89,A3,10,0.06944013547366114,0.0019599207714073395,0.9,9,0.0028342620195904045,0.002944551974631563,False
90,A3,10,0.005652052260298886,0.0009767095772267923,0.9,9,0.003239182181414438,0.003179576850753178,False
91,A3,9,0.18044685325631532,0.038745428949342534,1.0,9,0.00401125854908184,0.0038686645642064025,False
92,A3,5,0.19889346314102652,4.9847852699171644e-15,1.0,5,0.007952914030887406,0.004009512147611131,False
93,A3,10,0.35081644562443315,0.08369814049549372,0.8,8,0.007602718471483643,0.006312946938663818,False
94,A3,10,0.31465059810781765,0.05227913199256382,0.8,8,0.005233612086284176,0.004872351530425418,False
95,A3,10,0.3411466008340474,0.07124416979711144,0.7,7,0.0008814990844290594,0.03059292312424064,False
96,A3,9,0.08870623801611674,0.018660556359607273,0.6666666666666666,6,-0.0017625059600123102,0.009547728894019784,False
97,A4,8,0.0825636021122961,0.004771262283505224,0.5,4,-0.001789876824946582,0.006599998060022084,False
98,A4,8,-0.0421012283874983,0.06381378644479727,0.625,5,0.0011434619099436386,0.0036884020713096673,False
99,A4,8,0.03835888243265919,0.016379371952339454,0.875,7,0.0014272326783037784,0.0013605203224286181,False
100,A4,8,-0.030278909679592653,-0.0036049563764505603,0.75,6,0.0017687452012139383,0.004283205838478395,False
101,A4,5,0.04739976153764506,-0.062182426078415697,0.6,3,0.0009434292157127747,0.0030008699768073618,False
102,A4,7,-0.12366881303278791,-0.006596969168855286,0.7142857142857143,5,-0.007256831351316356,0.02128787675984408,False
103,A4,8,-0.05752878885662232,0.018308723660805475,0.625,5,-0.0009599850005279363,0.004565015085697314,False
104,A4,7,0.02507032827225129,-0.004016690745453288,0.7142857142857143,5,-0.005947786024769443,0.012707684634790415,False
105,A4,7,0.39181184899152205,0.2037364934003959,0.5714285714285714,4,0.0011686058042930168,0.005860431056672697,False
106,A4,7,0.047538266259440895,0.0008837988144602395,0.5714285714285714,4,-0.006152480194137393,0.014727210159158542,False
107,A4,8,-0.054411824654673466,-0.014654212436017586,0.75,6,0.0014076212558211212,0.0024818152890447864,False
108,A4,8,0.035203060251867646,0.00449708818312997,0.75,6,0.001707331463565978,0.003990326328093006,False
109,A4,8,-0.014805812280785913,0.005646457860725417,0.625,5,-0.0013378602736909538,0.0027524215408965902,False
110,A4,6,-0.06972820727085223,-0.04286650483193133,0.6666666666666666,4,-0.0005176640057626617,0.005529629861608733,False
111,A4,7,0.01393125285993113,-0.03363471999651324,0.8571428571428571,6,0.00040062718297215557,0.0025202068228677723,False
