channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,stable
1,A1,10,0.03974663969715121,-0.04225598988326989,0.5,5,-0.0005001467944297733,0.001583197168374556,0.0007109181785302317,0.0017097460710992845,False
2,A1,10,0.24442222979095765,0.050633597296408366,0.5,5,0.0036861377143964204,0.005315866155675939,0.0021486483829524054,0.006009627934752799,False
3,A1,10,-0.04626820418999031,0.023888218426836465,0.6,6,-0.0011108010837654054,0.0018324071683680444,0.0011715116249571612,0.001905770805558382,False
4,A1,10,0.047766168391674385,0.06969504190128399,0.6,6,0.0016879898175115684,0.0057956264038633975,0.0024352355839083605,0.005466254962652572,False
5,A1,10,0.007934310429409107,0.02576473620973017,0.8,8,-0.0008116277594798129,0.001929049477280438,0.0014625363286113599,0.0016332034441143494,False
6,A1,10,0.25892199835041696,0.14609225142551233,0.8,8,-0.0012958267598096077,0.0017862761233259754,0.001654709061408241,0.00192198206674399,False
7,A1,10,0.08462536436250555,0.02084413836631925,0.9,9,-0.0017069852347639236,0.0013808578866418022,0.0014335890391035575,0.0014820454334057932,False
8,A1,10,0.20832014149254424,0.005098286312254351,0.9,9,-0.005465332413828677,0.0042435970572669655,0.005348941436467839,0.004232245634687904,False
9,A1,10,-0.008073742007826696,0.02299811571863061,0.5,5,0.00016404050391887904,0.003076112529131242,0.0009625532227336455,0.002963717158190905,False
10,A1,10,0.32011083522969863,0.1408540326566249,0.7,7,-0.0059527968608537605,0.005881938459930782,0.006425345030469449,0.00731231958178923,False
11,A1,10,0.0648213865413636,0.07121600071532162,0.6,6,-0.0002483413488198626,0.0019883020230440722,0.002028309112662448,0.002230530421374263,False
12,A1,10,-0.28447245903036045,0.1482466900580023,0.6,6,-0.004252708238835308,0.008510534582251747,0.008741218050220134,0.011526598683011558,False
13,A1,10,-0.01157716011012829,-0.0371412860400585,0.6,6,-0.00025771675888349046,0.001351906820991569,0.001017508061635889,0.0016082566531234411,False
14,A1,10,0.0480400449918024,0.07081668575487167,0.6,6,-0.0009449322820384578,0.0021559751586519636,0.0011646366556980537,0.0021301343583442385,False
15,A1,10,0.10552814765709488,0.05764177800505696,0.6,6,0.00032713763069880836,0.001982253586053619,0.00125213026420984,0.0020463377428807327,False
16,A1,10,0.19444851724834047,0.10488371623409029,0.5,5,-0.0004079943818352986,0.0038326746169628162,0.003491497019140928,0.004451599949471837,False
17,A1,10,-0.03906866994425422,0.05272757297187358,0.7,7,-0.0009489256283401702,0.0021905279005908387,0.0013399430168701718,0.0021060879792468685,False
18,A1,9,0.10846433258939367,0.033973143735785805,0.5555555555555556,5,0.00015012591945594698,0.0011016344335948386,0.0010611322960549987,0.001342892266438249,False
19,A1,9,0.2817056624026527,0.0567725051925394,1.0,9,-0.004000086927699173,0.0026665229935423926,0.00392662368261494,0.0031437677492881597,False
20,A1,10,-0.007114519193043517,0.1678060293581727,1.0,10,-0.006705282808915991,0.0038750017533838057,0.007372395980362944,0.004155380089605207,False
21,A1,10,0.013845054663431503,0.004036483976370358,0.5,5,-0.00016632186325308624,0.0016096902414953949,0.0007266153266861897,0.0015901916176519547,False
22,A1,9,-0.07365720034429621,-0.02615550167775862,0.5555555555555556,5,-0.00023269861009416194,0.0024118718949987386,0.0019515987001154271,0.0027632281345995597,False
23,A1,9,0.1103104545594254,0.03337236125124387,0.5555555555555556,5,-0.0005299595606285026,0.001765308878063264,0.001554083310998278,0.002022330335357704,False
24,A1,10,0.17620757349132601,0.01856852568039321,0.8,8,-0.005393909024057855,0.006353341849532824,0.0033029811100326696,0.008530011862367492,False
25,A1,9,-0.027021746850833608,0.01703857757894011,0.8888888888888888,8,-0.001326770912565415,0.0011484929791291752,0.0008053875957382501,0.001131207510436358,False
26,A1,10,0.7020549265785557,0.12284338455325863,0.9,9,0.026613569518162183,0.019452663541730773,0.029276055896352782,0.025737530404226352,False
27,A1,10,0.09609455663421092,0.055729212462636096,0.7,7,-0.0005023272016368168,0.0018766266527646702,0.001684393559270493,0.0018967626415241144,False
28,A1,10,0.0967049145433776,0.11187049060075352,0.8,8,-0.019373105713412612,0.018629352144806755,0.019610463102007834,0.021713128931786254,False
29,A1,10,0.18030707579757738,0.07754853347127455,0.7,7,0.0015502580884267218,0.003180751716541305,0.0027324855886569875,0.0037725985980866816,False
30,A1,9,0.004138439723002492,0.020046172155198105,0.6666666666666666,6,-0.0008459654426060109,0.0026165275753279563,0.0024306043801995084,0.0031466266153195475,False
31,A1,10,0.04842978342582267,0.014088082757326308,0.6,6,-0.0016481193747481452,0.00338477381669195,0.0011352814387664964,0.0027948655762701858,False
32,A1,10,-0.4446459885309196,0.15761942548664867,0.6,6,0.005959491108846594,0.017598972601741144,0.011139662195497248,0.020580319026945376,False
33,A2,9,0.15717940712121256,0.03610635505506266,1.0,9,-0.0035976358962238795,0.0020026053678447496,0.002415194557957206,0.0021934086689154846,False
34,A2,9,-0.035975628716819814,-0.0100675689617923,0.6666666666666666,6,-0.00022756720523591116,0.0023366197775231547,0.0019203540972947135,0.00225126163965646,False
35,A2,10,0.03368623018472989,0.07225381411730564,0.6,6,-0.00038544786098003984,0.0007592190078135935,0.0005879061066878204,0.0008304117354857651,False
36,A2,9,0.14687062940721496,0.01331504762247616,0.5555555555555556,5,-0.00040595670223706376,0.0010594505747287988,0.00045508745100296665,0.0010563755776124134,False
37,A2,10,0.02249698046747526,-0.00442463261762803,0.9,9,-0.001639273940134025,0.0012676429360951062,0.0013602062116451143,0.0011769950320472062,False
38,A2,9,0.039275628761180154,0.00824003910900921,0.6666666666666666,6,-0.00022156282740946746,0.002319765567904919,0.0018706013123536167,0.0026235579701021,False
