channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,stable
1,A1,10,0.26176253006361977,0.20922462517736087,0.7,7,0.007219863023533335,0.2545072109080802,False
3,A1,10,0.09956855254097985,0.02792583175613336,0.6,6,0.06644725939178135,0.24624416661293916,False
4,A1,10,0.0886614672631489,0.10969644542554594,1.0,10,0.2462675469349817,0.16558912185221283,False
5,A1,6,-0.047702739558826014,-0.030163336997242482,1.0,6,0.3706855248812931,0.27590141680487296,False
6,A1,10,0.04444127449602626,0.012762042674201087,0.8,8,0.14924795031099175,0.5286858283578562,False
7,A1,7,0.4697094950783086,0.25588048092116006,0.8571428571428571,6,0.17597305379765457,0.5156557874424064,False
8,A1,9,0.01678722928720873,0.012719894836191192,0.5555555555555556,5,-0.10662591778509832,0.519037752388902,False
9,A1,10,0.4347947112603671,0.2690558593146133,1.0,10,0.4432948334307308,0.2592012285856405,False
10,A1,10,0.11285578483347948,0.1002925497830722,1.0,10,0.32138629494751897,0.18341429113321361,False
11,A1,10,0.5595419316975752,0.43192364846774545,0.9,9,0.12837223586897828,0.3153760230114509,True
12,A1,10,0.2686348449842873,0.24077357381317555,0.8,8,0.2723153109895017,0.30721796538155915,False
13,A1,10,0.3408137351625708,0.2725238778098597,1.0,10,0.399900888710362,0.2836312557083602,False
14,A1,10,0.3812852100462957,0.375035937505326,1.0,10,0.7610873106470726,0.316161420372704,False
15,A1,10,0.2876767537142754,0.07578562650614891,0.8,8,0.34553898681561523,0.5699060603920736,False
16,A1,8,0.5005166068166531,0.4144825408323811,1.0,8,0.5131556099339603,0.31919584034786136,True
17,A1,10,0.15685940747349997,0.11751343478731718,0.5,5,-0.07244286513599787,0.5281671627481516,False
18,A1,10,0.08231057439462716,0.0037839135762810895,0.6,6,0.11860747694595375,0.5625118081182456,False
19,A1,10,0.15969998598903076,0.08951064227667571,0.7,7,0.05385134298432113,0.2597053670035198,False
20,A1,9,0.0017540646108815568,0.059222998655677095,0.6666666666666666,6,-0.10292439539421722,0.18122244084685,False
21,A1,10,0.6231830607657997,0.4249074714851534,0.8,8,0.29319367232456484,0.1703134282411457,True
22,A1,10,0.6356973402558366,0.36256021683575274,0.6,6,-0.1523041430250517,0.5171957333130155,False
23,A1,9,0.33423781890469995,0.19023792967919154,0.8888888888888888,8,0.24980324800108417,0.25116565270865127,False
24,A1,10,0.11634880254457322,0.045566793686832495,0.8,8,0.3435947861428796,0.4530495582741693,False
25,A1,9,0.5494545421255984,0.28751212835223167,0.8888888888888888,8,0.7229329610094605,0.40738475070580205,False
26,A1,10,0.2309197776057073,0.15604227896984038,0.7,7,0.21886427478136428,0.4051260726335241,False
27,A1,10,0.2798755166885229,0.11737921862829491,0.7,7,0.29254430016472865,0.4704951948717429,False
28,A1,10,0.2711460877662787,0.151776611119404,0.6,6,0.18305096553778363,0.5915270792759579,False
29,A1,10,0.4238335295294047,0.319599378604665,1.0,10,0.490891728259302,0.2878072058957958,False
30,A1,10,0.7380166596058252,0.5784316539504721,1.0,10,0.9031763512869599,0.23509555680097544,True
31,A1,10,0.35188061027896134,0.10989363066333875,0.7,7,0.05065856351353289,0.34026706615570085,False
32,A1,9,0.6381372879988471,0.4019309870707122,1.0,9,0.6563025564819949,0.1787815082054411,True
33,A2,10,0.017649901053364118,0.01424618961473012,0.6,6,0.07566161589176787,0.4796955237030362,False
34,A2,5,-0.029493165293713614,-0.020763375329878365,1.0,5,0.45279393371433896,0.4495468900045634,False
35,A2,7,-0.054988499444128106,-0.017296071005096034,0.8571428571428571,6,0.2622115821575816,0.336118311611365,False
36,A2,9,-0.004482049790952335,0.04355310957202235,0.5555555555555556,5,-0.16601699937593165,0.7734502826018249,False
37,A2,9,0.026520911329889818,0.005258411323767564,0.5555555555555556,5,0.12310204212984625,0.3744248401373444,False
38,A2,8,0.6809177905060855,0.5593509352860051,0.75,6,-0.0033850893296287,0.2238578616624353,True
39,A2,10,0.29486032164269904,0.272230995099069,0.9,9,0.48222382291465526,0.44291956781435937,False
40,A2,10,0.12301593390403139,0.0605695709499875,0.9,9,0.5092588758925928,0.4472368191575817,False
41,A2,10,0.709278335813622,0.5674005842478176,1.0,10,0.9814140715877147,0.03789939516736462,True
42,A2,10,0.027323380496839147,0.012074610916963869,0.9,9,0.4709791501827554,0.45340580100526817,False
43,A2,10,0.5592736671016244,0.41324426884723725,1.0,10,0.4237444260548675,0.3100472865087728,True
44,A2,10,-0.025820704143903493,0.02649029493477451,0.8,8,0.27333786663023124,0.6031832270713122,False
45,A2,8,0.1992412747551991,0.10865663739535343,0.75,6,0.012373523114834209,0.26128498988872373,False
46,A2,10,0.048808320126761506,0.0392885390629511,0.8,8,-0.5938534853251678,0.45834350385308653,False
47,A2,10,0.5103223097917144,0.4399288331996416,1.0,10,-0.6186904479336455,0.3921886062292965,True
48,A2,9,0.05057828951805891,0.049652843581412615,0.6666666666666666,6,-0.11632070342091581,0.5011397863899227,False
49,A2,10,-0.02972079907240707,-0.004571885104555966,0.9,9,0.3812559068785609,0.40995234615089843,False
50,A2,10,0.015536132515316155,0.013037293200832073,0.7,7,0.2653611484680424,0.4834409510513787,False
51,A2,10,0.08710879813312226,0.05695290907656603,0.6,6,0.12260087084622832,0.3844405805545225,False
52,A2,10,0.23626407257328352,0.19847282826750326,0.8,8,0.2510863290391674,0.27538219049302143,False
53,A2,10,0.055393067560003395,0.059599040722923345,0.8,8,0.6321483980037823,0.590732326821391,False
54,A2,9,0.11656319997771879,0.019884966898523992,0.6666666666666666,6,0.35893033935283625,0.5099949111410561,False
55,A2,10,0.20174200437307774,0.13953031499988683,1.0,10,0.7642864213016174,0.3101532766246747,False
56,A2,7,0.10390996229099582,0.10699251578428182,0.5714285714285714,4,-0.048881724389232675,0.6101110161073443,False
57,A2,10,0.06802389773664295,0.030142403246148402,0.9,9,-0.2953063551027634,0.2700991378341022,False
58,A2,10,0.00012418020934572456,-0.008944413266496583,0.5,5,-0.021733229640575003,0.47853103638979827,False
59,A2,9,0.15306712243764675,0.07291282177109694,0.8888888888888888,8,0.5180320476442319,0.39924075441043255,False
60,A2,10,0.23413025289801487,0.16193214169295445,0.9,9,0.453972860496166,0.5325936781193311,False
61,A2,8,0.6994330380428577,0.49242276117958805,1.0,8,0.781128728113196,0.32355137036227716,True
62,A2,10,0.19641169138647593,0.1329592958916093,0.6,6,0.183608225247147,0.5618272333781763,False
63,A2,10,0.5423438988312674,0.46691868001959574,1.0,10,0.44065603410095305,0.19160929879109476,True
