channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,stable,tuned_stable_rank
1,A1,10,0.08426906410222564,0.09673769761640515,0.7,7,-0.4020121612639828,0.4399511479444381,0.31866122342470804,0.512579525816202,False,
2,A1,7,0.02733596776421922,0.008926213768046283,0.5714285714285714,4,-0.12411810267428881,0.37796791116041506,0.08018195456714264,0.22368420087991964,False,
3,A1,8,0.057381324702883665,0.0010743275695414504,0.5,4,-0.13957350339456695,0.32665958889707253,0.009616834518975777,0.06422059588102347,False,
4,A1,10,0.0847347758212167,0.050790394942590245,0.9,9,0.1287117203400943,0.24984126133660162,0.2287249294133074,0.17307650479561648,False,
6,A1,10,0.009951483508572908,0.010000987579709882,0.7,7,0.1450544226690419,0.30481756560048007,0.053168295368723084,0.14030164411425075,False,
8,A1,9,0.03519066948820268,0.01577449775226326,0.5555555555555556,5,-0.0530661360242753,0.4280205073109738,0.1626414752115305,0.3240580842073291,False,
9,A1,10,0.30087783578117994,0.20115139433409604,0.9,9,0.537353731098779,0.4199760022129115,0.5619767904614285,0.6783389837226752,False,
10,A1,10,-0.007380265331242414,0.019176793629511812,0.8,8,0.2249332719472426,0.3382876303283211,0.1421567741329739,0.2838665240630275,False,
11,A1,10,0.22158837367867365,0.18221100469423315,0.7,7,0.13628547361090143,0.28745853867559024,0.2621696754278009,0.3148958003202846,False,
12,A1,10,0.0484769399415499,0.02237999527649344,1.0,10,0.28650273957982025,0.26874337710128476,0.1783570601080822,0.23801170840855407,False,
13,A1,10,0.4370717278860243,0.3201333352432724,0.8,8,0.19062334121457922,0.21492409268942925,0.11565010713111623,0.19154981656047598,False,
14,A1,10,0.15348764742561347,0.08653167923737534,0.8,8,0.38827983058042465,0.3537316540631162,0.4406872541168978,0.38145403150244545,False,
15,A1,10,0.4280177269837679,0.3859271830136525,1.0,10,0.6267232224724937,0.2804907276214588,0.48955936313826676,0.3726003120690929,False,9
17,A1,10,0.21600669776958975,0.11509593212120596,0.8,8,0.25502507409451597,0.23291690148336153,0.25667139409479955,0.28419187324161865,False,
18,A1,10,0.18399347919117523,0.131899587362284,1.0,10,0.49214364153624623,0.3003688128746995,0.5287438831874136,0.3821385524766304,False,
19,A1,10,0.2395210633914329,0.1918130925761891,0.5,5,-0.01379690949104955,0.13553802525915606,0.09208254882419864,0.1548203763312044,False,
20,A1,5,0.016719060599160333,-0.01031859628694877,0.6,3,0.2762748165380933,0.3920803786455698,0.062050269408527106,0.410652244922333,False,
21,A1,8,0.08575545329574237,0.06694678670282699,0.875,7,0.1930523046467068,0.2796293678316869,0.09429705348851464,0.20721419632236926,False,
22,A1,10,0.6251811399214685,0.5369307839111312,1.0,10,-0.5364172986885842,0.28521183093319535,0.5249584281689734,0.39320682225927717,True,7
23,A1,10,0.18962361810322645,0.16250722291335837,0.6,6,0.12745919609711479,0.23127321143579563,0.14582266464958477,0.20731817433197314,False,
24,A1,9,0.016829492064991656,-0.0018803099824505883,0.5555555555555556,5,-0.20315013713379196,0.4244862736553555,0.18450401134783415,0.41051570675961624,False,
