channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,stable,tuned_stable_rank
1,A1,10,0.03974689721203054,0.04399923626800253,0.5,5,-0.10275252694025831,0.5772189284113944,0.31063295619969433,0.6768609881371033,False,
2,A1,10,0.2444226383838471,0.21072900629473124,0.5,5,0.17687326986518595,0.7509345602489844,0.8292268312599163,0.93261716058486,False,
3,A1,10,-0.04626886270035371,-0.0068404354040604385,0.6,6,-0.26488958377950195,0.7602594499323487,0.9508564782211246,0.9230299799462711,False,
4,A1,10,0.047766302986663574,0.02365003653549942,0.6,6,0.06724200771067933,0.6997235831467556,0.5866927557039631,0.7907199973574233,False,
5,A1,10,0.007934379476116988,0.012203682799892519,0.8,8,-0.4232159025738418,0.5361634604158126,0.6435807739609992,0.6650203560945244,False,
6,A1,10,0.25892181348210985,0.18510735843020415,0.8,8,-0.21917145667560556,0.5038714001533087,0.40326321836092227,0.44508995813719876,False,
7,A1,10,0.08462658064485773,0.06001655978678383,0.9,9,-0.6310155495450539,0.3968142830158754,0.7274406668534918,0.47354759167819527,False,
8,A1,10,0.20832001053123975,0.21279528391509633,0.9,9,-0.6495361200512457,0.40513650430434045,0.8271763580575835,0.407640980912899,False,
9,A1,10,-0.008073322475977347,0.035909960759291336,0.5,5,-0.009238648249621567,0.4863104451426711,0.33854956504083167,0.5451471765576651,False,
10,A1,10,0.32011084713642496,0.2408064627024296,0.7,7,-0.5107904955885477,0.5915404102249464,0.8589958459359963,0.5147792052559061,False,
11,A1,10,0.06482045708675489,0.05254827079211335,0.6,6,-0.21594087645858254,0.7584763894812462,0.9767001133113244,0.930646042861571,False,
12,A1,10,-0.28447282576443766,0.05344129115899379,0.6,6,0.1862832051202839,0.5928359084437684,0.3893317731094325,0.767172442544295,False,
13,A1,10,-0.011577526364290158,-0.008710450384931314,0.6,6,-0.0224227856595465,0.5111141389148331,0.2846037156534098,0.5739891629473028,False,
14,A1,10,0.04803883944065965,0.046079268229012614,0.6,6,-0.11050172673263033,0.3556578681093794,0.12934232927324263,0.29353971502075016,False,
15,A1,10,0.10552845978810692,0.09006994044965382,0.6,6,0.04971265602273298,0.8157898406500611,1.0,1.2254868150844063,False,
16,A1,10,0.19444787982126352,0.22725736730306592,0.5,5,-0.0027613742670183237,0.468560909158248,0.18232376638752135,0.3303100820282125,False,
17,A1,10,-0.03906837751471638,-0.007574164975717244,0.7,7,-0.24690023306167164,0.6104817704599428,0.505555141348924,0.6368966299745344,False,
18,A1,9,0.10846454560916577,0.09289590230675339,0.5555555555555556,5,0.1394274682783111,0.5815435178584483,0.2799123139277827,0.7237229706748778,False,
19,A1,9,0.28170549065771977,0.25656001334933975,1.0,9,-0.5070270804210742,0.33973290442603266,0.5156941585329815,0.3816672419416904,False,
20,A1,10,-0.007114845082426632,0.04771617696867002,1.0,10,-0.25962106709335087,0.1495092152698559,0.2905319014069371,0.17320666000060106,False,3
21,A1,10,0.013844103789417625,0.029844444438234564,0.5,5,0.05524322126005045,0.5066674282129046,0.2424682561267875,0.484936512253575,False,
22,A1,9,-0.0736569768889477,-0.03601046049600251,0.5555555555555556,5,0.09119893551319963,0.38125075076872456,0.1833405136160262,0.3184815430477958,False,
